Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,36.23,36.39,36.14,36.39,6562200,36.39
2013-09-19,36.82,36.85,36.66,36.68,10741400,36.68
2013-09-18,35.96,36.26,35.85,36.09,6812900,36.09
2013-09-17,36.15,36.28,35.96,36.14,5931300,36.14
2013-09-16,36.43,36.44,36.26,36.27,4554500,36.27
2013-09-13,36.23,36.28,36.01,36.20,7243600,36.20
2013-09-12,36.35,36.65,36.31,36.58,7934700,36.58
2013-09-11,36.20,36.35,36.15,36.33,7083300,36.33
2013-09-10,35.93,36.04,35.85,35.90,5187800,35.90
2013-09-09,35.54,35.65,35.29,35.64,4673300,35.64
2013-09-06,35.37,35.38,34.97,35.16,6730800,35.16
2013-09-05,35.62,35.64,35.07,35.28,5837200,35.28
2013-09-04,35.56,35.79,35.39,35.71,9571700,35.71
2013-09-03,35.83,36.06,35.77,35.82,5248800,35.82
2013-09-02,35.46,35.76,35.41,35.62,11840200,35.62
2013-08-30,35.17,35.75,35.11,35.75,15518100,35.11
2013-08-29,35.15,35.43,35.08,35.35,10727100,34.71
2013-08-28,34.91,35.09,34.70,34.80,10879900,34.17
2013-08-27,35.46,35.61,35.36,35.60,6042400,34.96
2013-08-26,35.60,35.74,35.39,35.58,7088300,34.94
2013-08-23,35.70,35.83,35.52,35.64,6909600,35.00
2013-08-22,34.95,35.56,34.85,35.37,9910500,34.73
2013-08-21,36.00,36.10,35.59,35.74,9277100,35.10
2013-08-20,36.65,36.95,36.38,36.54,5017000,35.88
2013-08-19,36.74,37.12,36.61,37.04,4779300,36.37
2013-08-16,37.20,37.20,36.67,36.87,8420300,36.21
2013-08-15,37.15,37.41,37.09,37.33,9975400,36.66
2013-08-14,37.05,37.07,36.76,36.90,6888500,36.24
2013-08-13,37.02,37.11,36.60,36.96,9568000,36.29
2013-08-12,36.74,37.02,36.73,36.81,9190600,36.15
2013-08-09,36.05,36.14,35.84,35.94,8520800,35.29
2013-08-08,35.18,35.50,34.76,35.31,6205000,34.67
2013-08-07,35.22,35.32,34.85,34.90,8435400,34.27
2013-08-06,35.80,35.94,35.37,35.62,6207700,34.98
2013-08-05,35.51,35.75,35.50,35.75,3841700,35.11
