Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,29.35,29.50,29.30,29.46,7700,28.65
2013-09-19,29.20,29.36,29.00,29.36,8600,28.55
2013-09-18,28.90,29.20,28.82,29.20,6300,28.39
2013-09-17,28.87,28.98,28.77,28.82,7800,28.03
2013-09-16,28.58,28.87,28.50,28.86,7300,28.06
2013-09-13,28.50,28.58,28.40,28.58,3900,27.79
2013-09-12,27.90,28.59,27.90,28.54,12700,27.75
2013-09-11,27.50,27.86,27.50,27.86,13700,27.09
2013-09-10,27.21,27.60,27.20,27.55,7400,26.79
2013-09-09,27.55,27.70,27.27,27.27,14000,26.52
2013-09-06,27.40,27.60,27.26,27.53,8000,26.77
2013-09-05,27.19,27.56,27.18,27.21,10200,26.46
2013-09-04,26.90,27.47,26.90,27.11,6800,26.36
2013-09-03,27.10,27.25,26.86,26.96,10200,26.22
2013-09-02,26.80,27.10,26.74,26.85,9500,26.11
2013-08-30,26.85,27.17,26.70,27.09,10400,26.34
2013-08-29,27.10,27.16,26.70,26.85,1900,26.11
2013-08-28,27.48,27.48,26.80,27.00,6300,26.26
2013-08-27,27.40,27.40,26.50,26.99,3400,26.25
2013-08-26,27.50,27.50,27.39,27.48,4900,26.72
2013-08-23,27.35,27.87,27.11,27.85,8400,27.08
2013-08-22,26.90,27.35,26.40,27.35,6200,26.60
2013-08-21,27.17,27.30,27.04,27.05,8900,26.30
2013-08-20,26.99,27.17,26.95,27.17,7000,26.42
2013-08-19,26.05,26.58,26.05,26.22,4500,25.50
2013-08-16,26.00,26.00,25.81,25.90,6000,25.19
2013-08-15,25.51,26.00,25.51,26.00,14000,25.28
2013-08-14,25.45,25.50,25.35,25.50,7600,24.80
2013-08-13,25.80,25.80,25.38,25.40,14600,24.70
2013-08-12,26.30,26.30,25.80,25.80,9300,25.09
2013-08-09,26.30,26.30,26.20,26.24,2800,25.52
2013-08-08,26.20,27.20,26.20,26.30,6300,25.57
2013-08-07,26.70,27.22,26.20,26.22,8200,25.50
2013-08-06,26.50,26.95,26.13,26.80,6400,26.06
2013-08-05,26.74,27.15,26.74,26.82,2000,26.08
2013-08-02,26.50,27.50,26.50,26.74,8600,26.00
2013-08-01,26.13,26.13,26.13,26.13,000,25.41
2013-07-31,26.20,27.00,26.13,26.13,4400,25.41
2013-07-30,26.00,26.21,25.96,26.20,6600,25.48
2013-07-29,26.75,27.00,25.91,26.00,4700,25.28
2013-07-26,26.90,27.12,26.20,26.50,7700,25.77
2013-07-25,27.40,27.40,26.90,27.05,9600,26.30
2013-07-24,27.45,27.56,27.28,27.40,8100,26.64
2013-07-23,27.54,27.75,27.25,27.75,5200,26.98
2013-07-22,27.28,27.30,27.20,27.26,2900,26.51
2013-07-19,27.10,27.80,26.85,27.00,7600,26.26
2013-07-18,26.48,27.00,26.45,26.99,6100,26.25
2013-07-17,26.28,26.48,26.11,26.35,4600,25.62
2013-07-16,25.64,26.30,25.64,26.30,20100,25.57
2013-07-15,24.93,25.80,24.90,25.64,13500,24.93
2013-07-12,25.40,25.40,24.70,24.92,17100,24.23
2013-07-11,25.62,25.74,25.04,25.40,22500,24.70
2013-07-10,26.30,26.30,25.55,25.75,9900,25.04
2013-07-09,26.64,27.00,26.00,26.18,10600,25.46
2013-07-08,26.60,26.65,26.50,26.64,7200,25.91
2013-07-05,26.69,26.70,26.51,26.65,2900,25.92
2013-07-04,26.70,26.75,26.60,26.70,9100,25.96
2013-07-03,26.70,26.75,26.54,26.70,9100,25.96
2013-07-02,26.82,26.82,26.67,26.70,5700,25.96
2013-07-01,26.94,26.94,26.75,26.82,4700,26.08
2013-06-28,26.90,26.95,26.90,26.94,4100,26.20
2013-06-27,27.00,27.05,26.85,26.90,5800,26.16
2013-06-26,26.51,26.60,26.50,26.50,7800,25.77
2013-06-25,27.00,27.00,26.51,26.60,6600,25.87
2013-06-24,27.10,27.15,27.00,27.00,5400,26.26
2013-06-21,27.15,27.15,27.00,27.10,5000,26.35
2013-06-20,27.30,27.30,27.15,27.15,10800,26.40
2013-06-19,27.19,27.50,27.19,27.25,3300,26.50
2013-06-18,27.50,27.60,27.15,27.21,2700,26.46
2013-06-17,27.15,27.39,27.15,27.39,2200,26.63
2013-06-14,27.40,27.50,27.15,27.15,1500,26.40
2013-06-13,27.55,27.75,27.50,27.50,3500,26.74
2013-06-12,27.70,27.75,27.55,27.55,2300,26.79
2013-06-11,27.70,28.05,27.65,27.70,7200,26.94
2013-06-10,27.94,27.94,27.94,27.94,000,27.17
2013-06-07,27.17,27.94,27.15,27.94,9300,27.17
2013-06-06,27.20,27.50,27.19,27.50,3100,26.74
2013-06-05,27.17,27.42,27.10,27.15,81100,26.40
2013-06-04,27.16,27.70,27.16,27.17,10100,26.42
2013-06-03,27.66,27.66,27.16,27.20,3700,26.45
2013-05-31,27.64,27.73,27.62,27.66,3000,26.90
2013-05-30,27.65,27.99,27.64,27.77,7400,27.00
2013-05-29,27.11,27.77,27.11,27.60,2800,26.84
2013-05-28,27.05,27.45,27.05,27.11,2000,26.36
2013-05-27,27.40,27.60,27.05,27.20,6800,26.45
2013-05-24,28.13,28.19,27.22,27.40,14400,26.64
2013-05-23,28.19,28.40,28.12,28.36,6400,27.58
2013-05-22,28.50,28.50,28.19,28.19,11200,27.41
2013-05-21,28.25,28.49,28.25,28.30,3400,27.52
2013-05-20,28.15,28.45,28.15,28.45,12300,27.67
2013-05-17,28.10,28.19,28.08,28.15,8200,27.37
2013-05-16,28.90,28.91,28.10,28.10,17800,27.33
2013-05-15,29.32,29.35,28.90,28.90,11300,28.10
2013-05-14,28.53,29.33,28.53,29.31,6700,28.50
2013-05-13,28.50,28.61,28.24,28.55,13600,27.76
2013-05-10,27.31,28.50,27.31,28.08,18500,27.31
2013-05-09,26.74,27.50,26.52,27.50,15600,26.74
2013-05-08,26.70,26.71,26.40,26.50,36400,25.77
2013-05-07,26.89,26.89,26.50,26.70,12100,25.96
2013-05-06,27.14,27.20,26.90,26.90,12000,26.16
2013-05-03,26.53,27.15,26.53,27.13,12400,26.38
2013-05-02,27.65,27.65,26.50,26.51,53100,25.78
2013-05-01,28.05,28.05,27.65,27.84,20200,27.07
2013-04-30,28.85,28.85,28.05,28.30,40300,27.52
2013-04-29,29.00,29.11,28.75,28.80,24800,28.01
2013-04-26,28.80,29.00,28.80,29.00,11800,28.20
2013-04-25,28.80,28.80,28.80,28.80,000,28.01
2013-04-24,30.15,30.15,28.76,28.80,54300,28.01
2013-04-23,30.60,30.95,30.40,30.60,17100,29.76
2013-04-22,30.65,30.65,30.00,30.65,12000,29.80
2013-04-19,30.87,30.87,30.50,30.65,4200,29.80
2013-04-18,31.10,31.10,30.36,30.95,5200,30.10
2013-04-17,31.35,31.35,30.75,30.75,3400,29.90
2013-04-16,30.65,31.00,30.50,31.00,7600,30.15
2013-04-15,30.82,31.00,30.70,30.80,3800,29.95
2013-04-12,31.20,31.63,30.70,30.80,9600,29.95
2013-04-11,30.90,31.20,30.90,31.13,14800,30.27
2013-04-10,30.35,30.98,30.35,30.90,9800,30.05
2013-04-09,30.61,30.61,30.30,30.35,10600,29.51
2013-04-08,30.26,30.67,30.11,30.64,14100,29.80
2013-04-05,30.09,30.38,30.09,30.26,3500,29.43
2013-04-04,30.58,30.58,30.21,30.40,6100,29.56
2013-04-03,30.36,30.70,30.30,30.61,8800,29.77
2013-04-02,30.40,30.84,30.31,30.70,6700,29.85
2013-04-01,30.35,30.35,30.35,30.35,000,29.51
2013-03-29,30.35,30.35,30.35,30.35,000,29.51
2013-03-28,30.29,30.39,30.23,30.35,5000,29.51
2013-03-27,30.52,30.80,30.11,30.29,9700,29.45
2013-03-26,29.93,30.50,29.93,30.40,6700,29.56
2013-03-25,30.00,30.05,29.73,29.73,3300,28.91
2013-03-22,29.59,30.00,29.59,30.00,4600,29.17
2013-03-21,29.55,29.89,29.08,29.59,5700,28.77
2013-03-20,29.52,29.52,29.00,29.35,17800,28.54
2013-03-19,29.72,30.00,29.50,29.63,3600,28.81
2013-03-18,30.00,30.10,29.70,29.73,8800,28.91
2013-03-15,29.70,30.00,29.70,29.95,9200,29.12
2013-03-14,29.85,30.05,29.50,30.00,24500,29.17
2013-03-13,29.66,30.13,29.50,30.10,21900,29.27
2013-03-12,29.01,29.66,28.99,29.66,32100,28.84
2013-03-11,30.25,30.25,28.90,29.01,44200,28.21
2013-03-08,31.08,31.09,30.30,30.30,22800,29.46
2013-03-07,31.07,31.10,30.80,31.08,30900,30.22
2013-03-06,31.45,31.55,31.45,31.49,26900,30.19
2013-03-05,31.60,31.60,31.40,31.50,24800,30.20
2013-03-04,31.50,31.75,31.10,31.50,15100,30.20
2013-03-01,31.80,31.80,31.00,31.50,42200,30.20
2013-02-28,34.26,34.26,29.75,31.80,116200,30.49
2013-02-27,34.40,34.45,34.31,34.31,3000,32.90
2013-02-26,34.33,34.45,34.10,34.40,8800,32.98
2013-02-25,34.16,34.33,34.10,34.33,8200,32.92
2013-02-22,33.65,34.25,33.65,34.16,4700,32.75
2013-02-21,34.23,34.40,33.65,33.65,5900,32.26
2013-02-20,34.25,34.45,34.23,34.40,7200,32.98
2013-02-19,34.48,34.50,34.25,34.25,9400,32.84
2013-02-18,34.69,34.70,34.26,34.48,6000,33.06
2013-02-15,34.55,35.00,34.21,34.21,6400,32.80
2013-02-14,34.50,35.00,34.40,35.00,3800,33.56
2013-02-13,35.25,35.25,34.50,34.50,4400,33.08
2013-02-12,35.25,35.25,34.78,35.00,4000,33.56
2013-02-11,35.15,35.38,35.00,35.25,6400,33.80
2013-02-08,35.40,35.40,35.01,35.10,3900,33.66
2013-02-07,35.00,36.10,35.00,35.35,10000,33.89
2013-02-06,34.40,34.55,34.02,34.40,6600,32.98
2013-02-05,34.00,34.40,33.81,34.40,3200,32.98
2013-02-04,33.50,34.49,33.50,34.37,10100,32.96
2013-02-01,33.84,33.91,33.80,33.91,3200,32.51
2013-01-31,33.80,34.34,33.69,33.85,5000,32.46
2013-01-30,34.06,34.61,33.75,33.75,8100,32.36
2013-01-29,33.30,34.05,33.30,33.95,6500,32.55
2013-01-28,33.52,33.52,33.52,33.52,000,32.14
2013-01-25,33.32,33.52,32.99,33.52,7800,32.14
2013-01-24,34.00,34.00,33.32,33.45,5700,32.07
2013-01-23,34.90,34.99,34.00,34.00,3200,32.60
2013-01-22,35.12,35.13,34.80,34.80,7800,33.37
2013-01-21,34.92,35.06,34.90,35.06,8000,33.62
2013-01-18,34.98,34.99,34.20,34.92,7000,33.48
