Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,6.02,6.03,5.85,5.99,731500,5.99
2013-09-19,5.90,6.03,5.88,6.01,1489200,6.01
2013-09-18,5.85,5.87,5.66,5.78,977400,5.78
2013-09-17,5.94,5.95,5.85,5.86,618100,5.86
2013-09-16,5.90,6.04,5.87,5.94,728200,5.94
2013-09-13,6.02,6.05,5.82,5.90,1038200,5.90
2013-09-12,6.11,6.16,6.05,6.05,920800,6.05
2013-09-11,6.07,6.24,6.07,6.16,1842200,6.16
2013-09-10,6.09,6.13,6.01,6.07,1241300,6.07
2013-09-09,6.11,6.15,6.00,6.05,1082800,6.05
2013-09-06,6.23,6.31,6.04,6.11,811200,6.11
2013-09-05,6.20,6.30,6.11,6.23,1175200,6.23
2013-09-04,6.01,6.16,5.93,6.13,1073400,6.13
2013-09-03,5.90,6.10,5.87,6.06,1122600,6.06
2013-09-02,5.80,5.89,5.71,5.86,1103300,5.86
2013-08-30,5.51,5.75,5.51,5.70,924600,5.70
2013-08-29,5.59,5.61,5.42,5.56,1749000,5.56
2013-08-28,5.70,5.73,5.56,5.60,2144600,5.60
2013-08-27,5.75,5.85,5.75,5.79,1149700,5.79
2013-08-26,5.83,5.98,5.75,5.80,1507400,5.80
2013-08-23,5.73,5.90,5.73,5.83,2309500,5.83
2013-08-22,5.68,5.74,5.64,5.72,1711900,5.72
2013-08-21,5.73,5.77,5.62,5.72,1448400,5.72
2013-08-20,5.74,5.74,5.55,5.70,1143300,5.70
2013-08-19,5.58,5.72,5.55,5.71,1650300,5.71
2013-08-16,5.77,5.84,5.68,5.72,1483500,5.54
2013-08-15,5.70,5.95,5.70,5.89,1646700,5.70
2013-08-14,5.89,5.89,5.60,5.79,4158500,5.61
2013-08-13,5.45,5.91,5.45,5.89,3727400,5.70
2013-08-12,5.11,5.24,5.01,5.24,1353500,5.08
2013-08-09,4.95,5.11,4.88,5.05,1331700,4.89
2013-08-08,5.00,5.00,4.84,4.86,1318000,4.71
2013-08-07,5.05,5.10,4.91,4.98,974100,4.82
2013-08-06,5.04,5.15,4.91,5.08,1082700,4.92
2013-08-05,4.98,5.07,4.90,5.05,930600,4.89
2013-08-02,5.01,5.04,4.88,4.97,1183600,4.81
2013-08-01,4.95,5.05,4.87,4.91,1074500,4.76
2013-07-31,4.85,4.98,4.82,4.93,1507100,4.77
2013-07-30,4.69,4.83,4.57,4.81,939400,4.66
2013-07-29,4.60,4.70,4.53,4.60,980800,4.46
2013-07-26,4.66,4.74,4.58,4.60,4013100,4.46
2013-07-25,4.91,4.93,4.62,4.70,2578500,4.55
2013-07-24,4.88,5.06,4.84,5.02,1166500,4.86
2013-07-23,4.85,4.88,4.80,4.88,940200,4.73
2013-07-22,4.88,4.90,4.77,4.81,647700,4.66
2013-07-19,5.14,5.18,4.72,4.72,2253200,4.57
2013-07-18,5.20,5.37,5.09,5.11,1624900,4.95
2013-07-17,5.00,5.16,4.95,5.16,646400,5.00
2013-07-16,5.15,5.15,5.05,5.08,703400,4.92
2013-07-15,5.25,5.29,4.98,5.14,840000,4.98
2013-07-12,5.01,5.18,5.00,5.15,1250100,4.99
2013-07-11,4.83,4.99,4.80,4.96,1629400,4.80
2013-07-10,4.48,4.76,4.48,4.76,2074300,4.61
2013-07-09,4.47,4.47,4.37,4.44,631700,4.30
2013-07-08,4.39,4.46,4.29,4.37,832000,4.23
2013-07-05,4.30,4.44,4.30,4.39,757500,4.25
2013-07-04,4.25,4.33,4.25,4.30,751100,4.16
2013-07-03,4.39,4.39,4.14,4.23,1155300,4.10
2013-07-02,4.25,4.37,4.18,4.35,1603100,4.21
2013-07-01,4.28,4.34,4.20,4.25,741100,4.12
2013-06-28,4.35,4.42,4.30,4.31,820100,4.17
2013-06-27,4.54,4.55,4.31,4.38,1184700,4.24
2013-06-26,4.28,4.60,4.28,4.47,1705000,4.33
2013-06-25,4.21,4.32,4.08,4.26,1578400,4.13
2013-06-24,4.26,4.34,4.03,4.21,1436600,4.08
2013-06-21,4.30,4.38,4.18,4.38,1490500,4.24
2013-06-20,4.55,4.58,4.29,4.39,1565100,4.25
2013-06-19,4.33,4.65,4.30,4.63,1569100,4.48
2013-06-18,4.39,4.39,4.25,4.28,1170000,4.15
2013-06-17,4.50,4.50,4.29,4.37,1750600,4.23
2013-06-14,4.27,4.54,4.27,4.46,1207800,4.32
2013-06-13,4.37,4.44,4.22,4.23,1598300,4.10
