Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.00,0.00,0.00,0.00,1899200,0.00
2013-09-19,0.00,0.00,0.00,0.00,000,0.00
2013-09-18,0.00,0.00,0.00,0.00,750000,0.00
2013-09-17,0.01,0.01,0.00,0.00,1423300,0.00
2013-09-16,0.01,0.01,0.00,0.00,676600,0.00
2013-09-13,0.01,0.01,0.01,0.01,3250000,0.01
2013-09-12,0.00,0.00,0.00,0.00,307900,0.00
2013-09-11,0.00,0.00,0.00,0.00,1854000,0.00
2013-09-10,0.01,0.01,0.00,0.00,3494000,0.00
2013-09-09,0.00,0.01,0.00,0.01,13460900,0.01
2013-09-06,0.00,0.00,0.00,0.00,714800,0.00
2013-09-05,0.00,0.00,0.00,0.00,4181500,0.00
2013-09-04,0.00,0.00,0.00,0.00,3392600,0.00
2013-09-03,0.00,0.00,0.00,0.00,4650000,0.00
2013-09-02,0.00,0.00,0.00,0.00,2840700,0.00
2013-08-30,0.00,0.00,0.00,0.00,330000,0.00
2013-08-29,0.00,0.00,0.00,0.00,000,0.00
2013-08-28,0.00,0.00,0.00,0.00,714000,0.00
2013-08-27,0.00,0.00,0.00,0.00,142800,0.00
2013-08-26,0.00,0.00,0.00,0.00,203000,0.00
2013-08-23,0.00,0.00,0.00,0.00,1086000,0.00
2013-08-22,0.00,0.00,0.00,0.00,903400,0.00
2013-08-21,0.00,0.00,0.00,0.00,000,0.00
2013-08-20,0.00,0.00,0.00,0.00,125000,0.00
2013-08-19,0.00,0.00,0.00,0.00,17100,0.00
2013-08-16,0.00,0.00,0.00,0.00,1319600,0.00
2013-08-15,0.00,0.00,0.00,0.00,930400,0.00
2013-08-14,0.00,0.00,0.00,0.00,000,0.00
2013-08-13,0.00,0.00,0.00,0.00,1000000,0.00
2013-08-12,0.00,0.00,0.00,0.00,653700,0.00
2013-08-09,0.00,0.00,0.00,0.00,350000,0.00
2013-08-08,0.00,0.00,0.00,0.00,2963200,0.00
2013-08-07,0.00,0.00,0.00,0.00,1021100,0.00
2013-08-06,0.00,0.00,0.00,0.00,000,0.00
2013-08-05,0.00,0.00,0.00,0.00,1050000,0.00
2013-08-02,0.00,0.00,0.00,0.00,9380200,0.00
2013-08-01,0.00,0.00,0.00,0.00,4300000,0.00
2013-07-31,0.00,0.00,0.00,0.00,700000,0.00
2013-07-30,0.00,0.00,0.00,0.00,2060000,0.00
2013-07-29,0.00,0.00,0.00,0.00,1675200,0.00
2013-07-26,0.00,0.00,0.00,0.00,1000000,0.00
2013-07-25,0.00,0.00,0.00,0.00,270000,0.00
2013-07-24,0.00,0.00,0.00,0.00,2634000,0.00
2013-07-23,0.00,0.00,0.00,0.00,40000,0.00
2013-07-19,0.00,0.00,0.00,0.00,70000,0.00
2013-07-18,0.00,0.00,0.00,0.00,1496000,0.00
2013-07-17,0.00,0.00,0.00,0.00,1671200,0.00
2013-07-16,0.00,0.00,0.00,0.00,2741300,0.00
2013-07-15,0.00,0.00,0.00,0.00,2498100,0.00
2013-07-12,0.00,0.00,0.00,0.00,2047000,0.00
2013-07-11,0.00,0.00,0.00,0.00,2560000,0.00
2013-07-10,0.00,0.00,0.00,0.00,2199700,0.00
2013-07-09,0.00,0.00,0.00,0.00,400000,0.00
2013-07-08,0.00,0.00,0.00,0.00,946200,0.00
2013-07-05,0.00,0.00,0.00,0.00,250000,0.00
2013-07-04,0.00,0.00,0.00,0.00,460700,0.00
2013-07-03,0.00,0.00,0.00,0.00,1600000,0.00
2013-07-02,0.00,0.00,0.00,0.00,2292200,0.00
2013-07-01,0.00,0.00,0.00,0.00,1646600,0.00
2013-06-28,0.00,0.00,0.00,0.00,1464600,0.00
2013-06-27,0.00,0.00,0.00,0.00,627500,0.00
2013-06-26,0.00,0.00,0.00,0.00,2788000,0.00
2013-06-25,0.00,0.00,0.00,0.00,8390700,0.00
2013-06-24,0.00,0.00,0.00,0.00,6536000,0.00
2013-06-21,0.00,0.00,0.00,0.00,898000,0.00
2013-06-20,0.00,0.00,0.00,0.00,200000,0.00
2013-06-18,0.00,0.00,0.00,0.00,355000,0.00
2013-06-17,0.00,0.00,0.00,0.00,4093100,0.00
2013-06-14,0.00,0.00,0.00,0.00,28043500,0.00
2013-06-13,0.00,0.00,0.00,0.00,000,0.00
2013-06-12,0.00,0.00,0.00,0.00,000,0.00
2013-06-11,0.00,0.00,0.00,0.00,2300000,0.00
2013-06-10,0.00,0.00,0.00,0.00,000,0.00
2013-06-07,0.00,0.00,0.00,0.00,1032600,0.00
2013-06-06,0.00,0.00,0.00,0.00,660000,0.00
2013-06-05,0.00,0.00,0.00,0.00,000,0.00
2013-06-04,0.00,0.00,0.00,0.00,1400000,0.00
2013-06-03,0.00,0.00,0.00,0.00,1900000,0.00
2013-05-31,0.00,0.00,0.00,0.00,100000,0.00
2013-05-30,0.00,0.00,0.00,0.00,1636000,0.00
2013-05-29,0.00,0.00,0.00,0.00,529000,0.00
2013-05-28,0.00,0.00,0.00,0.00,485000,0.00
2013-05-27,0.00,0.00,0.00,0.00,415000,0.00
2013-05-24,0.00,0.00,0.00,0.00,2805800,0.00
2013-05-23,0.00,0.00,0.00,0.00,000,0.00
2013-05-22,0.00,0.00,0.00,0.00,560000,0.00
2013-05-21,0.00,0.00,0.00,0.00,495000,0.00
2013-05-20,0.00,0.00,0.00,0.00,2753600,0.00
2013-05-17,0.00,0.00,0.00,0.00,7803300,0.00
2013-05-16,0.00,0.00,0.00,0.00,1450000,0.00
2013-05-15,0.00,0.00,0.00,0.00,811700,0.00
2013-05-14,0.00,0.00,0.00,0.00,55500,0.00
2013-05-13,0.00,0.00,0.00,0.00,434000,0.00
2013-05-10,0.00,0.00,0.00,0.00,000,0.00
2013-05-09,0.00,0.00,0.00,0.00,340000,0.00
2013-05-08,0.00,0.00,0.00,0.00,424000,0.00
2013-05-07,0.00,0.00,0.00,0.00,645500,0.00
2013-05-06,0.00,0.00,0.00,0.00,300000,0.00
2013-05-03,0.00,0.00,0.00,0.00,1997000,0.00
2013-05-02,0.00,0.00,0.00,0.00,100000,0.00
2013-05-01,0.00,0.00,0.00,0.00,1305800,0.00
2013-04-30,0.00,0.00,0.00,0.00,430000,0.00
2013-04-26,0.00,0.00,0.00,0.00,000,0.00
2013-04-25,0.00,0.00,0.00,0.00,000,0.00
2013-04-24,0.00,0.00,0.00,0.00,1750000,0.00
2013-04-23,0.00,0.00,0.00,0.00,2020000,0.00
2013-04-22,0.00,0.00,0.00,0.00,000,0.00
2013-04-19,0.00,0.00,0.00,0.00,841300,0.00
2013-04-18,0.00,0.00,0.00,0.00,200000,0.00
2013-04-17,0.00,0.00,0.00,0.00,5458600,0.00
2013-04-16,0.00,0.00,0.00,0.00,100000,0.00
2013-04-15,0.00,0.00,0.00,0.00,300000,0.00
2013-04-12,0.00,0.00,0.00,0.00,595000,0.00
2013-04-11,0.00,0.00,0.00,0.00,145700,0.00
2013-04-10,0.00,0.00,0.00,0.00,395200,0.00
2013-04-09,0.00,0.00,0.00,0.00,1720800,0.00
