Date,Open,High,Low,Close,Volume,Adj Close
2012-10-10,0.84,0.84,0.84,0.84,10000,0.84
2012-10-09,0.84,0.84,0.84,0.84,2000,0.84
2012-10-08,0.85,0.85,0.85,0.85,30000,0.85
2012-10-05,0.86,0.86,0.85,0.85,20000,0.85
2012-10-04,0.86,0.89,0.86,0.86,000,0.86
2012-10-03,0.85,0.85,0.85,0.85,16000,0.85
2012-10-02,0.86,0.86,0.86,0.86,10000,0.86
2012-10-01,0.88,0.88,0.85,0.85,15000,0.85
2012-09-28,0.88,0.92,0.88,0.88,000,0.88
2012-09-27,0.88,0.92,0.88,0.88,000,0.88
2012-09-26,0.88,0.88,0.88,0.88,4000,0.88
2012-09-25,0.88,0.93,0.88,0.88,000,0.88
2012-09-24,0.88,0.93,0.88,0.88,000,0.88
2012-09-21,0.88,0.93,0.88,0.88,000,0.88
2012-09-11,0.87,0.93,0.87,0.87,000,0.87
2012-09-04,0.87,0.97,0.87,0.87,000,0.87
2012-09-03,0.87,0.98,0.87,0.87,000,0.87
2012-08-28,1.00,1.02,1.00,1.02,15000,1.02
2012-08-13,0.82,0.90,0.82,0.82,000,0.82
2012-08-10,0.82,0.85,0.82,0.85,22000,0.85
2012-08-09,0.76,0.90,0.76,0.76,000,0.76
2012-08-08,0.76,0.90,0.76,0.76,000,0.76
2012-08-07,0.82,0.82,0.75,0.75,2000,0.75
2012-08-06,0.75,0.90,0.75,0.75,000,0.75
2012-08-03,0.80,0.80,0.80,0.80,8500,0.80
2012-08-02,0.80,0.80,0.80,0.80,8000,0.80
2012-08-01,0.80,0.90,0.80,0.80,000,0.80
2012-07-31,0.80,0.90,0.80,0.80,000,0.80
2012-07-30,0.80,0.80,0.80,0.80,3500,0.80
2012-07-27,0.80,0.90,0.80,0.80,000,0.80
2012-07-26,0.80,0.90,0.80,0.80,000,0.80
2012-07-25,0.80,0.90,0.80,0.80,000,0.80
2012-07-24,0.80,0.90,0.80,0.80,000,0.80
2012-07-23,0.80,0.90,0.80,0.80,000,0.80
2012-07-20,0.80,0.90,0.80,0.80,000,0.80
2012-07-19,0.80,0.80,0.80,0.80,000,0.80
2012-07-18,0.80,0.80,0.80,0.80,67700,0.80
2012-07-17,0.80,0.80,0.80,0.80,23200,0.80
2012-07-16,0.40,0.80,0.40,0.40,000,0.40
2012-07-13,0.55,0.80,0.55,0.55,000,0.55
2012-07-12,0.55,0.80,0.55,0.55,000,0.55
2012-07-11,0.55,0.80,0.55,0.55,000,0.55
2012-07-10,0.55,0.80,0.55,0.55,000,0.55
2012-07-09,0.55,0.80,0.55,0.55,000,0.55
2012-07-06,0.60,0.80,0.60,0.60,000,0.60
2012-07-05,0.60,0.80,0.60,0.60,000,0.60
2012-07-04,0.60,0.80,0.60,0.60,000,0.60
2012-07-03,0.60,0.80,0.60,0.60,000,0.60
2012-07-02,0.60,0.80,0.60,0.60,000,0.60
2012-06-29,0.80,0.84,0.80,0.84,3000,0.84
2012-06-28,0.50,0.92,0.50,0.50,000,0.50
2012-06-27,0.50,0.92,0.50,0.50,000,0.50
2012-06-26,0.84,0.84,0.84,0.84,3400,0.84
2012-06-25,0.50,0.84,0.50,0.50,000,0.50
2012-06-22,0.50,0.84,0.50,0.50,000,0.50
2012-06-21,0.82,0.84,0.82,0.84,1500,0.84
2012-06-20,0.50,0.82,0.50,0.50,000,0.50
2012-06-19,0.84,0.84,0.84,0.84,000,0.84
2012-06-18,0.85,0.85,0.85,0.85,6000,0.85
2012-06-15,0.81,0.85,0.80,0.80,24000,0.80
2012-06-14,0.80,0.90,0.80,0.80,000,0.80
2012-06-13,0.80,0.90,0.80,0.80,000,0.80
2012-06-12,0.90,0.90,0.90,0.90,000,0.90
2012-06-08,0.90,0.90,0.90,0.90,000,0.90
2012-06-07,0.90,0.90,0.90,0.90,000,0.90
2012-06-06,0.80,0.90,0.80,0.80,000,0.80
2012-06-05,0.80,0.90,0.80,0.80,000,0.80
2012-06-04,0.80,0.90,0.80,0.80,000,0.80
2012-06-01,0.88,0.93,0.88,0.93,12000,0.93
2012-05-31,0.80,0.89,0.80,0.80,000,0.80
2012-05-30,0.85,0.85,0.85,0.85,2000,0.85
2012-05-29,0.85,0.89,0.85,0.85,000,0.85
2012-05-28,0.85,0.90,0.85,0.85,000,0.85
2012-05-25,0.85,0.90,0.85,0.85,000,0.85
2012-05-24,0.86,0.86,0.85,0.85,11500,0.85
2012-05-23,0.86,0.92,0.86,0.86,000,0.86
2012-05-22,0.87,0.87,0.86,0.86,3200,0.86
2012-05-21,0.86,0.86,0.86,0.86,7000,0.86
2012-05-14,0.90,0.90,0.90,0.90,000,0.90
2012-05-11,0.92,0.92,0.92,0.92,000,0.92
2012-05-10,0.92,0.92,0.92,0.92,000,0.92
2012-05-09,0.92,0.92,0.92,0.92,000,0.92
2012-05-08,0.92,0.92,0.92,0.92,000,0.92
2012-05-07,0.92,0.92,0.92,0.92,000,0.92
2012-05-04,0.90,0.95,0.90,0.95,3800,0.95
2012-05-03,0.89,0.89,0.89,0.89,000,0.89
2012-05-02,0.86,0.86,0.86,0.86,10300,0.86
2012-05-01,0.86,0.86,0.86,0.86,2100,0.86
2012-04-30,0.87,0.87,0.87,0.87,3000,0.87
2012-04-27,0.88,0.88,0.88,0.88,000,0.88
2012-04-26,0.87,0.87,0.87,0.87,2000,0.87
2012-04-24,0.89,0.89,0.89,0.89,5000,0.89
2012-04-23,0.89,0.89,0.89,0.89,15000,0.89
2012-04-20,0.90,0.90,0.90,0.90,5000,0.90
2012-04-19,0.92,0.92,0.92,0.92,5000,0.92
2012-04-18,0.93,0.93,0.93,0.93,000,0.93
2012-04-17,0.91,0.91,0.91,0.91,2000,0.91
2012-04-16,0.92,0.95,0.91,0.95,10500,0.95
2012-04-13,0.95,0.95,0.95,0.95,2600,0.95
2012-04-12,0.95,0.95,0.95,0.95,20000,0.95
2012-04-11,0.95,0.95,0.95,0.95,000,0.95
2012-04-10,0.98,0.98,0.98,0.98,000,0.98
2012-04-05,0.98,0.98,0.98,0.98,000,0.98
2012-04-04,0.98,0.98,0.98,0.98,000,0.98
2012-04-03,0.95,0.95,0.95,0.95,38800,0.95
2012-04-02,0.95,0.98,0.95,0.98,9900,0.98
2012-03-30,0.95,0.95,0.95,0.95,8200,0.95
2012-03-29,0.96,0.96,0.96,0.96,000,0.96
2012-03-28,0.96,0.96,0.96,0.96,000,0.96
2012-03-27,0.95,0.97,0.93,0.97,23500,0.97
2012-03-26,1.00,1.00,1.00,1.00,43000,1.00
2012-03-23,0.99,0.99,0.99,0.99,500,0.99
2012-03-22,0.95,1.00,0.95,1.00,23000,1.00
2012-03-21,0.90,1.01,0.90,1.01,62000,1.01
2012-03-20,0.88,0.88,0.88,0.88,000,0.88
2012-03-19,1.00,1.00,1.00,1.00,1600,1.00
2012-03-16,0.95,0.95,0.95,0.95,2700,0.95
2012-03-15,0.85,0.85,0.85,0.85,000,0.85
2012-03-14,0.85,0.85,0.85,0.85,000,0.85
2012-03-13,0.85,0.85,0.85,0.85,000,0.85
2012-03-12,0.85,0.85,0.85,0.85,000,0.85
2012-03-09,0.90,0.90,0.90,0.90,2000,0.90
2012-03-08,0.93,0.93,0.93,0.93,000,0.93
2012-03-07,0.93,0.93,0.93,0.93,000,0.93
2012-03-06,0.93,0.93,0.93,0.93,000,0.93
2012-03-05,0.93,0.93,0.93,0.93,000,0.93
2012-03-02,0.93,0.93,0.93,0.93,000,0.93
2012-03-01,0.95,0.95,0.95,0.95,5000,0.95
2012-02-29,0.88,0.88,0.88,0.88,000,0.88
2012-02-28,0.88,0.88,0.88,0.88,000,0.88
2012-02-27,0.88,0.88,0.88,0.88,000,0.88
2012-02-24,0.87,0.87,0.87,0.87,000,0.87
2012-02-23,0.87,0.87,0.87,0.87,000,0.87
2012-02-22,0.87,0.87,0.87,0.87,000,0.87
2012-02-21,0.87,0.87,0.87,0.87,000,0.87
2012-02-20,0.88,0.88,0.88,0.88,000,0.88
2012-02-17,0.88,0.88,0.88,0.88,000,0.88
2012-02-16,0.88,0.88,0.88,0.88,000,0.88
2012-02-15,0.89,0.89,0.89,0.89,000,0.89
2012-02-14,0.89,0.89,0.89,0.89,000,0.89
2012-02-13,0.95,0.95,0.95,0.95,30000,0.95
2012-02-10,0.95,0.95,0.95,0.95,2500,0.95
2012-02-09,0.88,0.88,0.88,0.88,000,0.88
2012-02-08,0.89,0.89,0.89,0.89,000,0.89
2012-02-07,1.00,1.00,1.00,1.00,2000,1.00
2012-02-06,0.88,0.88,0.88,0.88,000,0.88
2012-02-03,0.88,0.88,0.88,0.88,000,0.88
2012-02-02,0.88,0.88,0.88,0.88,000,0.88
2012-02-01,0.88,0.88,0.88,0.88,000,0.88
2012-01-31,0.88,0.88,0.88,0.88,000,0.88
2012-01-30,1.00,1.05,1.00,1.05,2600,1.05
2012-01-27,1.00,1.00,1.00,1.00,5000,1.00
2012-01-25,1.00,1.00,1.00,1.00,32000,1.00
2012-01-24,1.05,1.05,1.00,1.00,38000,1.00
