Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.20,0.20,0.20,0.20,32000,0.20
2013-09-19,0.20,0.22,0.20,0.21,194600,0.21
2013-09-18,0.19,0.19,0.19,0.19,57800,0.19
2013-09-17,0.17,0.20,0.17,0.19,226000,0.19
2013-09-16,0.17,0.17,0.17,0.17,100000,0.17
2013-09-13,0.17,0.17,0.17,0.17,100000,0.17
2013-09-12,0.17,0.18,0.17,0.17,164800,0.17
2013-09-11,0.18,0.18,0.18,0.18,21700,0.18
2013-09-10,0.16,0.16,0.16,0.16,40000,0.16
2013-09-09,0.16,0.17,0.16,0.17,47500,0.17
2013-09-06,0.16,0.16,0.15,0.15,50000,0.15
2013-09-05,0.16,0.16,0.16,0.16,20000,0.16
2013-09-04,0.17,0.17,0.17,0.17,000,0.17
2013-09-03,0.18,0.18,0.16,0.17,32900,0.17
2013-09-02,0.16,0.16,0.16,0.16,000,0.16
2013-08-30,0.16,0.16,0.16,0.16,21000,0.16
2013-08-29,0.16,0.16,0.16,0.16,32000,0.16
2013-08-28,0.17,0.18,0.17,0.17,63500,0.17
2013-08-27,0.17,0.17,0.17,0.17,000,0.17
2013-08-26,0.17,0.17,0.17,0.17,000,0.17
2013-08-23,0.14,0.17,0.14,0.17,10500,0.17
2013-08-22,0.16,0.16,0.15,0.15,29900,0.15
2013-08-21,0.17,0.17,0.17,0.17,000,0.17
2013-08-20,0.17,0.17,0.17,0.17,000,0.17
2013-08-19,0.17,0.17,0.17,0.17,15000,0.17
2013-08-16,0.19,0.19,0.19,0.19,12000,0.19
2013-08-15,0.20,0.20,0.20,0.20,000,0.20
2013-08-14,0.20,0.20,0.20,0.20,000,0.20
2013-08-13,0.19,0.20,0.19,0.20,3000,0.20
2013-08-12,0.17,0.19,0.17,0.19,191500,0.19
2013-08-09,0.16,0.16,0.14,0.14,4500,0.14
2013-08-08,0.16,0.16,0.16,0.16,51000,0.16
2013-08-07,0.17,0.17,0.16,0.16,45000,0.16
2013-08-06,0.17,0.17,0.17,0.17,000,0.17
2013-08-05,0.17,0.17,0.17,0.17,8500,0.17
2013-08-02,0.14,0.16,0.14,0.16,42200,0.16
2013-08-01,0.16,0.16,0.16,0.16,000,0.16
2013-07-31,0.16,0.16,0.16,0.16,107000,0.16
2013-07-30,0.16,0.16,0.16,0.16,95000,0.16
2013-07-29,0.16,0.16,0.16,0.16,000,0.16
