Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.49,0.49,0.49,0.49,000,0.49
2013-09-19,0.49,0.50,0.49,0.49,3341900,0.49
2013-09-18,0.49,0.49,0.48,0.48,2266500,0.48
2013-09-17,0.49,0.50,0.48,0.48,2494300,0.48
2013-09-16,0.50,0.50,0.49,0.49,3587300,0.49
2013-09-13,0.48,0.50,0.47,0.49,5902000,0.49
2013-09-12,0.55,0.57,0.50,0.50,7396400,0.50
2013-09-11,0.57,0.58,0.54,0.55,4661800,0.55
2013-09-10,0.56,0.58,0.56,0.57,4462600,0.57
2013-09-09,0.51,0.57,0.51,0.56,8444500,0.56
2013-09-06,0.50,0.52,0.49,0.51,6649700,0.51
2013-09-05,0.49,0.52,0.49,0.50,7507100,0.50
2013-09-04,0.48,0.49,0.47,0.48,3259900,0.48
2013-09-03,0.49,0.49,0.47,0.48,6304100,0.48
2013-09-02,0.49,0.50,0.47,0.47,6092400,0.47
2013-08-30,0.48,0.48,0.46,0.46,5858900,0.46
2013-08-29,0.46,0.48,0.45,0.47,6204500,0.47
2013-08-28,0.44,0.46,0.42,0.44,7658400,0.44
2013-08-27,0.50,0.50,0.43,0.44,12374000,0.44
2013-08-26,0.52,0.52,0.49,0.49,12276300,0.49
2013-08-23,0.56,0.57,0.55,0.56,2985900,0.56
2013-08-22,0.57,0.58,0.54,0.55,7767800,0.55
2013-08-21,0.58,0.60,0.57,0.58,3052900,0.58
2013-08-20,0.61,0.62,0.57,0.58,6453700,0.58
2013-08-19,0.58,0.63,0.57,0.62,13194200,0.62
2013-08-16,0.57,0.60,0.56,0.58,5241800,0.58
2013-08-15,0.58,0.60,0.58,0.58,3116400,0.58
2013-08-14,0.61,0.62,0.57,0.58,5034100,0.58
2013-08-13,0.54,0.61,0.54,0.60,9836100,0.60
2013-08-12,0.52,0.55,0.51,0.54,5213100,0.54
2013-08-09,0.51,0.52,0.51,0.52,2107700,0.52
2013-08-08,0.52,0.53,0.50,0.51,3925500,0.51
2013-08-07,0.55,0.56,0.51,0.52,4380800,0.52
2013-08-06,0.57,0.57,0.55,0.55,2542500,0.55
2013-08-05,0.55,0.58,0.55,0.57,4104900,0.57
2013-08-02,0.55,0.56,0.54,0.55,2538100,0.55
2013-08-01,0.52,0.56,0.52,0.54,3857000,0.54
2013-07-31,0.53,0.53,0.51,0.51,1375000,0.51
2013-07-30,0.52,0.52,0.51,0.51,1958600,0.51
2013-07-29,0.54,0.54,0.51,0.51,2692100,0.51
2013-07-26,0.56,0.56,0.53,0.54,3627400,0.54
2013-07-25,0.58,0.58,0.55,0.56,3302100,0.56
2013-07-24,0.58,0.61,0.57,0.58,4448300,0.58
2013-07-23,0.57,0.61,0.57,0.57,4515200,0.57
2013-07-22,0.56,0.58,0.55,0.56,5341400,0.56
2013-07-19,0.62,0.63,0.54,0.54,9990900,0.54
2013-07-18,0.57,0.64,0.57,0.61,8759000,0.61
2013-07-17,0.50,0.56,0.50,0.56,8119700,0.56
2013-07-16,0.49,0.53,0.49,0.50,9788500,0.50
2013-07-15,0.50,0.50,0.49,0.49,2714000,0.49
2013-07-12,0.50,0.50,0.49,0.49,3641900,0.49
2013-07-11,0.47,0.51,0.47,0.50,5474200,0.50
2013-07-10,0.50,0.50,0.47,0.47,4136700,0.47
2013-07-09,0.49,0.50,0.48,0.49,3341800,0.49
2013-07-08,0.51,0.52,0.47,0.48,5212900,0.48
2013-07-05,0.51,0.52,0.50,0.50,4436800,0.50
2013-07-04,0.50,0.52,0.50,0.50,4153600,0.50
2013-07-03,0.55,0.55,0.48,0.49,8524100,0.49
2013-07-02,0.62,0.62,0.54,0.56,10275700,0.56
2013-07-01,0.67,0.68,0.62,0.62,4298600,0.62
2013-06-28,0.69,0.70,0.68,0.68,2835200,0.68
2013-06-27,0.69,0.70,0.67,0.69,3006800,0.69
2013-06-26,0.68,0.72,0.68,0.68,4629300,0.68
2013-06-25,0.69,0.69,0.67,0.68,3769300,0.68
2013-06-24,0.72,0.73,0.69,0.69,3812000,0.69
2013-06-21,0.70,0.74,0.68,0.74,7197100,0.74
2013-06-20,0.73,0.74,0.69,0.73,3835100,0.73
2013-06-19,0.68,0.74,0.67,0.74,8116400,0.74
2013-06-18,0.65,0.69,0.64,0.67,10430000,0.67
2013-06-17,0.65,0.65,0.62,0.62,4933500,0.62
2013-06-14,0.65,0.67,0.64,0.66,4499000,0.66
2013-06-13,0.62,0.66,0.61,0.64,6501500,0.64
