Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.05,0.05,0.05,0.05,000,0.05
2013-09-19,0.05,0.06,0.05,0.05,267800,0.05
2013-09-18,0.06,0.06,0.06,0.06,000,0.06
2013-09-17,0.05,0.06,0.05,0.06,119300,0.06
2013-09-16,0.05,0.05,0.05,0.05,131400,0.05
2013-09-13,0.06,0.06,0.05,0.05,30000,0.05
2013-09-12,0.06,0.06,0.05,0.06,278000,0.06
2013-09-11,0.06,0.06,0.06,0.06,259000,0.06
2013-09-10,0.06,0.06,0.05,0.06,255800,0.06
2013-09-09,0.06,0.06,0.06,0.06,6000,0.06
2013-09-06,0.06,0.06,0.05,0.05,20700,0.05
2013-09-05,0.05,0.06,0.05,0.06,38100,0.06
2013-09-04,0.06,0.06,0.05,0.05,616200,0.05
2013-09-03,0.06,0.06,0.06,0.06,309300,0.06
2013-09-02,0.06,0.06,0.06,0.06,816900,0.06
2013-08-30,0.06,0.06,0.06,0.06,471600,0.06
2013-08-29,0.06,0.06,0.06,0.06,31100,0.06
2013-08-28,0.06,0.07,0.06,0.07,131100,0.07
2013-08-27,0.06,0.06,0.06,0.06,25300,0.06
2013-08-26,0.06,0.06,0.06,0.06,570000,0.06
2013-08-23,0.06,0.06,0.06,0.06,69300,0.06
2013-08-22,0.07,0.07,0.06,0.06,278600,0.06
2013-08-21,0.07,0.07,0.07,0.07,245400,0.07
2013-08-20,0.07,0.07,0.07,0.07,84800,0.07
2013-08-19,0.06,0.07,0.06,0.07,329300,0.07
2013-08-16,0.06,0.06,0.06,0.06,36700,0.06
2013-08-15,0.06,0.06,0.06,0.06,119500,0.06
2013-08-14,0.06,0.06,0.06,0.06,621400,0.06
2013-08-13,0.06,0.06,0.06,0.06,109500,0.06
2013-08-12,0.07,0.07,0.06,0.06,89200,0.06
2013-08-09,0.07,0.07,0.06,0.06,260200,0.06
2013-08-08,0.06,0.07,0.06,0.07,465600,0.07
2013-08-07,0.07,0.07,0.06,0.06,91700,0.06
2013-08-06,0.07,0.07,0.06,0.07,481200,0.07
2013-08-05,0.07,0.08,0.07,0.07,783800,0.07
2013-08-02,0.06,0.08,0.06,0.07,1020200,0.07
2013-08-01,0.06,0.06,0.06,0.06,532100,0.06
2013-07-31,0.06,0.06,0.06,0.06,60900,0.06
2013-07-30,0.06,0.06,0.06,0.06,203800,0.06
2013-07-29,0.06,0.06,0.06,0.06,159500,0.06
2013-07-26,0.06,0.06,0.06,0.06,1200800,0.06
2013-07-25,0.06,0.06,0.06,0.06,92700,0.06
2013-07-24,0.06,0.07,0.06,0.06,746500,0.06
2013-07-23,0.06,0.07,0.05,0.06,1227100,0.06
2013-07-22,0.05,0.06,0.05,0.06,900400,0.06
2013-07-19,0.05,0.06,0.05,0.05,360000,0.05
2013-07-18,0.05,0.06,0.05,0.05,249800,0.05
2013-07-17,0.05,0.05,0.05,0.05,410000,0.05
2013-07-16,0.06,0.06,0.05,0.05,1008000,0.05
2013-07-15,0.06,0.06,0.05,0.06,397900,0.06
2013-07-12,0.05,0.06,0.05,0.06,53800,0.06
2013-07-11,0.06,0.06,0.05,0.06,109900,0.06
2013-07-10,0.06,0.06,0.06,0.06,128400,0.06
2013-07-09,0.06,0.06,0.05,0.06,10200,0.06
2013-07-08,0.06,0.06,0.06,0.06,172800,0.06
2013-07-05,0.06,0.06,0.06,0.06,69000,0.06
2013-07-04,0.06,0.06,0.06,0.06,377900,0.06
2013-07-03,0.07,0.07,0.06,0.06,366300,0.06
2013-07-02,0.06,0.07,0.06,0.07,103900,0.07
2013-07-01,0.06,0.08,0.06,0.06,804200,0.06
2013-06-28,0.06,0.06,0.05,0.06,133700,0.06
2013-06-27,0.06,0.06,0.06,0.06,236300,0.06
2013-06-26,0.06,0.06,0.06,0.06,181300,0.06
2013-06-25,0.06,0.06,0.06,0.06,160400,0.06
2013-06-24,0.06,0.07,0.06,0.06,227100,0.06
2013-06-21,0.07,0.07,0.06,0.06,205000,0.06
2013-06-20,0.07,0.07,0.07,0.07,000,0.07
2013-06-19,0.07,0.07,0.07,0.07,36100,0.07
2013-06-18,0.06,0.07,0.06,0.07,19900,0.07
2013-06-17,0.06,0.07,0.06,0.07,108200,0.07
2013-06-14,0.06,0.06,0.06,0.06,15500,0.06
2013-06-13,0.06,0.06,0.06,0.06,23200,0.06
2013-06-12,0.06,0.07,0.06,0.07,181300,0.07
2013-06-11,0.06,0.06,0.06,0.06,297400,0.06
2013-06-10,0.06,0.06,0.06,0.06,000,0.06
2013-06-07,0.07,0.07,0.06,0.06,148400,0.06
2013-06-06,0.07,0.07,0.06,0.07,88300,0.07
2013-06-05,0.07,0.07,0.07,0.07,522900,0.07
2013-06-04,0.07,0.07,0.06,0.07,178900,0.07
2013-06-03,0.07,0.07,0.06,0.07,190900,0.07
2013-05-31,0.07,0.07,0.07,0.07,8900,0.07
2013-05-30,0.08,0.08,0.06,0.07,241400,0.07
2013-05-29,0.05,0.08,0.05,0.07,1449200,0.07
2013-05-28,0.05,0.05,0.05,0.05,411100,0.05
2013-05-27,0.05,0.05,0.05,0.05,770000,0.05
2013-05-24,0.05,0.05,0.05,0.05,374200,0.05
2013-05-23,0.05,0.05,0.05,0.05,595000,0.05
2013-05-22,0.05,0.05,0.05,0.05,381500,0.05
2013-05-21,0.06,0.06,0.05,0.05,999000,0.05
2013-05-20,0.06,0.06,0.06,0.06,792300,0.06
2013-05-17,0.06,0.06,0.06,0.06,102500,0.06
2013-05-16,0.05,0.06,0.05,0.06,92700,0.06
2013-05-15,0.06,0.06,0.05,0.06,253300,0.06
2013-05-14,0.06,0.06,0.06,0.06,30600,0.06
2013-05-13,0.06,0.06,0.06,0.06,210000,0.06
2013-05-10,0.06,0.06,0.06,0.06,47000,0.06
2013-05-09,0.06,0.06,0.06,0.06,339600,0.06
2013-05-08,0.06,0.06,0.06,0.06,249000,0.06
2013-05-07,0.06,0.06,0.06,0.06,321300,0.06
2013-05-06,0.06,0.06,0.05,0.05,298100,0.05
2013-05-03,0.06,0.06,0.06,0.06,110000,0.06
2013-05-02,0.06,0.06,0.06,0.06,100800,0.06
2013-05-01,0.06,0.06,0.06,0.06,19500,0.06
2013-04-30,0.06,0.06,0.06,0.06,239500,0.06
2013-04-29,0.06,0.06,0.06,0.06,50200,0.06
2013-04-26,0.06,0.06,0.06,0.06,19200,0.06
2013-04-25,0.06,0.06,0.06,0.06,000,0.06
2013-04-24,0.06,0.06,0.06,0.06,77000,0.06
2013-04-23,0.06,0.06,0.06,0.06,263500,0.06
2013-04-22,0.07,0.07,0.06,0.06,1097900,0.06
2013-04-19,0.06,0.07,0.06,0.07,146400,0.07
2013-04-18,0.06,0.06,0.06,0.06,642400,0.06
2013-04-17,0.06,0.06,0.06,0.06,156300,0.06
2013-04-16,0.07,0.07,0.06,0.07,273400,0.07
2013-04-15,0.07,0.07,0.07,0.07,506000,0.07
2013-04-12,0.07,0.07,0.07,0.07,10000,0.07
2013-04-11,0.08,0.08,0.07,0.07,276800,0.07
2013-04-10,0.08,0.08,0.08,0.08,107000,0.08
2013-04-09,0.08,0.08,0.08,0.08,40700,0.08
2013-04-08,0.08,0.08,0.08,0.08,10000,0.08
2013-04-05,0.07,0.08,0.07,0.08,456100,0.08
2013-04-04,0.08,0.08,0.07,0.07,78000,0.07
2013-04-03,0.08,0.08,0.08,0.08,70000,0.08
2013-04-02,0.08,0.08,0.08,0.08,312600,0.08
2013-04-01,0.08,0.08,0.08,0.08,000,0.08
2013-03-29,0.08,0.08,0.08,0.08,000,0.08
2013-03-28,0.09,0.09,0.08,0.08,42800,0.08
2013-03-27,0.09,0.09,0.09,0.09,000,0.09
2013-03-26,0.09,0.09,0.09,0.09,135300,0.09
2013-03-25,0.08,0.09,0.08,0.09,102100,0.09
2013-03-22,0.09,0.09,0.08,0.08,101500,0.08
2013-03-21,0.08,0.09,0.08,0.09,125400,0.09
2013-03-20,0.08,0.09,0.08,0.09,217600,0.09
2013-03-19,0.08,0.08,0.08,0.08,177100,0.08
2013-03-18,0.08,0.08,0.07,0.08,181800,0.08
2013-03-15,0.08,0.09,0.08,0.08,71300,0.08
2013-03-14,0.08,0.08,0.07,0.07,88600,0.07
2013-03-13,0.09,0.09,0.09,0.09,160800,0.09
2013-03-12,0.09,0.09,0.09,0.09,142500,0.09
2013-03-11,0.09,0.09,0.09,0.09,90000,0.09
2013-03-08,0.09,0.09,0.09,0.09,70300,0.09
2013-03-07,0.09,0.09,0.09,0.09,69100,0.09
2013-03-06,0.09,0.09,0.09,0.09,19500,0.09
2013-03-05,0.09,0.09,0.09,0.09,112000,0.09
2013-03-04,0.10,0.10,0.09,0.09,146800,0.09
2013-03-01,0.10,0.10,0.10,0.10,90900,0.10
2013-02-28,0.10,0.10,0.10,0.10,18500,0.10
2013-02-27,0.10,0.10,0.10,0.10,8600,0.10
2013-02-26,0.10,0.10,0.10,0.10,51200,0.10
2013-02-25,0.10,0.10,0.10,0.10,89800,0.10
2013-02-22,0.09,0.10,0.09,0.10,155300,0.10
2013-02-21,0.10,0.10,0.09,0.09,714100,0.09
2013-02-20,0.10,0.10,0.10,0.10,896800,0.10
2013-02-19,0.10,0.11,0.10,0.10,1557100,0.10
2013-02-18,0.11,0.11,0.10,0.10,668100,0.10
2013-02-15,0.11,0.11,0.10,0.11,65200,0.11
2013-02-14,0.11,0.12,0.10,0.11,417600,0.11
