Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.14,0.14,0.14,0.14,000,0.14
2013-09-19,0.14,0.14,0.14,0.14,000,0.14
2013-09-18,0.14,0.14,0.14,0.14,000,0.14
2013-09-17,0.14,0.14,0.14,0.14,000,0.14
2013-09-16,0.14,0.14,0.14,0.14,4000,0.14
2013-09-13,0.12,0.12,0.12,0.12,000,0.12
2013-09-12,0.12,0.12,0.12,0.12,50000,0.12
2013-09-11,0.14,0.14,0.14,0.14,000,0.14
2013-09-10,0.14,0.14,0.14,0.14,180000,0.14
2013-09-09,0.14,0.14,0.14,0.14,42500,0.14
2013-09-06,0.14,0.14,0.14,0.14,184000,0.14
2013-09-05,0.15,0.15,0.14,0.14,287200,0.14
2013-09-04,0.16,0.16,0.16,0.16,000,0.16
2013-09-03,0.16,0.16,0.16,0.16,181200,0.16
2013-09-02,0.16,0.16,0.16,0.16,540100,0.16
2013-08-30,0.16,0.16,0.16,0.16,73900,0.16
2013-08-29,0.15,0.16,0.15,0.16,30000,0.16
2013-08-28,0.14,0.16,0.14,0.15,840500,0.15
2013-08-27,0.12,0.12,0.12,0.12,000,0.12
2013-08-26,0.13,0.13,0.12,0.12,358900,0.12
2013-08-23,0.12,0.12,0.12,0.12,000,0.12
2013-08-22,0.12,0.12,0.12,0.12,000,0.12
2013-08-21,0.12,0.12,0.12,0.12,000,0.12
2013-08-20,0.12,0.12,0.11,0.12,388200,0.12
2013-08-19,0.12,0.12,0.12,0.12,000,0.12
2013-08-16,0.12,0.12,0.12,0.12,15000,0.12
2013-08-15,0.12,0.12,0.12,0.12,3800,0.12
2013-08-14,0.12,0.12,0.12,0.12,000,0.12
2013-08-13,0.12,0.12,0.12,0.12,000,0.12
2013-08-12,0.12,0.12,0.12,0.12,000,0.12
2013-08-09,0.12,0.12,0.12,0.12,000,0.12
2013-08-08,0.12,0.12,0.12,0.12,16600,0.12
2013-08-07,0.11,0.11,0.11,0.11,000,0.11
2013-08-06,0.11,0.11,0.11,0.11,000,0.11
2013-08-05,0.11,0.11,0.11,0.11,000,0.11
2013-08-02,0.11,0.11,0.11,0.11,000,0.11
2013-08-01,0.11,0.11,0.11,0.11,000,0.11
2013-07-31,0.11,0.11,0.11,0.11,8300,0.11
2013-07-30,0.11,0.12,0.11,0.12,8600,0.12
2013-07-29,0.12,0.12,0.12,0.12,000,0.12
2013-07-26,0.12,0.12,0.12,0.12,000,0.12
2013-07-25,0.12,0.12,0.12,0.12,000,0.12
2013-07-24,0.12,0.12,0.12,0.12,000,0.12
2013-07-23,0.12,0.12,0.12,0.12,000,0.12
2013-07-19,0.12,0.12,0.11,0.12,32000,0.12
