Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.57,0.58,0.57,0.57,28000,0.57
2013-09-19,0.58,0.58,0.58,0.58,600,0.58
2013-09-18,0.60,0.60,0.60,0.60,000,0.60
2013-09-17,0.60,0.60,0.60,0.60,000,0.60
2013-09-16,0.62,0.62,0.60,0.60,15400,0.60
2013-09-13,0.62,0.64,0.60,0.64,15600,0.64
2013-09-12,0.64,0.64,0.56,0.56,16000,0.56
2013-09-11,0.61,0.64,0.61,0.64,64000,0.64
2013-09-10,0.56,0.58,0.56,0.58,13400,0.58
2013-09-09,0.61,0.61,0.58,0.58,8600,0.58
2013-09-06,0.62,0.64,0.62,0.63,31500,0.63
2013-09-05,0.61,0.62,0.61,0.62,17900,0.62
2013-09-04,0.61,0.61,0.60,0.61,44600,0.61
2013-09-03,0.60,0.63,0.60,0.60,163000,0.60
2013-09-02,0.57,0.57,0.57,0.57,22000,0.57
2013-08-30,0.53,0.53,0.53,0.53,000,0.53
2013-08-29,0.53,0.53,0.53,0.53,000,0.53
2013-08-28,0.53,0.53,0.53,0.53,100,0.53
2013-08-27,0.60,0.60,0.56,0.59,54000,0.59
2013-08-26,0.60,0.62,0.60,0.62,10000,0.62
2013-08-23,0.58,0.60,0.58,0.60,89000,0.60
2013-08-22,0.59,0.60,0.55,0.57,91600,0.57
2013-08-21,0.51,0.60,0.51,0.56,46300,0.56
2013-08-20,0.46,0.46,0.46,0.46,000,0.46
2013-08-19,0.46,0.46,0.46,0.46,000,0.46
2013-08-16,0.45,0.46,0.44,0.46,43700,0.46
2013-08-15,0.43,0.43,0.43,0.43,40000,0.43
2013-08-14,0.43,0.46,0.42,0.46,71400,0.46
2013-08-13,0.41,0.41,0.41,0.41,000,0.41
2013-08-12,0.41,0.41,0.41,0.41,32500,0.41
2013-08-09,0.39,0.39,0.39,0.39,10000,0.39
2013-08-08,0.39,0.40,0.38,0.40,196200,0.40
2013-08-07,0.40,0.40,0.40,0.40,22600,0.40
2013-08-06,0.40,0.40,0.40,0.40,191900,0.40
2013-08-05,0.40,0.40,0.40,0.40,154400,0.40
2013-08-02,0.40,0.40,0.40,0.40,289800,0.40
2013-08-01,0.40,0.40,0.40,0.40,97000,0.40
2013-07-31,0.40,0.40,0.40,0.40,145000,0.40
2013-07-30,0.40,0.40,0.40,0.40,127900,0.40
2013-07-29,0.40,0.40,0.40,0.40,15000,0.40
2013-07-26,0.40,0.40,0.39,0.40,179000,0.40
2013-07-25,0.41,0.41,0.40,0.40,265700,0.40
2013-07-24,0.42,0.42,0.41,0.41,162300,0.41
2013-07-23,0.42,0.42,0.41,0.41,121800,0.41
2013-07-22,0.43,0.43,0.43,0.43,250000,0.43
2013-07-19,0.46,0.46,0.42,0.42,649800,0.42
2013-07-18,0.45,0.45,0.45,0.45,26400,0.45
2013-07-17,0.40,0.45,0.40,0.45,415100,0.45
2013-07-16,0.40,0.40,0.40,0.40,315000,0.40
2013-07-15,0.40,0.40,0.40,0.40,474200,0.40
2013-07-12,0.40,0.41,0.40,0.41,330700,0.41
2013-07-11,0.40,0.40,0.38,0.40,169700,0.40
2013-07-10,0.40,0.40,0.40,0.40,73200,0.40
2013-07-09,0.40,0.40,0.40,0.40,55000,0.40
2013-07-08,0.40,0.40,0.39,0.40,135200,0.40
2013-07-05,0.40,0.40,0.40,0.40,113300,0.40
2013-07-04,0.40,0.43,0.40,0.43,87300,0.43
2013-07-03,0.41,0.41,0.40,0.40,161700,0.40
2013-07-02,0.43,0.43,0.41,0.42,159600,0.42
2013-07-01,0.43,0.43,0.43,0.43,124400,0.43
2013-06-28,0.43,0.43,0.41,0.43,117400,0.43
2013-06-27,0.45,0.45,0.45,0.45,000,0.45
2013-06-26,0.45,0.45,0.45,0.45,15500,0.45
2013-06-25,0.46,0.46,0.45,0.45,8800,0.45
2013-06-24,0.46,0.46,0.46,0.46,5200,0.46
2013-06-21,0.48,0.48,0.46,0.46,27600,0.46
2013-06-20,0.46,0.46,0.46,0.46,6500,0.46
2013-06-19,0.47,0.49,0.45,0.45,2100,0.45
2013-06-18,0.46,0.47,0.45,0.47,45300,0.47
2013-06-17,0.47,0.47,0.47,0.47,000,0.47
2013-06-14,0.49,0.49,0.47,0.47,55300,0.47
2013-06-13,0.50,0.50,0.48,0.49,135000,0.49
2013-06-12,0.50,0.50,0.50,0.50,346000,0.50
2013-06-11,0.50,0.50,0.49,0.50,74700,0.50
2013-06-10,0.49,0.49,0.49,0.49,000,0.49
2013-06-07,0.49,0.49,0.49,0.49,2000,0.49
2013-06-06,0.50,0.50,0.50,0.50,43500,0.50
2013-06-05,0.48,0.48,0.48,0.48,33400,0.48
2013-06-04,0.50,0.50,0.47,0.48,22100,0.48
2013-06-03,0.50,0.50,0.50,0.50,2000,0.50
2013-05-31,0.50,0.50,0.50,0.50,4000,0.50
2013-05-30,0.50,0.50,0.48,0.50,51600,0.50
2013-05-29,0.50,0.50,0.50,0.50,68000,0.50
2013-05-28,0.50,0.50,0.50,0.50,73200,0.50
2013-05-27,0.50,0.50,0.49,0.49,30200,0.49
2013-05-24,0.49,0.49,0.49,0.49,25400,0.49
2013-05-23,0.50,0.50,0.50,0.50,12500,0.50
2013-05-22,0.48,0.50,0.48,0.50,25700,0.50
2013-05-21,0.49,0.50,0.47,0.50,16900,0.50
2013-05-20,0.50,0.50,0.50,0.50,3000,0.50
2013-05-17,0.52,0.52,0.48,0.50,40100,0.50
2013-05-16,0.53,0.53,0.51,0.51,156900,0.51
2013-05-15,0.52,0.52,0.52,0.52,20000,0.52
2013-05-14,0.53,0.55,0.52,0.52,36100,0.52
2013-05-13,0.54,0.54,0.54,0.54,000,0.54
2013-05-10,0.54,0.54,0.52,0.54,22200,0.54
2013-05-09,0.51,0.52,0.51,0.52,161000,0.52
2013-05-08,0.50,0.53,0.50,0.50,32700,0.50
2013-05-07,0.52,0.54,0.51,0.54,11600,0.54
2013-05-06,0.51,0.52,0.51,0.51,71200,0.51
2013-05-03,0.52,0.55,0.51,0.51,14000,0.51
2013-05-02,0.55,0.55,0.52,0.52,15800,0.52
2013-05-01,0.55,0.55,0.51,0.51,13600,0.51
2013-04-30,0.55,0.55,0.52,0.52,80000,0.52
2013-04-29,0.55,0.55,0.53,0.55,42400,0.55
2013-04-26,0.55,0.55,0.55,0.55,30000,0.55
2013-04-25,0.53,0.53,0.53,0.53,000,0.53
2013-04-24,0.53,0.53,0.53,0.53,4000,0.53
2013-04-23,0.55,0.55,0.52,0.52,6400,0.52
2013-04-22,0.54,0.54,0.54,0.54,6300,0.54
2013-04-19,0.55,0.55,0.54,0.55,72000,0.55
2013-04-18,0.55,0.55,0.55,0.55,40900,0.55
2013-04-17,0.52,0.54,0.52,0.54,21200,0.54
2013-04-16,0.54,0.54,0.51,0.51,130000,0.51
2013-04-15,0.57,0.57,0.57,0.57,75900,0.57
2013-04-12,0.56,0.57,0.56,0.57,52400,0.57
2013-04-11,0.58,0.58,0.56,0.56,35300,0.56
2013-04-10,0.58,0.58,0.56,0.56,16400,0.56
2013-04-09,0.56,0.58,0.56,0.58,51400,0.58
2013-04-08,0.58,0.58,0.55,0.55,63500,0.55
2013-04-05,0.58,0.58,0.57,0.57,25500,0.57
2013-04-04,0.59,0.59,0.57,0.58,94900,0.58
2013-04-03,0.62,0.62,0.60,0.60,115400,0.60
2013-04-02,0.63,0.63,0.63,0.63,30000,0.63
2013-04-01,0.60,0.60,0.60,0.60,000,0.60
2013-03-29,0.60,0.60,0.60,0.60,000,0.60
2013-03-28,0.60,0.60,0.60,0.60,100,0.60
2013-03-27,0.63,0.63,0.60,0.60,50500,0.60
2013-03-26,0.62,0.64,0.62,0.62,43900,0.62
2013-03-25,0.63,0.63,0.62,0.62,27200,0.62
2013-03-22,0.64,0.64,0.63,0.63,6600,0.63
2013-03-21,0.65,0.65,0.64,0.65,185900,0.65
2013-03-20,0.63,0.65,0.63,0.65,145000,0.65
2013-03-19,0.63,0.63,0.63,0.63,000,0.63
