Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.41,0.41,0.41,0.41,000,0.41
2013-09-19,0.41,0.41,0.41,0.41,000,0.41
2013-09-18,0.41,0.41,0.41,0.41,000,0.41
2013-09-17,0.41,0.41,0.41,0.41,000,0.41
2013-09-16,0.41,0.41,0.41,0.41,000,0.41
2013-09-13,0.41,0.41,0.41,0.41,000,0.41
2013-09-12,0.41,0.41,0.41,0.41,000,0.41
2013-09-11,0.41,0.41,0.41,0.41,800,0.41
2013-09-10,0.41,0.41,0.41,0.41,7200,0.41
2013-09-09,0.41,0.41,0.41,0.41,8000,0.41
2013-09-06,0.41,0.41,0.41,0.41,000,0.41
2013-09-05,0.41,0.41,0.41,0.41,5000,0.41
2013-09-04,0.41,0.42,0.41,0.42,11000,0.42
2013-09-03,0.42,0.42,0.41,0.42,8700,0.42
2013-09-02,0.42,0.42,0.42,0.42,000,0.42
2013-08-30,0.42,0.42,0.42,0.42,15000,0.42
2013-08-29,0.43,0.43,0.43,0.43,000,0.43
2013-08-28,0.43,0.43,0.43,0.43,900,0.43
2013-08-27,0.43,0.43,0.43,0.43,200,0.43
2013-08-26,0.43,0.43,0.43,0.43,1700,0.43
2013-08-23,0.43,0.43,0.42,0.42,8000,0.42
2013-08-22,0.43,0.43,0.43,0.43,5000,0.43
2013-08-21,0.43,0.43,0.42,0.43,10000,0.43
2013-08-20,0.44,0.44,0.44,0.44,3000,0.44
2013-08-19,0.42,0.45,0.42,0.43,29000,0.43
