Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,10.75,10.81,10.70,10.73,1860800,10.46
2013-09-19,10.60,10.72,10.57,10.72,1899200,10.45
2013-09-18,10.50,10.57,10.49,10.57,1034500,10.30
2013-09-17,10.42,10.50,10.39,10.47,761800,10.20
2013-09-16,10.45,10.51,10.39,10.43,693700,10.17
2013-09-13,10.48,10.50,10.35,10.40,1278100,10.14
2013-09-12,10.48,10.53,10.43,10.50,1928500,10.23
2013-09-11,10.42,10.50,10.40,10.43,1430500,10.17
2013-09-10,10.27,10.38,10.25,10.31,1293600,10.05
2013-09-09,10.07,10.28,10.07,10.22,1654700,9.96
2013-09-06,10.02,10.05,9.96,10.04,1341300,9.78
2013-09-05,9.84,10.02,9.82,9.97,2612800,9.72
2013-09-04,9.73,9.80,9.67,9.78,800300,9.53
2013-09-03,9.77,9.80,9.72,9.77,707700,9.52
2013-09-02,9.62,9.79,9.60,9.75,871500,9.50
2013-08-30,9.51,9.65,9.51,9.60,999600,9.36
2013-08-29,9.59,9.66,9.50,9.55,745500,9.31
2013-08-28,9.68,9.68,9.56,9.59,1153600,9.35
2013-08-27,9.75,9.80,9.68,9.75,789600,9.50
2013-08-26,9.76,9.81,9.74,9.77,856300,9.52
2013-08-23,9.67,9.79,9.64,9.74,1366500,9.49
2013-08-22,9.65,9.67,9.59,9.60,1080900,9.36
2013-08-21,9.67,9.74,9.62,9.74,800500,9.49
2013-08-20,9.68,9.70,9.55,9.63,933700,9.39
2013-08-19,9.60,9.74,9.60,9.74,802400,9.49
2013-08-16,9.65,9.66,9.55,9.61,1200100,9.37
2013-08-15,9.70,9.76,9.61,9.72,1185600,9.47
2013-08-14,9.80,9.89,9.67,9.70,1436700,9.45
2013-08-13,9.60,9.77,9.59,9.76,1184800,9.51
2013-08-12,9.59,9.72,9.53,9.65,1173200,9.40
2013-08-09,9.65,9.68,9.50,9.57,604500,9.33
2013-08-08,9.47,9.65,9.42,9.62,1325400,9.38
2013-08-07,9.47,9.52,9.42,9.45,1376300,9.21
2013-08-06,9.60,9.62,9.41,9.51,3378000,9.27
2013-08-05,9.65,9.69,9.61,9.62,542900,9.38
2013-08-02,9.55,9.65,9.55,9.63,1450100,9.39
2013-08-01,9.58,9.63,9.35,9.54,3476100,9.30
2013-07-31,9.49,9.58,9.41,9.52,1872800,9.28
2013-07-30,9.43,9.46,9.34,9.44,862200,9.20
2013-07-29,9.43,9.44,9.36,9.40,1801900,9.16
2013-07-26,9.34,9.48,9.32,9.35,4767400,9.11
2013-07-25,9.38,9.40,9.29,9.38,2158700,9.14
