Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.39,0.39,0.39,0.39,000,0.39
2013-09-19,0.39,0.39,0.39,0.39,000,0.39
2013-09-18,0.39,0.39,0.39,0.39,20000,0.39
2013-09-17,0.40,0.40,0.40,0.40,000,0.40
2013-09-16,0.40,0.40,0.40,0.40,2300,0.40
2013-09-13,0.41,0.41,0.41,0.41,000,0.41
2013-09-12,0.41,0.41,0.41,0.41,000,0.41
2013-09-11,0.41,0.41,0.41,0.41,000,0.41
2013-09-10,0.42,0.42,0.41,0.41,25000,0.41
2013-09-09,0.43,0.43,0.42,0.42,80000,0.42
2013-09-06,0.43,0.43,0.43,0.43,3400,0.43
2013-09-05,0.40,0.42,0.40,0.42,68000,0.42
2013-09-04,0.40,0.40,0.40,0.40,32000,0.40
2013-09-03,0.35,0.35,0.35,0.35,000,0.35
2013-09-02,0.35,0.35,0.35,0.35,000,0.35
2013-08-30,0.35,0.35,0.35,0.35,000,0.35
2013-08-29,0.35,0.35,0.35,0.35,000,0.35
2013-08-28,0.35,0.35,0.35,0.35,4000,0.35
2013-08-27,0.36,0.36,0.36,0.36,000,0.36
2013-08-26,0.36,0.36,0.36,0.36,000,0.36
2013-08-23,0.36,0.36,0.36,0.36,000,0.36
2013-08-22,0.36,0.36,0.36,0.36,4000,0.36
2013-08-21,0.31,0.35,0.31,0.35,107300,0.35
2013-08-20,0.32,0.32,0.32,0.32,000,0.32
2013-08-19,0.32,0.32,0.32,0.32,000,0.32
2013-08-16,0.32,0.32,0.32,0.32,50000,0.32
2013-08-15,0.32,0.32,0.32,0.32,000,0.32
2013-08-14,0.29,0.32,0.29,0.32,12700,0.32
2013-08-13,0.29,0.29,0.29,0.29,4300,0.29
2013-08-12,0.31,0.31,0.30,0.30,101600,0.30
2013-08-09,0.31,0.32,0.30,0.30,51300,0.30
2013-08-08,0.32,0.32,0.32,0.32,000,0.32
2013-08-07,0.32,0.32,0.32,0.32,000,0.32
2013-08-06,0.32,0.32,0.32,0.32,000,0.32
2013-08-05,0.32,0.32,0.32,0.32,000,0.32
2013-08-02,0.32,0.32,0.32,0.32,000,0.32
2013-08-01,0.32,0.32,0.32,0.32,10000,0.32
2013-07-31,0.33,0.33,0.33,0.33,10000,0.33
2013-07-30,0.32,0.32,0.32,0.32,000,0.32
2013-07-29,0.32,0.32,0.32,0.32,000,0.32
2013-07-26,0.32,0.32,0.32,0.32,000,0.32
2013-07-25,0.30,0.32,0.30,0.32,38000,0.32
2013-07-24,0.31,0.32,0.31,0.32,33500,0.32
2013-07-23,0.30,0.30,0.30,0.30,63600,0.30
2013-07-19,0.29,0.30,0.29,0.30,240000,0.30
2013-07-18,0.29,0.29,0.29,0.29,20000,0.29
2013-07-17,0.30,0.30,0.30,0.30,000,0.30
2013-07-16,0.30,0.30,0.30,0.30,000,0.30
2013-07-15,0.30,0.30,0.30,0.30,000,0.30
2013-07-12,0.30,0.30,0.30,0.30,000,0.30
2013-07-11,0.30,0.30,0.30,0.30,8500,0.30
2013-07-10,0.28,0.28,0.28,0.28,3300,0.28
2013-07-09,0.25,0.25,0.25,0.25,000,0.25
2013-07-08,0.25,0.25,0.25,0.25,000,0.25
2013-07-05,0.25,0.25,0.25,0.25,23700,0.25
2013-07-04,0.25,0.25,0.25,0.25,23000,0.25
2013-07-03,0.25,0.25,0.25,0.25,000,0.25
2013-07-02,0.25,0.25,0.25,0.25,27000,0.25
2013-07-01,0.27,0.27,0.27,0.27,000,0.27
2013-06-28,0.26,0.27,0.26,0.27,20000,0.27
2013-06-27,0.26,0.26,0.26,0.26,17000,0.26
2013-06-26,0.24,0.24,0.24,0.24,2000,0.24
2013-06-25,0.24,0.24,0.24,0.24,59900,0.24
2013-06-24,0.24,0.24,0.24,0.24,4000,0.24
2013-06-21,0.24,0.24,0.24,0.24,000,0.24
2013-06-20,0.24,0.24,0.24,0.24,43300,0.24
2013-06-18,0.26,0.26,0.26,0.26,000,0.26
2013-06-17,0.26,0.26,0.26,0.26,000,0.26
2013-06-14,0.26,0.26,0.26,0.26,000,0.26
2013-06-13,0.26,0.26,0.26,0.26,000,0.26
2013-06-12,0.26,0.26,0.26,0.26,000,0.26
2013-06-11,0.26,0.26,0.26,0.26,000,0.26
2013-06-10,0.26,0.26,0.26,0.26,000,0.26
2013-06-07,0.26,0.26,0.26,0.26,000,0.26
2013-06-06,0.26,0.26,0.26,0.26,000,0.26
2013-06-05,0.26,0.26,0.26,0.26,000,0.26
2013-06-04,0.26,0.26,0.26,0.26,000,0.26
2013-06-03,0.26,0.26,0.26,0.26,000,0.26
2013-05-31,0.26,0.26,0.26,0.26,000,0.26
2013-05-30,0.26,0.26,0.26,0.26,000,0.26
2013-05-29,0.26,0.26,0.26,0.26,000,0.26
2013-05-28,0.26,0.26,0.26,0.26,000,0.26
2013-05-27,0.26,0.26,0.26,0.26,000,0.26
2013-05-24,0.26,0.26,0.26,0.26,000,0.26
2013-05-23,0.26,0.26,0.26,0.26,40500,0.26
2013-05-22,0.27,0.27,0.27,0.27,000,0.27
2013-05-21,0.27,0.27,0.27,0.27,000,0.27
2013-05-20,0.27,0.27,0.27,0.27,000,0.27
2013-05-17,0.27,0.27,0.27,0.27,000,0.27
2013-05-16,0.27,0.27,0.27,0.27,000,0.27
2013-05-15,0.27,0.27,0.27,0.27,20000,0.27
2013-05-14,0.26,0.26,0.26,0.26,000,0.26
2013-05-13,0.26,0.26,0.26,0.26,10900,0.26
2013-05-10,0.26,0.26,0.26,0.26,27500,0.26
2013-05-09,0.27,0.27,0.27,0.27,50000,0.27
2013-05-08,0.26,0.26,0.26,0.26,50000,0.26
2013-05-07,0.26,0.26,0.26,0.26,8200,0.26
2013-05-06,0.29,0.29,0.29,0.29,000,0.29
2013-05-03,0.28,0.29,0.28,0.29,28200,0.29
2013-05-02,0.28,0.28,0.28,0.28,4300,0.28
2013-05-01,0.27,0.28,0.27,0.28,36200,0.28
2013-04-30,0.26,0.26,0.26,0.26,000,0.26
2013-04-26,0.25,0.25,0.25,0.25,3000,0.25
2013-04-25,0.26,0.26,0.26,0.26,000,0.26
