Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,8.80,8.86,8.59,8.59,279200,8.59
2013-09-19,8.80,8.85,8.64,8.80,528900,8.80
2013-09-18,8.60,8.71,8.59,8.61,301800,8.61
2013-09-17,8.58,8.77,8.58,8.63,200600,8.63
2013-09-16,8.86,8.86,8.50,8.57,185400,8.57
2013-09-13,8.90,9.06,8.81,8.86,247800,8.86
2013-09-12,8.90,9.23,8.88,9.00,453700,8.88
2013-09-11,8.92,8.95,8.84,8.90,231200,8.78
2013-09-10,8.93,8.95,8.80,8.92,148100,8.80
2013-09-09,8.80,8.95,8.78,8.93,190500,8.81
2013-09-06,8.87,8.88,8.64,8.80,196000,8.68
2013-09-05,8.84,8.90,8.70,8.85,327300,8.73
2013-09-04,8.84,8.90,8.80,8.80,439700,8.68
2013-09-03,8.97,8.97,8.79,8.80,256800,8.68
2013-09-02,8.73,8.96,8.73,8.95,284700,8.83
2013-08-30,8.85,8.85,8.71,8.78,320300,8.66
2013-08-29,8.66,8.85,8.64,8.82,449600,8.70
2013-08-28,8.82,8.83,8.57,8.67,281900,8.55
2013-08-27,8.75,8.85,8.63,8.82,249800,8.70
2013-08-26,8.88,9.00,8.71,8.75,330200,8.63
2013-08-23,8.47,8.88,8.47,8.80,753900,8.68
2013-08-22,8.40,8.76,8.37,8.65,731200,8.53
2013-08-21,8.10,8.70,8.08,8.57,498900,8.46
2013-08-20,7.40,8.27,7.40,8.22,767700,8.11
2013-08-19,7.33,7.48,7.27,7.41,361000,7.31
2013-08-16,7.48,7.48,7.26,7.36,276700,7.26
2013-08-15,7.48,7.48,7.31,7.35,163600,7.25
2013-08-14,7.28,7.48,7.15,7.48,249500,7.38
2013-08-13,7.36,7.36,7.10,7.23,303300,7.13
2013-08-12,7.34,7.38,7.22,7.38,310000,7.28
2013-08-09,7.47,7.48,7.31,7.37,124100,7.27
2013-08-08,7.48,7.50,7.41,7.46,148600,7.36
2013-08-07,7.63,7.65,7.38,7.39,178900,7.29
2013-08-06,7.70,7.75,7.60,7.64,134200,7.54
2013-08-05,7.72,7.76,7.57,7.67,121300,7.57
2013-08-02,7.84,7.84,7.69,7.72,337300,7.62
2013-08-01,7.48,7.80,7.48,7.75,387400,7.65
