Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.75,1.75,1.67,1.73,1592300,1.73
2013-09-19,1.74,1.75,1.71,1.75,603200,1.75
2013-09-18,1.77,1.77,1.71,1.72,496400,1.72
2013-09-17,1.73,1.78,1.73,1.76,386700,1.76
2013-09-16,1.76,1.76,1.71,1.73,419300,1.73
2013-09-13,1.76,1.78,1.71,1.74,573500,1.74
2013-09-12,1.79,1.79,1.76,1.78,545900,1.78
2013-09-11,1.76,1.77,1.74,1.77,631400,1.77
2013-09-10,1.79,1.80,1.75,1.75,793500,1.75
2013-09-09,1.77,1.79,1.75,1.78,586500,1.78
2013-09-06,1.77,1.81,1.75,1.76,956600,1.76
2013-09-05,1.84,1.88,1.76,1.76,701900,1.76
2013-09-04,1.77,1.87,1.76,1.84,851800,1.84
2013-09-03,1.75,1.79,1.73,1.79,616900,1.79
2013-09-02,1.73,1.75,1.72,1.75,955500,1.75
2013-08-30,1.69,1.76,1.69,1.71,492900,1.71
2013-08-29,1.66,1.75,1.66,1.74,438400,1.74
2013-08-28,1.75,1.76,1.66,1.66,826700,1.66
2013-08-27,1.76,1.79,1.75,1.77,287300,1.77
2013-08-26,1.80,1.82,1.79,1.82,500100,1.82
2013-08-23,1.76,1.83,1.76,1.82,483300,1.82
2013-08-22,1.81,1.81,1.75,1.75,868800,1.75
2013-08-21,1.95,1.95,1.81,1.83,905400,1.83
2013-08-20,1.95,1.96,1.84,1.94,1025900,1.94
2013-08-19,1.90,1.98,1.88,1.98,1446100,1.98
2013-08-16,1.80,1.88,1.80,1.86,736600,1.86
2013-08-15,1.77,1.83,1.76,1.83,1293600,1.83
2013-08-14,1.78,1.83,1.77,1.80,1089900,1.80
2013-08-13,1.76,1.83,1.76,1.79,743100,1.79
2013-08-12,1.82,1.84,1.77,1.78,707900,1.78
2013-08-09,1.84,1.85,1.79,1.81,3043400,1.81
2013-08-08,1.84,1.84,1.84,1.84,000,1.84
2013-08-07,1.94,1.94,1.81,1.84,574200,1.84
2013-08-06,1.84,1.91,1.84,1.88,752200,1.88
2013-08-05,1.72,1.85,1.72,1.85,883600,1.85
2013-08-02,1.74,1.75,1.71,1.71,498300,1.71
2013-08-01,1.75,1.75,1.71,1.73,506600,1.73
2013-07-31,1.73,1.75,1.72,1.74,444100,1.74
2013-07-30,1.76,1.78,1.69,1.69,607200,1.69
2013-07-29,1.76,1.78,1.74,1.76,494600,1.76
2013-07-26,1.69,1.78,1.65,1.75,1082100,1.75
2013-07-25,1.79,1.79,1.69,1.69,858200,1.69
2013-07-24,1.86,1.86,1.77,1.80,1000600,1.80
2013-07-23,1.86,1.86,1.83,1.86,571300,1.86
2013-07-22,1.85,1.87,1.82,1.86,578200,1.86
2013-07-19,1.85,1.88,1.76,1.81,663800,1.81
2013-07-18,1.83,1.89,1.80,1.84,1049000,1.84
2013-07-17,1.75,1.78,1.73,1.78,726000,1.78
2013-07-16,1.75,1.77,1.70,1.75,817000,1.75
2013-07-15,1.69,1.79,1.67,1.74,1046300,1.74
2013-07-12,1.65,1.68,1.61,1.66,1044200,1.66
2013-07-11,1.58,1.64,1.58,1.64,1296400,1.64
2013-07-10,1.55,1.61,1.51,1.55,1963600,1.55
2013-07-09,1.36,1.50,1.36,1.50,2412400,1.50
2013-07-08,1.36,1.37,1.33,1.34,1185500,1.34
2013-07-05,1.38,1.38,1.30,1.34,1406200,1.34
2013-07-04,1.24,1.34,1.22,1.34,2318500,1.34
2013-07-03,1.24,1.24,1.18,1.22,1096300,1.22
2013-07-02,1.20,1.25,1.19,1.23,1027300,1.23
2013-07-01,1.21,1.23,1.18,1.18,736100,1.18
2013-06-28,1.25,1.26,1.19,1.22,1265100,1.22
2013-06-27,1.21,1.25,1.21,1.24,949000,1.24
2013-06-26,1.21,1.22,1.19,1.21,1238600,1.21
2013-06-25,1.22,1.28,1.18,1.20,1401100,1.20
2013-06-24,1.30,1.31,1.21,1.21,858400,1.21
2013-06-21,1.25,1.33,1.23,1.30,1456700,1.30
2013-06-20,1.32,1.33,1.26,1.27,1133200,1.27
2013-06-18,1.31,1.31,1.27,1.27,985300,1.27
2013-06-17,1.31,1.35,1.30,1.31,647600,1.31
2013-06-14,1.31,1.34,1.30,1.32,582200,1.32
2013-06-13,1.33,1.35,1.30,1.30,1028700,1.30
2013-06-12,1.39,1.41,1.35,1.36,909600,1.36
2013-06-11,1.43,1.48,1.40,1.42,1423300,1.42
2013-06-10,1.38,1.38,1.38,1.38,000,1.38
2013-06-07,1.37,1.41,1.37,1.38,693500,1.38
2013-06-06,1.38,1.41,1.38,1.38,454700,1.38
2013-06-05,1.40,1.44,1.37,1.43,521100,1.43
2013-06-04,1.49,1.49,1.40,1.40,862400,1.40
2013-06-03,1.51,1.52,1.46,1.50,614800,1.50
2013-05-31,1.50,1.54,1.49,1.53,1085400,1.53
2013-05-30,1.38,1.47,1.37,1.47,813400,1.47
2013-05-29,1.40,1.41,1.33,1.40,1341600,1.40
2013-05-28,1.50,1.51,1.38,1.40,1278600,1.40
2013-05-27,1.58,1.65,1.52,1.52,1016400,1.52
2013-05-24,1.64,1.70,1.59,1.60,713800,1.60
2013-05-23,1.70,1.71,1.60,1.62,807000,1.62
2013-05-22,1.59,1.74,1.58,1.72,1926000,1.72
2013-05-21,1.64,1.64,1.58,1.59,419700,1.59
2013-05-20,1.67,1.67,1.63,1.64,608800,1.64
2013-05-17,1.63,1.68,1.63,1.67,373600,1.67
2013-05-16,1.66,1.72,1.61,1.63,806900,1.63
2013-05-15,1.71,1.71,1.65,1.67,579100,1.67
2013-05-14,1.75,1.77,1.69,1.70,608500,1.70
2013-05-13,1.82,1.84,1.75,1.76,620900,1.76
2013-05-10,1.82,1.86,1.80,1.82,583800,1.82
2013-05-09,1.80,1.83,1.77,1.82,712900,1.82
2013-05-08,1.79,1.82,1.78,1.78,401900,1.78
2013-05-07,1.84,1.85,1.74,1.79,780500,1.79
2013-05-06,1.76,1.85,1.71,1.80,794100,1.80
2013-05-03,1.68,1.73,1.66,1.72,1022700,1.72
2013-05-02,1.75,1.75,1.62,1.64,1443200,1.64
2013-05-01,1.86,1.86,1.76,1.76,1035300,1.76
