Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.01,0.01,0.01,0.01,116500,0.01
2013-09-19,0.01,0.01,0.01,0.01,000,0.01
2013-09-18,0.01,0.01,0.01,0.01,000,0.01
2013-09-17,0.01,0.01,0.01,0.01,4100,0.01
2013-09-16,0.01,0.01,0.01,0.01,100000,0.01
2013-09-13,0.01,0.01,0.01,0.01,000,0.01
2013-09-12,0.01,0.01,0.01,0.01,7500,0.01
2013-09-11,0.01,0.01,0.01,0.01,000,0.01
2013-09-10,0.01,0.01,0.01,0.01,62500,0.01
2013-09-09,0.01,0.01,0.01,0.01,350000,0.01
2013-09-06,0.01,0.01,0.01,0.01,213600,0.01
2013-09-05,0.01,0.01,0.01,0.01,40000,0.01
2013-09-04,0.01,0.01,0.01,0.01,371100,0.01
2013-09-03,0.01,0.01,0.01,0.01,504000,0.01
2013-09-02,0.01,0.01,0.01,0.01,152300,0.01
2013-08-30,0.01,0.01,0.01,0.01,4000,0.01
2013-08-29,0.01,0.01,0.01,0.01,19700,0.01
2013-08-28,0.01,0.01,0.01,0.01,000,0.01
2013-08-27,0.01,0.01,0.01,0.01,100000,0.01
2013-08-26,0.01,0.01,0.01,0.01,436100,0.01
2013-08-23,0.01,0.01,0.01,0.01,84100,0.01
2013-08-22,0.01,0.01,0.01,0.01,474000,0.01
2013-08-21,0.01,0.01,0.01,0.01,92000,0.01
2013-08-20,0.01,0.01,0.01,0.01,10000,0.01
2013-08-19,0.01,0.01,0.01,0.01,40000,0.01
2013-08-16,0.01,0.01,0.01,0.01,8000,0.01
2013-08-15,0.01,0.01,0.01,0.01,42000,0.01
2013-08-14,0.01,0.01,0.01,0.01,12600,0.01
2013-08-13,0.01,0.01,0.01,0.01,406000,0.01
2013-08-12,0.01,0.01,0.01,0.01,000,0.01
2013-08-09,0.01,0.01,0.01,0.01,1566100,0.01
2013-08-08,0.01,0.01,0.01,0.01,58600,0.01
2013-08-07,0.01,0.01,0.01,0.01,1000,0.01
2013-08-06,0.01,0.01,0.01,0.01,227200,0.01
2013-08-05,0.01,0.01,0.01,0.01,137100,0.01
2013-08-02,0.01,0.01,0.01,0.01,104000,0.01
2013-08-01,0.01,0.01,0.01,0.01,000,0.01
2013-07-31,0.01,0.01,0.01,0.01,000,0.01
2013-07-30,0.01,0.01,0.01,0.01,000,0.01
2013-07-29,0.01,0.01,0.01,0.01,000,0.01
2013-07-26,0.01,0.01,0.01,0.01,000,0.01
2013-07-25,0.01,0.01,0.01,0.01,000,0.01
2013-07-24,0.01,0.01,0.01,0.01,48500,0.01
2013-07-23,0.01,0.01,0.01,0.01,1400,0.01
2013-07-22,0.01,0.01,0.01,0.01,200000,0.01
2013-07-19,0.01,0.01,0.01,0.01,100000,0.01
2013-07-18,0.01,0.01,0.01,0.01,133000,0.01
2013-07-17,0.01,0.01,0.01,0.01,000,0.01
