Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.14,0.14,0.14,0.14,537500,0.14
2013-09-19,0.14,0.14,0.14,0.14,1155800,0.14
2013-09-18,0.14,0.16,0.13,0.15,2968500,0.15
2013-09-17,0.17,0.17,0.17,0.17,000,0.17
2013-09-16,0.17,0.17,0.17,0.17,000,0.17
2013-09-13,0.17,0.17,0.17,0.17,000,0.17
2013-09-12,0.17,0.17,0.17,0.17,000,0.17
2013-09-11,0.17,0.17,0.17,0.17,000,0.17
2013-09-10,0.17,0.17,0.17,0.17,000,0.17
2013-09-09,0.17,0.17,0.17,0.17,000,0.17
2013-09-06,0.17,0.17,0.17,0.17,000,0.17
2013-09-05,0.17,0.17,0.17,0.17,000,0.17
2013-09-04,0.17,0.17,0.17,0.17,000,0.17
2013-09-03,0.17,0.17,0.17,0.17,000,0.17
2013-09-02,0.17,0.17,0.17,0.17,000,0.17
2013-08-30,0.17,0.17,0.17,0.17,145700,0.17
2013-08-29,0.17,0.17,0.17,0.17,000,0.17
2013-08-28,0.17,0.17,0.17,0.17,88400,0.17
2013-08-27,0.17,0.17,0.17,0.17,46600,0.17
2013-08-26,0.17,0.17,0.17,0.17,69900,0.17
2013-08-23,0.17,0.17,0.17,0.17,60000,0.17
2013-08-22,0.17,0.17,0.17,0.17,528100,0.17
2013-08-21,0.17,0.17,0.17,0.17,66300,0.17
2013-08-20,0.17,0.17,0.17,0.17,29500,0.17
2013-08-19,0.17,0.17,0.17,0.17,14000,0.17
2013-08-16,0.17,0.17,0.17,0.17,245300,0.17
2013-08-15,0.17,0.17,0.17,0.17,30000,0.17
2013-08-14,0.17,0.17,0.17,0.17,83600,0.17
2013-08-13,0.17,0.17,0.17,0.17,60000,0.17
2013-08-12,0.17,0.17,0.17,0.17,000,0.17
2013-08-09,0.17,0.17,0.17,0.17,1500,0.17
2013-08-08,0.17,0.17,0.17,0.17,110600,0.17
2013-08-07,0.17,0.17,0.17,0.17,60500,0.17
2013-08-06,0.17,0.17,0.17,0.17,121700,0.17
2013-08-05,0.17,0.17,0.17,0.17,150000,0.17
2013-08-02,0.17,0.17,0.17,0.17,124100,0.17
2013-08-01,0.17,0.17,0.17,0.17,49500,0.17
2013-07-31,0.17,0.17,0.17,0.17,13800,0.17
2013-07-30,0.17,0.17,0.17,0.17,000,0.17
2013-07-29,0.17,0.17,0.17,0.17,18000,0.17
2013-07-26,0.17,0.17,0.17,0.17,000,0.17
2013-07-25,0.17,0.17,0.17,0.17,131000,0.17
2013-07-24,0.17,0.17,0.17,0.17,75000,0.17
2013-07-23,0.17,0.17,0.17,0.17,15000,0.17
2013-07-22,0.17,0.17,0.17,0.17,45400,0.17
2013-07-19,0.17,0.17,0.17,0.17,79000,0.17
2013-07-18,0.17,0.17,0.17,0.17,000,0.17
2013-07-17,0.17,0.17,0.17,0.17,000,0.17
2013-07-16,0.17,0.17,0.17,0.17,75400,0.17
2013-07-15,0.17,0.17,0.17,0.17,211900,0.17
2013-07-12,0.17,0.17,0.17,0.17,18900,0.17
2013-07-11,0.17,0.17,0.17,0.17,2900,0.17
2013-07-10,0.17,0.17,0.17,0.17,109500,0.17
2013-07-09,0.16,0.17,0.16,0.17,14000,0.17
2013-07-08,0.17,0.17,0.17,0.17,000,0.17
2013-07-05,0.16,0.17,0.16,0.17,45500,0.17
2013-07-04,0.15,0.16,0.15,0.16,60000,0.16
2013-07-03,0.15,0.15,0.15,0.15,000,0.15
