Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.39,0.39,0.35,0.35,14441400,0.35
2013-09-19,0.39,0.40,0.38,0.38,766200,0.38
2013-09-18,0.40,0.41,0.38,0.38,430200,0.38
2013-09-17,0.40,0.41,0.40,0.40,810400,0.40
2013-09-16,0.40,0.40,0.39,0.39,43100,0.39
2013-09-13,0.40,0.40,0.39,0.39,444600,0.39
2013-09-12,0.39,0.40,0.38,0.39,78800,0.39
2013-09-11,0.39,0.40,0.39,0.39,65800,0.39
2013-09-10,0.40,0.40,0.39,0.40,971200,0.40
2013-09-09,0.41,0.41,0.40,0.40,251800,0.40
2013-09-06,0.41,0.41,0.39,0.41,813500,0.41
2013-09-05,0.41,0.41,0.40,0.41,1065800,0.41
2013-09-04,0.40,0.41,0.40,0.40,90700,0.40
2013-09-03,0.41,0.41,0.40,0.41,578600,0.41
2013-09-02,0.41,0.41,0.40,0.41,30700,0.41
2013-08-30,0.41,0.41,0.41,0.41,400,0.41
2013-08-29,0.41,0.41,0.41,0.41,3200,0.41
2013-08-28,0.41,0.44,0.40,0.40,316900,0.40
2013-08-27,0.41,0.41,0.41,0.41,405100,0.41
2013-08-26,0.41,0.41,0.41,0.41,154000,0.41
2013-08-23,0.41,0.41,0.40,0.41,338800,0.41
2013-08-22,0.41,0.41,0.40,0.41,72600,0.41
2013-08-21,0.40,0.41,0.40,0.41,74700,0.41
2013-08-20,0.40,0.41,0.38,0.41,66600,0.41
2013-08-19,0.38,0.39,0.38,0.39,30300,0.39
2013-08-16,0.39,0.40,0.39,0.40,71100,0.40
2013-08-15,0.38,0.40,0.38,0.38,163400,0.38
2013-08-14,0.38,0.39,0.38,0.38,21300,0.38
2013-08-13,0.38,0.38,0.38,0.38,5500,0.38
2013-08-12,0.40,0.41,0.39,0.39,63400,0.39
2013-08-09,0.40,0.40,0.39,0.40,400,0.40
2013-08-08,0.39,0.40,0.37,0.39,667600,0.39
2013-08-07,0.41,0.41,0.38,0.38,2263300,0.38
2013-08-06,0.41,0.41,0.41,0.41,10700,0.41
2013-08-05,0.41,0.41,0.41,0.41,143500,0.41
2013-08-02,0.41,0.41,0.41,0.41,132700,0.41
2013-08-01,0.41,0.41,0.41,0.41,55900,0.41
2013-07-31,0.40,0.41,0.40,0.41,161400,0.41
2013-07-30,0.40,0.40,0.40,0.40,244700,0.40
2013-07-29,0.40,0.41,0.40,0.41,134900,0.41
2013-07-26,0.41,0.41,0.41,0.41,181100,0.41
2013-07-25,0.41,0.41,0.40,0.40,107800,0.40
2013-07-24,0.41,0.43,0.40,0.40,117700,0.40
2013-07-23,0.41,0.43,0.41,0.42,1328300,0.42
2013-07-19,0.38,0.40,0.38,0.39,3052900,0.39
2013-07-18,0.38,0.38,0.38,0.38,242100,0.38
2013-07-17,0.38,0.38,0.38,0.38,000,0.38
2013-07-16,0.38,0.38,0.38,0.38,000,0.38
