Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,4.25,4.28,4.17,4.23,237400,4.23
2013-09-19,4.12,4.24,4.12,4.24,216400,4.24
2013-09-18,3.96,4.14,3.96,4.09,194500,4.09
2013-09-17,3.88,4.02,3.87,3.95,292800,3.95
2013-09-16,3.90,3.95,3.86,3.95,137000,3.95
2013-09-13,3.89,3.90,3.85,3.90,90200,3.90
2013-09-12,3.80,3.91,3.78,3.87,57500,3.87
2013-09-11,3.88,3.96,3.88,3.93,159300,3.93
2013-09-10,3.80,3.88,3.79,3.87,157700,3.87
2013-09-09,3.74,3.82,3.74,3.80,224500,3.80
2013-09-06,3.70,3.78,3.64,3.74,224000,3.74
2013-09-05,3.77,3.80,3.72,3.75,172000,3.75
2013-09-04,3.79,3.80,3.73,3.80,31200,3.80
2013-09-03,3.75,3.82,3.70,3.80,48600,3.80
2013-09-02,3.64,3.83,3.64,3.80,52900,3.80
2013-08-30,3.70,3.78,3.56,3.70,223100,3.70
2013-08-29,3.85,3.90,3.71,3.75,57800,3.75
2013-08-28,3.90,3.90,3.76,3.90,160400,3.90
2013-08-27,3.96,4.00,3.81,4.00,70300,4.00
2013-08-26,3.96,4.08,3.92,3.96,108500,3.96
2013-08-23,3.80,3.98,3.76,3.98,231500,3.98
2013-08-22,3.78,3.82,3.77,3.81,194100,3.81
2013-08-21,3.81,3.84,3.76,3.78,199300,3.78
2013-08-20,3.80,3.85,3.78,3.84,82600,3.84
2013-08-19,3.75,3.85,3.75,3.84,115100,3.84
2013-08-16,3.80,3.83,3.76,3.78,174100,3.78
2013-08-15,3.80,3.87,3.73,3.83,60400,3.83
2013-08-14,3.75,3.89,3.72,3.80,203000,3.80
2013-08-13,3.71,3.79,3.68,3.79,80900,3.79
2013-08-12,3.76,3.76,3.69,3.73,74200,3.73
2013-08-09,3.70,3.75,3.69,3.75,52500,3.75
2013-08-08,3.70,3.72,3.70,3.72,57600,3.72
2013-08-07,3.74,3.76,3.69,3.72,197000,3.72
2013-08-06,3.73,3.76,3.70,3.74,62000,3.74
2013-08-05,3.71,3.75,3.65,3.73,90500,3.73
2013-08-02,3.72,3.73,3.58,3.66,134000,3.66
2013-08-01,3.62,3.71,3.60,3.71,60300,3.71
2013-07-31,3.60,3.65,3.54,3.60,71000,3.60
2013-07-30,3.72,3.72,3.56,3.60,300500,3.60
2013-07-29,3.70,3.75,3.65,3.72,80700,3.72
2013-07-26,3.72,3.75,3.70,3.70,112300,3.70
