Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.65,0.65,0.65,0.65,000,0.65
2013-09-19,0.65,0.65,0.65,0.65,000,0.65
2013-09-18,0.65,0.65,0.65,0.65,000,0.65
2013-09-17,0.65,0.65,0.65,0.65,000,0.65
2013-09-16,0.65,0.65,0.65,0.65,2200,0.65
2013-09-13,0.65,0.65,0.65,0.65,200,0.65
2013-09-12,0.62,0.62,0.62,0.62,5000,0.62
2013-09-11,0.61,0.61,0.61,0.61,000,0.61
2013-09-10,0.61,0.61,0.61,0.61,600,0.61
2013-09-09,0.61,0.61,0.61,0.61,2000,0.61
2013-09-06,0.60,0.60,0.60,0.60,000,0.60
2013-09-05,0.60,0.60,0.60,0.60,31000,0.60
2013-09-04,0.60,0.60,0.60,0.60,36000,0.60
2013-09-03,0.63,0.63,0.63,0.63,000,0.63
2013-09-02,0.62,0.63,0.61,0.63,47800,0.63
2013-08-30,0.68,0.68,0.63,0.63,25300,0.63
2013-08-29,0.68,0.68,0.68,0.68,000,0.68
2013-08-28,0.68,0.68,0.68,0.68,000,0.68
2013-08-27,0.66,0.66,0.66,0.66,000,0.66
2013-08-26,0.66,0.66,0.66,0.66,000,0.66
2013-08-23,0.66,0.66,0.66,0.66,9000,0.66
2013-08-22,0.66,0.66,0.66,0.66,000,0.66
2013-08-21,0.66,0.66,0.66,0.66,800,0.66
2013-08-20,0.68,0.68,0.68,0.68,10000,0.68
2013-08-19,0.67,0.67,0.67,0.67,000,0.67
2013-08-16,0.67,0.67,0.67,0.67,000,0.67
2013-08-15,0.67,0.67,0.67,0.67,000,0.67
2013-08-14,0.67,0.67,0.67,0.67,000,0.67
2013-08-13,0.67,0.67,0.67,0.67,000,0.67
2013-08-12,0.67,0.67,0.67,0.67,000,0.67
2013-08-09,0.67,0.67,0.67,0.67,7300,0.67
2013-08-08,0.65,0.65,0.65,0.65,5600,0.65
2013-08-07,0.65,0.65,0.65,0.65,000,0.65
2013-08-06,0.67,0.67,0.65,0.65,4300,0.65
2013-08-05,0.68,0.68,0.67,0.67,27600,0.67
2013-08-02,0.68,0.68,0.68,0.68,000,0.68
2013-08-01,0.68,0.68,0.68,0.68,000,0.68
2013-07-31,0.69,0.69,0.68,0.68,5800,0.68
2013-07-30,0.67,0.67,0.67,0.67,000,0.67
2013-07-29,0.67,0.67,0.67,0.67,4600,0.67
2013-07-26,0.63,0.63,0.63,0.63,000,0.63
2013-07-25,0.63,0.63,0.63,0.63,000,0.63
2013-07-24,0.63,0.63,0.63,0.63,000,0.63
2013-07-23,0.63,0.63,0.63,0.63,000,0.63
2013-07-22,0.63,0.63,0.63,0.63,000,0.63
2013-07-19,0.63,0.63,0.63,0.63,000,0.63
2013-07-18,0.63,0.63,0.63,0.63,000,0.63
2013-07-17,0.63,0.63,0.63,0.63,000,0.63
2013-07-16,0.63,0.63,0.63,0.63,000,0.63
2013-07-15,0.63,0.63,0.63,0.63,000,0.63
2013-07-12,0.63,0.63,0.63,0.63,000,0.63
2013-07-11,0.63,0.63,0.63,0.63,000,0.63
2013-07-10,0.63,0.63,0.63,0.63,000,0.63
2013-07-09,0.63,0.63,0.63,0.63,000,0.63
2013-07-08,0.63,0.63,0.63,0.63,000,0.63
2013-07-05,0.63,0.63,0.63,0.63,000,0.63
2013-07-04,0.63,0.63,0.63,0.63,000,0.63
2013-07-03,0.63,0.63,0.63,0.63,000,0.63
2013-07-02,0.63,0.63,0.63,0.63,14000,0.63
2013-07-01,0.65,0.65,0.65,0.65,000,0.65
2013-06-28,0.65,0.65,0.65,0.65,000,0.65
2013-06-27,0.65,0.65,0.65,0.65,000,0.65
2013-06-26,0.65,0.65,0.65,0.65,1300,0.65
2013-06-25,0.66,0.66,0.66,0.66,000,0.66
2013-06-24,0.66,0.66,0.66,0.66,16900,0.66
2013-06-21,0.66,0.66,0.66,0.66,700,0.66
