Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.08,0.08,0.08,0.08,227000,0.08
2013-09-19,0.08,0.08,0.08,0.08,475000,0.08
2013-09-18,0.09,0.09,0.08,0.08,543100,0.08
2013-09-17,0.09,0.09,0.09,0.09,292900,0.09
2013-09-16,0.08,0.09,0.08,0.09,1479600,0.09
2013-09-13,0.08,0.08,0.08,0.08,431800,0.08
2013-09-12,0.08,0.08,0.08,0.08,1489500,0.08
2013-09-11,0.08,0.08,0.08,0.08,1631000,0.08
2013-09-10,0.08,0.08,0.08,0.08,1395300,0.08
2013-09-09,0.08,0.09,0.08,0.08,1724500,0.08
2013-09-06,0.08,0.09,0.08,0.09,1175400,0.09
2013-09-05,0.08,0.08,0.08,0.08,2295000,0.08
2013-09-04,0.08,0.08,0.08,0.08,2913700,0.08
2013-09-03,0.08,0.09,0.08,0.08,1014900,0.08
2013-09-02,0.09,0.09,0.08,0.09,1288100,0.09
2013-08-30,0.09,0.09,0.09,0.09,2501100,0.09
2013-08-29,0.09,0.09,0.08,0.09,5114800,0.09
2013-08-28,0.10,0.10,0.09,0.09,809000,0.09
2013-08-27,0.09,0.10,0.09,0.10,2592900,0.10
2013-08-26,0.10,0.10,0.09,0.09,5173800,0.09
2013-08-23,0.09,0.10,0.09,0.10,6698000,0.10
2013-08-22,0.09,0.09,0.09,0.09,373000,0.09
2013-08-21,0.09,0.09,0.09,0.09,824300,0.09
2013-08-20,0.09,0.09,0.09,0.09,3108700,0.09
2013-08-19,0.09,0.09,0.09,0.09,4234300,0.09
2013-08-16,0.09,0.09,0.08,0.09,876600,0.09
2013-08-15,0.09,0.09,0.09,0.09,5212300,0.09
2013-08-14,0.09,0.09,0.09,0.09,740100,0.09
2013-08-13,0.08,0.09,0.08,0.09,3327000,0.09
2013-08-12,0.08,0.08,0.08,0.08,1314900,0.08
2013-08-09,0.08,0.08,0.08,0.08,1660000,0.08
2013-08-08,0.08,0.08,0.08,0.08,509000,0.08
2013-08-07,0.08,0.08,0.08,0.08,1927700,0.08
2013-08-06,0.09,0.09,0.08,0.08,9727200,0.08
2013-08-05,0.08,0.09,0.08,0.09,6815900,0.09
2013-08-02,0.08,0.08,0.08,0.08,1322800,0.08
2013-08-01,0.08,0.09,0.08,0.08,3851400,0.08
2013-07-31,0.08,0.09,0.08,0.08,8192000,0.08
2013-07-30,0.07,0.08,0.07,0.08,9836600,0.08
2013-07-29,0.07,0.07,0.07,0.07,1491500,0.07
2013-07-26,0.07,0.07,0.06,0.07,522400,0.07
2013-07-25,0.06,0.07,0.06,0.06,1798500,0.06
2013-07-24,0.06,0.06,0.06,0.06,1900600,0.06
2013-07-23,0.07,0.07,0.06,0.06,394600,0.06
2013-07-22,0.07,0.07,0.06,0.06,1590300,0.06
2013-07-19,0.07,0.07,0.06,0.07,2743100,0.07
2013-07-18,0.06,0.07,0.06,0.06,2574000,0.06
