Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.08,0.08,0.08,0.08,5000,0.08
2013-09-19,0.09,0.09,0.09,0.09,000,0.09
2013-09-18,0.09,0.09,0.09,0.09,85000,0.09
2013-09-17,0.09,0.09,0.09,0.09,375000,0.09
2013-09-16,0.09,0.09,0.09,0.09,85400,0.09
2013-09-13,0.08,0.08,0.08,0.08,267700,0.08
2013-09-12,0.08,0.09,0.08,0.08,395800,0.08
2013-09-11,0.07,0.07,0.07,0.07,39000,0.07
2013-09-10,0.08,0.08,0.08,0.08,5000,0.08
2013-09-09,0.08,0.08,0.08,0.08,16500,0.08
2013-09-06,0.08,0.08,0.08,0.08,13200,0.08
2013-09-05,0.08,0.08,0.08,0.08,000,0.08
2013-09-04,0.08,0.08,0.08,0.08,42000,0.08
2013-09-03,0.10,0.10,0.08,0.08,376800,0.08
2013-09-02,0.08,0.10,0.08,0.10,375800,0.10
2013-08-30,0.08,0.08,0.08,0.08,4000,0.08
2013-08-29,0.07,0.07,0.07,0.07,54900,0.07
2013-08-28,0.06,0.06,0.06,0.06,62000,0.06
2013-08-27,0.06,0.06,0.06,0.06,120600,0.06
2013-08-26,0.06,0.06,0.06,0.06,10000,0.06
2013-08-23,0.05,0.05,0.05,0.05,000,0.05
2013-08-22,0.05,0.05,0.05,0.05,000,0.05
2013-08-21,0.05,0.05,0.05,0.05,000,0.05
2013-08-20,0.05,0.05,0.05,0.05,000,0.05
2013-08-19,0.05,0.05,0.05,0.05,81700,0.05
2013-08-16,0.05,0.05,0.05,0.05,51000,0.05
2013-08-15,0.04,0.04,0.04,0.04,000,0.04
2013-08-14,0.04,0.04,0.04,0.04,000,0.04
2013-08-13,0.04,0.04,0.04,0.04,000,0.04
2013-08-12,0.04,0.04,0.04,0.04,7400,0.04
2013-08-09,0.04,0.04,0.04,0.04,000,0.04
2013-08-08,0.04,0.04,0.04,0.04,80000,0.04
2013-08-07,0.04,0.04,0.04,0.04,000,0.04
2013-08-06,0.04,0.04,0.04,0.04,000,0.04
2013-08-05,0.04,0.04,0.04,0.04,112000,0.04
2013-08-02,0.04,0.04,0.04,0.04,000,0.04
2013-08-01,0.05,0.05,0.04,0.04,20000,0.04
2013-07-31,0.04,0.04,0.04,0.04,000,0.04
2013-07-30,0.04,0.04,0.04,0.04,20000,0.04
2013-07-29,0.04,0.04,0.04,0.04,100000,0.04
2013-07-26,0.04,0.04,0.04,0.04,116100,0.04
2013-07-25,0.04,0.04,0.04,0.04,42000,0.04
2013-07-24,0.04,0.04,0.04,0.04,13200,0.04
2013-07-23,0.04,0.04,0.04,0.04,61000,0.04
2013-07-22,0.04,0.04,0.04,0.04,232500,0.04
2013-07-19,0.04,0.04,0.04,0.04,000,0.04
2013-07-18,0.04,0.04,0.04,0.04,57400,0.04
2013-07-17,0.05,0.05,0.04,0.04,124700,0.04
2013-07-16,0.05,0.05,0.05,0.05,55000,0.05
2013-07-15,0.05,0.05,0.05,0.05,000,0.05
2013-07-12,0.05,0.05,0.05,0.05,67800,0.05
2013-07-11,0.05,0.05,0.05,0.05,000,0.05
2013-07-10,0.05,0.05,0.05,0.05,000,0.05
2013-07-09,0.05,0.05,0.05,0.05,12200,0.05
2013-07-08,0.05,0.05,0.05,0.05,000,0.05
2013-07-05,0.05,0.05,0.05,0.05,31000,0.05
2013-07-04,0.04,0.04,0.04,0.04,000,0.04
2013-07-03,0.04,0.04,0.04,0.04,000,0.04
2013-07-02,0.05,0.05,0.04,0.04,84800,0.04
2013-07-01,0.05,0.05,0.05,0.05,20000,0.05
2013-06-28,0.05,0.05,0.05,0.05,120000,0.05
