Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.37,0.37,0.35,0.37,183400,0.37
2013-09-19,0.37,0.37,0.37,0.37,60400,0.37
2013-09-18,0.37,0.37,0.36,0.36,135100,0.36
2013-09-17,0.37,0.37,0.37,0.37,74000,0.37
2013-09-16,0.38,0.38,0.35,0.35,112400,0.35
2013-09-13,0.40,0.40,0.40,0.40,174200,0.40
2013-09-12,0.42,0.42,0.38,0.40,228000,0.38
2013-09-11,0.40,0.42,0.40,0.42,325300,0.40
2013-09-10,0.38,0.40,0.38,0.40,431600,0.38
2013-09-09,0.38,0.38,0.38,0.38,322000,0.36
2013-09-06,0.37,0.38,0.36,0.38,171600,0.36
2013-09-05,0.37,0.38,0.37,0.37,106200,0.35
2013-09-04,0.37,0.38,0.37,0.37,316900,0.35
2013-09-03,0.37,0.38,0.36,0.37,238500,0.35
2013-09-02,0.37,0.37,0.36,0.37,170900,0.35
2013-08-30,0.37,0.37,0.36,0.37,187800,0.35
2013-08-29,0.37,0.37,0.35,0.36,251200,0.34
2013-08-28,0.38,0.38,0.37,0.38,208600,0.36
2013-08-27,0.38,0.40,0.38,0.38,354400,0.36
2013-08-26,0.38,0.40,0.37,0.37,406600,0.35
2013-08-23,0.37,0.38,0.36,0.38,291900,0.36
2013-08-22,0.37,0.37,0.34,0.35,449500,0.34
2013-08-21,0.31,0.38,0.31,0.37,1219400,0.35
2013-08-20,0.30,0.30,0.28,0.28,134000,0.27
2013-08-19,0.29,0.30,0.28,0.30,124100,0.29
2013-08-16,0.29,0.29,0.29,0.29,10100,0.28
2013-08-15,0.30,0.31,0.29,0.30,150400,0.29
2013-08-14,0.31,0.31,0.30,0.30,268300,0.29
2013-08-13,0.29,0.31,0.29,0.30,106600,0.29
2013-08-12,0.29,0.30,0.29,0.30,130000,0.29
2013-08-09,0.28,0.28,0.28,0.28,4400,0.27
2013-08-08,0.28,0.30,0.28,0.29,32000,0.28
2013-08-07,0.28,0.28,0.28,0.28,000,0.27
2013-08-06,0.28,0.28,0.28,0.28,9700,0.27
2013-08-05,0.29,0.29,0.28,0.28,27000,0.27
2013-08-02,0.29,0.29,0.29,0.29,40300,0.28
2013-08-01,0.28,0.29,0.28,0.29,12300,0.28
2013-07-31,0.29,0.29,0.29,0.29,11400,0.28
2013-07-30,0.29,0.29,0.28,0.28,43700,0.26
2013-07-29,0.28,0.29,0.28,0.29,51400,0.28
2013-07-26,0.28,0.28,0.26,0.27,129000,0.26
2013-07-25,0.29,0.29,0.29,0.29,62000,0.28
2013-07-24,0.29,0.30,0.28,0.30,129300,0.29
2013-07-23,0.29,0.30,0.28,0.30,77000,0.29
