Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.22,0.22,0.21,0.22,4139300,0.22
2013-09-19,0.22,0.22,0.21,0.21,1740600,0.21
2013-09-18,0.22,0.22,0.20,0.21,889900,0.21
2013-09-17,0.21,0.22,0.20,0.21,1925800,0.21
2013-09-16,0.19,0.22,0.19,0.20,2706300,0.20
2013-09-13,0.19,0.19,0.19,0.19,3054000,0.19
2013-09-12,0.19,0.19,0.19,0.19,1491600,0.19
2013-09-11,0.19,0.19,0.19,0.19,1840100,0.19
2013-09-10,0.18,0.19,0.18,0.19,2043500,0.19
2013-09-09,0.19,0.19,0.18,0.18,1166800,0.18
2013-09-06,0.19,0.19,0.19,0.19,930000,0.19
2013-09-05,0.19,0.19,0.19,0.19,402900,0.19
2013-09-04,0.19,0.19,0.19,0.19,491000,0.19
2013-09-03,0.18,0.19,0.18,0.19,5921300,0.19
2013-09-02,0.17,0.17,0.17,0.17,000,0.17
2013-08-30,0.17,0.17,0.17,0.17,000,0.17
2013-08-29,0.17,0.17,0.17,0.17,58500,0.17
2013-08-28,0.16,0.17,0.16,0.17,99600,0.17
2013-08-27,0.17,0.17,0.17,0.17,65000,0.17
2013-08-26,0.17,0.17,0.17,0.17,000,0.17
2013-08-23,0.17,0.17,0.17,0.17,40000,0.17
2013-08-22,0.18,0.18,0.18,0.18,000,0.18
2013-08-21,0.18,0.18,0.18,0.18,000,0.18
2013-08-20,0.18,0.18,0.18,0.18,52800,0.18
2013-08-19,0.17,0.18,0.15,0.18,310600,0.18
2013-08-16,0.19,0.19,0.19,0.19,154900,0.19
2013-08-15,0.19,0.19,0.19,0.19,177100,0.19
2013-08-14,0.18,0.19,0.18,0.19,112100,0.19
2013-08-13,0.17,0.18,0.17,0.17,117500,0.17
2013-08-12,0.18,0.18,0.17,0.17,22800,0.17
2013-08-09,0.17,0.18,0.17,0.17,226500,0.17
2013-08-08,0.16,0.17,0.16,0.17,7600,0.17
2013-08-07,0.16,0.16,0.16,0.16,36900,0.16
2013-08-06,0.16,0.16,0.16,0.16,208000,0.16
