Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.22,0.25,0.22,0.24,360000,0.24
2013-09-19,0.22,0.24,0.22,0.22,318600,0.22
2013-09-18,0.24,0.24,0.23,0.24,183000,0.24
2013-09-17,0.23,0.24,0.23,0.24,50300,0.24
2013-09-16,0.23,0.24,0.23,0.24,60000,0.24
2013-09-13,0.24,0.24,0.23,0.24,44100,0.24
2013-09-12,0.24,0.24,0.24,0.24,15000,0.24
2013-09-11,0.23,0.24,0.23,0.24,295400,0.24
2013-09-10,0.23,0.25,0.22,0.24,213500,0.24
2013-09-09,0.22,0.23,0.22,0.23,268300,0.23
2013-09-06,0.20,0.23,0.20,0.23,244000,0.23
2013-09-05,0.21,0.21,0.20,0.20,121800,0.20
2013-09-04,0.21,0.21,0.20,0.20,279000,0.20
2013-09-03,0.20,0.21,0.19,0.21,776900,0.21
2013-09-02,0.20,0.20,0.18,0.19,183500,0.19
2013-08-30,0.21,0.21,0.21,0.21,000,0.21
2013-08-29,0.21,0.21,0.21,0.21,2500,0.21
2013-08-28,0.20,0.20,0.20,0.20,186000,0.20
2013-08-27,0.21,0.21,0.21,0.21,128300,0.21
2013-08-26,0.22,0.22,0.21,0.21,91700,0.21
2013-08-23,0.21,0.22,0.21,0.22,194900,0.22
2013-08-22,0.20,0.22,0.20,0.22,101000,0.22
2013-08-21,0.20,0.20,0.20,0.20,433800,0.20
2013-08-20,0.22,0.22,0.20,0.20,602000,0.20
2013-08-19,0.22,0.22,0.20,0.20,15350300,0.20
2013-08-16,0.22,0.22,0.22,0.22,000,0.22
2013-08-15,0.22,0.22,0.22,0.22,3900,0.22
2013-08-14,0.23,0.23,0.23,0.23,90500,0.23
2013-08-13,0.23,0.23,0.23,0.23,000,0.23
2013-08-12,0.23,0.23,0.23,0.23,20000,0.23
2013-08-09,0.23,0.23,0.22,0.22,5000,0.22
2013-08-08,0.23,0.23,0.23,0.23,000,0.23
2013-08-07,0.23,0.23,0.23,0.23,000,0.23
2013-08-06,0.23,0.23,0.23,0.23,000,0.23
2013-08-05,0.23,0.23,0.23,0.23,106400,0.23
2013-08-02,0.23,0.23,0.23,0.23,1000,0.23
2013-08-01,0.23,0.23,0.23,0.23,3000,0.23
2013-07-31,0.23,0.23,0.22,0.22,20000,0.22
2013-07-30,0.22,0.22,0.22,0.22,000,0.22
2013-07-29,0.22,0.22,0.22,0.22,2400,0.22
2013-07-26,0.23,0.23,0.22,0.22,50700,0.22
2013-07-25,0.24,0.24,0.23,0.23,115000,0.23
2013-07-24,0.25,0.25,0.25,0.25,60600,0.25
2013-07-23,0.25,0.25,0.25,0.25,000,0.25
2013-07-22,0.25,0.25,0.25,0.25,000,0.25
2013-07-19,0.25,0.25,0.24,0.25,179600,0.25
2013-07-18,0.25,0.25,0.25,0.25,190000,0.25
2013-07-17,0.25,0.25,0.24,0.24,260000,0.24
2013-07-16,0.25,0.28,0.24,0.25,586100,0.25
2013-07-15,0.25,0.25,0.25,0.25,96000,0.25
2013-07-12,0.25,0.25,0.24,0.24,178500,0.24
2013-07-11,0.25,0.25,0.25,0.25,150000,0.25
2013-07-10,0.25,0.25,0.25,0.25,000,0.25
2013-07-09,0.25,0.25,0.25,0.25,9000,0.25
2013-07-08,0.25,0.25,0.24,0.24,120000,0.24
2013-07-05,0.24,0.25,0.24,0.25,133900,0.25
2013-07-04,0.23,0.24,0.23,0.24,29100,0.24
2013-07-03,0.24,0.24,0.24,0.24,11800,0.24
2013-07-02,0.24,0.25,0.23,0.23,62100,0.23
2013-07-01,0.23,0.23,0.23,0.23,000,0.23
2013-06-28,0.23,0.23,0.23,0.23,000,0.23
2013-06-27,0.22,0.23,0.22,0.23,7700,0.23
2013-06-26,0.22,0.22,0.22,0.22,4400,0.22
2013-06-25,0.22,0.22,0.22,0.22,61400,0.22
2013-06-24,0.22,0.22,0.22,0.22,69100,0.22
2013-06-21,0.24,0.24,0.22,0.23,61700,0.23
2013-06-20,0.25,0.25,0.25,0.25,000,0.25
2013-06-19,0.25,0.25,0.25,0.25,20000,0.25
2013-06-18,0.25,0.25,0.25,0.25,5000,0.25
2013-06-17,0.26,0.27,0.25,0.25,1003400,0.25
2013-06-14,0.27,0.28,0.26,0.28,223900,0.28
2013-06-13,0.26,0.28,0.26,0.28,12900,0.28
2013-06-12,0.26,0.26,0.26,0.26,40000,0.26
2013-06-11,0.26,0.26,0.26,0.26,171200,0.26
2013-06-10,0.27,0.27,0.27,0.27,000,0.27
2013-06-07,0.26,0.27,0.25,0.27,50300,0.27
2013-06-06,0.25,0.25,0.25,0.25,121100,0.25
2013-06-05,0.25,0.25,0.25,0.25,130600,0.25
2013-06-04,0.27,0.27,0.26,0.26,19000,0.26
2013-06-03,0.27,0.27,0.26,0.26,14600,0.26
2013-05-31,0.26,0.28,0.26,0.28,53800,0.28
2013-05-30,0.27,0.29,0.27,0.27,110300,0.27
2013-05-29,0.24,0.25,0.23,0.24,216300,0.24
2013-05-28,0.24,0.24,0.24,0.24,43000,0.24
2013-05-27,0.23,0.25,0.23,0.23,132600,0.23
2013-05-24,0.21,0.25,0.21,0.24,182500,0.24
2013-05-23,0.25,0.25,0.21,0.21,181100,0.21
2013-05-22,0.25,0.25,0.25,0.25,000,0.25
2013-05-21,0.26,0.26,0.25,0.25,25000,0.25
2013-05-20,0.25,0.25,0.25,0.25,31500,0.25
2013-05-17,0.27,0.27,0.27,0.27,25000,0.27
2013-05-16,0.26,0.26,0.25,0.25,72000,0.25
2013-05-15,0.26,0.27,0.25,0.27,156400,0.27
2013-05-14,0.29,0.29,0.26,0.26,103600,0.26
2013-05-13,0.29,0.29,0.29,0.29,26800,0.29
2013-05-10,0.29,0.30,0.29,0.29,33700,0.29
2013-05-09,0.29,0.29,0.29,0.29,000,0.29
2013-05-08,0.29,0.29,0.29,0.29,75000,0.29
2013-05-07,0.28,0.29,0.28,0.29,60000,0.29
2013-05-06,0.29,0.29,0.27,0.29,61400,0.29
2013-05-03,0.28,0.29,0.28,0.29,34000,0.29
2013-05-02,0.28,0.29,0.28,0.29,5600,0.29
2013-05-01,0.28,0.29,0.28,0.29,139000,0.29
2013-04-30,0.28,0.28,0.26,0.28,42400,0.28
2013-04-29,0.29,0.29,0.29,0.29,17800,0.29
2013-04-26,0.29,0.30,0.29,0.30,25000,0.30
2013-04-25,0.27,0.27,0.27,0.27,000,0.27
2013-04-24,0.28,0.29,0.27,0.27,70600,0.27
2013-04-23,0.27,0.27,0.27,0.27,40000,0.27
2013-04-22,0.27,0.27,0.26,0.27,98400,0.27
2013-04-19,0.25,0.25,0.25,0.25,000,0.25
2013-04-18,0.26,0.26,0.25,0.25,48900,0.25
2013-04-17,0.25,0.26,0.25,0.26,36500,0.26
2013-04-16,0.30,0.30,0.25,0.28,128300,0.28
2013-04-15,0.31,0.31,0.31,0.31,13000,0.31
2013-04-12,0.31,0.32,0.31,0.31,29900,0.31
2013-04-11,0.32,0.32,0.31,0.31,76600,0.31
2013-04-10,0.31,0.34,0.31,0.32,151000,0.32
2013-04-09,0.32,0.32,0.32,0.32,32000,0.32
2013-04-08,0.32,0.33,0.31,0.32,348200,0.32
2013-04-05,0.32,0.34,0.31,0.34,126200,0.34
2013-04-04,0.34,0.34,0.32,0.34,42500,0.34
2013-04-03,0.33,0.33,0.30,0.32,182900,0.32
