Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,12.24,12.34,12.17,12.34,2476700,12.34
2013-09-19,12.41,12.55,12.24,12.25,2944200,12.25
2013-09-18,12.33,12.38,12.26,12.36,1689400,12.36
2013-09-17,12.17,12.35,12.15,12.33,2472200,12.33
2013-09-16,12.25,12.28,12.17,12.19,866200,12.19
2013-09-13,12.18,12.24,12.12,12.19,2302400,12.19
2013-09-12,12.00,12.20,12.00,12.15,2038800,12.15
2013-09-11,12.15,12.20,11.98,12.00,4391000,12.00
2013-09-10,12.22,12.30,12.19,12.19,1293600,12.19
2013-09-09,12.19,12.24,12.10,12.18,1168700,12.18
2013-09-06,12.27,12.28,12.07,12.17,2461800,12.17
2013-09-05,12.25,12.30,12.12,12.17,1852200,12.17
2013-09-04,12.40,12.40,12.18,12.20,2309100,12.20
2013-09-03,12.41,12.49,12.35,12.42,1412800,12.42
2013-09-02,12.47,12.50,12.37,12.40,1221600,12.40
2013-08-30,12.21,12.28,12.19,12.28,2820600,12.28
2013-08-29,12.02,12.23,12.02,12.21,1471200,12.21
2013-08-28,12.14,12.20,12.00,12.00,2658900,12.00
2013-08-27,12.21,12.28,12.16,12.28,2001400,12.28
2013-08-26,12.16,12.27,12.13,12.16,1111900,12.16
2013-08-23,12.13,12.32,12.10,12.14,2615000,12.14
2013-08-22,12.33,12.44,12.27,12.34,3352200,12.10
2013-08-21,12.06,12.43,12.04,12.38,4322000,12.14
2013-08-20,12.20,12.40,11.91,12.04,6051700,11.81
2013-08-19,12.89,12.95,12.70,12.74,1540400,12.49
2013-08-16,12.83,12.88,12.69,12.78,1356900,12.53
2013-08-15,12.90,12.90,12.73,12.83,2261300,12.58
2013-08-14,12.90,12.90,12.78,12.81,1512900,12.56
2013-08-13,12.78,12.81,12.70,12.76,1808600,12.51
2013-08-12,12.64,12.75,12.64,12.68,1310500,12.43
2013-08-09,12.95,12.99,12.64,12.64,2096400,12.39
2013-08-08,12.97,13.03,12.86,12.88,2789400,12.63
2013-08-07,12.97,12.98,12.78,12.85,2050400,12.60
2013-08-06,12.92,12.94,12.72,12.92,2354400,12.67
2013-08-05,12.80,12.87,12.75,12.77,1365100,12.52
2013-08-02,13.00,13.04,12.69,12.79,3922500,12.54
2013-08-01,12.90,13.03,12.83,12.90,2734200,12.65
2013-07-31,12.84,12.95,12.78,12.85,3178400,12.60
2013-07-30,12.95,12.95,12.67,12.67,2726100,12.42
2013-07-29,12.91,13.03,12.82,12.85,1804200,12.60
2013-07-26,13.07,13.12,12.97,13.04,1568700,12.79
2013-07-25,13.25,13.25,12.98,13.04,1999700,12.79
2013-07-24,13.29,13.40,13.19,13.19,1578800,12.93
2013-07-23,13.22,13.29,13.12,13.25,2422200,12.99
2013-07-22,13.26,13.31,13.05,13.07,2111300,12.82
2013-07-19,13.20,13.26,13.06,13.26,5119300,13.00
2013-07-18,12.95,13.09,12.85,13.05,2715300,12.80
2013-07-17,12.82,12.86,12.74,12.81,1649300,12.56
2013-07-16,12.84,12.88,12.67,12.74,2568900,12.49
2013-07-15,12.96,13.09,12.65,12.73,2066300,12.48
2013-07-12,12.75,12.96,12.54,12.90,3655200,12.65
2013-07-11,12.77,12.80,12.25,12.50,4937300,12.26
2013-07-10,12.70,12.84,12.67,12.83,4469700,12.58
2013-07-09,12.62,12.64,12.50,12.61,1273200,12.36
2013-07-08,12.61,12.62,12.40,12.45,1310300,12.21
2013-07-05,12.73,12.75,12.54,12.57,1187700,12.33
2013-07-04,12.56,12.79,12.51,12.56,1259500,12.32
2013-07-03,12.84,12.84,12.43,12.43,1819400,12.19
2013-07-02,12.60,12.83,12.58,12.81,2831700,12.56
2013-07-01,12.55,12.58,12.32,12.40,2118400,12.16
2013-06-28,12.72,12.80,12.65,12.71,2876500,12.46
2013-06-27,12.57,12.68,12.54,12.56,2227600,12.32
2013-06-26,12.41,12.52,12.32,12.38,1706800,12.14
2013-06-25,12.36,12.48,12.25,12.36,2000400,12.12
2013-06-24,12.60,12.68,12.39,12.53,1636600,12.29
2013-06-21,12.74,12.79,12.49,12.49,3597400,12.25
2013-06-20,12.87,12.88,12.66,12.85,3330400,12.60
2013-06-19,12.75,12.92,12.69,12.91,3273800,12.66
2013-06-18,12.60,12.69,12.44,12.58,3671600,12.34
2013-06-17,12.38,12.54,12.34,12.52,3092600,12.28
2013-06-14,12.14,12.37,11.95,12.35,2431500,12.11
2013-06-13,12.11,12.15,11.73,11.76,4780000,11.53
2013-06-12,12.29,12.32,12.06,12.15,4550100,11.91
2013-06-11,12.50,12.51,12.24,12.24,2563700,12.00
2013-06-10,12.45,12.45,12.45,12.45,000,12.21
2013-06-07,12.50,12.59,12.28,12.45,1966800,12.21
2013-06-06,12.58,12.60,12.36,12.40,2530600,12.16
2013-06-05,12.82,12.82,12.65,12.65,2185400,12.40
2013-06-04,12.98,12.98,12.71,12.78,1906800,12.53
2013-06-03,13.00,13.01,12.85,12.90,2468000,12.65
2013-05-31,13.25,13.25,12.90,12.90,3565600,12.65
2013-05-30,13.13,13.26,12.95,13.11,2895400,12.86
2013-05-29,12.95,13.02,12.88,12.97,1888300,12.72
2013-05-28,12.93,12.94,12.80,12.82,1573200,12.57
2013-05-27,12.80,12.88,12.68,12.83,1818100,12.58
2013-05-24,12.86,12.94,12.68,12.74,2342700,12.49
2013-05-23,12.93,12.95,12.80,12.85,2406700,12.60
2013-05-22,12.99,13.04,12.88,12.88,2951600,12.63
2013-05-21,12.98,13.11,12.95,12.99,1415000,12.74
2013-05-20,13.11,13.30,13.00,13.00,3517800,12.75
2013-05-17,13.00,13.17,12.93,13.17,2993800,12.91
2013-05-16,13.00,13.12,12.84,12.88,2605000,12.63
2013-05-15,13.36,13.38,13.02,13.02,3594700,12.77
2013-05-14,13.35,13.36,13.20,13.22,1823200,12.96
2013-05-13,13.18,13.38,13.12,13.36,4116600,13.10
