Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.19,0.19,0.17,0.17,412400,0.17
2013-09-19,0.18,0.19,0.17,0.18,921500,0.18
2013-09-18,0.16,0.17,0.16,0.17,112900,0.17
2013-09-17,0.17,0.17,0.16,0.16,271300,0.16
2013-09-16,0.16,0.17,0.16,0.17,541300,0.17
2013-09-13,0.17,0.17,0.16,0.17,621900,0.17
2013-09-12,0.19,0.19,0.18,0.18,324300,0.18
2013-09-11,0.19,0.19,0.19,0.19,100100,0.19
2013-09-10,0.19,0.19,0.19,0.19,375000,0.19
2013-09-09,0.19,0.21,0.19,0.20,548500,0.20
2013-09-06,0.19,0.19,0.17,0.18,374300,0.18
2013-09-05,0.20,0.20,0.19,0.19,251200,0.19
2013-09-04,0.20,0.20,0.20,0.20,132600,0.20
2013-09-03,0.21,0.21,0.19,0.20,207200,0.20
2013-09-02,0.19,0.21,0.19,0.21,610400,0.21
2013-08-30,0.19,0.19,0.19,0.19,82300,0.19
2013-08-29,0.20,0.21,0.18,0.18,1110300,0.18
2013-08-28,0.21,0.21,0.20,0.20,578400,0.20
2013-08-27,0.20,0.21,0.19,0.20,471900,0.20
2013-08-26,0.22,0.22,0.19,0.20,2144300,0.20
2013-08-23,0.20,0.20,0.19,0.19,462200,0.19
2013-08-22,0.20,0.21,0.20,0.20,262200,0.20
2013-08-21,0.18,0.22,0.18,0.22,887000,0.22
2013-08-20,0.19,0.20,0.19,0.19,1483500,0.19
2013-08-19,0.23,0.25,0.20,0.20,2021100,0.20
2013-08-16,0.20,0.23,0.20,0.22,2308700,0.22
2013-08-15,0.19,0.19,0.19,0.19,1542700,0.19
2013-08-14,0.17,0.19,0.17,0.18,1326200,0.18
2013-08-13,0.17,0.17,0.16,0.17,1346700,0.17
2013-08-12,0.14,0.16,0.14,0.15,1279800,0.15
2013-08-09,0.13,0.15,0.13,0.14,1294200,0.14
2013-08-08,0.12,0.12,0.12,0.12,409000,0.12
2013-08-07,0.12,0.12,0.12,0.12,713100,0.12
2013-08-06,0.14,0.14,0.13,0.13,728800,0.13
2013-08-05,0.14,0.16,0.14,0.14,381000,0.14
2013-08-02,0.14,0.14,0.14,0.14,1091400,0.14
2013-08-01,0.17,0.17,0.13,0.14,2198900,0.14
2013-07-31,0.17,0.17,0.16,0.17,186500,0.17
2013-07-30,0.18,0.19,0.17,0.17,299100,0.17
2013-07-29,0.19,0.19,0.18,0.18,107500,0.18
2013-07-26,0.19,0.19,0.17,0.18,227400,0.18
2013-07-25,0.18,0.18,0.16,0.17,789900,0.17
2013-07-24,0.20,0.20,0.18,0.18,748300,0.18
2013-07-23,0.19,0.21,0.17,0.18,1435400,0.18
2013-07-19,0.16,0.16,0.14,0.14,340000,0.14
2013-07-18,0.16,0.16,0.15,0.16,449300,0.16
2013-07-17,0.16,0.16,0.14,0.15,348500,0.15
2013-07-16,0.16,0.16,0.15,0.16,348600,0.16
2013-07-15,0.14,0.16,0.14,0.16,623100,0.16
2013-07-12,0.14,0.15,0.13,0.14,1402200,0.14
2013-07-11,0.10,0.12,0.10,0.12,666600,0.12
2013-07-10,0.10,0.12,0.10,0.10,1220000,0.10
2013-07-09,0.10,0.10,0.10,0.10,189700,0.10
2013-07-08,0.10,0.10,0.10,0.10,295700,0.10
2013-07-05,0.10,0.10,0.10,0.10,386800,0.10
2013-07-04,0.10,0.10,0.10,0.10,304300,0.10
2013-07-03,0.10,0.10,0.10,0.10,468100,0.10
2013-07-02,0.11,0.11,0.10,0.10,878900,0.10
2013-07-01,0.09,0.10,0.09,0.10,268800,0.10
2013-06-28,0.08,0.09,0.08,0.09,603800,0.09
2013-06-27,0.08,0.09,0.08,0.08,560900,0.08
2013-06-26,0.08,0.08,0.08,0.08,168400,0.08
2013-06-25,0.08,0.09,0.08,0.08,743900,0.08
2013-06-24,0.10,0.10,0.08,0.08,934400,0.08
2013-06-21,0.10,0.10,0.09,0.10,636100,0.10
2013-06-20,0.10,0.10,0.10,0.10,286000,0.10
2013-06-18,0.10,0.11,0.10,0.10,182400,0.10
2013-06-17,0.10,0.11,0.10,0.10,270800,0.10
2013-06-14,0.10,0.10,0.10,0.10,331700,0.10
2013-06-13,0.12,0.12,0.10,0.11,487900,0.11
2013-06-12,0.11,0.12,0.10,0.12,1005500,0.12
2013-06-11,0.12,0.12,0.11,0.12,365300,0.12
2013-06-10,0.12,0.12,0.12,0.12,000,0.12
2013-06-07,0.12,0.12,0.12,0.12,501100,0.12
