Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.03,2.10,1.96,2.10,898300,2.10
2013-09-19,1.92,2.07,1.92,2.03,1226800,2.03
2013-09-18,1.85,1.91,1.82,1.90,602900,1.90
2013-09-17,1.82,1.86,1.80,1.80,208200,1.80
2013-09-16,1.84,1.84,1.81,1.81,142400,1.81
2013-09-13,1.80,1.89,1.80,1.87,213100,1.87
2013-09-12,1.80,1.83,1.76,1.80,138100,1.80
2013-09-11,1.89,1.90,1.76,1.79,382600,1.79
2013-09-10,1.90,1.92,1.88,1.88,162500,1.88
2013-09-09,1.94,1.94,1.89,1.91,137400,1.91
2013-09-06,2.00,2.01,1.99,2.00,413500,1.93
2013-09-05,2.03,2.03,1.97,1.99,309400,1.92
2013-09-04,1.99,2.02,1.98,2.02,463800,1.95
2013-09-03,1.96,2.00,1.96,1.99,441300,1.92
2013-09-02,1.92,1.99,1.91,1.93,267900,1.87
2013-08-30,1.88,1.92,1.88,1.89,283800,1.82
2013-08-29,1.99,2.00,1.88,1.88,598500,1.81
2013-08-28,2.04,2.04,1.95,2.00,532100,1.93
2013-08-27,1.98,2.10,1.94,2.10,1069500,2.03
2013-08-26,1.91,1.99,1.91,1.98,752400,1.91
2013-08-23,1.80,1.89,1.76,1.89,2060400,1.82
2013-08-22,2.23,2.25,1.73,1.74,3548700,1.68
2013-08-21,2.15,2.29,2.14,2.24,241800,2.16
2013-08-20,2.14,2.18,2.13,2.17,902700,2.09
2013-08-19,2.16,2.20,2.12,2.12,393700,2.05
2013-08-16,2.16,2.19,2.08,2.18,333000,2.10
2013-08-15,2.07,2.22,2.04,2.19,377400,2.11
2013-08-14,2.10,2.11,2.03,2.04,328300,1.97
2013-08-13,2.10,2.15,2.06,2.06,429500,1.99
2013-08-12,2.09,2.14,2.08,2.09,492600,2.02
2013-08-09,2.04,2.09,2.00,2.07,326200,2.00
2013-08-08,1.95,2.04,1.94,2.02,215300,1.95
2013-08-07,1.91,1.99,1.91,1.96,201400,1.89
2013-08-06,1.91,1.95,1.91,1.91,248700,1.85
2013-08-05,1.91,1.91,1.89,1.90,260400,1.84
2013-08-02,1.90,1.97,1.89,1.91,260500,1.84
2013-08-01,1.93,1.93,1.87,1.87,250500,1.80
2013-07-31,1.97,2.00,1.90,1.91,932500,1.85
2013-07-30,1.89,1.99,1.89,1.97,410300,1.90
2013-07-29,1.83,1.90,1.83,1.89,316800,1.82
2013-07-26,1.82,1.86,1.81,1.83,315200,1.77
2013-07-25,1.85,1.85,1.81,1.81,352400,1.75
2013-07-24,1.86,1.88,1.84,1.85,284700,1.79
2013-07-23,1.80,1.87,1.80,1.83,365200,1.77
2013-07-22,1.79,1.83,1.76,1.79,354000,1.73
2013-07-19,1.83,1.83,1.76,1.76,283700,1.70
2013-07-18,1.84,1.87,1.80,1.81,338400,1.75
2013-07-17,1.86,1.87,1.81,1.84,351000,1.77
2013-07-16,1.85,1.92,1.84,1.86,529300,1.79
2013-07-15,1.74,1.84,1.71,1.81,788100,1.75
2013-07-12,1.71,1.75,1.71,1.71,388000,1.65
2013-07-11,1.65,1.72,1.64,1.70,387200,1.64
2013-07-10,1.73,1.73,1.63,1.64,293200,1.59
2013-07-09,1.72,1.75,1.70,1.70,385000,1.64
2013-07-08,1.74,1.75,1.70,1.70,433700,1.64
2013-07-05,1.67,1.75,1.67,1.73,331600,1.67
2013-07-04,1.64,1.67,1.62,1.65,462500,1.60
2013-07-03,1.48,1.66,1.48,1.65,1164200,1.59
2013-07-02,1.55,1.58,1.47,1.48,1367400,1.43
2013-07-01,1.55,1.56,1.52,1.52,693400,1.47
2013-06-28,1.53,1.56,1.51,1.51,925400,1.46
2013-06-27,1.61,1.64,1.54,1.54,948400,1.49
2013-06-26,1.68,1.73,1.60,1.60,1486400,1.54
2013-06-25,1.64,1.73,1.63,1.66,1189100,1.60
2013-06-24,1.75,1.76,1.63,1.65,1763000,1.60
2013-06-21,1.74,1.77,1.66,1.75,1690600,1.69
2013-06-20,1.60,1.77,1.60,1.75,3335700,1.69
2013-06-19,1.57,1.64,1.55,1.59,4484200,1.53
2013-06-18,1.66,1.75,1.54,1.55,4498000,1.50
2013-06-17,1.85,1.88,1.60,1.61,7512000,1.55
2013-06-14,3.03,3.06,1.90,1.90,2344200,1.83
2013-06-13,3.05,3.05,2.95,3.03,166000,2.92
2013-06-12,3.14,3.14,3.00,3.01,363200,2.90
2013-06-11,3.07,3.15,3.01,3.11,233000,3.00
2013-06-10,3.03,3.03,3.03,3.03,000,2.92
2013-06-07,3.00,3.08,2.97,3.03,489600,2.92
2013-06-06,2.85,3.01,2.85,2.99,211500,2.89
2013-06-05,2.91,2.92,2.84,2.87,119500,2.77
2013-06-04,2.97,3.00,2.82,2.86,171500,2.76
2013-06-03,3.03,3.03,2.95,2.96,183200,2.86
2013-05-31,3.00,3.03,2.91,3.02,198600,2.91
2013-05-30,3.00,3.02,2.85,3.02,255300,2.91
2013-05-29,3.00,3.05,2.97,3.02,237800,2.91
2013-05-28,2.97,3.00,2.94,2.98,248800,2.88
2013-05-27,2.95,2.98,2.84,2.90,257800,2.80
2013-05-24,3.04,3.06,2.86,2.88,545000,2.78
2013-05-23,3.13,3.13,3.05,3.05,309200,2.94
2013-05-22,3.09,3.14,3.07,3.13,293300,3.02
2013-05-21,3.21,3.21,3.08,3.08,335000,2.97
2013-05-20,3.27,3.29,3.11,3.20,426800,3.09
2013-05-17,3.25,3.30,3.24,3.27,663800,3.16
2013-05-16,3.28,3.38,3.27,3.28,879000,3.17
2013-05-15,3.20,3.30,3.18,3.25,223000,3.14
2013-05-14,3.14,3.18,3.11,3.17,408600,3.06
2013-05-13,3.10,3.17,3.10,3.10,250100,2.99
2013-05-10,3.02,3.17,3.02,3.09,308900,2.98
2013-05-09,2.99,3.02,2.99,3.00,338000,2.89
2013-05-08,2.95,3.00,2.92,2.98,255100,2.88
2013-05-07,2.78,2.98,2.77,2.91,989200,2.81
2013-05-06,3.05,3.06,2.75,2.79,520400,2.69
2013-05-03,3.07,3.12,3.05,3.06,357100,2.95
2013-05-02,3.30,3.32,3.06,3.08,344200,2.97
2013-05-01,3.39,3.39,3.29,3.33,1864600,3.21
2013-04-30,3.36,3.42,3.36,3.39,219400,3.27
2013-04-29,3.34,3.38,3.33,3.35,120900,3.23
2013-04-26,3.30,3.38,3.30,3.34,209000,3.22
2013-04-25,3.32,3.32,3.32,3.32,000,3.20
2013-04-24,3.40,3.40,3.29,3.32,329800,3.20
2013-04-23,3.48,3.48,3.27,3.38,430300,3.26
2013-04-22,3.09,3.47,3.09,3.47,650700,3.35
2013-04-19,2.64,3.15,2.64,3.06,895200,2.95
2013-04-18,2.86,2.89,2.53,2.68,1816700,2.59
2013-04-17,3.27,3.30,2.86,2.95,722500,2.85
2013-04-16,3.40,3.40,3.15,3.26,553300,3.15
2013-04-15,3.56,3.59,3.44,3.58,740600,3.45
2013-04-12,3.67,3.67,3.58,3.58,7323800,3.45
2013-04-11,3.70,3.74,3.65,3.67,176200,3.54
2013-04-10,3.63,3.69,3.63,3.66,134500,3.53
2013-04-09,3.64,3.67,3.58,3.62,136600,3.49
2013-04-08,3.65,3.65,3.53,3.62,200500,3.49
2013-04-05,3.57,3.67,3.54,3.65,93100,3.52
2013-04-04,3.65,3.65,3.51,3.57,185800,3.45
2013-04-03,3.82,3.82,3.69,3.69,291400,3.56
2013-04-02,3.82,3.82,3.73,3.82,199700,3.69
2013-04-01,3.82,3.82,3.82,3.82,000,3.69
2013-03-29,3.82,3.82,3.82,3.82,000,3.69
2013-03-28,3.87,3.87,3.79,3.82,166400,3.69
2013-03-27,3.81,3.87,3.74,3.87,232500,3.73
2013-03-26,3.62,3.84,3.62,3.80,394800,3.67
2013-03-25,3.51,3.69,3.51,3.63,1682600,3.50
2013-03-22,3.63,3.63,3.34,3.51,440300,3.39
2013-03-21,3.74,3.74,3.59,3.65,390100,3.52
2013-03-20,3.87,3.87,3.70,3.75,554300,3.62
2013-03-19,3.85,3.95,3.84,3.90,513400,3.76
2013-03-18,3.79,3.87,3.66,3.81,569900,3.68
2013-03-15,3.74,3.95,3.56,3.95,3218500,3.81
2013-03-14,3.80,3.81,3.55,3.74,319400,3.61
2013-03-13,3.80,3.81,3.75,3.80,286500,3.67
2013-03-12,3.79,3.82,3.75,3.80,350100,3.67
2013-03-11,3.81,3.83,3.76,3.79,186100,3.66
2013-03-08,3.80,3.83,3.76,3.79,276000,3.66
2013-03-07,3.82,3.84,3.81,3.82,485500,3.63
2013-03-06,3.82,3.84,3.80,3.82,452200,3.63
2013-03-05,3.84,3.84,3.81,3.83,410100,3.64
2013-03-04,3.79,3.84,3.76,3.82,578600,3.63
2013-03-01,3.77,3.85,3.71,3.79,1046400,3.60
2013-02-28,3.46,3.65,3.46,3.64,484000,3.46
2013-02-27,3.40,3.47,3.40,3.45,664300,3.28
2013-02-26,3.31,3.49,3.31,3.36,604800,3.19
2013-02-25,3.23,3.36,3.21,3.31,598700,3.14
2013-02-22,3.06,3.32,3.06,3.19,1375900,3.03
2013-02-21,2.80,3.07,2.64,3.03,861600,2.88
2013-02-20,2.80,2.88,2.80,2.83,195700,2.69
2013-02-19,2.96,2.98,2.81,2.84,352700,2.70
2013-02-18,2.90,3.05,2.90,2.95,2078600,2.80
2013-02-15,2.84,2.89,2.76,2.88,509900,2.74
2013-02-14,2.83,2.84,2.77,2.82,1472800,2.68
2013-02-13,2.80,2.81,2.77,2.81,146300,2.67
2013-02-12,2.81,2.81,2.77,2.80,191700,2.66
2013-02-11,2.81,2.83,2.78,2.80,119900,2.66
2013-02-08,2.82,2.85,2.76,2.78,172700,2.64
2013-02-07,2.84,2.84,2.80,2.84,150200,2.70
2013-02-06,2.84,2.89,2.83,2.84,393100,2.70
2013-02-05,2.75,2.90,2.74,2.83,635100,2.69
2013-02-04,2.81,2.85,2.76,2.77,368600,2.63
2013-02-01,2.79,2.81,2.72,2.79,310700,2.65
2013-01-31,2.80,2.83,2.74,2.79,215100,2.65
2013-01-30,2.82,2.82,2.74,2.79,301500,2.65
2013-01-29,2.72,2.85,2.71,2.78,419200,2.64
2013-01-28,2.70,2.70,2.70,2.70,000,2.56
2013-01-25,2.70,2.72,2.68,2.70,327000,2.56
2013-01-24,2.72,2.73,2.68,2.68,231400,2.55
2013-01-23,2.65,2.75,2.65,2.73,409700,2.59
2013-01-22,2.56,2.72,2.56,2.65,823200,2.52
2013-01-21,2.40,2.52,2.40,2.50,802600,2.37
2013-01-18,2.40,2.42,2.38,2.39,387900,2.27
2013-01-17,2.37,2.39,2.34,2.36,115400,2.24
2013-01-16,2.30,2.37,2.30,2.36,214500,2.24
2013-01-15,2.30,2.35,2.29,2.30,236200,2.18
2013-01-14,2.28,2.33,2.27,2.30,159300,2.18
2013-01-11,2.31,2.35,2.26,2.26,327000,2.15
2013-01-10,2.34,2.34,2.26,2.31,259700,2.19
2013-01-09,2.23,2.36,2.11,2.34,626500,2.22
2013-01-08,2.34,2.34,2.25,2.26,375100,2.15
2013-01-07,2.37,2.42,2.36,2.36,151900,2.24
2013-01-04,2.45,2.45,2.37,2.39,157300,2.27
2013-01-03,2.38,2.45,2.36,2.45,462700,2.33
2013-01-02,2.47,2.48,2.36,2.38,266700,2.26
2013-01-01,2.41,2.41,2.41,2.41,000,2.29
2012-12-31,2.41,2.44,2.41,2.41,46100,2.29
2012-12-28,2.42,2.45,2.36,2.43,87800,2.31
2012-12-27,2.42,2.42,2.37,2.41,44500,2.29
2012-12-26,2.42,2.42,2.42,2.42,000,2.30
2012-12-25,2.42,2.42,2.42,2.42,000,2.30
2012-12-24,2.35,2.43,2.35,2.42,26800,2.30
2012-12-21,2.42,2.43,2.35,2.37,216600,2.25
2012-12-20,2.46,2.50,2.42,2.44,510100,2.32
2012-12-19,2.44,2.46,2.42,2.44,467300,2.32
2012-12-18,2.37,2.44,2.36,2.41,541300,2.29
2012-12-17,2.39,2.39,2.34,2.34,217600,2.22
2012-12-14,2.32,2.38,2.32,2.37,323900,2.25
2012-12-13,2.38,2.42,2.32,2.33,387400,2.21
2012-12-12,2.32,2.40,2.32,2.37,488700,2.25
2012-12-11,2.32,2.35,2.30,2.30,165100,2.18
2012-12-10,2.31,2.35,2.30,2.33,311200,2.21
2012-12-07,2.37,2.39,2.29,2.31,306200,2.19
2012-12-06,2.38,2.40,2.32,2.36,320200,2.24
2012-12-05,2.38,2.38,2.34,2.37,179100,2.25
2012-12-04,2.36,2.44,2.32,2.38,518900,2.26
2012-12-03,2.27,2.46,2.25,2.37,663400,2.25
2012-11-30,2.28,2.28,2.24,2.27,301900,2.16
2012-11-29,2.27,2.27,2.26,2.26,245000,2.15
2012-11-28,2.30,2.30,2.24,2.27,261500,2.16
2012-11-27,2.33,2.33,2.28,2.30,458100,2.18
2012-11-26,2.34,2.35,2.32,2.34,666500,2.22
2012-11-23,2.35,2.35,2.29,2.32,274100,2.20
2012-11-22,2.33,2.37,2.30,2.33,535300,2.21
2012-11-21,2.33,2.35,2.30,2.31,261300,2.19
2012-11-20,2.31,2.37,2.31,2.35,523800,2.23
2012-11-19,2.28,2.31,2.27,2.29,376400,2.18
