Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.01,0.01,0.01,0.01,000,0.01
2013-09-19,0.01,0.01,0.01,0.01,765500,0.01
2013-09-18,0.01,0.01,0.01,0.01,589000,0.01
2013-09-17,0.01,0.01,0.01,0.01,914500,0.01
2013-09-16,0.01,0.01,0.01,0.01,1173100,0.01
2013-09-13,0.01,0.01,0.01,0.01,4138100,0.01
2013-09-12,0.01,0.01,0.01,0.01,1566400,0.01
2013-09-11,0.01,0.01,0.01,0.01,000,0.01
2013-09-10,0.01,0.01,0.01,0.01,500000,0.01
2013-09-09,0.01,0.01,0.01,0.01,249900,0.01
2013-09-06,0.01,0.01,0.01,0.01,1815000,0.01
2013-09-05,0.01,0.01,0.01,0.01,230800,0.01
2013-09-04,0.01,0.01,0.01,0.01,000,0.01
2013-09-03,0.01,0.01,0.01,0.01,1234400,0.01
2013-09-02,0.01,0.01,0.01,0.01,64000,0.01
2013-08-30,0.01,0.01,0.01,0.01,300000,0.01
2013-08-29,0.01,0.01,0.01,0.01,50000,0.01
2013-08-28,0.01,0.01,0.01,0.01,1651100,0.01
2013-08-27,0.01,0.01,0.01,0.01,88500,0.01
2013-08-26,0.01,0.01,0.01,0.01,467000,0.01
2013-08-23,0.01,0.01,0.01,0.01,606100,0.01
2013-08-22,0.01,0.01,0.01,0.01,980900,0.01
2013-08-21,0.01,0.02,0.01,0.01,8467600,0.01
2013-08-20,0.01,0.01,0.01,0.01,303300,0.01
2013-08-19,0.01,0.01,0.01,0.01,136000,0.01
2013-08-16,0.01,0.01,0.01,0.01,000,0.01
2013-08-15,0.01,0.01,0.01,0.01,332500,0.01
2013-08-14,0.01,0.01,0.01,0.01,45000,0.01
2013-08-13,0.01,0.01,0.01,0.01,700000,0.01
2013-08-12,0.01,0.01,0.01,0.01,314100,0.01
2013-08-09,0.01,0.01,0.01,0.01,711600,0.01
2013-08-08,0.01,0.01,0.01,0.01,401400,0.01
2013-08-07,0.01,0.01,0.01,0.01,1907300,0.01
2013-08-06,0.01,0.01,0.01,0.01,1617600,0.01
2013-08-05,0.01,0.01,0.01,0.01,182200,0.01
2013-08-02,0.01,0.01,0.01,0.01,1545200,0.01
2013-08-01,0.01,0.01,0.01,0.01,000,0.01
2013-07-31,0.01,0.01,0.01,0.01,154600,0.01
2013-07-30,0.01,0.01,0.01,0.01,50000,0.01
2013-07-29,0.01,0.01,0.01,0.01,600300,0.01
2013-07-26,0.01,0.01,0.01,0.01,2838800,0.01
2013-07-25,0.01,0.01,0.01,0.01,375000,0.01
2013-07-24,0.01,0.01,0.01,0.01,1372500,0.01
2013-07-23,0.02,0.02,0.01,0.01,260000,0.01
2013-07-19,0.02,0.02,0.01,0.01,791500,0.01
2013-07-18,0.01,0.02,0.01,0.02,9343200,0.02
2013-07-17,0.01,0.01,0.01,0.01,4435000,0.01
2013-07-16,0.01,0.01,0.01,0.01,2277000,0.01
2013-07-15,0.02,0.02,0.02,0.02,2301500,0.02
2013-07-12,0.01,0.02,0.01,0.02,1839700,0.02
2013-07-11,0.02,0.02,0.01,0.01,3099900,0.01
2013-07-10,0.02,0.02,0.02,0.02,11519600,0.02
2013-07-09,0.02,0.02,0.01,0.02,80906200,0.02
2013-07-08,0.01,0.01,0.01,0.01,000,0.01
2013-07-05,0.01,0.01,0.01,0.01,000,0.01
2013-07-04,0.02,0.02,0.01,0.01,20775000,0.01
2013-07-03,0.02,0.02,0.02,0.02,1883100,0.02
2013-07-02,0.02,0.02,0.02,0.02,3885000,0.02
2013-07-01,0.02,0.02,0.02,0.02,1210000,0.02
2013-06-28,0.02,0.02,0.02,0.02,1553300,0.02
2013-06-27,0.02,0.02,0.02,0.02,512700,0.02
2013-06-26,0.02,0.02,0.02,0.02,548900,0.02
2013-06-25,0.02,0.02,0.02,0.02,619900,0.02
2013-06-24,0.02,0.02,0.02,0.02,450000,0.02
2013-06-21,0.02,0.02,0.02,0.02,1345000,0.02
2013-06-20,0.03,0.03,0.03,0.03,537400,0.03
2013-06-18,0.02,0.03,0.02,0.03,2509000,0.03
2013-06-17,0.03,0.03,0.03,0.03,330000,0.03
2013-06-14,0.02,0.02,0.02,0.02,1316700,0.02
2013-06-13,0.02,0.02,0.02,0.02,1102800,0.02
2013-06-12,0.02,0.02,0.02,0.02,636600,0.02
2013-06-11,0.03,0.03,0.02,0.02,2142000,0.02
2013-06-10,0.03,0.03,0.03,0.03,000,0.03
2013-06-07,0.03,0.03,0.03,0.03,1365000,0.03
2013-06-06,0.02,0.02,0.02,0.02,2196500,0.02
2013-06-05,0.03,0.03,0.02,0.02,5032600,0.02
2013-06-04,0.03,0.03,0.03,0.03,3160000,0.03
2013-06-03,0.03,0.03,0.02,0.03,3814800,0.03
2013-05-31,0.02,0.03,0.02,0.03,2250700,0.03
2013-05-30,0.03,0.03,0.02,0.02,1980000,0.02
2013-05-29,0.02,0.03,0.02,0.02,3852100,0.02
2013-05-28,0.02,0.02,0.02,0.02,8093000,0.02
2013-05-27,0.03,0.03,0.02,0.02,8970000,0.02
2013-05-24,0.03,0.03,0.02,0.03,6421200,0.03
2013-05-23,0.03,0.03,0.03,0.03,12179300,0.03
2013-05-22,0.04,0.05,0.03,0.03,74747900,0.03
2013-05-21,0.02,0.03,0.02,0.02,1063900,0.02
2013-05-20,0.03,0.03,0.02,0.02,986800,0.02
2013-05-17,0.02,0.03,0.02,0.03,3294000,0.03
2013-05-16,0.02,0.02,0.02,0.02,1326200,0.02
2013-05-15,0.02,0.02,0.02,0.02,000,0.02
2013-05-14,0.02,0.02,0.02,0.02,520800,0.02
2013-05-13,0.02,0.02,0.02,0.02,205000,0.02
2013-05-10,0.02,0.02,0.02,0.02,12000,0.02
2013-05-09,0.02,0.02,0.02,0.02,316500,0.02
2013-05-08,0.02,0.02,0.02,0.02,400000,0.02
2013-05-07,0.02,0.02,0.02,0.02,245500,0.02
2013-05-06,0.02,0.02,0.02,0.02,1809100,0.02
2013-05-03,0.02,0.02,0.02,0.02,617700,0.02
2013-05-02,0.02,0.02,0.02,0.02,2491100,0.02
2013-05-01,0.02,0.03,0.02,0.02,745600,0.02
2013-04-30,0.03,0.03,0.02,0.02,7983300,0.02
2013-04-26,0.03,0.03,0.03,0.03,1495100,0.03
2013-04-25,0.03,0.03,0.03,0.03,000,0.03
2013-04-24,0.03,0.03,0.02,0.03,1035500,0.03
2013-04-23,0.03,0.03,0.02,0.03,364000,0.03
2013-04-22,0.02,0.03,0.02,0.03,1327700,0.03
2013-04-19,0.02,0.02,0.02,0.02,1078300,0.02
2013-04-18,0.02,0.03,0.02,0.02,8292300,0.02
2013-04-17,0.03,0.03,0.03,0.03,4810200,0.03
2013-04-16,0.03,0.03,0.03,0.03,3525300,0.03
2013-04-15,0.03,0.03,0.03,0.03,6519800,0.03
2013-04-12,0.05,0.05,0.03,0.03,23706100,0.03
2013-04-11,0.03,0.05,0.03,0.05,16022100,0.05
2013-04-10,0.03,0.03,0.02,0.03,13901000,0.03
2013-04-09,0.02,0.02,0.02,0.02,1737800,0.02
2013-04-08,0.02,0.02,0.02,0.02,1239000,0.02
2013-04-05,0.02,0.02,0.02,0.02,2526900,0.02
2013-04-04,0.02,0.02,0.02,0.02,1219000,0.02
2013-04-03,0.03,0.03,0.02,0.02,4035200,0.02
2013-04-02,0.02,0.03,0.02,0.03,6856100,0.03
2013-04-01,0.02,0.02,0.02,0.02,000,0.02
2013-03-29,0.02,0.02,0.02,0.02,000,0.02
2013-03-28,0.02,0.02,0.02,0.02,688600,0.02
2013-03-27,0.02,0.02,0.02,0.02,490500,0.02
2013-03-26,0.02,0.02,0.02,0.02,1166000,0.02
2013-03-25,0.02,0.02,0.02,0.02,652100,0.02
2013-03-22,0.02,0.02,0.02,0.02,760000,0.02
2013-03-21,0.03,0.03,0.02,0.02,700000,0.02
2013-03-20,0.03,0.03,0.03,0.03,800000,0.03
2013-03-19,0.03,0.03,0.03,0.03,481400,0.03
2013-03-18,0.03,0.03,0.03,0.03,000,0.03
2013-03-15,0.03,0.03,0.03,0.03,300000,0.03
2013-03-14,0.03,0.03,0.03,0.03,1444000,0.03
2013-03-13,0.03,0.03,0.03,0.03,637200,0.03
2013-03-12,0.03,0.04,0.03,0.04,195000,0.04
2013-03-08,0.03,0.04,0.03,0.04,325000,0.04
2013-03-07,0.03,0.04,0.03,0.03,3307700,0.03
2013-03-06,0.02,0.02,0.02,0.02,481500,0.02
2013-03-05,0.02,0.02,0.02,0.02,200000,0.02
2013-03-04,0.02,0.02,0.02,0.02,000,0.02
2013-03-01,0.03,0.03,0.02,0.02,420000,0.02
2013-02-28,0.03,0.03,0.03,0.03,158000,0.03
2013-02-27,0.03,0.03,0.03,0.03,92000,0.03
2013-02-26,0.03,0.03,0.03,0.03,524300,0.03
2013-02-25,0.03,0.03,0.03,0.03,000,0.03
2013-02-22,0.03,0.03,0.03,0.03,340600,0.03
2013-02-21,0.03,0.03,0.03,0.03,292400,0.03
2013-02-20,0.03,0.03,0.03,0.03,000,0.03
2013-02-19,0.03,0.03,0.03,0.03,430500,0.03
2013-02-18,0.04,0.04,0.03,0.03,719500,0.03
2013-02-15,0.04,0.04,0.03,0.03,570000,0.03
2013-02-14,0.04,0.04,0.04,0.04,375000,0.04
2013-02-13,0.04,0.04,0.04,0.04,642100,0.04
2013-02-12,0.04,0.04,0.04,0.04,90000,0.04
2013-02-11,0.04,0.04,0.04,0.04,601000,0.04
2013-02-08,0.04,0.04,0.04,0.04,1080000,0.04
2013-02-07,0.04,0.04,0.04,0.04,772000,0.04
2013-02-06,0.04,0.04,0.04,0.04,621900,0.04
2013-02-05,0.04,0.04,0.04,0.04,776600,0.04
2013-02-04,0.04,0.04,0.04,0.04,762300,0.04
2013-02-01,0.04,0.04,0.04,0.04,1135400,0.04
2013-01-31,0.04,0.04,0.04,0.04,245000,0.04
2013-01-30,0.04,0.04,0.04,0.04,64400,0.04
2013-01-29,0.04,0.04,0.04,0.04,450000,0.04
2013-01-28,0.04,0.04,0.04,0.04,000,0.04
2013-01-25,0.04,0.04,0.04,0.04,439500,0.04
2013-01-24,0.04,0.04,0.04,0.04,58000,0.04
2013-01-23,0.04,0.04,0.04,0.04,65000,0.04
2013-01-22,0.04,0.04,0.04,0.04,815800,0.04
2013-01-21,0.04,0.04,0.04,0.04,126100,0.04
2013-01-18,0.04,0.04,0.04,0.04,528300,0.04
2013-01-17,0.04,0.04,0.04,0.04,481800,0.04
2013-01-16,0.04,0.04,0.04,0.04,278000,0.04
2013-01-15,0.04,0.04,0.04,0.04,679200,0.04
2013-01-14,0.04,0.04,0.04,0.04,781200,0.04
2013-01-11,0.04,0.04,0.04,0.04,830500,0.04
2013-01-10,0.05,0.05,0.04,0.04,1557900,0.04
2013-01-09,0.05,0.05,0.05,0.05,595400,0.05
2013-01-08,0.05,0.05,0.05,0.05,540700,0.05
2013-01-07,0.05,0.06,0.05,0.05,1819900,0.05
2013-01-04,0.05,0.05,0.05,0.05,200000,0.05
2013-01-03,0.05,0.05,0.05,0.05,235400,0.05
2013-01-02,0.05,0.05,0.05,0.05,215000,0.05
2013-01-01,0.05,0.05,0.05,0.05,000,0.05
2012-12-31,0.05,0.05,0.05,0.05,000,0.05
2012-12-28,0.05,0.05,0.05,0.05,282000,0.05
2012-12-27,0.05,0.05,0.05,0.05,155000,0.05
2012-12-26,0.05,0.05,0.05,0.05,000,0.05
2012-12-25,0.05,0.05,0.05,0.05,000,0.05
2012-12-24,0.05,0.05,0.05,0.05,185000,0.05
2012-12-21,0.05,0.05,0.05,0.05,548000,0.05
2012-12-20,0.05,0.05,0.05,0.05,150000,0.05
2012-12-19,0.05,0.05,0.05,0.05,110000,0.05
2012-12-18,0.05,0.05,0.05,0.05,125400,0.05
2012-12-17,0.05,0.05,0.05,0.05,130000,0.05
2012-12-14,0.05,0.05,0.05,0.05,136000,0.05
2012-12-13,0.06,0.06,0.06,0.06,000,0.06
2012-12-12,0.06,0.06,0.06,0.06,000,0.06
2012-12-11,0.06,0.06,0.06,0.06,100000,0.06
2012-12-10,0.05,0.06,0.05,0.06,249400,0.06
2012-12-07,0.05,0.05,0.05,0.05,204900,0.05
2012-12-06,0.05,0.05,0.05,0.05,000,0.05
2012-12-05,0.05,0.05,0.05,0.05,76000,0.05
2012-12-04,0.05,0.05,0.05,0.05,000,0.05
2012-12-03,0.05,0.05,0.05,0.05,132400,0.05
2012-11-30,0.05,0.05,0.05,0.05,000,0.05
2012-11-29,0.05,0.05,0.05,0.05,106200,0.05
2012-11-28,0.05,0.05,0.05,0.05,58000,0.05
2012-11-27,0.05,0.05,0.05,0.05,96200,0.05
2012-11-26,0.05,0.05,0.05,0.05,100000,0.05
2012-11-23,0.05,0.05,0.04,0.04,57400,0.04
2012-11-22,0.05,0.05,0.05,0.05,70000,0.05
2012-11-21,0.05,0.05,0.05,0.05,000,0.05
2012-11-20,0.05,0.05,0.05,0.05,000,0.05
2012-11-19,0.05,0.05,0.05,0.05,000,0.05
2012-11-16,0.05,0.05,0.05,0.05,6000,0.05
2012-11-15,0.05,0.05,0.05,0.05,278000,0.05
2012-11-14,0.05,0.05,0.05,0.05,302000,0.05
2012-11-13,0.05,0.05,0.05,0.05,342000,0.05
2012-11-12,0.05,0.05,0.05,0.05,115000,0.05
2012-11-09,0.05,0.05,0.05,0.05,60000,0.05
2012-11-08,0.05,0.05,0.05,0.05,20000,0.05
2012-11-07,0.05,0.05,0.05,0.05,000,0.05
2012-11-06,0.05,0.05,0.05,0.05,29900,0.05
2012-11-05,0.05,0.05,0.05,0.05,000,0.05
2012-11-02,0.05,0.05,0.05,0.05,129900,0.05
2012-11-01,0.05,0.05,0.05,0.05,000,0.05
2012-10-31,0.05,0.05,0.05,0.05,153000,0.05
2012-10-30,0.05,0.05,0.05,0.05,30000,0.05
