Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.13,0.14,0.13,0.14,86000,0.14
2013-09-19,0.13,0.14,0.12,0.12,795000,0.12
2013-09-18,0.12,0.13,0.12,0.13,267500,0.13
2013-09-17,0.12,0.13,0.12,0.12,10600,0.12
2013-09-16,0.13,0.13,0.12,0.12,118500,0.12
2013-09-13,0.12,0.13,0.12,0.12,253600,0.12
2013-09-12,0.13,0.13,0.13,0.13,378000,0.13
2013-09-11,0.12,0.14,0.12,0.12,648000,0.12
2013-09-10,0.12,0.13,0.12,0.12,208100,0.12
2013-09-09,0.13,0.13,0.12,0.13,565700,0.13
2013-09-06,0.12,0.13,0.12,0.13,672000,0.13
2013-09-05,0.13,0.13,0.12,0.12,375500,0.12
2013-09-04,0.13,0.13,0.13,0.13,232300,0.13
2013-09-03,0.13,0.13,0.12,0.12,406900,0.12
2013-09-02,0.14,0.14,0.12,0.12,1973800,0.12
2013-08-30,0.15,0.15,0.14,0.15,257000,0.15
2013-08-29,0.16,0.16,0.15,0.15,417900,0.15
2013-08-28,0.16,0.17,0.16,0.16,438000,0.16
2013-08-27,0.16,0.16,0.15,0.15,229300,0.15
2013-08-26,0.15,0.17,0.14,0.16,1638000,0.16
2013-08-23,0.16,0.16,0.16,0.16,000,0.16
2013-08-22,0.16,0.16,0.16,0.16,000,0.16
2013-08-21,0.14,0.16,0.14,0.16,389500,0.16
2013-08-20,0.13,0.14,0.13,0.14,116000,0.14
2013-08-19,0.13,0.14,0.13,0.13,134400,0.13
2013-08-16,0.12,0.13,0.12,0.13,410600,0.13
2013-08-15,0.12,0.12,0.12,0.12,151400,0.12
2013-08-14,0.12,0.12,0.12,0.12,130700,0.12
2013-08-13,0.12,0.12,0.12,0.12,228900,0.12
2013-08-12,0.12,0.12,0.12,0.12,431800,0.12
2013-08-09,0.13,0.13,0.12,0.12,94100,0.12
2013-08-08,0.12,0.12,0.12,0.12,13800,0.12
2013-08-07,0.13,0.13,0.12,0.13,161600,0.13
2013-08-06,0.13,0.14,0.13,0.14,31000,0.14
2013-08-05,0.14,0.14,0.14,0.14,363900,0.14
2013-08-02,0.14,0.14,0.12,0.13,504100,0.13
2013-08-01,0.12,0.14,0.12,0.14,255100,0.14
2013-07-31,0.14,0.14,0.12,0.12,660600,0.12
2013-07-30,0.12,0.16,0.12,0.13,1410500,0.13
2013-07-29,0.09,0.12,0.09,0.10,1015100,0.10
2013-07-26,0.09,0.09,0.09,0.09,140200,0.09
2013-07-25,0.09,0.09,0.08,0.08,157300,0.08
2013-07-24,0.09,0.09,0.08,0.08,640300,0.08
2013-07-23,0.08,0.09,0.08,0.09,754100,0.09
2013-07-22,0.08,0.08,0.08,0.08,335400,0.08
2013-07-19,0.09,0.09,0.08,0.08,490200,0.08
2013-07-18,0.08,0.09,0.08,0.09,498800,0.09
2013-07-17,0.09,0.09,0.08,0.08,324000,0.08
2013-07-16,0.09,0.09,0.08,0.09,312900,0.09
2013-07-15,0.09,0.09,0.09,0.09,547100,0.09
2013-07-12,0.09,0.09,0.09,0.09,433800,0.09
2013-07-11,0.09,0.09,0.09,0.09,110300,0.09
2013-07-10,0.09,0.09,0.09,0.09,150000,0.09
2013-07-09,0.09,0.09,0.09,0.09,533500,0.09
2013-07-08,0.09,0.09,0.09,0.09,575100,0.09
2013-07-05,0.09,0.09,0.08,0.09,99000,0.09
2013-07-04,0.09,0.09,0.09,0.09,17700,0.09
2013-07-03,0.09,0.09,0.09,0.09,80500,0.09
2013-07-02,0.09,0.09,0.09,0.09,310000,0.09
2013-07-01,0.09,0.09,0.09,0.09,267900,0.09
2013-06-28,0.10,0.10,0.09,0.09,1780800,0.09
2013-06-27,0.10,0.10,0.10,0.10,635100,0.10
2013-06-26,0.10,0.10,0.10,0.10,997300,0.10
2013-06-25,0.12,0.12,0.10,0.10,1304200,0.10
2013-06-24,0.14,0.14,0.12,0.12,410500,0.12
2013-06-21,0.14,0.14,0.13,0.14,332400,0.14
2013-06-20,0.15,0.15,0.14,0.14,115800,0.14
2013-06-19,0.15,0.16,0.14,0.15,288400,0.15
2013-06-18,0.16,0.16,0.15,0.15,224500,0.15
2013-06-17,0.16,0.17,0.16,0.16,274500,0.16
2013-06-14,0.17,0.17,0.17,0.17,119500,0.17
2013-06-13,0.17,0.17,0.17,0.17,57200,0.17
2013-06-12,0.17,0.17,0.17,0.17,51700,0.17
2013-06-11,0.19,0.19,0.18,0.18,41900,0.18
2013-06-10,0.18,0.18,0.18,0.18,000,0.18
2013-06-07,0.18,0.18,0.18,0.18,50000,0.18
2013-06-06,0.17,0.19,0.17,0.19,83600,0.19
2013-06-05,0.17,0.17,0.17,0.17,3000,0.17
2013-06-04,0.17,0.17,0.17,0.17,132200,0.17
2013-06-03,0.17,0.18,0.17,0.18,69800,0.18
2013-05-31,0.17,0.17,0.17,0.17,235900,0.17
2013-05-30,0.18,0.18,0.17,0.17,229200,0.17
2013-05-29,0.17,0.18,0.17,0.18,375200,0.18
2013-05-28,0.19,0.19,0.17,0.17,584400,0.17
2013-05-27,0.19,0.19,0.19,0.19,20700,0.19
2013-05-24,0.19,0.19,0.19,0.19,15000,0.19
2013-05-23,0.20,0.21,0.18,0.19,437800,0.19
2013-05-22,0.22,0.22,0.20,0.20,410700,0.20
2013-05-21,0.22,0.23,0.22,0.22,449100,0.22
2013-05-20,0.23,0.24,0.22,0.22,962100,0.22
2013-05-17,0.22,0.23,0.22,0.22,2812600,0.22
2013-05-16,0.20,0.21,0.20,0.21,161200,0.21
2013-05-15,0.20,0.21,0.20,0.21,234000,0.21
2013-05-14,0.20,0.20,0.19,0.20,1122800,0.20
2013-05-13,0.25,0.26,0.19,0.19,7727000,0.19
2013-05-10,0.22,0.22,0.19,0.22,638000,0.22
2013-05-09,0.17,0.23,0.16,0.23,747300,0.23
2013-05-08,0.16,0.16,0.15,0.15,182000,0.15
2013-05-07,0.16,0.17,0.15,0.16,500000,0.16
2013-05-06,0.17,0.17,0.15,0.15,392000,0.15
2013-05-03,0.15,0.19,0.15,0.19,402000,0.19
2013-05-02,0.17,0.17,0.17,0.17,000,0.17
2013-05-01,0.17,0.17,0.17,0.17,000,0.17
2013-04-30,0.17,0.17,0.17,0.17,000,0.17
2013-04-29,0.17,0.17,0.17,0.17,000,0.17
2013-04-26,0.17,0.17,0.17,0.17,000,0.17
2013-04-25,0.17,0.17,0.17,0.17,000,0.17
2013-04-24,0.17,0.17,0.17,0.17,000,0.17
2013-04-23,0.17,0.17,0.17,0.17,110600,0.17
2013-04-22,0.16,0.17,0.16,0.17,102000,0.17
2013-04-19,0.16,0.16,0.16,0.16,000,0.16
2013-04-18,0.17,0.17,0.15,0.16,68200,0.16
2013-04-17,0.16,0.17,0.16,0.17,74800,0.17
2013-04-16,0.16,0.16,0.15,0.16,413200,0.16
2013-04-15,0.21,0.21,0.21,0.21,000,0.21
2013-04-12,0.21,0.21,0.21,0.21,8900,0.21
2013-04-11,0.22,0.22,0.21,0.22,88700,0.22
2013-04-10,0.20,0.23,0.20,0.23,403200,0.23
2013-04-09,0.23,0.23,0.23,0.23,000,0.23
2013-04-08,0.23,0.23,0.23,0.23,000,0.23
2013-04-05,0.21,0.23,0.19,0.23,81700,0.23
2013-04-04,0.21,0.21,0.21,0.21,28000,0.21
2013-04-03,0.22,0.22,0.22,0.22,270900,0.22
2013-04-02,0.25,0.25,0.22,0.22,40000,0.22
2013-04-01,0.25,0.25,0.25,0.25,000,0.25
2013-03-29,0.25,0.25,0.25,0.25,000,0.25
2013-03-28,0.22,0.25,0.22,0.25,118900,0.25
2013-03-27,0.23,0.23,0.23,0.23,100000,0.23
2013-03-26,0.24,0.24,0.23,0.23,140600,0.23
2013-03-25,0.23,0.25,0.23,0.25,80000,0.25
2013-03-22,0.24,0.25,0.23,0.23,69000,0.23
2013-03-21,0.25,0.25,0.22,0.24,294400,0.24
2013-03-20,0.25,0.25,0.24,0.25,142500,0.25
2013-03-19,0.25,0.25,0.25,0.25,000,0.25
2013-03-18,0.25,0.25,0.25,0.25,52000,0.25
2013-03-15,0.24,0.25,0.24,0.25,350000,0.25
2013-03-14,0.24,0.25,0.24,0.24,103000,0.24
2013-03-13,0.25,0.25,0.23,0.24,175000,0.24
2013-03-12,0.25,0.25,0.24,0.24,75000,0.24
2013-03-11,0.25,0.25,0.24,0.25,170000,0.25
2013-03-08,0.25,0.25,0.24,0.25,347900,0.25
2013-03-07,0.25,0.25,0.23,0.24,262500,0.24
2013-03-06,0.23,0.25,0.23,0.25,52700,0.25
2013-03-05,0.23,0.23,0.23,0.23,118100,0.23
2013-03-04,0.24,0.24,0.23,0.23,222200,0.23
2013-03-01,0.24,0.25,0.24,0.25,38100,0.25
2013-02-28,0.24,0.25,0.23,0.25,506000,0.25
2013-02-27,0.22,0.24,0.22,0.23,2830500,0.23
2013-02-26,0.22,0.22,0.21,0.22,172000,0.22
2013-02-25,0.22,0.23,0.22,0.22,345600,0.22
2013-02-22,0.22,0.24,0.22,0.23,311800,0.23
2013-02-21,0.24,0.24,0.23,0.23,284000,0.23
2013-02-20,0.25,0.25,0.25,0.25,38000,0.25
2013-02-19,0.25,0.25,0.22,0.24,570800,0.24
2013-02-18,0.27,0.27,0.25,0.25,451300,0.25
2013-02-15,0.28,0.28,0.26,0.26,136000,0.26
2013-02-14,0.27,0.28,0.26,0.28,242800,0.28
2013-02-13,0.31,0.31,0.31,0.31,000,0.31
2013-02-12,0.31,0.31,0.31,0.31,000,0.31
2013-02-11,0.31,0.31,0.31,0.31,000,0.31
2013-02-08,0.29,0.31,0.29,0.31,87500,0.31
2013-02-07,0.27,0.29,0.27,0.29,125000,0.29
2013-02-06,0.31,0.31,0.30,0.30,64300,0.30
2013-02-05,0.29,0.30,0.25,0.30,169000,0.30
2013-02-04,0.31,0.31,0.30,0.30,35400,0.30
2013-02-01,0.31,0.31,0.31,0.31,39900,0.31
2013-01-31,0.30,0.30,0.30,0.30,64500,0.30
2013-01-30,0.28,0.28,0.26,0.28,24100,0.28
2013-01-29,0.31,0.31,0.28,0.28,80600,0.28
2013-01-28,0.30,0.30,0.30,0.30,000,0.30
2013-01-25,0.30,0.30,0.30,0.30,000,0.30
2013-01-24,0.30,0.30,0.30,0.30,12200,0.30
2013-01-23,0.30,0.31,0.30,0.31,13600,0.31
2013-01-22,0.31,0.31,0.30,0.30,40100,0.30
2013-01-21,0.31,0.31,0.31,0.31,10000,0.31
2013-01-18,0.31,0.31,0.31,0.31,000,0.31
2013-01-17,0.31,0.31,0.31,0.31,114900,0.31
2013-01-16,0.31,0.31,0.31,0.31,96700,0.31
2013-01-15,0.33,0.33,0.31,0.31,61300,0.31
2013-01-14,0.32,0.32,0.32,0.32,20000,0.32
2013-01-11,0.34,0.34,0.32,0.34,136200,0.34
2013-01-10,0.32,0.34,0.32,0.34,107100,0.34
2013-01-09,0.32,0.34,0.32,0.32,102500,0.32
2013-01-08,0.34,0.34,0.32,0.32,24900,0.32
2013-01-07,0.32,0.32,0.32,0.32,22000,0.32
2013-01-04,0.31,0.32,0.31,0.32,38500,0.32
2013-01-03,0.31,0.31,0.31,0.31,000,0.31
2013-01-02,0.31,0.31,0.31,0.31,16000,0.31
2013-01-01,0.30,0.30,0.30,0.30,000,0.30
2012-12-31,0.30,0.30,0.30,0.30,15000,0.30
2012-12-28,0.31,0.31,0.30,0.30,32000,0.30
2012-12-27,0.31,0.31,0.31,0.31,7900,0.31
2012-12-26,0.30,0.30,0.30,0.30,000,0.30
2012-12-25,0.30,0.30,0.30,0.30,000,0.30
2012-12-24,0.32,0.32,0.30,0.30,50800,0.30
2012-12-21,0.32,0.33,0.32,0.33,113200,0.33
2012-12-20,0.34,0.34,0.32,0.32,22500,0.32
2012-12-19,0.32,0.32,0.30,0.31,98000,0.31
2012-12-18,0.31,0.31,0.31,0.31,000,0.31
2012-12-17,0.33,0.33,0.31,0.31,20000,0.31
2012-12-14,0.32,0.32,0.30,0.30,40000,0.30
2012-12-13,0.35,0.35,0.34,0.34,151200,0.34
2012-12-12,0.33,0.34,0.33,0.34,33200,0.34
2012-12-11,0.30,0.37,0.30,0.33,107900,0.33
2012-12-10,0.33,0.33,0.32,0.32,114000,0.32
2012-12-07,0.35,0.35,0.35,0.35,000,0.35
2012-12-06,0.38,0.38,0.35,0.35,15000,0.35
2012-12-05,0.37,0.38,0.36,0.38,170000,0.38
2012-12-04,0.39,0.39,0.39,0.39,000,0.39
2012-12-03,0.38,0.39,0.38,0.39,42900,0.39
2012-11-30,0.37,0.38,0.36,0.37,302000,0.37
2012-11-29,0.36,0.36,0.36,0.36,45100,0.36
2012-11-28,0.38,0.39,0.38,0.38,58400,0.38
2012-11-27,0.40,0.40,0.38,0.38,169000,0.38
2012-11-26,0.40,0.40,0.40,0.40,2500,0.40
2012-11-23,0.41,0.41,0.39,0.39,62000,0.39
2012-11-22,0.39,0.42,0.39,0.41,37800,0.41
2012-11-21,0.41,0.41,0.38,0.38,145000,0.38
2012-11-20,0.42,0.42,0.42,0.42,45000,0.42
2012-11-19,0.43,0.43,0.43,0.43,46800,0.43
2012-11-16,0.43,0.43,0.43,0.43,83100,0.43
2012-11-15,0.43,0.44,0.43,0.44,75000,0.44
2012-11-14,0.44,0.46,0.44,0.45,55000,0.45
2012-11-13,0.45,0.45,0.44,0.44,45000,0.44
2012-11-12,0.46,0.46,0.46,0.46,30000,0.46
2012-11-09,0.47,0.47,0.46,0.46,126700,0.46
2012-11-08,0.48,0.48,0.46,0.48,236000,0.48
2012-11-07,0.50,0.50,0.50,0.50,90000,0.50
2012-11-06,0.50,0.50,0.50,0.50,000,0.50
2012-11-05,0.49,0.50,0.49,0.50,475300,0.50
2012-11-02,0.44,0.50,0.44,0.50,495000,0.50
2012-11-01,0.46,0.46,0.46,0.46,24100,0.46
2012-10-31,0.44,0.47,0.44,0.47,345700,0.47
2012-10-30,0.44,0.44,0.44,0.44,167700,0.44
2012-10-29,0.43,0.44,0.43,0.44,33900,0.44
2012-10-26,0.40,0.45,0.40,0.45,224000,0.45
2012-10-25,0.41,0.41,0.40,0.40,407100,0.40
2012-10-24,0.42,0.42,0.41,0.42,247200,0.42
2012-10-23,0.45,0.45,0.40,0.43,592800,0.43
2012-10-22,0.45,0.45,0.45,0.45,2100,0.45
2012-10-19,0.45,0.45,0.44,0.45,209600,0.45
2012-10-18,0.44,0.45,0.43,0.45,63400,0.45
2012-10-17,0.44,0.44,0.43,0.43,115500,0.43
2012-10-16,0.44,0.45,0.43,0.45,590300,0.45
2012-10-15,0.43,0.44,0.43,0.44,14700,0.44
2012-10-12,0.44,0.44,0.41,0.42,148500,0.42
2012-10-11,0.45,0.45,0.44,0.44,135200,0.44
2012-10-10,0.43,0.45,0.43,0.45,407700,0.45
2012-10-09,0.46,0.47,0.44,0.44,168500,0.44
2012-10-08,0.49,0.49,0.49,0.49,3200,0.49
2012-10-05,0.50,0.50,0.49,0.49,10300,0.49
2012-10-04,0.49,0.49,0.49,0.49,29700,0.49
2012-10-03,0.48,0.49,0.48,0.49,30900,0.49
2012-10-02,0.49,0.49,0.49,0.49,12000,0.49
2012-10-01,0.49,0.49,0.49,0.49,000,0.49
2012-09-28,0.50,0.50,0.49,0.49,194600,0.49
2012-09-27,0.50,0.50,0.48,0.50,79700,0.50
2012-09-26,0.55,0.55,0.50,0.50,198100,0.50
2012-09-25,0.55,0.55,0.55,0.55,18100,0.55
2012-09-24,0.57,0.57,0.57,0.57,800,0.57
2012-09-21,0.57,0.58,0.57,0.57,100800,0.57
2012-09-20,0.58,0.58,0.56,0.56,139000,0.56
2012-09-19,0.56,0.58,0.56,0.58,73000,0.58
2012-09-18,0.55,0.56,0.55,0.56,94500,0.56
2012-09-17,0.55,0.55,0.55,0.55,89100,0.55
2012-09-14,0.54,0.55,0.53,0.55,177000,0.55
2012-09-13,0.56,0.56,0.54,0.54,20700,0.54
2012-09-12,0.55,0.58,0.55,0.58,65000,0.58
2012-09-11,0.59,0.59,0.57,0.58,199500,0.58
2012-09-10,0.57,0.57,0.53,0.56,40200,0.56
2012-09-07,0.51,0.57,0.51,0.57,454200,0.57
2012-09-06,0.54,0.54,0.54,0.54,15000,0.54
2012-09-05,0.54,0.55,0.54,0.54,56700,0.54
2012-09-04,0.52,0.54,0.50,0.54,96800,0.54
2012-09-03,0.52,0.56,0.52,0.52,624000,0.52
2012-08-31,0.58,0.58,0.57,0.57,9300,0.57
2012-08-30,0.60,0.60,0.58,0.58,38900,0.58
2012-08-29,0.58,0.60,0.58,0.60,125000,0.60
2012-08-28,0.60,0.60,0.60,0.60,000,0.60
2012-08-27,0.61,0.61,0.60,0.60,17000,0.60
2012-08-24,0.62,0.62,0.62,0.62,158200,0.62
2012-08-23,0.62,0.62,0.62,0.62,12200,0.62
2012-08-22,0.65,0.65,0.63,0.65,113700,0.65
2012-08-21,0.65,0.65,0.65,0.65,000,0.65
2012-08-20,0.65,0.65,0.65,0.65,000,0.65
2012-08-17,0.65,0.65,0.65,0.65,37700,0.65
2012-08-16,0.69,0.69,0.69,0.69,000,0.69
2012-08-15,0.69,0.69,0.69,0.69,18000,0.69
2012-08-14,0.63,0.67,0.63,0.67,66800,0.67
2012-08-13,0.60,0.62,0.60,0.62,15600,0.62
2012-08-10,0.62,0.62,0.61,0.62,99800,0.62
2012-08-09,0.62,0.63,0.62,0.63,20000,0.63
2012-08-08,0.63,0.63,0.60,0.62,192900,0.62
2012-08-07,0.63,0.63,0.63,0.63,000,0.63
2012-08-06,0.63,0.63,0.63,0.63,000,0.63
2012-08-03,0.65,0.65,0.63,0.63,69500,0.63
2012-08-02,0.65,0.67,0.65,0.67,15000,0.67
2012-08-01,0.68,0.68,0.65,0.67,185000,0.67
2012-07-31,0.67,0.68,0.67,0.68,86000,0.68
2012-07-30,0.63,0.65,0.62,0.65,162300,0.65
2012-07-27,0.62,0.62,0.61,0.62,57000,0.62
2012-07-26,0.62,0.63,0.61,0.61,50000,0.61
2012-07-25,0.64,0.64,0.64,0.64,000,0.64
2012-07-24,0.62,0.65,0.62,0.64,26300,0.64
2012-07-23,0.66,0.66,0.62,0.62,137500,0.62
2012-07-20,0.68,0.68,0.68,0.68,14300,0.68
2012-07-19,0.70,0.70,0.70,0.70,50000,0.70
2012-07-18,0.72,0.74,0.70,0.74,74900,0.74
2012-07-17,0.75,0.75,0.75,0.75,000,0.75
2012-07-16,0.75,0.75,0.75,0.75,000,0.75
2012-07-13,0.70,0.75,0.70,0.75,51500,0.75
2012-07-12,0.70,0.70,0.68,0.68,31300,0.68
2012-07-11,0.70,0.73,0.70,0.73,3000,0.73
2012-07-10,0.74,0.74,0.73,0.73,29300,0.73
2012-07-09,0.73,0.75,0.73,0.74,27700,0.74
2012-07-06,0.74,0.75,0.74,0.75,8500,0.75
2012-07-05,0.74,0.75,0.73,0.74,60800,0.74
2012-07-04,0.75,0.77,0.74,0.74,206600,0.74
2012-07-03,0.74,0.77,0.74,0.74,22300,0.74
2012-07-02,0.78,0.78,0.77,0.78,63800,0.78
2012-06-29,0.79,0.80,0.78,0.78,177700,0.78
2012-06-28,0.76,0.79,0.73,0.78,235500,0.78
2012-06-27,0.72,0.78,0.72,0.76,205800,0.76
2012-06-26,0.76,0.76,0.73,0.73,1700,0.73
2012-06-25,0.80,0.80,0.76,0.76,25600,0.76
2012-06-22,0.78,0.78,0.78,0.78,42800,0.78
2012-06-21,0.79,0.80,0.79,0.80,12000,0.80
2012-06-20,0.78,0.80,0.78,0.80,150600,0.80
2012-06-19,0.78,0.80,0.77,0.80,44100,0.80
2012-06-18,0.78,0.80,0.78,0.80,47500,0.80
2012-06-15,0.79,0.79,0.77,0.79,29200,0.79
2012-06-14,0.77,0.79,0.77,0.79,150700,0.79
2012-06-13,0.79,0.79,0.78,0.78,123200,0.78
2012-06-12,0.80,0.80,0.79,0.80,181500,0.80
2012-06-11,0.80,0.80,0.80,0.80,000,0.80
2012-06-08,0.80,0.80,0.77,0.80,51000,0.80
2012-06-07,0.75,0.75,0.75,0.75,000,0.75
2012-06-06,0.75,0.75,0.75,0.75,000,0.75
2012-06-05,0.75,0.75,0.75,0.75,83000,0.75
2012-06-04,0.73,0.75,0.72,0.74,15900,0.74
2012-06-01,0.78,0.78,0.77,0.77,110000,0.77
2012-05-31,0.76,0.80,0.74,0.80,179900,0.80
2012-05-30,0.78,0.78,0.76,0.77,213700,0.77
2012-05-29,0.78,0.80,0.77,0.77,78300,0.77
2012-05-28,0.78,0.78,0.78,0.78,10000,0.78
2012-05-25,0.80,0.80,0.80,0.80,000,0.80
2012-05-24,0.80,0.80,0.78,0.80,42400,0.80
2012-05-23,0.77,0.78,0.77,0.78,21300,0.78
2012-05-22,0.76,0.78,0.76,0.78,21600,0.78
2012-05-21,0.75,0.77,0.75,0.76,77900,0.76
2012-05-18,0.75,0.78,0.75,0.78,115300,0.78
2012-05-17,0.78,0.80,0.75,0.77,194800,0.77
2012-05-16,0.79,0.79,0.77,0.77,34000,0.77
2012-05-15,0.82,0.82,0.76,0.79,162100,0.79
2012-05-14,0.82,0.83,0.81,0.83,192000,0.83
2012-05-11,0.81,0.81,0.80,0.81,46000,0.81
2012-05-10,0.77,0.80,0.77,0.80,67300,0.80
2012-05-09,0.80,0.80,0.75,0.76,151600,0.76
2012-05-08,0.83,0.83,0.80,0.80,28500,0.80
2012-05-07,0.81,0.83,0.80,0.83,260000,0.83
2012-05-04,0.86,0.89,0.85,0.85,101600,0.85
2012-05-03,0.86,0.92,0.86,0.88,622000,0.88
2012-05-02,0.82,0.85,0.82,0.85,105500,0.85
2012-05-01,0.81,0.81,0.80,0.81,144700,0.81
2012-04-30,0.81,0.81,0.79,0.81,547900,0.81
2012-04-27,0.80,0.81,0.75,0.80,430000,0.80
2012-04-26,0.83,0.85,0.80,0.81,366000,0.81
2012-04-25,0.82,0.82,0.82,0.82,000,0.82
2012-04-24,0.83,0.83,0.79,0.82,765300,0.82
2012-04-23,0.85,0.86,0.84,0.84,318700,0.84
2012-04-20,0.87,0.88,0.83,0.83,159100,0.83
2012-04-19,0.89,0.89,0.82,0.86,174500,0.86
2012-04-18,0.88,0.90,0.88,0.89,411400,0.89
2012-04-17,0.88,0.88,0.86,0.88,182100,0.88
2012-04-16,0.90,0.90,0.85,0.88,155800,0.88
2012-04-13,0.91,0.91,0.88,0.90,1530300,0.90
2012-04-12,0.90,0.91,0.87,0.87,324900,0.87
2012-04-11,0.86,0.92,0.86,0.90,309000,0.90
2012-04-10,0.83,0.95,0.83,0.90,668100,0.90
2012-04-09,0.82,0.82,0.82,0.82,000,0.82
2012-04-06,0.82,0.82,0.82,0.82,000,0.82
2012-04-05,0.82,0.82,0.80,0.82,137200,0.82
2012-04-04,0.81,0.83,0.80,0.80,539000,0.80
2012-04-03,0.79,0.85,0.79,0.82,852100,0.82
2012-04-02,0.72,0.78,0.71,0.76,754300,0.76
2012-03-30,0.73,0.73,0.70,0.73,574600,0.73
2012-03-29,0.70,0.73,0.69,0.73,283700,0.73
2012-03-28,0.70,0.71,0.69,0.69,457100,0.69
2012-03-27,0.69,0.70,0.67,0.70,739600,0.70
2012-03-26,0.71,0.71,0.67,0.69,443900,0.69
2012-03-23,0.62,0.76,0.62,0.70,880400,0.70
2012-03-22,0.56,0.63,0.56,0.62,664200,0.62
2012-03-21,0.56,0.56,0.54,0.54,428500,0.54
2012-03-20,0.54,0.57,0.54,0.57,116200,0.57
2012-03-19,0.54,0.55,0.52,0.54,686600,0.54
2012-03-16,0.54,0.54,0.54,0.54,87000,0.54
2012-03-15,0.53,0.53,0.53,0.53,46400,0.53
2012-03-14,0.51,0.54,0.51,0.52,172700,0.52
2012-03-13,0.53,0.53,0.50,0.50,126000,0.50
2012-03-12,0.55,0.59,0.54,0.54,108400,0.54
2012-03-09,0.50,0.53,0.50,0.53,477000,0.53
2012-03-08,0.45,0.50,0.45,0.49,367800,0.49
2012-03-07,0.45,0.45,0.41,0.45,196500,0.45
2012-03-06,0.47,0.47,0.47,0.47,000,0.47
2012-03-05,0.47,0.47,0.46,0.46,18500,0.46
2012-03-02,0.48,0.49,0.47,0.47,29900,0.47
2012-03-01,0.48,0.48,0.47,0.48,164400,0.48
2012-02-29,0.51,0.51,0.47,0.47,122200,0.47
2012-02-28,0.50,0.50,0.50,0.50,463700,0.50
2012-02-27,0.51,0.55,0.50,0.50,1095900,0.50
2012-02-24,0.47,0.59,0.46,0.50,737100,0.50
2012-02-23,0.38,0.46,0.38,0.46,1044900,0.46
