Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.30,2.42,2.25,2.27,2966800,2.27
2013-09-19,2.30,2.33,2.25,2.28,1064700,2.28
2013-09-18,2.15,2.25,2.07,2.20,1942100,2.20
2013-09-17,2.01,2.16,1.99,2.12,1620700,2.12
2013-09-16,2.13,2.13,1.99,2.01,1466400,2.01
2013-09-13,2.11,2.20,1.97,2.09,1718900,2.09
2013-09-12,2.19,2.33,2.07,2.11,3825500,2.11
2013-09-11,1.80,2.05,1.80,2.00,3032500,2.00
2013-09-10,1.74,1.79,1.74,1.77,1232800,1.77
2013-09-09,1.69,1.75,1.68,1.73,827400,1.73
2013-09-06,1.74,1.74,1.63,1.67,1047300,1.67
2013-09-05,1.78,1.85,1.70,1.73,1685900,1.73
2013-09-04,1.68,1.75,1.65,1.74,1509900,1.74
2013-09-03,1.58,1.66,1.58,1.66,908000,1.66
2013-09-02,1.52,1.63,1.52,1.56,1264500,1.56
2013-08-30,1.45,1.50,1.40,1.47,1033200,1.47
2013-08-29,1.51,1.52,1.44,1.45,898100,1.45
2013-08-28,1.46,1.54,1.45,1.48,1079000,1.48
2013-08-27,1.53,1.53,1.47,1.48,1503900,1.48
2013-08-26,1.55,1.57,1.51,1.54,1939800,1.54
2013-08-23,1.56,1.61,1.52,1.53,2516300,1.53
2013-08-22,1.62,1.62,1.51,1.54,3597300,1.54
2013-08-21,1.63,1.66,1.54,1.56,15195700,1.56
2013-08-20,1.68,1.70,1.60,1.62,1667800,1.62
2013-08-19,1.65,1.73,1.65,1.69,1325400,1.69
2013-08-16,1.62,1.70,1.59,1.63,1651800,1.63
2013-08-15,1.67,1.68,1.62,1.63,1510000,1.63
2013-08-14,1.66,1.74,1.59,1.65,2100500,1.65
2013-08-13,1.70,1.71,1.58,1.65,2432000,1.65
2013-08-12,1.43,1.91,1.42,1.68,3644600,1.68
2013-08-09,1.39,1.45,1.38,1.41,1636800,1.41
2013-08-08,1.48,1.49,1.37,1.37,2086100,1.37
2013-08-07,1.57,1.59,1.48,1.48,1114000,1.48
2013-08-06,1.62,1.62,1.57,1.57,574400,1.57
2013-08-05,1.63,1.64,1.60,1.62,727500,1.62
