Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,5.49,5.56,5.47,5.52,8045800,5.52
2013-09-19,5.44,5.47,5.36,5.44,4704600,5.44
2013-09-18,5.26,5.35,5.23,5.29,2094300,5.29
2013-09-17,5.27,5.35,5.16,5.22,2123700,5.22
2013-09-16,5.36,5.37,5.26,5.33,1296400,5.33
2013-09-13,5.34,5.52,5.30,5.35,2913300,5.35
2013-09-12,5.33,5.35,5.27,5.31,1527700,5.31
2013-09-11,5.19,5.39,5.17,5.34,3547400,5.34
2013-09-10,5.15,5.18,5.14,5.16,2069400,5.16
2013-09-09,5.10,5.16,5.08,5.12,3304200,5.12
2013-09-06,4.99,5.11,4.98,5.09,3369400,5.09
2013-09-05,4.95,5.05,4.91,4.93,2400900,4.93
2013-09-04,5.06,5.06,4.97,4.97,1758100,4.97
2013-09-03,5.15,5.15,5.00,5.07,1049700,5.07
2013-09-02,5.09,5.15,5.04,5.10,1474700,5.10
2013-08-30,5.09,5.22,5.08,5.20,3123400,5.09
2013-08-29,5.08,5.10,4.97,5.10,2175300,5.00
2013-08-28,5.13,5.16,4.93,5.03,3221300,4.93
2013-08-27,5.11,5.22,5.05,5.20,2763500,5.09
2013-08-26,5.12,5.15,5.07,5.11,1705200,5.01
2013-08-23,4.93,5.14,4.91,5.09,4372000,4.99
2013-08-22,4.87,4.97,4.87,4.92,1698000,4.82
2013-08-21,4.90,5.09,4.87,4.92,2708500,4.82
2013-08-20,4.86,4.98,4.85,4.95,5679400,4.85
2013-08-19,4.48,4.80,4.48,4.68,5086900,4.59
2013-08-16,4.32,4.36,4.28,4.36,1708000,4.27
2013-08-15,4.23,4.30,4.23,4.28,1378600,4.19
2013-08-14,4.38,4.38,4.27,4.28,2211000,4.19
2013-08-13,4.25,4.39,4.20,4.36,2739100,4.27
2013-08-12,4.20,4.26,4.18,4.25,1128000,4.16
2013-08-09,4.28,4.29,4.19,4.23,969100,4.14
2013-08-08,4.15,4.30,4.15,4.28,1141500,4.19
2013-08-07,4.21,4.24,4.15,4.16,1489700,4.08
2013-08-06,4.19,4.27,4.19,4.25,1605600,4.16
2013-08-05,4.28,4.30,4.22,4.22,831000,4.13
2013-08-02,4.21,4.29,4.18,4.23,1035600,4.14
2013-08-01,4.27,4.30,4.18,4.20,1689300,4.12
2013-07-31,4.35,4.35,4.27,4.27,2093400,4.18
2013-07-30,4.20,4.33,4.19,4.33,1951700,4.24
2013-07-29,4.19,4.19,4.15,4.18,655800,4.10
2013-07-26,4.26,4.26,4.16,4.17,3153200,4.09
2013-07-25,4.21,4.26,4.15,4.26,2384500,4.17
2013-07-24,4.18,4.23,4.14,4.14,1811900,4.06
2013-07-23,4.29,4.29,4.20,4.20,1429600,4.12
2013-07-22,4.23,4.29,4.20,4.25,796100,4.16
2013-07-19,4.19,4.24,4.13,4.14,991300,4.06
2013-07-18,4.25,4.26,4.16,4.19,1038900,4.11
2013-07-17,4.21,4.24,4.16,4.20,976300,4.12
2013-07-16,4.30,4.30,4.23,4.25,887700,4.16
2013-07-15,4.23,4.31,4.21,4.27,832200,4.18
2013-07-12,4.35,4.36,4.26,4.27,1151900,4.18
2013-07-11,4.24,4.30,4.22,4.30,1573700,4.21
2013-07-10,4.20,4.26,4.18,4.23,2038400,4.14
2013-07-09,4.06,4.20,4.06,4.19,2067300,4.11
2013-07-08,4.03,4.12,3.97,4.03,986700,3.95
2013-07-05,4.00,4.07,3.99,4.05,880100,3.97
2013-07-04,4.01,4.01,3.93,3.96,1043900,3.88
2013-07-03,3.98,4.00,3.89,3.94,2091600,3.86
2013-07-02,3.95,4.06,3.94,4.06,2184800,3.98
2013-07-01,3.99,4.04,3.91,3.94,1567300,3.86
2013-06-28,3.96,4.01,3.94,4.01,1588600,3.93
2013-06-27,3.96,4.04,3.96,4.00,1877500,3.92
2013-06-26,3.91,3.99,3.89,3.94,1739200,3.86
2013-06-25,3.85,3.97,3.81,3.94,3527900,3.86
2013-06-24,3.86,3.90,3.80,3.82,1573000,3.74
