Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.48,0.48,0.48,0.48,2000,0.48
2013-09-19,0.48,0.48,0.48,0.48,000,0.48
2013-09-18,0.48,0.48,0.48,0.48,000,0.48
2013-09-17,0.48,0.48,0.48,0.48,18700,0.48
2013-09-16,0.47,0.48,0.47,0.48,4000,0.48
2013-09-13,0.43,0.48,0.43,0.48,42000,0.48
2013-09-12,0.43,0.43,0.43,0.43,000,0.43
2013-09-11,0.43,0.43,0.43,0.43,13400,0.43
2013-09-10,0.41,0.41,0.41,0.41,000,0.41
2013-09-09,0.40,0.41,0.40,0.41,30200,0.41
2013-09-06,0.40,0.40,0.40,0.40,000,0.40
2013-09-05,0.40,0.40,0.40,0.40,000,0.40
2013-09-04,0.40,0.40,0.40,0.40,5000,0.40
2013-09-03,0.38,0.40,0.38,0.40,96300,0.40
2013-09-02,0.38,0.38,0.38,0.38,000,0.38
2013-08-30,0.38,0.38,0.38,0.38,3500,0.38
2013-08-29,0.38,0.38,0.38,0.38,000,0.38
2013-08-28,0.38,0.38,0.38,0.38,400,0.38
2013-08-27,0.38,0.38,0.38,0.38,000,0.38
2013-08-26,0.38,0.38,0.38,0.38,36700,0.38
2013-08-23,0.38,0.38,0.38,0.38,79500,0.38
2013-08-22,0.37,0.37,0.37,0.37,000,0.37
2013-08-21,0.37,0.37,0.37,0.37,000,0.37
2013-08-20,0.38,0.38,0.37,0.37,50600,0.37
2013-08-19,0.37,0.37,0.37,0.37,000,0.37
2013-08-16,0.37,0.37,0.37,0.37,000,0.37
2013-08-15,0.37,0.37,0.37,0.37,000,0.37
2013-08-14,0.37,0.37,0.37,0.37,000,0.37
2013-08-13,0.37,0.37,0.37,0.37,13700,0.37
2013-08-12,0.36,0.36,0.36,0.36,5000,0.36
2013-08-09,0.36,0.36,0.36,0.36,1400,0.36
2013-08-08,0.36,0.36,0.36,0.36,25200,0.36
2013-08-07,0.36,0.36,0.36,0.36,000,0.36
2013-08-06,0.36,0.36,0.36,0.36,000,0.36
2013-08-05,0.36,0.36,0.36,0.36,000,0.36
2013-08-02,0.36,0.36,0.36,0.36,000,0.36
2013-08-01,0.36,0.36,0.36,0.36,000,0.36
2013-07-31,0.36,0.36,0.36,0.36,3000,0.36
2013-07-30,0.35,0.35,0.35,0.35,000,0.35
2013-07-29,0.35,0.35,0.35,0.35,000,0.35
2013-07-26,0.35,0.35,0.35,0.35,000,0.35
2013-07-25,0.35,0.35,0.35,0.35,000,0.35
2013-07-24,0.35,0.35,0.35,0.35,000,0.35
2013-07-23,0.35,0.35,0.35,0.35,000,0.35
2013-07-22,0.35,0.35,0.35,0.35,4500,0.35
2013-07-19,0.35,0.35,0.35,0.35,1400,0.35
2013-07-18,0.35,0.35,0.35,0.35,4000,0.35
2013-07-17,0.35,0.35,0.35,0.35,000,0.35
2013-07-16,0.35,0.35,0.35,0.35,5000,0.35
2013-07-15,0.35,0.35,0.35,0.35,000,0.35
2013-07-12,0.35,0.35,0.35,0.35,000,0.35
2013-07-11,0.35,0.35,0.35,0.35,000,0.35
2013-07-10,0.35,0.35,0.35,0.35,000,0.35
2013-07-09,0.35,0.35,0.35,0.35,1500,0.35
2013-07-08,0.35,0.35,0.35,0.35,11000,0.35
2013-07-05,0.35,0.35,0.35,0.35,19800,0.35
2013-07-04,0.37,0.37,0.37,0.37,000,0.37
2013-07-03,0.37,0.37,0.37,0.37,100,0.37
2013-07-02,0.37,0.37,0.37,0.37,000,0.37
2013-07-01,0.37,0.37,0.37,0.37,000,0.37
2013-06-28,0.37,0.37,0.37,0.37,000,0.37
2013-06-27,0.37,0.37,0.37,0.37,000,0.37
2013-06-26,0.37,0.37,0.37,0.37,000,0.37
2013-06-25,0.37,0.37,0.37,0.37,000,0.37
2013-06-24,0.37,0.37,0.37,0.37,000,0.37
2013-06-21,0.37,0.37,0.37,0.37,000,0.37
2013-06-20,0.37,0.37,0.37,0.37,5000,0.37
2013-06-19,0.37,0.37,0.37,0.37,000,0.37
2013-06-18,0.40,0.40,0.37,0.37,4000,0.37
2013-06-17,0.37,0.37,0.37,0.37,3000,0.37
2013-06-14,0.37,0.37,0.37,0.37,000,0.37
2013-06-13,0.37,0.37,0.37,0.37,000,0.37
2013-06-12,0.37,0.37,0.37,0.37,000,0.37
2013-06-11,0.37,0.37,0.37,0.37,4800,0.37
2013-06-10,0.37,0.37,0.37,0.37,000,0.37
2013-06-07,0.37,0.37,0.37,0.37,2000,0.37
2013-06-06,0.38,0.38,0.38,0.38,000,0.38
2013-06-05,0.38,0.38,0.38,0.38,000,0.38
2013-06-04,0.38,0.38,0.38,0.38,13300,0.38
2013-06-03,0.38,0.38,0.38,0.38,9500,0.38
2013-05-31,0.38,0.38,0.38,0.38,5000,0.38
