Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,3.83,3.86,3.76,3.80,911800,3.80
2013-09-19,3.95,3.95,3.82,3.90,1726100,3.90
2013-09-18,3.72,3.75,3.68,3.72,758500,3.72
2013-09-17,3.63,3.71,3.59,3.71,1083600,3.71
2013-09-16,3.58,3.62,3.55,3.57,813800,3.57
2013-09-13,3.53,3.57,3.53,3.55,298600,3.55
2013-09-12,3.61,3.61,3.51,3.55,609800,3.55
2013-09-11,3.65,3.67,3.58,3.62,270900,3.62
2013-09-10,3.61,3.66,3.61,3.64,371900,3.64
2013-09-09,3.63,3.63,3.58,3.60,452800,3.60
2013-09-06,3.56,3.63,3.52,3.62,1502200,3.62
2013-09-05,3.59,3.64,3.54,3.56,296700,3.56
2013-09-04,3.63,3.66,3.57,3.61,797300,3.61
2013-09-03,3.52,3.65,3.50,3.62,1261400,3.62
2013-09-02,3.52,3.61,3.46,3.52,1347800,3.52
2013-08-30,3.56,3.60,3.48,3.48,818700,3.48
2013-08-29,3.63,3.64,3.57,3.58,804900,3.58
2013-08-28,3.63,3.75,3.63,3.63,839500,3.63
2013-08-27,3.64,3.73,3.61,3.73,434800,3.73
2013-08-26,3.66,3.66,3.60,3.63,300200,3.63
2013-08-23,3.57,3.65,3.54,3.63,397200,3.63
2013-08-22,3.55,3.59,3.54,3.57,269400,3.57
2013-08-21,3.61,3.61,3.59,3.61,97400,3.61
2013-08-20,3.61,3.62,3.53,3.60,179000,3.60
2013-08-19,3.62,3.65,3.60,3.61,144500,3.61
2013-08-16,3.57,3.63,3.54,3.60,340100,3.60
2013-08-15,3.65,3.65,3.59,3.60,753800,3.60
2013-08-14,3.69,3.71,3.61,3.64,785600,3.64
2013-08-13,3.66,3.71,3.63,3.70,252300,3.70
2013-08-12,3.62,3.74,3.62,3.71,220700,3.71
2013-08-09,3.61,3.68,3.57,3.66,580900,3.66
2013-08-08,3.60,3.68,3.58,3.67,433300,3.67
2013-08-07,3.66,3.74,3.59,3.61,689700,3.61
2013-08-06,3.69,3.74,3.68,3.70,680400,3.70
2013-08-05,3.76,3.76,3.64,3.65,527700,3.65
2013-08-02,3.87,4.01,3.72,3.75,534800,3.75
2013-08-01,3.85,3.94,3.83,3.86,1368000,3.86
2013-07-31,3.87,3.94,3.81,3.85,810200,3.85
2013-07-30,4.00,4.00,3.90,3.92,202600,3.92
2013-07-29,3.93,3.95,3.86,3.93,180600,3.93
2013-07-26,3.98,3.98,3.89,3.97,346200,3.97
2013-07-25,3.99,4.05,3.89,3.94,405900,3.94
2013-07-24,3.81,3.96,3.81,3.90,403900,3.90
2013-07-23,3.94,3.94,3.81,3.82,298100,3.82
2013-07-22,3.91,3.95,3.83,3.89,264200,3.89
2013-07-19,3.84,3.90,3.82,3.82,403200,3.82
2013-07-18,4.05,4.05,3.77,3.84,908700,3.84
2013-07-17,3.91,4.04,3.88,3.99,1164400,3.99
2013-07-16,3.96,3.97,3.90,3.93,641800,3.93
2013-07-15,3.90,3.95,3.82,3.93,267200,3.93
2013-07-12,4.00,4.01,3.91,3.93,291800,3.93
2013-07-11,4.10,4.10,3.96,4.00,606800,4.00
2013-07-10,4.07,4.14,3.97,4.02,470300,4.02
2013-07-09,3.92,4.03,3.91,4.01,994100,4.01
2013-07-08,3.80,3.87,3.78,3.83,715500,3.83
2013-07-05,3.90,3.91,3.81,3.86,811600,3.86
2013-07-04,3.86,3.88,3.79,3.80,422300,3.80
2013-07-03,3.77,3.81,3.66,3.81,1186400,3.81
2013-07-02,3.71,3.85,3.71,3.85,631100,3.85
2013-07-01,3.85,3.85,3.66,3.73,572500,3.73
2013-06-28,3.79,3.89,3.78,3.87,365600,3.87
2013-06-27,3.74,3.87,3.71,3.79,918700,3.79
2013-06-26,3.53,3.74,3.52,3.73,682200,3.73
2013-06-25,3.65,3.67,3.56,3.61,610400,3.61
2013-06-24,3.59,3.73,3.56,3.65,773400,3.65
2013-06-21,3.78,3.82,3.67,3.78,657300,3.68
2013-06-20,3.89,3.91,3.69,3.77,1305500,3.67
2013-06-19,3.75,3.91,3.74,3.89,645300,3.78
2013-06-18,3.67,3.72,3.62,3.65,1061000,3.55
2013-06-17,3.69,3.72,3.53,3.67,919800,3.57
2013-06-14,3.75,3.82,3.74,3.75,601200,3.65
2013-06-13,3.73,3.79,3.67,3.79,1386400,3.69
2013-06-12,3.73,3.80,3.68,3.73,775700,3.63
2013-06-11,3.79,3.84,3.73,3.79,628500,3.69
2013-06-10,3.81,3.81,3.81,3.81,000,3.71
2013-06-07,3.78,3.87,3.78,3.81,940700,3.71
2013-06-06,3.81,3.87,3.66,3.83,1147800,3.72
2013-06-05,3.90,3.94,3.81,3.85,612900,3.74
2013-06-04,4.00,4.05,3.89,3.99,409900,3.88
2013-06-03,4.05,4.09,3.96,3.97,485300,3.86
2013-05-31,4.00,4.17,4.00,4.11,889900,4.00
2013-05-30,4.14,4.20,3.99,4.02,705500,3.91
2013-05-29,4.11,4.16,4.07,4.14,1236600,4.03
2013-05-28,4.08,4.15,4.06,4.11,548300,4.00
2013-05-27,4.09,4.18,4.01,4.16,649400,4.05
2013-05-24,4.29,4.31,4.13,4.15,1138200,4.04
2013-05-23,4.36,4.39,4.19,4.32,1405000,4.20
2013-05-22,4.60,4.64,4.36,4.36,1942900,4.24
2013-05-21,4.50,4.58,4.43,4.57,521000,4.44
2013-05-20,4.59,4.59,4.52,4.54,688700,4.42
2013-05-17,4.50,4.57,4.42,4.53,1460100,4.41
2013-05-16,4.56,4.59,4.47,4.48,476700,4.36
2013-05-15,4.57,4.57,4.46,4.49,477300,4.37
2013-05-14,4.53,4.58,4.48,4.52,1159600,4.40
2013-05-13,4.61,4.68,4.55,4.55,962500,4.42
2013-05-10,4.54,4.66,4.52,4.64,1956600,4.51
2013-05-09,4.63,4.66,4.57,4.60,1149400,4.47
2013-05-08,4.54,4.64,4.53,4.62,550900,4.49
2013-05-07,4.56,4.65,4.50,4.52,1127900,4.40
2013-05-06,4.51,4.57,4.50,4.56,886700,4.43
2013-05-03,4.39,4.51,4.34,4.44,1677400,4.32
