Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.69,0.69,0.69,0.69,000,0.69
2013-09-19,0.71,0.71,0.69,0.69,17800,0.69
2013-09-18,0.68,0.68,0.68,0.68,000,0.68
2013-09-17,0.68,0.68,0.68,0.68,000,0.68
2013-09-16,0.68,0.68,0.68,0.68,000,0.68
2013-09-13,0.68,0.68,0.68,0.68,000,0.68
2013-09-12,0.68,0.68,0.68,0.68,000,0.68
2013-09-11,0.68,0.68,0.68,0.68,000,0.68
2013-09-10,0.71,0.71,0.68,0.68,4000,0.68
2013-09-09,0.70,0.70,0.70,0.70,000,0.70
2013-09-06,0.70,0.70,0.70,0.70,000,0.70
2013-09-05,0.70,0.70,0.70,0.70,000,0.70
2013-09-04,0.70,0.70,0.70,0.70,000,0.70
2013-09-03,0.70,0.70,0.70,0.70,000,0.70
2013-09-02,0.70,0.70,0.70,0.70,3400,0.70
2013-08-30,0.65,0.65,0.65,0.65,000,0.65
2013-08-29,0.65,0.65,0.65,0.65,000,0.65
2013-08-28,0.65,0.65,0.65,0.65,000,0.65
2013-08-27,0.65,0.65,0.65,0.65,12300,0.65
2013-08-26,0.65,0.65,0.65,0.65,000,0.65
2013-08-23,0.65,0.65,0.65,0.65,000,0.65
2013-08-22,0.65,0.65,0.65,0.65,000,0.65
2013-08-21,0.65,0.65,0.65,0.65,000,0.65
2013-08-20,0.65,0.65,0.65,0.65,000,0.65
2013-08-19,0.65,0.65,0.65,0.65,000,0.65
2013-08-16,0.65,0.65,0.65,0.65,000,0.65
2013-08-15,0.65,0.65,0.65,0.65,4200,0.65
2013-08-14,0.62,0.62,0.62,0.62,30000,0.62
2013-08-13,0.62,0.62,0.62,0.62,10000,0.62
2013-08-12,0.60,0.60,0.60,0.60,000,0.60
2013-08-09,0.60,0.60,0.60,0.60,000,0.60
2013-08-08,0.60,0.60,0.60,0.60,000,0.60
2013-08-07,0.60,0.60,0.60,0.60,000,0.60
2013-08-06,0.60,0.60,0.60,0.60,000,0.60
2013-08-05,0.62,0.62,0.60,0.60,10000,0.60
2013-08-02,0.63,0.63,0.63,0.63,000,0.63
2013-08-01,0.63,0.63,0.63,0.63,000,0.63
2013-07-31,0.63,0.63,0.63,0.63,000,0.63
2013-07-30,0.63,0.63,0.63,0.63,000,0.63
2013-07-29,0.63,0.63,0.63,0.63,000,0.63
2013-07-26,0.63,0.63,0.63,0.63,000,0.63
2013-07-25,0.65,0.65,0.63,0.63,15000,0.63
2013-07-24,0.60,0.60,0.60,0.60,000,0.60
2013-07-23,0.60,0.60,0.60,0.60,000,0.60
2013-07-22,0.60,0.60,0.60,0.60,000,0.60
2013-07-19,0.62,0.62,0.60,0.60,20000,0.60
2013-07-18,0.60,0.60,0.60,0.60,000,0.60
2013-07-17,0.60,0.60,0.60,0.60,5000,0.60
2013-07-16,0.60,0.60,0.60,0.60,3900,0.60
2013-07-15,0.57,0.57,0.57,0.57,000,0.57
2013-07-12,0.57,0.57,0.57,0.57,000,0.57
2013-07-11,0.57,0.57,0.57,0.57,000,0.57
2013-07-10,0.57,0.57,0.57,0.57,000,0.57
2013-07-09,0.57,0.57,0.57,0.57,000,0.57
2013-07-08,0.57,0.57,0.57,0.57,000,0.57
2013-07-05,0.57,0.57,0.57,0.57,000,0.57
2013-07-04,0.57,0.57,0.57,0.57,000,0.57
2013-07-03,0.57,0.57,0.57,0.57,000,0.57
2013-07-02,0.57,0.57,0.57,0.57,000,0.57
2013-07-01,0.57,0.57,0.57,0.57,000,0.57
2013-06-28,0.57,0.57,0.57,0.57,000,0.57
2013-06-27,0.57,0.57,0.57,0.57,000,0.57
2013-06-26,0.57,0.57,0.57,0.57,000,0.57
2013-06-25,0.57,0.57,0.57,0.57,20000,0.57
2013-06-24,0.59,0.59,0.59,0.59,10000,0.59
2013-06-21,0.59,0.59,0.59,0.59,000,0.59
2013-06-20,0.59,0.59,0.59,0.59,000,0.59
2013-06-19,0.59,0.59,0.59,0.59,000,0.59
2013-06-18,0.59,0.59,0.59,0.59,000,0.59
2013-06-17,0.59,0.59,0.59,0.59,000,0.59
2013-06-14,0.59,0.59,0.59,0.59,300,0.59
2013-06-13,0.62,0.62,0.62,0.62,000,0.62
2013-06-12,0.62,0.62,0.62,0.62,000,0.62
2013-06-11,0.62,0.62,0.62,0.62,000,0.62
2013-06-10,0.62,0.62,0.62,0.62,000,0.62
2013-06-07,0.62,0.62,0.62,0.62,000,0.62
2013-06-06,0.68,0.68,0.62,0.62,2000,0.62
2013-06-05,0.74,0.74,0.74,0.74,000,0.74
2013-06-04,0.74,0.74,0.74,0.74,000,0.74
2013-06-03,0.74,0.74,0.74,0.74,000,0.74
2013-05-31,0.74,0.74,0.74,0.74,000,0.74
2013-05-30,0.74,0.74,0.74,0.74,000,0.74
2013-05-29,0.74,0.74,0.74,0.74,000,0.74
2013-05-28,0.74,0.74,0.74,0.74,000,0.74
2013-05-27,0.74,0.74,0.74,0.74,000,0.74
2013-05-24,0.74,0.74,0.74,0.74,000,0.74
2013-05-23,0.74,0.74,0.74,0.74,000,0.74
2013-05-22,0.74,0.74,0.74,0.74,000,0.74
2013-05-21,0.74,0.74,0.74,0.74,000,0.74
2013-05-20,0.75,0.75,0.74,0.74,6400,0.74
2013-05-17,0.75,0.75,0.75,0.75,25000,0.75
2013-05-16,0.76,0.76,0.76,0.76,000,0.76
2013-05-15,0.76,0.76,0.76,0.76,000,0.76
2013-05-14,0.77,0.77,0.76,0.76,5600,0.76
2013-05-13,0.80,0.80,0.80,0.80,5000,0.80
2013-05-10,0.80,0.80,0.80,0.80,000,0.80
2013-05-09,0.80,0.81,0.80,0.80,102200,0.80
2013-05-08,0.71,0.71,0.71,0.71,000,0.71
2013-05-07,0.71,0.71,0.71,0.71,000,0.71
2013-05-06,0.71,0.71,0.71,0.71,000,0.71
2013-05-03,0.71,0.71,0.71,0.71,000,0.71
2013-05-02,0.71,0.71,0.71,0.71,000,0.71
2013-05-01,0.71,0.71,0.71,0.71,000,0.71
2013-04-30,0.71,0.71,0.71,0.71,000,0.71
2013-04-29,0.71,0.71,0.71,0.71,000,0.71
2013-04-26,0.71,0.71,0.71,0.71,000,0.71
2013-04-25,0.71,0.71,0.71,0.71,000,0.71
2013-04-24,0.71,0.71,0.71,0.71,500,0.71
2013-04-23,0.78,0.78,0.78,0.78,10000,0.78
