Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.28,0.28,0.28,0.28,000,0.28
2013-09-19,0.28,0.28,0.28,0.28,000,0.28
2013-09-18,0.28,0.28,0.28,0.28,000,0.28
2013-09-17,0.26,0.28,0.26,0.28,28000,0.28
2013-09-16,0.26,0.26,0.26,0.26,000,0.26
2013-09-13,0.28,0.28,0.26,0.26,85800,0.26
2013-09-12,0.28,0.28,0.27,0.27,29000,0.27
2013-09-11,0.28,0.28,0.28,0.28,1200,0.28
2013-09-10,0.26,0.26,0.26,0.26,1000,0.26
2013-09-09,0.26,0.26,0.26,0.26,000,0.26
2013-09-06,0.26,0.26,0.26,0.26,5000,0.26
2013-09-05,0.26,0.26,0.26,0.26,20000,0.26
2013-09-04,0.28,0.28,0.28,0.28,000,0.28
2013-09-03,0.28,0.28,0.28,0.28,2000,0.28
2013-09-02,0.27,0.28,0.27,0.28,25000,0.28
2013-08-30,0.27,0.27,0.27,0.27,119000,0.27
2013-08-29,0.27,0.27,0.27,0.27,000,0.27
2013-08-28,0.24,0.27,0.24,0.27,10000,0.27
2013-08-27,0.27,0.27,0.27,0.27,000,0.27
2013-08-26,0.27,0.27,0.27,0.27,000,0.27
2013-08-23,0.27,0.27,0.27,0.27,9900,0.27
2013-08-22,0.27,0.27,0.27,0.27,33300,0.27
2013-08-21,0.23,0.23,0.23,0.23,000,0.23
2013-08-20,0.23,0.23,0.23,0.23,8700,0.23
2013-08-19,0.23,0.23,0.23,0.23,1000,0.23
2013-08-16,0.25,0.25,0.23,0.23,50000,0.23
2013-08-15,0.24,0.24,0.24,0.24,000,0.24
2013-08-14,0.24,0.24,0.24,0.24,000,0.24
2013-08-13,0.26,0.26,0.24,0.24,13100,0.24
2013-08-12,0.24,0.24,0.24,0.24,3000,0.24
2013-08-09,0.24,0.24,0.24,0.24,1000,0.24
2013-08-08,0.23,0.23,0.23,0.23,000,0.23
2013-08-07,0.23,0.23,0.23,0.23,10700,0.23
2013-08-06,0.22,0.22,0.22,0.22,1500,0.22
2013-08-05,0.24,0.24,0.23,0.23,20000,0.23
2013-08-02,0.25,0.25,0.25,0.25,40400,0.25
2013-08-01,0.23,0.23,0.23,0.23,000,0.23
2013-07-31,0.23,0.23,0.23,0.23,000,0.23
2013-07-30,0.23,0.23,0.23,0.23,000,0.23
2013-07-29,0.23,0.23,0.23,0.23,000,0.23
2013-07-26,0.25,0.25,0.23,0.23,98400,0.23
2013-07-25,0.25,0.25,0.25,0.25,000,0.25
2013-07-24,0.25,0.25,0.25,0.25,000,0.25
2013-07-23,0.25,0.25,0.25,0.25,000,0.25
2013-07-22,0.25,0.25,0.25,0.25,000,0.25
2013-07-19,0.28,0.28,0.25,0.25,17000,0.25
2013-07-18,0.25,0.25,0.25,0.25,2100,0.25
2013-07-17,0.25,0.25,0.25,0.25,2500,0.25
2013-07-16,0.25,0.25,0.25,0.25,000,0.25
2013-07-15,0.25,0.25,0.25,0.25,1200,0.25
2013-07-12,0.29,0.29,0.28,0.28,33400,0.28
2013-07-11,0.25,0.25,0.25,0.25,000,0.25
2013-07-10,0.25,0.25,0.25,0.25,000,0.25
2013-07-09,0.25,0.25,0.25,0.25,1600,0.25
