Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.36,0.37,0.36,0.37,212100,0.37
2013-09-19,0.34,0.36,0.34,0.36,355200,0.36
2013-09-18,0.34,0.34,0.34,0.34,49200,0.34
2013-09-17,0.34,0.34,0.32,0.34,45500,0.34
2013-09-16,0.34,0.34,0.33,0.33,1340900,0.33
2013-09-13,0.34,0.34,0.34,0.34,77700,0.34
2013-09-12,0.33,0.34,0.33,0.34,9200,0.34
2013-09-11,0.32,0.33,0.32,0.33,900700,0.33
2013-09-10,0.31,0.31,0.31,0.31,64600,0.31
2013-09-09,0.34,0.34,0.32,0.32,175100,0.32
2013-09-06,0.34,0.34,0.34,0.34,143400,0.34
2013-09-05,0.34,0.35,0.34,0.34,261700,0.33
2013-09-04,0.31,0.34,0.30,0.33,560600,0.32
2013-09-03,0.35,0.35,0.32,0.32,1046800,0.32
2013-09-02,0.37,0.38,0.35,0.35,72500,0.35
2013-08-30,0.38,0.39,0.36,0.37,628700,0.36
2013-08-29,0.38,0.40,0.36,0.38,575300,0.37
2013-08-28,0.37,0.38,0.37,0.38,106600,0.37
2013-08-27,0.37,0.37,0.37,0.37,175000,0.36
2013-08-26,0.36,0.36,0.36,0.36,43400,0.35
2013-08-23,0.36,0.36,0.36,0.36,247500,0.35
2013-08-22,0.36,0.36,0.36,0.36,173300,0.35
2013-08-21,0.37,0.37,0.37,0.37,140100,0.36
2013-08-20,0.37,0.37,0.37,0.37,68300,0.36
2013-08-19,0.38,0.38,0.37,0.37,271300,0.36
2013-08-16,0.38,0.38,0.38,0.38,79700,0.37
2013-08-15,0.38,0.38,0.38,0.38,160200,0.37
2013-08-14,0.35,0.38,0.35,0.38,56200,0.37
2013-08-13,0.35,0.36,0.35,0.35,139600,0.35
2013-08-12,0.36,0.37,0.34,0.35,333200,0.34
2013-08-09,0.37,0.37,0.36,0.37,233700,0.36
2013-08-08,0.38,0.38,0.37,0.37,148500,0.36
2013-08-07,0.36,0.39,0.36,0.38,536200,0.37
2013-08-06,0.35,0.36,0.35,0.36,956300,0.35
2013-08-05,0.35,0.35,0.35,0.35,129000,0.34
2013-08-02,0.35,0.35,0.34,0.34,258700,0.34
2013-08-01,0.35,0.35,0.35,0.35,291400,0.35
2013-07-31,0.36,0.36,0.35,0.35,611400,0.35
2013-07-30,0.34,0.36,0.34,0.35,932500,0.34
2013-07-29,0.34,0.37,0.34,0.35,1960700,0.34
2013-07-26,0.32,0.35,0.32,0.33,2724400,0.32
2013-07-25,0.29,0.32,0.29,0.31,18798500,0.30
2013-07-24,0.29,0.29,0.29,0.29,150000,0.29
2013-07-23,0.28,0.28,0.28,0.28,40000,0.28
2013-07-22,0.28,0.29,0.28,0.29,238000,0.29
2013-07-19,0.27,0.28,0.27,0.28,107800,0.27
2013-07-18,0.28,0.28,0.27,0.27,180000,0.27
2013-07-17,0.29,0.29,0.29,0.29,49000,0.29
2013-07-16,0.28,0.29,0.28,0.29,41000,0.29
2013-07-15,0.28,0.28,0.28,0.28,000,0.27
2013-07-12,0.28,0.28,0.28,0.28,2500,0.27
2013-07-11,0.27,0.27,0.27,0.27,30000,0.27
2013-07-10,0.27,0.28,0.27,0.28,73200,0.28
2013-07-09,0.28,0.28,0.26,0.26,371900,0.26
2013-07-08,0.28,0.28,0.27,0.28,41300,0.28
2013-07-05,0.27,0.27,0.27,0.27,15000,0.27
2013-07-04,0.28,0.28,0.27,0.28,188300,0.27
2013-07-03,0.29,0.29,0.28,0.28,67300,0.28
2013-07-02,0.30,0.30,0.28,0.28,36600,0.28
2013-07-01,0.30,0.30,0.29,0.30,146200,0.30
2013-06-28,0.29,0.30,0.29,0.30,150000,0.30
2013-06-27,0.29,0.29,0.29,0.29,972000,0.29
2013-06-26,0.28,0.29,0.28,0.29,129700,0.29
