Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.00,0.00,0.00,0.00,100000,0.00
2013-09-19,0.00,0.00,0.00,0.00,000,0.00
2013-09-18,0.00,0.00,0.00,0.00,000,0.00
2013-09-17,0.00,0.00,0.00,0.00,60000,0.00
2013-09-16,0.00,0.00,0.00,0.00,000,0.00
2013-09-13,0.00,0.00,0.00,0.00,000,0.00
2013-09-12,0.00,0.00,0.00,0.00,288900,0.00
2013-09-11,0.00,0.00,0.00,0.00,000,0.00
2013-09-10,0.00,0.00,0.00,0.00,000,0.00
2013-09-09,0.00,0.00,0.00,0.00,000,0.00
2013-09-06,0.00,0.00,0.00,0.00,621800,0.00
2013-09-05,0.00,0.00,0.00,0.00,2900,0.00
2013-09-04,0.00,0.00,0.00,0.00,197000,0.00
2013-09-03,0.00,0.00,0.00,0.00,000,0.00
2013-09-02,0.00,0.00,0.00,0.00,470300,0.00
2013-08-30,0.00,0.00,0.00,0.00,1005100,0.00
2013-08-29,0.00,0.00,0.00,0.00,000,0.00
2013-08-28,0.00,0.00,0.00,0.00,000,0.00
2013-08-27,0.00,0.00,0.00,0.00,000,0.00
2013-08-26,0.00,0.00,0.00,0.00,000,0.00
2013-08-23,0.00,0.00,0.00,0.00,000,0.00
2013-08-22,0.00,0.00,0.00,0.00,000,0.00
2013-08-21,0.00,0.00,0.00,0.00,25000,0.00
2013-08-20,0.00,0.00,0.00,0.00,163200,0.00
2013-08-19,0.00,0.00,0.00,0.00,000,0.00
2013-08-16,0.00,0.00,0.00,0.00,853000,0.00
2013-08-15,0.00,0.00,0.00,0.00,000,0.00
2013-08-14,0.00,0.00,0.00,0.00,000,0.00
2013-08-13,0.00,0.00,0.00,0.00,000,0.00
2013-08-12,0.00,0.00,0.00,0.00,000,0.00
2013-08-09,0.00,0.00,0.00,0.00,000,0.00
2013-08-08,0.00,0.00,0.00,0.00,000,0.00
2013-08-07,0.00,0.00,0.00,0.00,000,0.00
2013-08-06,0.00,0.00,0.00,0.00,000,0.00
2013-08-05,0.00,0.00,0.00,0.00,000,0.00
2013-08-02,0.00,0.00,0.00,0.00,75000,0.00
2013-08-01,0.00,0.00,0.00,0.00,178000,0.00
2013-07-31,0.00,0.00,0.00,0.00,105000,0.00
2013-07-30,0.00,0.00,0.00,0.00,000,0.00
2013-07-29,0.00,0.00,0.00,0.00,58800,0.00
2013-07-26,0.00,0.00,0.00,0.00,35600,0.00
2013-07-25,0.00,0.00,0.00,0.00,000,0.00
2013-07-24,0.00,0.00,0.00,0.00,000,0.00
2013-07-23,0.00,0.00,0.00,0.00,000,0.00
2013-07-22,0.00,0.00,0.00,0.00,70300,0.00
2013-07-19,0.00,0.00,0.00,0.00,33900,0.00
2013-07-18,0.00,0.00,0.00,0.00,20300,0.00
2013-07-17,0.00,0.00,0.00,0.00,500000,0.00
2013-07-16,0.00,0.00,0.00,0.00,000,0.00
2013-07-15,0.00,0.00,0.00,0.00,000,0.00
2013-07-12,0.00,0.00,0.00,0.00,2238000,0.00
2013-07-11,0.00,0.00,0.00,0.00,000,0.00
2013-07-10,0.00,0.00,0.00,0.00,000,0.00
2013-07-09,0.00,0.00,0.00,0.00,000,0.00
2013-07-08,0.00,0.00,0.00,0.00,50000,0.00
2013-07-05,0.00,0.00,0.00,0.00,000,0.00
2013-07-04,0.00,0.00,0.00,0.00,000,0.00
2013-07-03,0.00,0.00,0.00,0.00,000,0.00
2013-07-02,0.00,0.00,0.00,0.00,20000,0.00
2013-07-01,0.00,0.00,0.00,0.00,40000,0.00
2013-06-28,0.00,0.00,0.00,0.00,542000,0.00
2013-06-27,0.00,0.00,0.00,0.00,150000,0.00
2013-06-26,0.00,0.00,0.00,0.00,100000,0.00
2013-06-25,0.00,0.00,0.00,0.00,294700,0.00
2013-06-24,0.00,0.00,0.00,0.00,10000,0.00
2013-06-21,0.00,0.00,0.00,0.00,3900000,0.00
2013-06-20,0.00,0.00,0.00,0.00,245500,0.00
2013-06-19,0.00,0.00,0.00,0.00,97900,0.00
2013-06-18,0.00,0.00,0.00,0.00,320200,0.00
2013-06-17,0.00,0.00,0.00,0.00,000,0.00
2013-06-14,0.00,0.00,0.00,0.00,50000,0.00
2013-06-13,0.00,0.00,0.00,0.00,30000,0.00
2013-06-12,0.00,0.00,0.00,0.00,300000,0.00
2013-06-11,0.00,0.00,0.00,0.00,000,0.00
2013-06-10,0.00,0.00,0.00,0.00,000,0.00
2013-06-07,0.00,0.00,0.00,0.00,24000,0.00
2013-06-06,0.00,0.00,0.00,0.00,000,0.00
2013-06-05,0.00,0.00,0.00,0.00,99800,0.00
2013-06-04,0.00,0.00,0.00,0.00,107200,0.00
2013-06-03,0.00,0.00,0.00,0.00,150000,0.00
2013-05-31,0.00,0.00,0.00,0.00,110000,0.00
2013-05-30,0.00,0.00,0.00,0.00,520000,0.00
2013-05-29,0.00,0.00,0.00,0.00,000,0.00
2013-05-28,0.00,0.00,0.00,0.00,000,0.00
2013-05-27,0.00,0.00,0.00,0.00,180000,0.00
2013-05-24,0.00,0.00,0.00,0.00,60000,0.00
2013-05-23,0.00,0.00,0.00,0.00,110000,0.00
2013-05-22,0.00,0.00,0.00,0.00,406100,0.00
2013-05-21,0.00,0.00,0.00,0.00,262200,0.00
2013-05-20,0.00,0.00,0.00,0.00,297500,0.00
2013-05-17,0.00,0.00,0.00,0.00,300000,0.00
2013-05-16,0.00,0.00,0.00,0.00,1445000,0.00
2013-05-15,0.00,0.00,0.00,0.00,000,0.00
2013-05-14,0.00,0.00,0.00,0.00,854200,0.00
2013-05-13,0.00,0.00,0.00,0.00,200000,0.00
2013-05-10,0.00,0.00,0.00,0.00,422000,0.00
2013-05-09,0.00,0.00,0.00,0.00,000,0.00
2013-05-08,0.00,0.00,0.00,0.00,2500000,0.00
2013-05-07,0.00,0.00,0.00,0.00,325000,0.00
2013-05-06,0.00,0.00,0.00,0.00,000,0.00
2013-05-03,0.00,0.00,0.00,0.00,100000,0.00
2013-05-02,0.00,0.00,0.00,0.00,000,0.00
2013-05-01,0.00,0.00,0.00,0.00,39300,0.00
2013-04-30,0.00,0.00,0.00,0.00,955000,0.00
2013-04-29,0.00,0.00,0.00,0.00,900,0.00
2013-04-26,0.00,0.00,0.00,0.00,000,0.00
2013-04-25,0.00,0.00,0.00,0.00,000,0.00
2013-04-24,0.00,0.00,0.00,0.00,380000,0.00
2013-04-23,0.00,0.00,0.00,0.00,754700,0.00
2013-04-22,0.00,0.00,0.00,0.00,000,0.00
2013-04-19,0.00,0.00,0.00,0.00,000,0.00
2013-04-18,0.00,0.00,0.00,0.00,000,0.00
2013-04-17,0.00,0.00,0.00,0.00,50000,0.00
2013-04-16,0.00,0.00,0.00,0.00,25000,0.00
2013-04-15,0.00,0.00,0.00,0.00,60000,0.00
2013-04-12,0.00,0.00,0.00,0.00,000,0.00
2013-04-11,0.00,0.00,0.00,0.00,1200300,0.00
2013-04-10,0.00,0.00,0.00,0.00,500300,0.00
2013-04-09,0.00,0.00,0.00,0.00,1552100,0.00
2013-04-08,0.00,0.00,0.00,0.00,000,0.00
2013-04-05,0.00,0.00,0.00,0.00,000,0.00
2013-04-04,0.00,0.00,0.00,0.00,000,0.00
2013-04-03,0.00,0.00,0.00,0.00,000,0.00
2013-04-02,0.00,0.00,0.00,0.00,7365300,0.00
2013-04-01,0.00,0.00,0.00,0.00,000,0.00
2013-03-29,0.00,0.00,0.00,0.00,000,0.00
2013-03-28,0.00,0.00,0.00,0.00,000,0.00
2013-03-27,0.00,0.00,0.00,0.00,925000,0.00
2013-03-26,0.00,0.00,0.00,0.00,47500,0.00
2013-03-25,0.00,0.00,0.00,0.00,000,0.00
2013-03-22,0.00,0.00,0.00,0.00,652400,0.00
2013-03-21,0.00,0.00,0.00,0.00,534200,0.00
2013-03-20,0.00,0.00,0.00,0.00,357100,0.00
2013-03-19,0.00,0.00,0.00,0.00,000,0.00
2013-03-18,0.00,0.00,0.00,0.00,37500000,0.00
2013-03-15,0.01,0.01,0.01,0.01,000,0.01
2013-03-14,0.01,0.01,0.01,0.01,000,0.01
2013-03-13,0.01,0.01,0.01,0.01,150000,0.01
2013-03-12,0.01,0.01,0.01,0.01,000,0.01
2013-03-11,0.01,0.01,0.01,0.01,000,0.01
2013-03-08,0.00,0.01,0.00,0.01,428400,0.01
2013-03-07,0.00,0.00,0.00,0.00,209200,0.00
2013-03-06,0.00,0.00,0.00,0.00,000,0.00
2013-03-05,0.00,0.00,0.00,0.00,505000,0.00
2013-03-04,0.00,0.00,0.00,0.00,5800,0.00
2013-03-01,0.00,0.00,0.00,0.00,112000,0.00
2013-02-28,0.00,0.00,0.00,0.00,000,0.00
2013-02-27,0.00,0.00,0.00,0.00,000,0.00
2013-02-26,0.00,0.00,0.00,0.00,83500,0.00
2013-02-25,0.00,0.00,0.00,0.00,45600,0.00
2013-02-22,0.00,0.00,0.00,0.00,000,0.00
2013-02-21,0.00,0.00,0.00,0.00,000,0.00
2013-02-20,0.00,0.00,0.00,0.00,000,0.00
2013-02-19,0.00,0.00,0.00,0.00,300000,0.00
2013-02-18,0.01,0.01,0.01,0.01,000,0.01
2013-02-15,0.01,0.01,0.01,0.01,000,0.01
2013-02-14,0.01,0.01,0.01,0.01,22500,0.01
2013-02-13,0.01,0.01,0.01,0.01,000,0.01
2013-02-12,0.01,0.01,0.01,0.01,000,0.01
2013-02-11,0.00,0.01,0.00,0.01,318000,0.01
2013-02-08,0.00,0.00,0.00,0.00,000,0.00
2013-02-07,0.00,0.00,0.00,0.00,000,0.00
2013-02-06,0.00,0.00,0.00,0.00,000,0.00
2013-02-05,0.00,0.00,0.00,0.00,779200,0.00
2013-02-04,0.01,0.01,0.01,0.01,000,0.01
2013-02-01,0.01,0.01,0.01,0.01,2621500,0.01
2013-01-31,0.00,0.01,0.00,0.01,2085000,0.01
2013-01-30,0.00,0.00,0.00,0.00,290000,0.00
2013-01-29,0.01,0.01,0.00,0.00,4000000,0.00
2013-01-28,0.01,0.01,0.01,0.01,000,0.01
2013-01-25,0.01,0.01,0.01,0.01,000,0.01
2013-01-24,0.01,0.01,0.01,0.01,2630300,0.01
2013-01-22,0.01,0.01,0.01,0.01,2046600,0.01
2013-01-21,0.01,0.01,0.01,0.01,1715000,0.01
2013-01-18,0.01,0.01,0.01,0.01,733300,0.01
2013-01-17,0.01,0.01,0.01,0.01,566700,0.01
2013-01-16,0.01,0.01,0.01,0.01,000,0.01
2013-01-15,0.01,0.01,0.01,0.01,000,0.01
2013-01-14,0.01,0.01,0.01,0.01,000,0.01
2013-01-11,0.01,0.01,0.01,0.01,000,0.01
2013-01-10,0.01,0.01,0.01,0.01,000,0.01
2013-01-09,0.01,0.01,0.01,0.01,660000,0.01
2013-01-08,0.01,0.01,0.01,0.01,000,0.01
2013-01-07,0.01,0.01,0.01,0.01,13800,0.01
2013-01-04,0.01,0.01,0.01,0.01,000,0.01
2013-01-03,0.01,0.01,0.01,0.01,150000,0.01
2013-01-02,0.01,0.01,0.01,0.01,000,0.01
2013-01-01,0.01,0.01,0.01,0.01,000,0.01
2012-12-31,0.01,0.01,0.01,0.01,1315100,0.01
2012-12-28,0.01,0.01,0.01,0.01,1500000,0.01
2012-12-27,0.00,0.00,0.00,0.00,90000,0.00
2012-12-26,0.01,0.01,0.01,0.01,000,0.01
2012-12-25,0.01,0.01,0.01,0.01,000,0.01
2012-12-24,0.01,0.01,0.01,0.01,000,0.01
2012-12-21,0.01,0.01,0.01,0.01,000,0.01
2012-12-20,0.01,0.01,0.01,0.01,164800,0.01
2012-12-19,0.00,0.00,0.00,0.00,345500,0.00
2012-12-18,0.01,0.01,0.01,0.01,000,0.01
2012-12-17,0.01,0.01,0.01,0.01,000,0.01
2012-12-14,0.01,0.01,0.01,0.01,20000,0.01
2012-12-13,0.00,0.00,0.00,0.00,445500,0.00
2012-12-12,0.01,0.01,0.01,0.01,000,0.01
2012-12-11,0.00,0.01,0.00,0.01,310000,0.01
2012-12-10,0.00,0.00,0.00,0.00,000,0.00
2012-12-07,0.00,0.00,0.00,0.00,1052400,0.00
2012-12-06,0.01,0.01,0.01,0.01,000,0.01
2012-12-05,0.01,0.01,0.01,0.01,28000,0.01
2012-12-04,0.01,0.01,0.01,0.01,1510000,0.01
2012-12-03,0.00,0.00,0.00,0.00,000,0.00
2012-11-30,0.00,0.00,0.00,0.00,100000,0.00
2012-11-29,0.00,0.00,0.00,0.00,000,0.00
2012-11-28,0.00,0.00,0.00,0.00,887300,0.00
2012-11-27,0.00,0.00,0.00,0.00,4771900,0.00
2012-11-26,0.00,0.00,0.00,0.00,000,0.00
2012-11-23,0.00,0.00,0.00,0.00,13300,0.00
2012-11-22,0.00,0.00,0.00,0.00,000,0.00
2012-11-21,0.00,0.00,0.00,0.00,251000,0.00
2012-11-20,0.01,0.01,0.01,0.01,000,0.01
2012-11-19,0.01,0.01,0.01,0.01,000,0.01
2012-11-16,0.00,0.01,0.00,0.01,42200,0.01
2012-11-15,0.00,0.00,0.00,0.00,000,0.00
2012-11-14,0.00,0.00,0.00,0.00,31200,0.00
2012-11-13,0.00,0.00,0.00,0.00,000,0.00
2012-11-12,0.00,0.00,0.00,0.00,161200,0.00
2012-11-09,0.00,0.00,0.00,0.00,325000,0.00
2012-11-08,0.01,0.01,0.01,0.01,000,0.01
2012-11-07,0.01,0.01,0.01,0.01,000,0.01
2012-11-06,0.01,0.01,0.01,0.01,000,0.01
