Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.82,1.86,1.78,1.86,1944100,1.82
2013-09-19,1.77,1.82,1.77,1.82,109200,1.78
2013-09-18,1.80,1.82,1.76,1.80,220800,1.76
2013-09-17,1.86,1.86,1.80,1.82,327400,1.78
2013-09-16,1.80,1.87,1.80,1.85,854700,1.81
2013-09-13,1.76,1.79,1.76,1.79,280400,1.76
2013-09-12,1.75,1.76,1.73,1.76,224000,1.72
2013-09-11,1.78,1.78,1.72,1.75,367500,1.71
2013-09-10,1.78,1.78,1.76,1.78,308400,1.74
2013-09-09,1.73,1.78,1.73,1.77,391700,1.73
2013-09-06,1.73,1.75,1.73,1.73,666300,1.69
2013-09-05,1.71,1.72,1.69,1.70,526400,1.66
2013-09-04,1.73,1.73,1.71,1.72,355100,1.68
2013-09-03,1.70,1.73,1.70,1.73,560000,1.69
2013-09-02,1.69,1.70,1.68,1.70,522800,1.67
2013-08-30,1.67,1.67,1.66,1.67,313900,1.64
2013-08-29,1.68,1.68,1.65,1.67,904300,1.64
2013-08-28,1.67,1.68,1.60,1.67,7879200,1.64
2013-08-27,1.76,1.76,1.76,1.76,000,1.72
2013-08-26,1.76,1.76,1.76,1.76,000,1.72
2013-08-23,1.79,1.80,1.76,1.76,75800,1.72
2013-08-22,1.79,1.85,1.75,1.79,410000,1.75
2013-08-21,1.74,1.79,1.72,1.79,39400,1.75
2013-08-20,1.72,1.75,1.72,1.74,77300,1.70
2013-08-19,1.73,1.74,1.70,1.72,524600,1.69
2013-08-16,1.73,1.76,1.73,1.75,30900,1.72
2013-08-15,1.80,1.80,1.72,1.74,179400,1.70
2013-08-14,1.79,1.83,1.79,1.80,121500,1.76
2013-08-13,1.75,1.79,1.75,1.79,148100,1.75
2013-08-12,1.70,1.74,1.67,1.74,425800,1.70
2013-08-09,1.75,1.77,1.69,1.71,239900,1.68
2013-08-08,1.79,1.83,1.75,1.75,160700,1.72
2013-08-07,1.83,1.84,1.79,1.79,175900,1.75
2013-08-06,1.88,1.88,1.84,1.84,44900,1.80
2013-08-05,1.88,1.89,1.86,1.89,58200,1.85
2013-08-02,1.90,1.90,1.88,1.88,74600,1.84
2013-08-01,1.90,1.91,1.88,1.88,28100,1.85
2013-07-31,1.90,1.91,1.89,1.91,367500,1.87
2013-07-30,1.90,1.92,1.86,1.87,367300,1.83
2013-07-29,1.90,1.91,1.88,1.90,324300,1.87
2013-07-26,1.88,1.89,1.86,1.88,120000,1.84
2013-07-25,1.89,1.89,1.84,1.86,95000,1.82
2013-07-24,1.85,1.89,1.83,1.89,148900,1.85
2013-07-23,1.87,1.87,1.84,1.84,86100,1.80
2013-07-22,1.89,1.89,1.86,1.87,249500,1.83
2013-07-19,1.83,1.87,1.82,1.87,204400,1.83
2013-07-18,1.90,1.90,1.83,1.84,193800,1.80
2013-07-17,1.89,1.92,1.86,1.89,74100,1.86
2013-07-16,1.98,1.98,1.85,1.89,408200,1.85
2013-07-15,1.85,1.98,1.85,1.98,603700,1.93
2013-07-12,1.76,1.81,1.76,1.81,271300,1.77
2013-07-11,1.72,1.82,1.71,1.75,163300,1.71
2013-07-10,1.69,1.72,1.66,1.72,175200,1.69
2013-07-09,1.66,1.69,1.66,1.68,66100,1.65
2013-07-08,1.68,1.69,1.62,1.65,118500,1.62
2013-07-05,1.65,1.68,1.65,1.67,55100,1.64
2013-07-04,1.69,1.69,1.62,1.65,146800,1.62
2013-07-03,1.68,1.70,1.67,1.69,105700,1.66
2013-07-02,1.64,1.68,1.64,1.68,205400,1.65
2013-07-01,1.65,1.65,1.58,1.64,122300,1.61
2013-06-28,1.58,1.66,1.58,1.64,191500,1.61
2013-06-27,1.56,1.57,1.54,1.57,109000,1.54
2013-06-26,1.49,1.57,1.49,1.53,123200,1.50
2013-06-25,1.45,1.50,1.45,1.48,174100,1.45
2013-06-24,1.47,1.47,1.43,1.45,71000,1.42
2013-06-21,1.43,1.47,1.40,1.47,125400,1.44
2013-06-20,1.45,1.46,1.42,1.46,133900,1.43
2013-06-19,1.45,1.47,1.45,1.46,104800,1.43
2013-06-18,1.46,1.48,1.45,1.45,120700,1.42
2013-06-17,1.50,1.50,1.44,1.44,360700,1.41
2013-06-14,1.47,1.53,1.47,1.50,341800,1.47
2013-06-13,1.45,1.47,1.43,1.43,219800,1.41
2013-06-12,1.47,1.49,1.44,1.47,232600,1.44
2013-06-11,1.43,1.47,1.43,1.47,47300,1.44
2013-06-10,1.42,1.42,1.42,1.42,000,1.40
2013-06-07,1.48,1.48,1.42,1.42,204900,1.40
2013-06-06,1.48,1.49,1.44,1.44,321500,1.41
2013-06-05,1.52,1.53,1.49,1.51,95600,1.48
2013-06-04,1.51,1.52,1.50,1.52,86300,1.49
2013-06-03,1.50,1.52,1.49,1.51,70700,1.48
2013-05-31,1.52,1.54,1.50,1.50,120900,1.47
2013-05-30,1.55,1.55,1.50,1.54,116200,1.51
2013-05-29,1.55,1.61,1.55,1.55,82100,1.52
2013-05-28,1.45,1.54,1.44,1.54,132700,1.51
2013-05-27,1.48,1.49,1.44,1.46,215800,1.43
2013-05-24,1.54,1.55,1.48,1.49,383100,1.45
2013-05-23,1.60,1.60,1.53,1.53,113200,1.50
2013-05-22,1.65,1.65,1.59,1.59,93400,1.56
2013-05-21,1.66,1.66,1.63,1.63,86800,1.60
2013-05-20,1.65,1.66,1.62,1.62,72200,1.59
2013-05-17,1.63,1.63,1.61,1.62,56700,1.58
2013-05-16,1.67,1.69,1.61,1.63,219000,1.60
2013-05-15,1.70,1.72,1.62,1.67,201300,1.64
2013-05-14,1.64,1.70,1.63,1.70,165600,1.66
2013-05-13,1.62,1.64,1.62,1.63,193000,1.60
2013-05-10,1.60,1.63,1.59,1.62,402100,1.59
2013-05-09,1.59,1.59,1.55,1.58,144400,1.55
2013-05-08,1.52,1.60,1.52,1.59,175600,1.55
2013-05-07,1.54,1.57,1.51,1.52,131900,1.49
2013-05-06,1.60,1.60,1.52,1.52,209600,1.49
2013-05-03,1.60,1.60,1.53,1.58,183900,1.55
2013-05-02,1.56,1.64,1.56,1.60,319100,1.57
2013-05-01,1.58,1.58,1.56,1.56,190900,1.53
2013-04-30,1.49,1.58,1.49,1.57,285700,1.53
2013-04-29,1.45,1.47,1.44,1.47,125000,1.44
2013-04-26,1.46,1.46,1.43,1.43,194400,1.41
2013-04-25,1.44,1.44,1.44,1.44,000,1.41
2013-04-24,1.47,1.47,1.44,1.44,105500,1.41
2013-04-23,1.43,1.47,1.43,1.46,176500,1.43
2013-04-22,1.43,1.46,1.43,1.43,154300,1.40
2013-04-19,1.45,1.45,1.42,1.43,206600,1.40
2013-04-18,1.49,1.49,1.45,1.45,171000,1.42
2013-04-17,1.50,1.50,1.48,1.50,132600,1.46
2013-04-16,1.47,1.47,1.43,1.47,164300,1.44
2013-04-15,1.49,1.50,1.46,1.47,228700,1.44
2013-04-12,1.44,1.50,1.44,1.47,330400,1.44
2013-04-11,1.50,1.52,1.42,1.42,261600,1.39
2013-04-10,1.54,1.54,1.48,1.50,154500,1.47
2013-04-09,1.50,1.52,1.50,1.52,169300,1.49
2013-04-08,1.45,1.51,1.42,1.50,250200,1.47
2013-04-05,1.40,1.45,1.38,1.43,376500,1.40
2013-04-04,1.43,1.43,1.33,1.38,823700,1.35
2013-04-03,1.49,1.49,1.43,1.45,293100,1.42
2013-04-02,1.54,1.54,1.46,1.49,413500,1.46
2013-04-01,1.55,1.55,1.55,1.55,000,1.52
2013-03-29,1.55,1.55,1.55,1.55,000,1.52
2013-03-28,1.57,1.58,1.54,1.55,168000,1.52
2013-03-27,1.60,1.60,1.55,1.56,219100,1.53
2013-03-26,1.58,1.59,1.53,1.59,265300,1.56
2013-03-25,1.61,1.64,1.58,1.58,130200,1.55
2013-03-22,1.67,1.67,1.54,1.61,614200,1.57
2013-03-21,1.71,1.72,1.67,1.68,206600,1.65
2013-03-20,1.68,1.73,1.67,1.71,265900,1.67
2013-03-19,1.63,1.69,1.62,1.67,243100,1.64
2013-03-18,1.65,1.66,1.62,1.64,117300,1.61
2013-03-15,1.65,1.65,1.63,1.64,283600,1.61
2013-03-14,1.65,1.65,1.62,1.64,329700,1.61
2013-03-13,1.66,1.66,1.62,1.64,247200,1.61
2013-03-12,1.65,1.66,1.59,1.66,337700,1.63
2013-03-11,1.65,1.67,1.64,1.65,356400,1.62
2013-03-08,1.74,1.74,1.64,1.65,435700,1.62
2013-03-07,1.70,1.74,1.70,1.74,358700,1.70
2013-03-06,1.69,1.75,1.65,1.75,398500,1.71
2013-03-05,1.62,1.68,1.61,1.68,473800,1.65
2013-03-04,1.61,1.63,1.55,1.62,417800,1.59
2013-03-01,1.57,1.65,1.57,1.63,2712300,1.56
2013-02-28,1.55,1.56,1.54,1.56,1544000,1.49
