Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.22,0.22,0.22,0.22,99500,0.22
2013-09-19,0.23,0.23,0.21,0.21,190900,0.21
2013-09-18,0.21,0.22,0.21,0.22,414300,0.22
2013-09-17,0.21,0.22,0.21,0.21,163200,0.21
2013-09-16,0.21,0.22,0.20,0.22,202100,0.22
2013-09-13,0.21,0.21,0.19,0.20,223800,0.20
2013-09-12,0.22,0.22,0.20,0.20,283300,0.20
2013-09-11,0.24,0.24,0.22,0.22,72900,0.22
2013-09-10,0.25,0.25,0.24,0.24,152500,0.24
2013-09-09,0.25,0.25,0.25,0.25,115000,0.25
2013-09-06,0.25,0.25,0.25,0.25,131500,0.25
2013-09-05,0.26,0.26,0.25,0.25,276600,0.25
2013-09-04,0.26,0.26,0.25,0.26,125000,0.26
2013-09-03,0.25,0.28,0.24,0.28,328700,0.28
2013-09-02,0.25,0.25,0.25,0.25,75000,0.25
2013-08-30,0.25,0.25,0.24,0.25,153700,0.25
2013-08-29,0.26,0.26,0.25,0.25,51200,0.25
2013-08-28,0.27,0.27,0.26,0.26,168400,0.26
2013-08-27,0.26,0.29,0.26,0.26,336200,0.26
2013-08-26,0.26,0.28,0.26,0.26,168600,0.26
2013-08-23,0.26,0.26,0.25,0.26,111100,0.26
2013-08-22,0.26,0.27,0.26,0.27,83800,0.27
2013-08-21,0.26,0.28,0.25,0.28,138200,0.28
2013-08-20,0.27,0.27,0.25,0.25,72700,0.25
2013-08-19,0.27,0.27,0.27,0.27,40300,0.27
2013-08-16,0.28,0.28,0.27,0.27,192000,0.27
2013-08-15,0.29,0.29,0.27,0.28,126200,0.28
2013-08-14,0.31,0.31,0.27,0.28,635400,0.28
2013-08-13,0.25,0.31,0.25,0.30,712500,0.30
2013-08-12,0.18,0.28,0.18,0.25,584300,0.25
2013-08-09,0.17,0.17,0.16,0.17,55600,0.17
2013-08-08,0.20,0.20,0.17,0.17,206600,0.17
2013-08-07,0.19,0.20,0.19,0.20,74200,0.20
2013-08-06,0.19,0.20,0.19,0.19,110800,0.19
2013-08-05,0.17,0.17,0.17,0.17,30000,0.17
2013-08-02,0.19,0.19,0.17,0.17,83500,0.17
2013-08-01,0.17,0.17,0.17,0.17,102000,0.17
2013-07-31,0.16,0.16,0.15,0.16,82200,0.16
2013-07-30,0.16,0.16,0.15,0.16,40000,0.16
2013-07-29,0.17,0.17,0.16,0.16,142400,0.16
2013-07-26,0.17,0.17,0.17,0.17,34200,0.17
2013-07-25,0.16,0.17,0.15,0.17,40500,0.17
2013-07-24,0.16,0.18,0.16,0.18,129900,0.18
2013-07-23,0.16,0.16,0.16,0.16,30500,0.16
2013-07-19,0.16,0.16,0.16,0.16,128700,0.16
2013-07-18,0.16,0.16,0.16,0.16,36500,0.16
2013-07-17,0.16,0.16,0.15,0.16,121200,0.16
2013-07-16,0.16,0.16,0.16,0.16,66900,0.16
2013-07-15,0.16,0.16,0.15,0.16,682200,0.16
2013-07-12,0.16,0.16,0.16,0.16,56400,0.16
2013-07-11,0.16,0.16,0.16,0.16,74600,0.16
2013-07-10,0.16,0.16,0.16,0.16,34900,0.16
2013-07-09,0.16,0.16,0.16,0.16,57000,0.16
2013-07-08,0.16,0.16,0.16,0.16,61000,0.16
2013-07-05,0.16,0.16,0.16,0.16,152700,0.16
2013-07-04,0.16,0.16,0.16,0.16,217200,0.16
2013-07-03,0.17,0.17,0.16,0.16,82900,0.16
2013-07-02,0.15,0.17,0.15,0.17,130400,0.17
2013-07-01,0.16,0.16,0.14,0.16,326900,0.16
2013-06-28,0.18,0.19,0.18,0.19,166100,0.19
2013-06-27,0.19,0.19,0.18,0.19,2641400,0.19
2013-06-26,0.20,0.20,0.19,0.19,170000,0.19
2013-06-25,0.22,0.22,0.20,0.20,80400,0.20
2013-06-24,0.22,0.23,0.22,0.22,491500,0.22
2013-06-21,0.22,0.22,0.22,0.22,66600,0.22
2013-06-20,0.22,0.23,0.22,0.23,193600,0.23
2013-06-18,0.22,0.23,0.22,0.22,419900,0.22
2013-06-17,0.21,0.21,0.20,0.20,140800,0.20
2013-06-14,0.21,0.22,0.20,0.22,373000,0.22
2013-06-13,0.22,0.22,0.20,0.20,374500,0.20
2013-06-12,0.24,0.24,0.22,0.22,845200,0.22
2013-06-11,0.25,0.25,0.25,0.25,2900,0.25
2013-06-10,0.25,0.25,0.25,0.25,000,0.25
2013-06-07,0.26,0.26,0.25,0.25,209000,0.25
2013-06-06,0.26,0.26,0.20,0.26,279100,0.26
2013-06-05,0.27,0.27,0.27,0.27,112900,0.27
2013-06-04,0.27,0.27,0.27,0.27,150000,0.27
2013-06-03,0.28,0.28,0.27,0.27,360300,0.27
2013-05-31,0.29,0.29,0.28,0.28,233400,0.28
2013-05-30,0.30,0.30,0.28,0.29,310000,0.29
2013-05-29,0.30,0.30,0.28,0.29,273800,0.29
2013-05-28,0.30,0.30,0.29,0.29,410300,0.29
2013-05-27,0.29,0.29,0.29,0.29,174600,0.29
2013-05-24,0.29,0.31,0.28,0.28,389600,0.28
2013-05-23,0.30,0.30,0.29,0.29,227700,0.29
2013-05-22,0.30,0.30,0.29,0.29,174900,0.29
2013-05-21,0.30,0.30,0.29,0.30,381400,0.30
2013-05-20,0.30,0.30,0.29,0.29,133800,0.29
2013-05-17,0.31,0.31,0.30,0.30,86300,0.30
2013-05-16,0.31,0.31,0.29,0.31,84300,0.31
2013-05-15,0.31,0.31,0.30,0.31,114100,0.31
2013-05-14,0.31,0.34,0.30,0.34,309000,0.34
2013-05-13,0.31,0.31,0.31,0.31,90300,0.31
2013-05-10,0.30,0.31,0.30,0.31,139000,0.31
2013-05-09,0.29,0.31,0.28,0.30,236300,0.30
2013-05-08,0.29,0.30,0.28,0.28,291900,0.28
2013-05-07,0.30,0.30,0.29,0.29,310900,0.29
2013-05-06,0.31,0.31,0.29,0.30,98400,0.30
2013-05-03,0.31,0.31,0.31,0.31,303500,0.31
2013-05-02,0.29,0.31,0.29,0.31,549300,0.31
2013-05-01,0.28,0.30,0.28,0.29,188700,0.29
2013-04-30,0.28,0.28,0.28,0.28,55000,0.28
2013-04-26,0.29,0.29,0.28,0.28,377000,0.28
2013-04-25,0.28,0.28,0.28,0.28,000,0.28
2013-04-24,0.27,0.29,0.26,0.28,150000,0.28
2013-04-23,0.27,0.27,0.27,0.27,000,0.27
2013-04-22,0.27,0.27,0.27,0.27,40000,0.27
2013-04-19,0.27,0.28,0.27,0.28,105000,0.28
2013-04-18,0.28,0.28,0.28,0.28,261600,0.28
2013-04-17,0.28,0.29,0.28,0.29,98300,0.29
2013-04-16,0.29,0.29,0.26,0.28,78900,0.28
2013-04-15,0.31,0.31,0.29,0.29,170600,0.29
2013-04-12,0.30,0.30,0.29,0.29,150800,0.29
2013-04-11,0.31,0.31,0.30,0.30,131400,0.30
2013-04-10,0.32,0.33,0.31,0.31,46900,0.31
2013-04-09,0.31,0.32,0.31,0.32,36100,0.32
2013-04-08,0.31,0.32,0.31,0.31,104100,0.31
2013-04-05,0.33,0.33,0.32,0.32,83000,0.32
2013-04-04,0.34,0.34,0.33,0.33,204400,0.33
2013-04-03,0.34,0.35,0.34,0.34,111000,0.34
2013-04-02,0.35,0.35,0.35,0.35,398500,0.35
2013-04-01,0.36,0.36,0.36,0.36,000,0.36
2013-03-29,0.36,0.36,0.36,0.36,000,0.36
2013-03-28,0.36,0.36,0.35,0.36,336000,0.36
2013-03-27,0.37,0.37,0.35,0.35,46000,0.35
2013-03-26,0.37,0.37,0.35,0.37,322200,0.37
2013-03-25,0.37,0.38,0.37,0.38,87500,0.38
2013-03-22,0.37,0.38,0.37,0.37,344700,0.37
2013-03-21,0.35,0.36,0.35,0.35,280000,0.35
2013-03-20,0.37,0.37,0.35,0.37,939000,0.37
2013-03-19,0.35,0.35,0.35,0.35,180800,0.35
2013-03-18,0.36,0.37,0.35,0.35,600000,0.35
2013-03-15,0.35,0.37,0.35,0.37,416700,0.37
2013-03-14,0.34,0.35,0.34,0.34,393800,0.34
2013-03-13,0.32,0.34,0.32,0.34,225000,0.34
2013-03-12,0.32,0.32,0.31,0.32,375700,0.32
2013-03-08,0.31,0.31,0.31,0.31,67500,0.31
2013-03-07,0.29,0.30,0.29,0.30,182100,0.30
2013-03-06,0.29,0.30,0.28,0.29,238300,0.29
2013-03-05,0.31,0.31,0.28,0.30,661800,0.30
2013-03-04,0.34,0.34,0.34,0.34,000,0.34
2013-03-01,0.31,0.34,0.29,0.34,285500,0.34
2013-02-28,0.33,0.34,0.30,0.34,342200,0.34
2013-02-27,0.34,0.34,0.32,0.34,307000,0.34
2013-02-26,0.34,0.34,0.33,0.34,83200,0.34
2013-02-25,0.35,0.35,0.34,0.34,71600,0.34
2013-02-22,0.35,0.35,0.34,0.34,36400,0.34
2013-02-21,0.36,0.36,0.34,0.34,98200,0.34
2013-02-20,0.36,0.36,0.35,0.35,175600,0.35
2013-02-19,0.37,0.37,0.35,0.37,55000,0.37
2013-02-18,0.36,0.37,0.35,0.37,176300,0.37
2013-02-15,0.37,0.37,0.35,0.35,62900,0.35
2013-02-14,0.38,0.38,0.37,0.37,98900,0.37
2013-02-13,0.38,0.39,0.37,0.39,152000,0.39
2013-02-12,0.39,0.39,0.38,0.39,222000,0.39
2013-02-11,0.40,0.40,0.39,0.39,181900,0.39
2013-02-08,0.37,0.39,0.37,0.39,382800,0.39
2013-02-07,0.36,0.38,0.35,0.37,168300,0.37
2013-02-06,0.37,0.38,0.36,0.37,141100,0.37
2013-02-05,0.38,0.39,0.36,0.37,232800,0.37
2013-02-04,0.40,0.40,0.38,0.40,784000,0.40
2013-02-01,0.35,0.39,0.35,0.38,309500,0.38
2013-01-31,0.35,0.35,0.34,0.34,37000,0.34
2013-01-30,0.35,0.35,0.34,0.35,178900,0.35
2013-01-29,0.35,0.35,0.34,0.35,164500,0.35
2013-01-28,0.34,0.34,0.34,0.34,000,0.34
