Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.07,2.07,2.07,2.07,000,2.03
2013-09-19,2.02,2.08,2.02,2.07,46300,2.03
2013-09-18,2.00,2.02,1.99,2.02,23600,1.98
2013-09-17,1.96,1.99,1.95,1.99,30800,1.95
2013-09-16,1.99,1.99,1.99,1.99,15000,1.95
2013-09-13,1.91,1.93,1.91,1.93,6900,1.89
2013-09-12,2.00,2.00,2.00,2.00,000,1.96
2013-09-11,2.01,2.02,2.00,2.00,30400,1.96
2013-09-10,2.00,2.00,2.00,2.00,10000,1.96
2013-09-09,2.02,2.02,2.02,2.02,000,1.98
2013-09-06,2.01,2.02,2.01,2.02,10000,1.98
2013-09-05,2.00,2.02,1.91,1.99,12800,1.95
2013-09-04,2.00,2.00,2.00,2.00,000,1.96
2013-09-03,2.07,2.07,2.00,2.00,24500,1.96
2013-09-02,2.06,2.08,2.06,2.08,2900,2.04
2013-08-30,2.04,2.08,2.04,2.08,69700,2.04
2013-08-29,1.98,1.98,1.98,1.98,000,1.94
2013-08-28,1.98,1.98,1.98,1.98,4000,1.94
2013-08-27,2.05,2.05,1.98,1.98,700,1.94
2013-08-26,1.95,1.97,1.90,1.97,25600,1.93
2013-08-23,2.04,2.04,1.97,1.97,12600,1.93
2013-08-22,2.07,2.07,2.07,2.07,000,2.03
2013-08-21,2.07,2.07,2.07,2.07,000,2.03
2013-08-20,2.07,2.07,2.07,2.07,000,2.03
2013-08-19,2.07,2.07,2.07,2.07,000,2.03
2013-08-16,2.07,2.07,2.07,2.07,900,2.03
2013-08-15,1.95,2.04,1.95,2.04,13800,2.00
2013-08-14,1.85,1.90,1.85,1.90,21700,1.86
2013-08-13,1.86,1.86,1.86,1.86,14600,1.82
2013-08-12,1.85,1.85,1.85,1.85,1400,1.81
2013-08-09,1.87,1.87,1.85,1.85,6900,1.81
2013-08-08,1.85,1.85,1.85,1.85,000,1.81
2013-08-07,1.85,1.85,1.85,1.85,000,1.81
2013-08-06,1.85,1.85,1.85,1.85,300,1.81
2013-08-05,1.87,1.90,1.87,1.90,23600,1.86
2013-08-02,1.85,1.85,1.85,1.85,1700,1.81
2013-08-01,1.85,1.85,1.85,1.85,000,1.81
2013-07-31,1.85,1.85,1.85,1.85,1000,1.81
2013-07-30,1.90,1.90,1.90,1.90,000,1.86
2013-07-29,1.90,1.90,1.90,1.90,000,1.86
2013-07-26,1.90,1.90,1.90,1.90,2600,1.86
2013-07-25,1.88,1.88,1.88,1.88,000,1.85
2013-07-24,1.90,1.90,1.88,1.88,8900,1.85
2013-07-23,1.88,1.90,1.88,1.90,12000,1.86
2013-07-22,1.78,1.78,1.78,1.78,000,1.75
2013-07-19,1.78,1.78,1.78,1.78,7500,1.75
2013-07-18,1.75,1.75,1.74,1.74,12500,1.71
2013-07-17,1.73,1.73,1.73,1.73,000,1.70
2013-07-16,1.75,1.75,1.73,1.73,5400,1.70
2013-07-15,1.76,1.76,1.76,1.76,000,1.73
2013-07-12,1.80,1.80,1.76,1.76,1600,1.73
2013-07-11,1.75,1.76,1.75,1.76,20400,1.73
2013-07-10,1.75,1.75,1.75,1.75,200,1.71
2013-07-09,1.75,1.75,1.75,1.75,600,1.72
2013-07-08,1.75,1.75,1.75,1.75,3400,1.72
2013-07-05,1.75,1.75,1.75,1.75,1300,1.72
2013-07-04,1.70,1.70,1.70,1.70,3000,1.67
2013-07-03,1.76,1.76,1.76,1.76,000,1.73
2013-07-02,1.75,1.76,1.75,1.76,169000,1.73
2013-07-01,1.71,1.71,1.65,1.65,2600,1.62
2013-06-28,1.71,1.71,1.71,1.71,4200,1.68
2013-06-27,1.67,1.67,1.67,1.67,25000,1.64
2013-06-26,1.66,1.70,1.66,1.70,11600,1.67
2013-06-25,1.70,1.70,1.66,1.66,2700,1.63
2013-06-24,1.77,1.77,1.70,1.70,20900,1.67
2013-06-21,1.78,1.78,1.76,1.76,5700,1.73
2013-06-20,1.82,1.85,1.78,1.78,30300,1.75
2013-06-19,1.85,1.85,1.80,1.80,3300,1.77
2013-06-18,1.86,1.86,1.86,1.86,000,1.82
2013-06-17,1.86,1.86,1.86,1.86,17100,1.82
2013-06-14,1.84,1.86,1.84,1.86,23000,1.82
2013-06-13,1.83,1.83,1.83,1.83,1700,1.80
2013-06-12,1.80,1.83,1.80,1.83,10000,1.80
2013-06-11,1.85,1.85,1.80,1.80,29600,1.77
2013-06-10,1.80,1.80,1.80,1.80,000,1.77
2013-06-07,1.80,1.80,1.80,1.80,10000,1.77
2013-06-06,1.77,1.77,1.76,1.76,6800,1.73
2013-06-05,1.75,1.76,1.75,1.75,8900,1.72
2013-06-04,1.78,1.78,1.78,1.78,2400,1.75
2013-06-03,1.76,1.80,1.76,1.78,14100,1.75
2013-05-31,1.69,1.75,1.69,1.75,17400,1.72
2013-05-30,1.69,1.69,1.69,1.69,12700,1.66
2013-05-29,1.66,1.71,1.65,1.71,27900,1.68
2013-05-28,1.70,1.70,1.63,1.66,39800,1.63
2013-05-27,1.79,1.79,1.70,1.70,11500,1.67
2013-05-24,1.82,1.85,1.80,1.80,21900,1.77
2013-05-23,1.85,1.85,1.82,1.84,17700,1.81
2013-05-22,1.90,1.90,1.86,1.86,7000,1.82
2013-05-21,1.90,1.90,1.90,1.90,8200,1.86
2013-05-20,1.95,1.95,1.90,1.90,28400,1.86
2013-05-17,1.95,2.00,1.95,2.00,26300,1.96
2013-05-16,1.95,1.95,1.95,1.95,3100,1.91
2013-05-15,2.03,2.03,2.03,2.03,000,1.99
2013-05-14,2.03,2.03,2.03,2.03,000,1.99
2013-05-13,2.00,2.03,2.00,2.03,3400,1.99
2013-05-10,2.00,2.00,2.00,2.00,41500,1.96
2013-05-09,1.99,2.02,1.85,1.90,409500,1.86
2013-05-08,2.00,2.00,1.98,1.98,28000,1.94
2013-05-07,1.95,1.95,1.95,1.95,000,1.91
2013-05-06,1.95,1.95,1.95,1.95,10500,1.91
2013-05-03,2.02,2.02,1.96,1.96,5800,1.92
2013-05-02,2.09,2.09,2.09,2.09,2800,2.05
2013-05-01,2.08,2.10,2.08,2.10,42000,2.06
2013-04-30,2.00,2.08,2.00,2.08,13000,2.04
2013-04-29,2.04,2.04,1.99,1.99,5600,1.95
2013-04-26,1.92,1.92,1.92,1.92,1000,1.88
2013-04-25,1.90,1.90,1.90,1.90,000,1.86
2013-04-24,1.90,1.90,1.90,1.90,000,1.86
2013-04-23,2.00,2.00,1.90,1.90,12400,1.86
2013-04-22,2.00,2.00,2.00,2.00,100,1.96
2013-04-19,1.94,1.95,1.91,1.91,15500,1.87
