Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.47,0.47,0.47,0.47,992400,0.47
2013-09-19,0.46,0.47,0.46,0.46,258900,0.46
2013-09-18,0.46,0.46,0.45,0.46,342800,0.46
2013-09-17,0.45,0.46,0.44,0.45,1160600,0.45
2013-09-16,0.44,0.45,0.44,0.44,624100,0.44
2013-09-13,0.46,0.47,0.44,0.44,1900500,0.44
2013-09-12,0.48,0.50,0.45,0.46,741700,0.46
2013-09-11,0.49,0.49,0.47,0.47,1604300,0.47
2013-09-10,0.50,0.50,0.48,0.48,680500,0.48
2013-09-09,0.49,0.50,0.47,0.48,143300,0.48
2013-09-06,0.49,0.49,0.49,0.49,61300,0.49
2013-09-05,0.48,0.48,0.47,0.48,70700,0.48
2013-09-04,0.50,0.50,0.47,0.50,114100,0.50
2013-09-03,0.51,0.51,0.50,0.51,421300,0.50
2013-09-02,0.50,0.51,0.49,0.51,692500,0.49
2013-08-30,0.51,0.51,0.49,0.49,94700,0.47
2013-08-29,0.51,0.51,0.50,0.51,828300,0.49
2013-08-28,0.49,0.51,0.49,0.51,366700,0.49
2013-08-27,0.51,0.52,0.50,0.50,589000,0.48
2013-08-26,0.53,0.53,0.51,0.51,149100,0.50
2013-08-23,0.52,0.54,0.52,0.52,320600,0.51
2013-08-22,0.50,0.54,0.50,0.52,945300,0.50
2013-08-21,0.49,0.50,0.48,0.50,176000,0.48
2013-08-20,0.48,0.49,0.47,0.49,302900,0.47
2013-08-19,0.47,0.48,0.47,0.47,189400,0.46
2013-08-16,0.48,0.48,0.47,0.47,197400,0.46
2013-08-15,0.48,0.49,0.47,0.47,187500,0.46
2013-08-14,0.48,0.50,0.48,0.48,495800,0.46
2013-08-13,0.46,0.47,0.46,0.47,117100,0.45
2013-08-12,0.46,0.47,0.45,0.46,62300,0.44
2013-08-09,0.44,0.46,0.44,0.46,41500,0.44
2013-08-08,0.46,0.46,0.44,0.44,108400,0.42
2013-08-07,0.47,0.47,0.46,0.46,175200,0.44
2013-08-06,0.47,0.48,0.47,0.47,118400,0.45
2013-08-05,0.48,0.49,0.47,0.47,210700,0.45
2013-08-02,0.47,0.48,0.46,0.48,56900,0.46
2013-08-01,0.45,0.47,0.45,0.47,171400,0.45
2013-07-31,0.45,0.46,0.44,0.45,427800,0.43
2013-07-30,0.45,0.46,0.44,0.45,725700,0.43
2013-07-29,0.43,0.44,0.43,0.44,64500,0.42
2013-07-26,0.44,0.44,0.43,0.43,266600,0.41
2013-07-25,0.48,0.48,0.44,0.44,283400,0.42
2013-07-24,0.47,0.53,0.45,0.49,199200,0.47
2013-07-23,0.44,0.45,0.44,0.45,105800,0.43
2013-07-22,0.44,0.44,0.44,0.44,125200,0.42
2013-07-19,0.43,0.44,0.43,0.44,108800,0.42
2013-07-18,0.44,0.44,0.43,0.44,47200,0.42
2013-07-17,0.43,0.44,0.43,0.44,11600,0.43
2013-07-16,0.42,0.45,0.41,0.44,249700,0.43
2013-07-15,0.42,0.43,0.41,0.42,289800,0.41
2013-07-12,0.42,0.43,0.41,0.42,116100,0.41
2013-07-11,0.41,0.43,0.41,0.42,57000,0.41
2013-07-10,0.42,0.43,0.42,0.42,262100,0.41
2013-07-09,0.41,0.43,0.41,0.41,85100,0.40
2013-07-08,0.42,0.42,0.41,0.41,30700,0.40
2013-07-05,0.42,0.43,0.41,0.42,138700,0.41
2013-07-04,0.41,0.42,0.40,0.41,325000,0.40
2013-07-03,0.41,0.42,0.40,0.41,534200,0.40
2013-07-02,0.40,0.41,0.39,0.40,200200,0.38
2013-07-01,0.40,0.40,0.39,0.40,631600,0.39
2013-06-28,0.40,0.42,0.40,0.40,164900,0.39
2013-06-27,0.40,0.41,0.40,0.40,248800,0.39
2013-06-26,0.40,0.41,0.40,0.40,278400,0.39
2013-06-25,0.40,0.41,0.38,0.38,543600,0.37
2013-06-24,0.41,0.41,0.40,0.40,334900,0.39
2013-06-21,0.43,0.43,0.40,0.41,517500,0.39
2013-06-20,0.45,0.46,0.43,0.44,221900,0.42
2013-06-19,0.45,0.46,0.44,0.44,1000300,0.43
2013-06-18,0.44,0.45,0.44,0.45,12500,0.43
2013-06-17,0.44,0.46,0.44,0.45,139000,0.43
2013-06-14,0.44,0.45,0.44,0.44,244700,0.42
2013-06-13,0.44,0.44,0.42,0.44,217200,0.42
2013-06-12,0.44,0.45,0.44,0.44,103800,0.42
2013-06-11,0.43,0.44,0.42,0.44,109500,0.42
2013-06-10,0.42,0.42,0.42,0.42,000,0.41
2013-06-07,0.47,0.47,0.39,0.42,1052400,0.41
2013-06-06,0.47,0.47,0.47,0.47,211400,0.45
2013-06-05,0.50,0.50,0.47,0.47,287600,0.46
2013-06-04,0.48,0.50,0.47,0.50,262000,0.48
2013-06-03,0.47,0.49,0.47,0.47,400100,0.46
2013-05-31,0.48,0.49,0.47,0.47,2842400,0.46
2013-05-30,0.49,0.49,0.47,0.47,132100,0.46
2013-05-29,0.50,0.50,0.49,0.49,205300,0.47
2013-05-28,0.48,0.50,0.48,0.50,194600,0.48
2013-05-27,0.47,0.48,0.47,0.47,273200,0.45
2013-05-24,0.48,0.48,0.43,0.47,1798700,0.46
2013-05-23,0.50,0.50,0.47,0.49,1080900,0.47
2013-05-22,0.50,0.50,0.50,0.50,1296900,0.48
2013-05-21,0.50,0.51,0.50,0.50,1740900,0.48
2013-05-20,0.51,0.51,0.50,0.50,654500,0.49
2013-05-17,0.51,0.51,0.50,0.50,156400,0.49
2013-05-16,0.51,0.51,0.50,0.50,484800,0.49
2013-05-15,0.50,0.51,0.50,0.50,1844900,0.49
2013-05-14,0.53,0.53,0.45,0.50,4151500,0.48
2013-05-13,0.57,0.57,0.56,0.57,129200,0.55
