Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.00,1.03,1.00,1.03,80079600,1.03
2013-09-19,1.02,1.02,1.00,1.00,3567300,1.00
2013-09-18,1.02,1.02,1.01,1.01,1275900,1.01
2013-09-17,1.02,1.02,1.01,1.02,2997200,1.02
2013-09-16,1.03,1.03,1.01,1.02,1738900,1.02
2013-09-13,1.02,1.03,1.02,1.03,3022200,1.03
2013-09-12,1.02,1.03,1.01,1.02,2940200,1.02
2013-09-11,1.03,1.03,1.01,1.03,1567400,1.03
2013-09-10,1.02,1.04,1.02,1.03,1397300,1.03
2013-09-09,1.03,1.04,1.02,1.03,1859800,1.03
2013-09-06,1.02,1.04,1.02,1.04,5636900,1.04
2013-09-05,1.03,1.03,1.00,1.01,2453800,1.01
2013-09-04,1.04,1.04,1.03,1.03,1135700,1.03
2013-09-03,1.04,1.04,1.03,1.04,1688000,1.04
2013-09-02,1.04,1.05,1.03,1.05,1599900,1.05
2013-08-30,1.01,1.03,1.01,1.03,2349300,1.03
2013-08-29,1.02,1.02,1.01,1.01,1797000,1.01
2013-08-28,1.00,1.02,1.00,1.02,7114000,1.02
2013-08-27,1.00,1.01,0.99,1.00,2286800,1.00
2013-08-26,1.00,1.01,0.99,1.01,1514900,1.01
2013-08-23,0.99,1.00,0.99,0.99,422000,0.99
2013-08-22,0.99,0.99,0.99,0.99,1451500,0.99
2013-08-21,0.99,0.99,0.99,0.99,2067700,0.99
2013-08-20,0.99,0.99,0.99,0.99,2698300,0.99
2013-08-19,1.00,1.00,0.99,1.00,3288200,1.00
2013-08-16,1.00,1.00,0.99,0.99,2976900,0.99
2013-08-15,0.99,1.00,0.99,1.00,2640100,1.00
2013-08-14,0.98,0.99,0.98,0.99,2830700,0.99
2013-08-13,0.96,0.99,0.96,0.98,3246600,0.98
2013-08-12,0.96,0.97,0.96,0.97,690700,0.97
2013-08-09,0.97,0.97,0.96,0.96,4006700,0.96
2013-08-08,0.96,0.96,0.96,0.96,674600,0.96
2013-08-07,0.98,0.98,0.96,0.96,2640100,0.96
2013-08-06,0.97,0.98,0.96,0.98,684500,0.98
2013-08-05,0.98,0.98,0.96,0.96,684000,0.96
2013-08-02,0.98,0.98,0.97,0.97,2820400,0.97
2013-08-01,0.98,0.99,0.98,0.98,4886200,0.98
2013-07-31,0.98,0.99,0.98,0.98,2821600,0.98
2013-07-30,0.98,1.00,0.98,0.99,2394000,0.99
2013-07-29,0.99,0.99,0.98,0.98,1715400,0.98
2013-07-26,0.98,0.99,0.98,0.98,2218200,0.98
2013-07-25,0.98,0.99,0.98,0.99,1744100,0.99
2013-07-24,0.98,0.98,0.98,0.98,334100,0.98
2013-07-23,0.98,0.98,0.98,0.98,1129600,0.98
2013-07-22,0.98,0.98,0.97,0.98,956800,0.98
2013-07-19,0.98,0.98,0.97,0.98,540000,0.98
2013-07-18,0.99,0.99,0.97,0.97,1597300,0.97
2013-07-17,0.98,0.99,0.98,0.98,2260800,0.98
2013-07-16,0.99,0.99,0.98,0.98,568600,0.98
2013-07-15,0.99,0.99,0.98,0.98,2193800,0.98
2013-07-12,0.99,0.99,0.98,0.98,1159200,0.98
2013-07-11,0.98,0.99,0.98,0.98,6500000,0.98
2013-07-10,0.99,0.99,0.98,0.99,1092400,0.99
2013-07-09,0.98,0.99,0.98,0.99,1417500,0.99
2013-07-08,0.98,0.99,0.98,0.98,1351400,0.98
2013-07-05,0.99,0.99,0.98,0.99,3176200,0.99
2013-07-04,0.98,0.99,0.97,0.99,2638900,0.99
2013-07-03,0.98,0.99,0.98,0.98,1729000,0.98
2013-07-02,0.98,0.99,0.97,0.98,1860000,0.98
2013-07-01,0.98,0.98,0.95,0.98,733500,0.98
2013-06-28,0.96,0.98,0.95,0.98,1563200,0.98
2013-06-27,0.95,0.95,0.94,0.95,2315900,0.95
2013-06-26,0.94,0.95,0.94,0.95,2656800,0.95
2013-06-25,0.95,0.95,0.93,0.94,2335300,0.94
2013-06-24,0.98,0.98,0.94,0.95,2474700,0.95
2013-06-21,0.95,0.99,0.94,0.99,3234800,0.97
2013-06-20,0.97,0.98,0.95,0.96,2134600,0.95
2013-06-19,0.99,0.99,0.98,0.98,1933900,0.96
2013-06-18,0.98,0.99,0.98,0.98,812500,0.96
2013-06-17,0.97,1.00,0.96,0.98,1840200,0.96
2013-06-14,0.96,0.98,0.96,0.98,2234700,0.96
2013-06-13,0.97,0.98,0.94,0.95,3768000,0.93
2013-06-12,0.99,1.00,0.96,0.98,2840900,0.96
2013-06-11,0.99,1.00,0.99,0.99,3636400,0.97
2013-06-10,1.00,1.00,1.00,1.00,000,0.98
2013-06-07,1.01,1.01,0.99,1.00,3801500,0.98
2013-06-06,1.01,1.02,0.99,1.01,2525900,1.00
2013-06-05,1.03,1.03,1.01,1.02,6353500,1.01
2013-06-04,1.03,1.04,1.02,1.03,2504800,1.01
2013-06-03,1.04,1.04,1.02,1.04,5878500,1.02
2013-05-31,1.03,1.04,1.01,1.04,2351000,1.02
2013-05-30,1.07,1.07,1.03,1.03,2095400,1.02
2013-05-29,1.06,1.08,1.04,1.07,5494900,1.05
2013-05-28,1.03,1.07,1.03,1.06,4855400,1.04
2013-05-27,1.00,1.03,1.00,1.03,8068200,1.02
2013-05-24,1.03,1.03,1.03,1.03,000,1.01
2013-05-23,1.03,1.03,1.03,1.03,000,1.01
2013-05-22,1.03,1.03,1.03,1.03,3462400,1.01
2013-05-21,1.04,1.04,1.03,1.04,2742100,1.02
2013-05-20,1.07,1.07,1.04,1.05,1523800,1.03
2013-05-17,1.06,1.08,0.99,1.07,6941800,1.05
2013-05-16,1.10,1.10,1.07,1.07,1619200,1.05
2013-05-15,1.10,1.11,1.08,1.11,2675400,1.08
2013-05-14,1.10,1.11,1.10,1.10,2438700,1.07
2013-05-13,1.11,1.12,1.10,1.10,3527400,1.07
2013-05-10,1.11,1.12,1.10,1.11,7038000,1.09
2013-05-09,1.08,1.12,1.07,1.11,2477400,1.09
2013-05-08,1.07,1.09,1.07,1.09,1371300,1.07
2013-05-07,1.05,1.07,1.05,1.06,1125900,1.04
2013-05-06,1.06,1.07,1.05,1.06,899200,1.04
