Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.25,0.25,0.25,0.25,15000,0.25
2013-09-19,0.25,0.25,0.25,0.25,128000,0.25
2013-09-18,0.24,0.24,0.24,0.24,000,0.24
2013-09-17,0.25,0.25,0.24,0.24,75200,0.24
2013-09-16,0.25,0.25,0.25,0.25,534000,0.25
2013-09-13,0.25,0.25,0.25,0.25,377500,0.25
2013-09-12,0.25,0.26,0.25,0.25,680600,0.25
2013-09-11,0.25,0.25,0.25,0.25,150000,0.25
2013-09-10,0.25,0.25,0.24,0.24,158100,0.24
2013-09-09,0.25,0.25,0.25,0.25,443000,0.25
2013-09-06,0.25,0.25,0.25,0.25,80000,0.25
2013-09-05,0.25,0.25,0.25,0.25,388300,0.25
2013-09-04,0.23,0.23,0.23,0.23,2100,0.23
2013-09-03,0.24,0.24,0.23,0.23,12000,0.23
2013-09-02,0.23,0.23,0.23,0.23,11000,0.23
2013-08-30,0.23,0.23,0.23,0.23,1900,0.23
2013-08-29,0.23,0.24,0.23,0.24,32500,0.24
2013-08-28,0.23,0.23,0.22,0.22,38900,0.22
2013-08-27,0.25,0.26,0.25,0.25,30500,0.25
2013-08-26,0.28,0.28,0.26,0.26,67000,0.26
2013-08-23,0.25,0.25,0.25,0.25,20000,0.25
2013-08-22,0.23,0.23,0.23,0.23,39900,0.23
2013-08-21,0.22,0.22,0.22,0.22,5700,0.22
2013-08-20,0.22,0.22,0.22,0.22,5800,0.22
2013-08-19,0.22,0.22,0.22,0.22,2900,0.22
2013-08-16,0.22,0.22,0.22,0.22,000,0.22
2013-08-15,0.22,0.22,0.22,0.22,000,0.22
2013-08-14,0.22,0.22,0.22,0.22,50000,0.22
2013-08-13,0.20,0.20,0.20,0.20,14100,0.20
2013-08-12,0.20,0.20,0.20,0.20,5000,0.20
2013-08-09,0.20,0.20,0.20,0.20,3100,0.20
2013-08-08,0.19,0.19,0.19,0.19,4700,0.19
2013-08-07,0.20,0.20,0.20,0.20,69700,0.20
2013-08-06,0.20,0.20,0.20,0.20,20200,0.20
2013-08-05,0.19,0.20,0.19,0.19,45400,0.19
2013-08-02,0.19,0.19,0.19,0.19,10000,0.19
2013-08-01,0.19,0.19,0.19,0.19,6700,0.19
2013-07-31,0.20,0.20,0.19,0.19,59400,0.19
2013-07-30,0.20,0.20,0.20,0.20,700,0.20
2013-07-29,0.20,0.20,0.20,0.20,22000,0.20
2013-07-26,0.20,0.20,0.20,0.20,28100,0.20
2013-07-25,0.19,0.20,0.19,0.20,22500,0.20
2013-07-24,0.20,0.20,0.19,0.19,50500,0.19
2013-07-23,0.20,0.20,0.20,0.20,11400,0.20
2013-07-22,0.20,0.20,0.20,0.20,000,0.20
2013-07-19,0.20,0.20,0.20,0.20,5800,0.20
2013-07-18,0.20,0.20,0.20,0.20,000,0.20
2013-07-17,0.20,0.20,0.20,0.20,5000,0.20
2013-07-16,0.18,0.20,0.18,0.20,54700,0.20
2013-07-15,0.17,0.18,0.17,0.18,19200,0.18
2013-07-12,0.19,0.20,0.19,0.19,11600,0.19
2013-07-11,0.19,0.19,0.19,0.19,55200,0.19
2013-07-10,0.19,0.19,0.19,0.19,15000,0.19
2013-07-09,0.20,0.20,0.20,0.20,128800,0.20
2013-07-08,0.20,0.20,0.20,0.20,2400,0.20
2013-07-05,0.20,0.20,0.20,0.20,000,0.20
2013-07-04,0.20,0.20,0.20,0.20,2200,0.20
2013-07-03,0.22,0.22,0.22,0.22,000,0.22
2013-07-02,0.22,0.22,0.22,0.22,000,0.22
2013-07-01,0.20,0.22,0.20,0.22,5400,0.22
2013-06-28,0.21,0.21,0.20,0.20,24700,0.20
2013-06-27,0.22,0.22,0.21,0.21,18500,0.21
2013-06-26,0.22,0.22,0.20,0.21,44600,0.21
2013-06-25,0.25,0.25,0.22,0.22,190900,0.22
2013-06-24,0.24,0.25,0.24,0.25,12100,0.25
2013-06-21,0.24,0.24,0.24,0.24,6100,0.24
2013-06-20,0.24,0.25,0.24,0.24,47400,0.24
2013-06-19,0.24,0.24,0.23,0.24,144200,0.24
2013-06-18,0.23,0.23,0.23,0.23,18200,0.23
2013-06-17,0.24,0.24,0.23,0.23,19000,0.23
2013-06-14,0.23,0.23,0.23,0.23,19900,0.23
2013-06-13,0.22,0.23,0.22,0.23,82200,0.23
2013-06-12,0.23,0.23,0.23,0.23,6900,0.23
2013-06-11,0.24,0.24,0.23,0.23,21300,0.23
2013-06-10,0.24,0.24,0.24,0.24,000,0.24
2013-06-07,0.24,0.24,0.24,0.24,17000,0.24
2013-06-06,0.23,0.24,0.23,0.23,8100,0.23
2013-06-05,0.23,0.23,0.23,0.23,4800,0.23
2013-06-04,0.23,0.23,0.23,0.23,2500,0.23
2013-06-03,0.22,0.23,0.22,0.23,14500,0.23
2013-05-31,0.21,0.21,0.21,0.21,000,0.21
2013-05-30,0.21,0.21,0.21,0.21,3600,0.21
2013-05-29,0.23,0.23,0.23,0.23,1800,0.23
2013-05-28,0.23,0.23,0.23,0.23,4400,0.23
2013-05-27,0.23,0.23,0.23,0.23,000,0.23
2013-05-24,0.23,0.23,0.23,0.23,2900,0.23
2013-05-23,0.23,0.23,0.23,0.23,33200,0.23
2013-05-22,0.25,0.26,0.23,0.23,65200,0.23
2013-05-21,0.24,0.24,0.24,0.24,14600,0.24
2013-05-20,0.25,0.25,0.23,0.25,58400,0.25
2013-05-17,0.28,0.28,0.28,0.28,15900,0.28
2013-05-16,0.29,0.29,0.28,0.28,14000,0.28
2013-05-15,0.29,0.29,0.29,0.29,107700,0.29
2013-05-14,0.29,0.29,0.29,0.29,000,0.29
2013-05-13,0.29,0.29,0.29,0.29,7200,0.29
2013-05-10,0.29,0.29,0.29,0.29,16400,0.29
2013-05-09,0.29,0.29,0.29,0.29,14200,0.29
2013-05-08,0.29,0.29,0.29,0.29,12800,0.29
2013-05-07,0.29,0.30,0.29,0.30,83000,0.30
2013-05-06,0.29,0.29,0.29,0.29,118000,0.29
2013-05-03,0.29,0.29,0.29,0.29,17000,0.29
2013-05-02,0.29,0.30,0.29,0.30,57600,0.30
2013-05-01,0.29,0.29,0.29,0.29,116800,0.29
2013-04-30,0.29,0.29,0.29,0.29,11600,0.29
2013-04-29,0.30,0.30,0.30,0.30,000,0.30
2013-04-26,0.29,0.30,0.29,0.30,211100,0.30
2013-04-25,0.29,0.29,0.29,0.29,000,0.29
2013-04-24,0.29,0.29,0.29,0.29,297000,0.29
2013-04-23,0.28,0.29,0.28,0.29,82800,0.29
2013-04-22,0.28,0.28,0.28,0.28,20000,0.28
2013-04-19,0.28,0.28,0.28,0.28,139800,0.28
2013-04-18,0.28,0.28,0.28,0.28,35700,0.28
2013-04-17,0.28,0.28,0.28,0.28,39700,0.28
2013-04-16,0.28,0.28,0.28,0.28,32600,0.28
2013-04-15,0.29,0.29,0.28,0.28,7000,0.28
2013-04-12,0.30,0.30,0.29,0.29,28700,0.29
2013-04-11,0.30,0.31,0.26,0.31,138900,0.31
2013-04-10,0.31,0.31,0.31,0.31,000,0.31
2013-04-09,0.31,0.31,0.31,0.31,980700,0.31
2013-04-08,0.30,0.30,0.30,0.30,2800,0.30
2013-04-05,0.30,0.30,0.30,0.30,55900,0.30
2013-04-04,0.30,0.31,0.30,0.31,144700,0.31
2013-04-03,0.30,0.30,0.30,0.30,10200,0.30
2013-04-02,0.30,0.31,0.30,0.31,58000,0.31
2013-04-01,0.32,0.32,0.32,0.32,000,0.32
2013-03-29,0.32,0.32,0.32,0.32,000,0.32
2013-03-28,0.31,0.32,0.31,0.32,71000,0.32
2013-03-27,0.31,0.31,0.31,0.31,000,0.31
2013-03-26,0.31,0.31,0.31,0.31,3800,0.31
2013-03-25,0.31,0.31,0.31,0.31,000,0.31
2013-03-22,0.32,0.32,0.31,0.31,73500,0.31
2013-03-21,0.32,0.32,0.31,0.31,5900,0.31
2013-03-20,0.31,0.31,0.31,0.31,000,0.31
2013-03-19,0.31,0.31,0.31,0.31,000,0.31
2013-03-18,0.31,0.31,0.31,0.31,1000,0.31
2013-03-15,0.32,0.32,0.31,0.32,38900,0.32
2013-03-14,0.31,0.31,0.31,0.31,3000,0.31
2013-03-13,0.31,0.31,0.30,0.31,143100,0.31
2013-03-12,0.31,0.31,0.30,0.31,152000,0.31
2013-03-11,0.31,0.31,0.31,0.31,13600,0.31
2013-03-08,0.30,0.32,0.30,0.32,45100,0.32
2013-03-07,0.29,0.30,0.29,0.30,37500,0.30
2013-03-06,0.31,0.31,0.30,0.30,71400,0.30
2013-03-05,0.30,0.31,0.30,0.31,1562100,0.31
2013-03-04,0.31,0.31,0.31,0.31,000,0.31
2013-03-01,0.31,0.31,0.31,0.31,000,0.31
2013-02-28,0.31,0.31,0.31,0.31,510100,0.31
2013-02-27,0.28,0.29,0.28,0.29,200,0.29
2013-02-26,0.31,0.31,0.30,0.30,29300,0.30
2013-02-25,0.31,0.31,0.31,0.31,22500,0.31
2013-02-22,0.28,0.30,0.28,0.30,6912300,0.30
2013-02-21,0.29,0.29,0.29,0.29,21600,0.29
2013-02-20,0.31,0.31,0.28,0.29,431000,0.29
2013-02-19,0.32,0.32,0.32,0.32,67700,0.32
2013-02-18,0.32,0.32,0.32,0.32,17000,0.32
2013-02-15,0.33,0.33,0.32,0.32,38100,0.32
2013-02-14,0.34,0.34,0.34,0.34,116000,0.34
2013-02-13,0.33,0.33,0.33,0.33,21100,0.33
2013-02-12,0.33,0.34,0.33,0.34,73100,0.34
2013-02-11,0.34,0.34,0.34,0.34,000,0.34
2013-02-08,0.34,0.34,0.34,0.34,39300,0.34
2013-02-07,0.34,0.34,0.34,0.34,4100,0.34
2013-02-06,0.34,0.34,0.34,0.34,12900,0.34
2013-02-05,0.34,0.34,0.34,0.34,000,0.34
2013-02-04,0.32,0.34,0.32,0.34,4900,0.34
2013-02-01,0.33,0.33,0.32,0.32,1400,0.32
2013-01-31,0.32,0.33,0.32,0.33,84400,0.33
2013-01-30,0.32,0.34,0.32,0.34,40800,0.34
2013-01-29,0.32,0.32,0.32,0.32,000,0.32
2013-01-28,0.32,0.32,0.32,0.32,000,0.32
2013-01-25,0.32,0.32,0.32,0.32,17500,0.32
2013-01-24,0.32,0.32,0.32,0.32,000,0.32
2013-01-23,0.32,0.32,0.31,0.32,120900,0.32
2013-01-22,0.31,0.32,0.30,0.30,333000,0.30
2013-01-21,0.30,0.30,0.30,0.30,45700,0.30
2013-01-18,0.29,0.29,0.29,0.29,000,0.29
2013-01-17,0.30,0.30,0.29,0.29,156800,0.29
2013-01-16,0.29,0.30,0.28,0.28,120500,0.28
2013-01-15,0.29,0.29,0.28,0.28,28600,0.28
2013-01-14,0.28,0.29,0.28,0.29,54400,0.29
2013-01-11,0.28,0.28,0.28,0.28,35000,0.28
2013-01-10,0.28,0.29,0.28,0.28,124200,0.28
2013-01-09,0.28,0.28,0.28,0.28,4500,0.28
2013-01-08,0.28,0.28,0.28,0.28,1000,0.28
2013-01-07,0.28,0.28,0.28,0.28,39400,0.28
2013-01-04,0.28,0.28,0.28,0.28,53900,0.28
2013-01-03,0.29,0.30,0.28,0.28,22900,0.28
2013-01-02,0.29,0.29,0.28,0.28,85000,0.28
2013-01-01,0.29,0.29,0.29,0.29,000,0.29
2012-12-31,0.28,0.29,0.28,0.29,22800,0.29
2012-12-28,0.28,0.28,0.28,0.28,8100,0.28
2012-12-27,0.29,0.29,0.29,0.29,80000,0.29
2012-12-26,0.29,0.29,0.29,0.29,000,0.29
2012-12-25,0.29,0.29,0.29,0.29,000,0.29
2012-12-24,0.29,0.29,0.29,0.29,500,0.29
2012-12-21,0.29,0.29,0.29,0.29,45100,0.29
2012-12-20,0.29,0.29,0.29,0.29,900,0.29
2012-12-19,0.31,0.31,0.29,0.29,10800,0.29
2012-12-18,0.32,0.32,0.32,0.32,000,0.32
2012-12-17,0.32,0.32,0.32,0.32,000,0.32
2012-12-14,0.32,0.32,0.32,0.32,2500,0.32
2012-12-13,0.30,0.30,0.30,0.30,000,0.30
2012-12-12,0.30,0.30,0.30,0.30,10000,0.30
2012-12-11,0.29,0.29,0.29,0.29,000,0.29
2012-12-10,0.29,0.29,0.29,0.29,56600,0.29
2012-12-07,0.31,0.31,0.29,0.29,51500,0.29
2012-12-06,0.31,0.31,0.31,0.31,5000,0.31
2012-12-05,0.31,0.31,0.31,0.31,000,0.31
2012-12-04,0.31,0.31,0.31,0.31,000,0.31
2012-12-03,0.30,0.31,0.30,0.31,21800,0.31
2012-11-30,0.29,0.30,0.29,0.29,33100,0.29
2012-11-29,0.27,0.27,0.27,0.27,000,0.27
2012-11-28,0.28,0.28,0.27,0.27,170700,0.27
2012-11-27,0.28,0.28,0.28,0.28,000,0.28
2012-11-26,0.28,0.28,0.28,0.28,2200,0.28
2012-11-23,0.27,0.28,0.26,0.27,34100,0.27
2012-11-22,0.29,0.29,0.26,0.26,111200,0.26
2012-11-21,0.30,0.31,0.30,0.30,60000,0.30
2012-11-20,0.31,0.32,0.28,0.30,77100,0.30
2012-11-19,0.33,0.33,0.30,0.31,77700,0.31
2012-11-16,0.31,0.31,0.31,0.31,000,0.31
2012-11-15,0.31,0.31,0.31,0.31,6400,0.31
2012-11-14,0.37,0.37,0.35,0.35,55200,0.35
2012-11-13,0.37,0.37,0.37,0.37,22100,0.37
2012-11-12,0.39,0.39,0.37,0.37,12500,0.37
2012-11-09,0.40,0.40,0.40,0.40,000,0.40
2012-11-08,0.40,0.40,0.40,0.40,000,0.40
2012-11-07,0.40,0.40,0.40,0.40,20000,0.40
2012-11-06,0.40,0.40,0.39,0.40,34100,0.40
2012-11-05,0.40,0.40,0.40,0.40,000,0.40
2012-11-02,0.39,0.40,0.39,0.40,18200,0.40
2012-11-01,0.39,0.39,0.39,0.39,000,0.39
2012-10-31,0.40,0.40,0.39,0.39,33700,0.39
2012-10-30,0.40,0.40,0.40,0.40,000,0.40
2012-10-29,0.39,0.40,0.39,0.40,71700,0.40
2012-10-26,0.40,0.40,0.40,0.40,60000,0.40
2012-10-25,0.40,0.40,0.39,0.39,37300,0.39
2012-10-24,0.40,0.40,0.39,0.39,43300,0.39
2012-10-23,0.40,0.40,0.39,0.40,46400,0.40
2012-10-22,0.39,0.40,0.39,0.40,91400,0.40
2012-10-19,0.40,0.40,0.40,0.40,5000,0.40
2012-10-18,0.39,0.39,0.38,0.38,18000,0.38
2012-10-17,0.39,0.39,0.38,0.38,76300,0.38
2012-10-16,0.39,0.39,0.39,0.39,43000,0.39
2012-10-15,0.39,0.39,0.39,0.39,2400,0.39
2012-10-12,0.39,0.39,0.39,0.39,15500,0.39
2012-10-11,0.40,0.40,0.40,0.40,9100,0.40
2012-10-10,0.40,0.41,0.40,0.40,57100,0.40
2012-10-09,0.41,0.41,0.40,0.40,118600,0.40
2012-10-08,0.41,0.41,0.40,0.41,153500,0.41
2012-10-05,0.40,0.41,0.40,0.41,43500,0.41
2012-10-04,0.41,0.41,0.41,0.41,000,0.41
2012-10-03,0.41,0.41,0.40,0.41,49800,0.41
2012-10-02,0.41,0.41,0.40,0.40,81300,0.40
2012-10-01,0.41,0.41,0.41,0.41,000,0.41
2012-09-28,0.41,0.41,0.41,0.41,57500,0.41
2012-09-27,0.40,0.40,0.40,0.40,20900,0.40
2012-09-26,0.40,0.41,0.40,0.40,38100,0.40
2012-09-25,0.41,0.41,0.40,0.40,20500,0.40
2012-09-24,0.41,0.41,0.41,0.41,000,0.41
2012-09-21,0.41,0.41,0.41,0.41,58000,0.41
2012-09-20,0.41,0.41,0.41,0.41,12000,0.41
2012-09-19,0.41,0.41,0.40,0.40,225000,0.40
2012-09-18,0.38,0.39,0.38,0.39,69800,0.39
2012-09-17,0.38,0.38,0.38,0.38,19500,0.38
2012-09-14,0.36,0.36,0.36,0.36,000,0.36
2012-09-13,0.36,0.36,0.36,0.36,000,0.36
2012-09-12,0.36,0.36,0.36,0.36,000,0.36
2012-09-11,0.36,0.36,0.36,0.36,9200,0.36
2012-09-10,0.38,0.38,0.38,0.38,6000,0.38
2012-09-07,0.35,0.35,0.35,0.35,7700,0.35
2012-09-06,0.35,0.35,0.35,0.35,800,0.35
2012-09-05,0.35,0.35,0.35,0.35,47000,0.35
2012-09-04,0.37,0.37,0.35,0.35,302500,0.35
2012-09-03,0.37,0.37,0.37,0.37,000,0.37
2012-08-31,0.37,0.37,0.37,0.37,5700,0.37
