Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.76,0.80,0.76,0.80,42100,0.80
2013-09-19,0.80,0.80,0.77,0.77,47800,0.77
2013-09-18,0.77,0.80,0.77,0.80,8300,0.80
2013-09-17,0.80,0.80,0.77,0.80,51900,0.80
2013-09-16,0.77,0.77,0.76,0.76,7300,0.76
2013-09-13,0.76,0.76,0.76,0.76,3400,0.76
2013-09-12,0.75,0.75,0.75,0.75,4200,0.75
2013-09-11,0.77,0.77,0.75,0.75,136300,0.75
2013-09-10,0.77,0.77,0.75,0.75,15400,0.75
2013-09-09,0.77,0.77,0.77,0.77,000,0.77
2013-09-06,0.77,0.77,0.77,0.77,30500,0.77
2013-09-05,0.75,0.75,0.75,0.75,9600,0.75
2013-09-04,0.75,0.75,0.73,0.74,34900,0.74
2013-09-03,0.77,0.77,0.77,0.77,000,0.77
2013-09-02,0.75,0.77,0.75,0.77,26200,0.77
2013-08-30,0.76,0.76,0.72,0.76,118100,0.76
2013-08-29,0.75,0.77,0.75,0.77,21500,0.77
2013-08-28,0.78,0.78,0.75,0.75,77300,0.75
2013-08-27,0.82,0.82,0.79,0.79,123900,0.79
2013-08-26,0.82,0.82,0.82,0.82,700,0.82
2013-08-23,0.82,0.82,0.82,0.82,000,0.82
2013-08-22,0.82,0.82,0.82,0.82,000,0.82
2013-08-21,0.82,0.82,0.82,0.82,2300,0.82
2013-08-20,0.83,0.83,0.83,0.83,91000,0.83
2013-08-19,0.85,0.86,0.82,0.82,31600,0.82
2013-08-16,0.85,0.85,0.85,0.85,2100,0.85
2013-08-15,0.85,0.86,0.85,0.86,204000,0.86
2013-08-14,0.85,0.85,0.85,0.85,24600,0.85
2013-08-13,0.86,0.86,0.85,0.85,21000,0.85
2013-08-12,0.86,0.86,0.86,0.86,2900,0.86
2013-08-09,0.86,0.86,0.86,0.86,231700,0.86
2013-08-08,0.86,0.86,0.86,0.86,1700,0.86
2013-08-07,0.87,0.87,0.86,0.86,2000,0.86
2013-08-06,0.88,0.88,0.87,0.87,26800,0.87
2013-08-05,0.88,0.88,0.88,0.88,1500,0.88
2013-08-02,0.86,0.87,0.86,0.87,7000,0.87
2013-08-01,0.84,0.84,0.84,0.84,1700,0.84
2013-07-31,0.82,0.84,0.82,0.84,8200,0.84
2013-07-30,0.83,0.83,0.83,0.83,000,0.83
2013-07-29,0.82,0.83,0.82,0.83,25000,0.83
2013-07-26,0.83,0.83,0.82,0.82,12500,0.82
2013-07-25,0.82,0.82,0.82,0.82,000,0.82
2013-07-24,0.82,0.82,0.82,0.82,000,0.82
2013-07-23,0.82,0.82,0.82,0.82,15000,0.82
2013-07-22,0.81,0.81,0.81,0.81,34200,0.81
2013-07-19,0.81,0.81,0.81,0.81,2100,0.81
2013-07-18,0.83,0.83,0.81,0.81,41400,0.81
2013-07-17,0.81,0.84,0.81,0.84,3200,0.84
2013-07-16,0.81,0.83,0.81,0.83,2300,0.83
2013-07-15,0.81,0.81,0.81,0.81,35300,0.81
2013-07-12,0.81,0.81,0.81,0.81,13000,0.81
2013-07-11,0.83,0.83,0.81,0.81,34700,0.81
2013-07-10,0.83,0.83,0.83,0.83,33800,0.83
2013-07-09,0.83,0.83,0.83,0.83,2300,0.83
2013-07-08,0.83,0.83,0.83,0.83,19700,0.83
2013-07-05,0.82,0.83,0.81,0.81,25900,0.81
2013-07-04,0.82,0.82,0.82,0.82,7600,0.82
2013-07-03,0.81,0.81,0.81,0.81,1600,0.81
2013-07-02,0.84,0.84,0.81,0.81,22200,0.81
