Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.08,0.08,0.07,0.07,100000,0.07
2013-09-19,0.06,0.08,0.06,0.08,564400,0.08
2013-09-18,0.05,0.06,0.05,0.06,54000,0.06
2013-09-17,0.06,0.06,0.05,0.05,233500,0.05
2013-09-16,0.04,0.04,0.04,0.04,000,0.04
2013-09-13,0.04,0.04,0.04,0.04,000,0.04
2013-09-12,0.04,0.04,0.04,0.04,000,0.04
2013-09-11,0.04,0.04,0.04,0.04,5400,0.04
2013-09-10,0.05,0.05,0.05,0.05,182600,0.05
2013-09-09,0.05,0.05,0.05,0.05,000,0.05
2013-09-06,0.05,0.05,0.05,0.05,000,0.05
2013-09-05,0.05,0.05,0.05,0.05,000,0.05
2013-09-04,0.05,0.05,0.04,0.05,207900,0.05
2013-09-03,0.05,0.05,0.05,0.05,000,0.05
2013-09-02,0.04,0.05,0.04,0.05,147000,0.05
2013-08-30,0.05,0.05,0.05,0.05,458000,0.05
2013-08-29,0.05,0.05,0.05,0.05,202000,0.05
2013-08-28,0.05,0.05,0.05,0.05,150000,0.05
2013-08-27,0.05,0.05,0.05,0.05,162900,0.05
2013-08-26,0.05,0.05,0.05,0.05,50000,0.05
2013-08-23,0.06,0.06,0.05,0.05,628100,0.05
2013-08-22,0.06,0.06,0.06,0.06,7200,0.06
2013-08-21,0.06,0.06,0.06,0.06,000,0.06
2013-08-20,0.06,0.06,0.06,0.06,500,0.06
2013-08-19,0.06,0.06,0.06,0.06,50000,0.06
2013-08-16,0.06,0.06,0.06,0.06,88300,0.06
2013-08-15,0.06,0.06,0.06,0.06,30000,0.06
2013-08-14,0.06,0.06,0.06,0.06,40000,0.06
2013-08-13,0.06,0.06,0.06,0.06,91500,0.06
2013-08-12,0.06,0.06,0.06,0.06,63500,0.06
2013-08-09,0.06,0.06,0.06,0.06,182700,0.06
2013-08-08,0.06,0.06,0.06,0.06,000,0.06
2013-08-07,0.07,0.07,0.06,0.06,127000,0.06
2013-08-06,0.06,0.06,0.06,0.06,45000,0.06
2013-08-05,0.07,0.07,0.06,0.06,132800,0.06
2013-08-02,0.06,0.07,0.06,0.07,122300,0.07
2013-08-01,0.07,0.07,0.07,0.07,153600,0.07
2013-07-31,0.09,0.09,0.08,0.08,72500,0.08
2013-07-30,0.08,0.08,0.08,0.08,31200,0.08
2013-07-29,0.08,0.08,0.08,0.08,000,0.08
2013-07-26,0.08,0.08,0.08,0.08,5000,0.08
2013-07-25,0.08,0.08,0.08,0.08,40000,0.08
2013-07-24,0.08,0.09,0.08,0.09,100200,0.09
2013-07-23,0.09,0.09,0.09,0.09,23000,0.09
2013-07-19,0.08,0.08,0.08,0.08,32800,0.08
2013-07-18,0.09,0.09,0.09,0.09,000,0.09
2013-07-17,0.09,0.09,0.09,0.09,000,0.09
2013-07-16,0.09,0.09,0.09,0.09,000,0.09
2013-07-15,0.09,0.09,0.09,0.09,000,0.09
2013-07-12,0.09,0.09,0.09,0.09,000,0.09
2013-07-11,0.09,0.09,0.09,0.09,000,0.09
2013-07-10,0.09,0.09,0.09,0.09,181000,0.09
2013-07-09,0.09,0.09,0.09,0.09,000,0.09
2013-07-08,0.09,0.09,0.09,0.09,000,0.09
2013-07-05,0.09,0.09,0.09,0.09,000,0.09
2013-07-04,0.09,0.09,0.09,0.09,000,0.09
2013-07-03,0.09,0.09,0.09,0.09,000,0.09
2013-07-02,0.09,0.09,0.09,0.09,50000,0.09
