Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.06,0.06,0.05,0.05,20386100,0.05
2013-09-19,0.06,0.06,0.06,0.06,2952600,0.06
2013-09-18,0.07,0.07,0.06,0.06,5000800,0.06
2013-09-17,0.07,0.07,0.06,0.06,5507500,0.06
2013-09-16,0.07,0.07,0.07,0.07,812500,0.07
2013-09-13,0.07,0.07,0.07,0.07,2082000,0.07
2013-09-12,0.07,0.07,0.07,0.07,2875000,0.07
2013-09-11,0.08,0.08,0.07,0.07,2781000,0.07
2013-09-10,0.08,0.08,0.07,0.08,7946400,0.08
2013-09-09,0.08,0.08,0.07,0.08,3123900,0.08
2013-09-06,0.08,0.08,0.07,0.07,1876900,0.07
2013-09-05,0.07,0.08,0.07,0.07,5345400,0.07
2013-09-04,0.07,0.08,0.07,0.07,1202800,0.07
2013-09-03,0.07,0.08,0.07,0.07,5483600,0.07
2013-09-02,0.07,0.07,0.07,0.07,898400,0.07
2013-08-30,0.07,0.07,0.07,0.07,1388300,0.07
2013-08-29,0.07,0.07,0.07,0.07,1382200,0.07
2013-08-28,0.07,0.07,0.07,0.07,2344400,0.07
2013-08-27,0.07,0.07,0.07,0.07,2406000,0.07
2013-08-26,0.08,0.08,0.07,0.07,1471400,0.07
2013-08-23,0.07,0.07,0.07,0.07,3524500,0.07
2013-08-22,0.08,0.08,0.06,0.07,8303100,0.07
2013-08-21,0.08,0.08,0.08,0.08,4035200,0.08
2013-08-20,0.09,0.09,0.08,0.08,16297300,0.08
2013-08-19,0.07,0.08,0.07,0.08,14385900,0.08
2013-08-16,0.07,0.07,0.06,0.07,5481400,0.07
2013-08-15,0.06,0.07,0.06,0.06,1060600,0.06
2013-08-14,0.07,0.07,0.06,0.06,6513400,0.06
2013-08-13,0.06,0.07,0.06,0.07,6574800,0.07
2013-08-12,0.06,0.06,0.06,0.06,1015600,0.06
2013-08-09,0.06,0.06,0.06,0.06,1116800,0.06
2013-08-08,0.06,0.06,0.06,0.06,3028400,0.06
2013-08-07,0.06,0.06,0.06,0.06,1206300,0.06
2013-08-06,0.06,0.06,0.06,0.06,1119800,0.06
2013-08-05,0.06,0.06,0.06,0.06,3468200,0.06
2013-08-02,0.06,0.06,0.06,0.06,2677100,0.06
2013-08-01,0.06,0.06,0.05,0.06,7071400,0.06
2013-07-31,0.05,0.06,0.05,0.06,945500,0.06
2013-07-30,0.06,0.06,0.05,0.06,1182800,0.06
2013-07-29,0.05,0.06,0.05,0.06,3167500,0.06
2013-07-26,0.05,0.06,0.05,0.05,1219600,0.05
2013-07-25,0.05,0.06,0.05,0.05,1759300,0.05
2013-07-24,0.06,0.06,0.05,0.05,4800100,0.05
2013-07-23,0.06,0.06,0.05,0.06,5682600,0.06
2013-07-19,0.06,0.07,0.06,0.06,2708600,0.06
2013-07-18,0.06,0.07,0.06,0.06,4461700,0.06
2013-07-17,0.07,0.07,0.06,0.06,5782100,0.06
2013-07-16,0.07,0.08,0.06,0.07,17110100,0.07
2013-07-15,0.05,0.07,0.05,0.07,18198300,0.07
2013-07-12,0.05,0.06,0.05,0.05,14260500,0.05
2013-07-11,0.04,0.05,0.04,0.05,7004800,0.05
2013-07-10,0.04,0.05,0.04,0.04,9607900,0.04
2013-07-09,0.04,0.04,0.03,0.04,1047000,0.04
2013-07-08,0.04,0.04,0.03,0.03,1060200,0.03
2013-07-05,0.04,0.04,0.03,0.03,1609700,0.03
2013-07-04,0.03,0.04,0.03,0.04,1546400,0.04
2013-07-03,0.03,0.03,0.03,0.03,1417200,0.03
2013-07-02,0.03,0.03,0.03,0.03,1583400,0.03
2013-07-01,0.03,0.03,0.03,0.03,1853000,0.03
2013-06-28,0.03,0.03,0.03,0.03,5636900,0.03
2013-06-27,0.03,0.03,0.03,0.03,2779000,0.03
2013-06-26,0.03,0.03,0.03,0.03,3735100,0.03
2013-06-25,0.03,0.03,0.03,0.03,4369100,0.03
2013-06-24,0.03,0.03,0.03,0.03,4461600,0.03
2013-06-21,0.04,0.04,0.03,0.03,11760200,0.03
2013-06-20,0.03,0.04,0.03,0.04,15176100,0.04
2013-06-18,0.03,0.03,0.02,0.02,4637800,0.02
2013-06-17,0.03,0.03,0.03,0.03,2026800,0.03
2013-06-14,0.03,0.03,0.03,0.03,3711300,0.03
2013-06-13,0.03,0.03,0.03,0.03,2867700,0.03
2013-06-12,0.04,0.04,0.03,0.03,3975100,0.03
2013-06-11,0.04,0.04,0.03,0.03,3410000,0.03
2013-06-10,0.03,0.03,0.03,0.03,000,0.03
2013-06-07,0.04,0.04,0.03,0.03,5910900,0.03
2013-06-06,0.04,0.04,0.04,0.04,3322500,0.04
2013-06-05,0.04,0.04,0.04,0.04,1887900,0.04
2013-06-04,0.04,0.04,0.04,0.04,4461700,0.04
2013-06-03,0.04,0.04,0.04,0.04,1645900,0.04
2013-05-31,0.04,0.04,0.04,0.04,16510900,0.04
2013-05-30,0.05,0.06,0.04,0.04,20523000,0.04
2013-05-29,0.05,0.05,0.05,0.05,3407200,0.05
2013-05-28,0.05,0.05,0.05,0.05,1359900,0.05
2013-05-27,0.05,0.05,0.05,0.05,1251000,0.05
2013-05-24,0.05,0.05,0.05,0.05,915500,0.05
2013-05-23,0.05,0.05,0.05,0.05,1480800,0.05
2013-05-22,0.05,0.05,0.05,0.05,2495300,0.05
2013-05-21,0.06,0.06,0.05,0.05,1892900,0.05
2013-05-20,0.06,0.06,0.05,0.06,1842800,0.06
2013-05-17,0.06,0.06,0.05,0.06,1669000,0.06
2013-05-16,0.06,0.06,0.05,0.06,2819700,0.06
2013-05-15,0.06,0.06,0.06,0.06,854100,0.06
2013-05-14,0.06,0.06,0.06,0.06,918500,0.06
2013-05-13,0.06,0.06,0.05,0.06,2817400,0.06
2013-05-10,0.06,0.06,0.06,0.06,2441800,0.06
2013-05-09,0.06,0.06,0.06,0.06,5203500,0.06
2013-05-08,0.06,0.06,0.06,0.06,4699900,0.06
2013-05-07,0.06,0.06,0.06,0.06,771300,0.06
2013-05-06,0.06,0.06,0.06,0.06,2335000,0.06
2013-05-03,0.06,0.06,0.06,0.06,1694900,0.06
2013-05-02,0.06,0.06,0.06,0.06,1112400,0.06
2013-05-01,0.06,0.06,0.06,0.06,1415100,0.06
2013-04-30,0.06,0.06,0.06,0.06,1576900,0.06
2013-04-26,0.07,0.07,0.07,0.07,831300,0.07
2013-04-25,0.06,0.06,0.06,0.06,000,0.06
2013-04-24,0.06,0.07,0.06,0.06,1784000,0.06
2013-04-23,0.07,0.07,0.06,0.06,1369500,0.06
2013-04-22,0.07,0.07,0.07,0.07,1772900,0.07
2013-04-19,0.07,0.07,0.07,0.07,453400,0.07
2013-04-18,0.07,0.07,0.07,0.07,849400,0.07
2013-04-17,0.07,0.07,0.07,0.07,1163100,0.07
2013-04-16,0.07,0.07,0.07,0.07,3610200,0.07
2013-04-15,0.08,0.08,0.07,0.07,771300,0.07
2013-04-12,0.08,0.08,0.07,0.08,2278100,0.08
2013-04-11,0.07,0.07,0.07,0.07,1496900,0.07
2013-04-10,0.07,0.07,0.07,0.07,1508800,0.07
2013-04-09,0.08,0.08,0.07,0.07,3235100,0.07
2013-04-08,0.10,0.10,0.07,0.08,17308800,0.08
2013-04-05,0.06,0.10,0.06,0.10,16345100,0.10
2013-04-04,0.06,0.06,0.06,0.06,5438300,0.06
2013-04-03,0.07,0.07,0.06,0.06,2776400,0.06
2013-04-02,0.07,0.07,0.07,0.07,689900,0.07
2013-04-01,0.07,0.07,0.07,0.07,000,0.07
2013-03-29,0.07,0.07,0.07,0.07,000,0.07
2013-03-28,0.07,0.07,0.07,0.07,2777000,0.07
2013-03-27,0.07,0.07,0.06,0.06,1396700,0.06
2013-03-26,0.08,0.08,0.07,0.07,2746300,0.07
2013-03-25,0.08,0.08,0.08,0.08,1935200,0.08
2013-03-22,0.08,0.08,0.08,0.08,1718400,0.08
2013-03-21,0.08,0.08,0.08,0.08,3490700,0.08
2013-03-20,0.09,0.09,0.08,0.08,5648000,0.08
2013-03-19,0.09,0.09,0.09,0.09,1615900,0.09
2013-03-18,0.10,0.10,0.09,0.09,3614200,0.09
2013-03-15,0.10,0.10,0.10,0.10,1424500,0.10
2013-03-14,0.11,0.11,0.10,0.10,1757200,0.10
2013-03-13,0.10,0.11,0.10,0.11,931800,0.11
2013-03-12,0.11,0.12,0.10,0.10,1836700,0.10
2013-03-08,0.11,0.12,0.11,0.11,499900,0.11
2013-03-07,0.11,0.12,0.11,0.11,439400,0.11
2013-03-06,0.11,0.12,0.11,0.12,645600,0.12
2013-03-05,0.12,0.12,0.11,0.11,1464800,0.11
2013-03-04,0.12,0.12,0.11,0.11,789900,0.11
2013-03-01,0.11,0.12,0.11,0.12,769500,0.12
2013-02-28,0.11,0.12,0.11,0.11,770000,0.11
2013-02-27,0.12,0.12,0.11,0.11,836300,0.11
2013-02-26,0.12,0.12,0.11,0.12,332500,0.12
2013-02-25,0.12,0.12,0.11,0.11,1753800,0.11
2013-02-22,0.12,0.12,0.12,0.12,603100,0.12
2013-02-21,0.12,0.12,0.12,0.12,597300,0.12
2013-02-20,0.12,0.12,0.12,0.12,255200,0.12
2013-02-19,0.12,0.12,0.12,0.12,238200,0.12
2013-02-18,0.12,0.12,0.12,0.12,393500,0.12
2013-02-15,0.12,0.12,0.11,0.12,2890900,0.12
2013-02-14,0.12,0.12,0.12,0.12,417600,0.12
2013-02-13,0.12,0.12,0.12,0.12,400900,0.12
2013-02-12,0.12,0.12,0.12,0.12,1986100,0.12
2013-02-11,0.12,0.12,0.12,0.12,296400,0.12
2013-02-08,0.12,0.12,0.12,0.12,1698000,0.12
2013-02-07,0.12,0.12,0.12,0.12,4510900,0.12
2013-02-06,0.12,0.12,0.12,0.12,2687700,0.12
2013-02-05,0.12,0.12,0.12,0.12,762300,0.12
2013-02-04,0.12,0.13,0.12,0.12,528000,0.12
2013-02-01,0.12,0.13,0.12,0.12,1184700,0.12
2013-01-31,0.12,0.13,0.12,0.13,1103900,0.13
2013-01-30,0.13,0.13,0.12,0.12,1214800,0.12
2013-01-29,0.13,0.14,0.12,0.12,3299200,0.12
2013-01-28,0.14,0.14,0.14,0.14,000,0.14
2013-01-25,0.14,0.14,0.13,0.14,731900,0.14
2013-01-24,0.14,0.14,0.13,0.14,2338300,0.14
2013-01-23,0.14,0.14,0.13,0.14,3220800,0.14
2013-01-22,0.14,0.14,0.13,0.14,1564700,0.14
2013-01-21,0.14,0.14,0.14,0.14,1248300,0.14
2013-01-18,0.14,0.14,0.14,0.14,1139600,0.14
2013-01-17,0.14,0.14,0.14,0.14,3636100,0.14
2013-01-16,0.15,0.16,0.14,0.14,6349100,0.14
2013-01-15,0.14,0.15,0.13,0.14,8659100,0.14
2013-01-14,0.13,0.14,0.12,0.14,1787900,0.14
2013-01-11,0.13,0.14,0.12,0.13,2869200,0.13
2013-01-10,0.12,0.13,0.12,0.13,5058100,0.13
2013-01-09,0.12,0.12,0.12,0.12,3998200,0.12
2013-01-08,0.12,0.12,0.12,0.12,1145800,0.12
2013-01-07,0.12,0.12,0.12,0.12,2030200,0.12
2013-01-04,0.12,0.12,0.12,0.12,1994100,0.12
2013-01-03,0.12,0.12,0.12,0.12,2231500,0.12
2013-01-02,0.12,0.12,0.12,0.12,2366900,0.12
2013-01-01,0.12,0.12,0.12,0.12,000,0.12
2012-12-31,0.12,0.12,0.12,0.12,482500,0.12
2012-12-28,0.12,0.12,0.12,0.12,2347600,0.12
2012-12-27,0.12,0.12,0.12,0.12,1445900,0.12
2012-12-26,0.12,0.12,0.12,0.12,000,0.12
2012-12-25,0.12,0.12,0.12,0.12,000,0.12
2012-12-24,0.12,0.12,0.12,0.12,178600,0.12
2012-12-21,0.12,0.12,0.12,0.12,2305600,0.12
2012-12-20,0.12,0.12,0.12,0.12,1132500,0.12
2012-12-19,0.12,0.14,0.12,0.12,5143600,0.12
2012-12-18,0.12,0.12,0.12,0.12,733700,0.12
2012-12-17,0.12,0.12,0.12,0.12,882700,0.12
2012-12-14,0.12,0.12,0.12,0.12,254300,0.12
2012-12-13,0.12,0.13,0.12,0.12,798200,0.12
2012-12-12,0.12,0.14,0.12,0.12,1368400,0.12
2012-12-11,0.13,0.13,0.12,0.13,1418700,0.13
2012-12-10,0.12,0.14,0.12,0.12,3343200,0.12
2012-12-07,0.12,0.12,0.12,0.12,2627200,0.12
2012-12-06,0.12,0.12,0.12,0.12,2397200,0.12
2012-12-05,0.12,0.12,0.12,0.12,1230100,0.12
2012-12-04,0.12,0.12,0.12,0.12,1212600,0.12
2012-12-03,0.12,0.12,0.12,0.12,1236700,0.12
2012-11-30,0.12,0.12,0.12,0.12,508000,0.12
2012-11-29,0.12,0.13,0.12,0.12,814800,0.12
2012-11-28,0.12,0.12,0.12,0.12,580100,0.12
2012-11-27,0.12,0.12,0.12,0.12,1063000,0.12
2012-11-26,0.12,0.12,0.12,0.12,2237800,0.12
2012-11-23,0.13,0.13,0.12,0.13,661500,0.13
2012-11-22,0.13,0.13,0.12,0.12,686500,0.12
2012-11-21,0.14,0.14,0.12,0.13,740700,0.13
2012-11-20,0.14,0.14,0.13,0.13,3025400,0.13
2012-11-19,0.12,0.14,0.12,0.13,1645400,0.13
2012-11-16,0.12,0.12,0.11,0.12,2743900,0.12
2012-11-15,0.12,0.12,0.10,0.12,5913400,0.12
2012-11-14,0.14,0.14,0.10,0.12,6060000,0.12
2012-11-13,0.14,0.14,0.12,0.13,1679300,0.13
2012-11-12,0.14,0.14,0.14,0.14,870100,0.14
2012-11-09,0.14,0.15,0.14,0.14,2589300,0.14
2012-11-08,0.16,0.16,0.14,0.15,1264800,0.15
2012-11-07,0.16,0.16,0.16,0.16,470500,0.16
2012-11-06,0.16,0.17,0.16,0.16,750500,0.16
2012-11-05,0.16,0.17,0.16,0.16,329300,0.16
2012-11-02,0.16,0.17,0.16,0.17,596100,0.17
2012-11-01,0.16,0.17,0.16,0.16,981700,0.16
2012-10-31,0.16,0.17,0.16,0.17,845300,0.17
2012-10-30,0.17,0.17,0.16,0.16,1003900,0.16
2012-10-29,0.18,0.18,0.17,0.17,834900,0.17
2012-10-26,0.17,0.18,0.17,0.18,1713500,0.18
2012-10-25,0.18,0.18,0.17,0.18,709400,0.18
2012-10-24,0.17,0.19,0.17,0.18,2244300,0.18
2012-10-23,0.19,0.19,0.17,0.17,2685700,0.17
2012-10-22,0.18,0.19,0.17,0.19,2135500,0.19
2012-10-19,0.19,0.19,0.19,0.19,2774400,0.19
2012-10-18,0.19,0.19,0.18,0.19,4366100,0.19
2012-10-17,0.17,0.18,0.17,0.18,2785100,0.18
2012-10-16,0.17,0.17,0.16,0.17,3747500,0.17
2012-10-15,0.17,0.17,0.16,0.16,1128000,0.16
2012-10-12,0.15,0.17,0.15,0.17,4871100,0.17
2012-10-11,0.14,0.16,0.14,0.15,4534500,0.15
2012-10-10,0.14,0.14,0.14,0.14,605000,0.14
2012-10-09,0.15,0.15,0.14,0.14,1594100,0.14
2012-10-08,0.14,0.16,0.14,0.15,565800,0.15
2012-10-05,0.16,0.16,0.14,0.14,2192300,0.14
2012-10-04,0.17,0.17,0.15,0.15,8808300,0.15
2012-10-03,0.12,0.16,0.12,0.16,14782600,0.16
2012-10-02,0.12,0.12,0.12,0.12,742800,0.12
2012-10-01,0.12,0.12,0.12,0.12,868500,0.12
2012-09-28,0.12,0.12,0.12,0.12,510200,0.12
2012-09-27,0.12,0.12,0.12,0.12,600000,0.12
2012-09-26,0.12,0.12,0.11,0.12,886100,0.12
2012-09-25,0.11,0.12,0.11,0.11,1045200,0.11
2012-09-24,0.12,0.12,0.11,0.11,699400,0.11
2012-09-21,0.12,0.12,0.11,0.11,3991200,0.11
2012-09-20,0.12,0.12,0.11,0.12,1051800,0.12
2012-09-19,0.12,0.12,0.12,0.12,1072600,0.12
2012-09-18,0.12,0.12,0.12,0.12,2087000,0.12
2012-09-17,0.12,0.13,0.11,0.12,5878900,0.12
2012-09-14,0.12,0.12,0.11,0.12,1372200,0.12
2012-09-13,0.12,0.12,0.10,0.12,9008800,0.12
2012-09-12,0.12,0.12,0.11,0.12,1008600,0.12
2012-09-11,0.12,0.12,0.12,0.12,1265200,0.12
2012-09-10,0.12,0.12,0.12,0.12,3093900,0.12
2012-09-07,0.12,0.12,0.12,0.12,1617600,0.12
2012-09-06,0.12,0.12,0.11,0.12,1770700,0.12
2012-09-05,0.13,0.13,0.11,0.12,3846900,0.12
2012-09-04,0.14,0.14,0.12,0.13,1235200,0.13
2012-09-03,0.14,0.14,0.14,0.14,3356200,0.14
2012-08-31,0.14,0.14,0.13,0.14,1331200,0.14
2012-08-30,0.16,0.16,0.14,0.14,3360000,0.14
2012-08-29,0.16,0.16,0.16,0.16,512600,0.16
2012-08-28,0.16,0.16,0.16,0.16,537800,0.16
2012-08-27,0.16,0.17,0.16,0.16,766900,0.16
2012-08-24,0.17,0.17,0.16,0.16,389200,0.16
2012-08-23,0.17,0.17,0.16,0.16,1630800,0.16
2012-08-22,0.16,0.17,0.16,0.16,512700,0.16
2012-08-21,0.17,0.17,0.16,0.17,1535600,0.17
2012-08-20,0.17,0.17,0.16,0.17,424500,0.17
2012-08-17,0.17,0.17,0.16,0.17,761900,0.17
2012-08-16,0.16,0.17,0.16,0.17,941000,0.17
2012-08-15,0.16,0.17,0.16,0.17,202100,0.17
2012-08-14,0.16,0.17,0.16,0.16,358800,0.16
2012-08-13,0.17,0.17,0.16,0.16,301200,0.16
2012-08-10,0.16,0.17,0.16,0.17,753500,0.17
2012-08-09,0.16,0.17,0.16,0.16,687100,0.16
2012-08-08,0.17,0.17,0.16,0.16,1031600,0.16
2012-08-07,0.16,0.17,0.16,0.16,245300,0.16
2012-08-06,0.16,0.17,0.16,0.16,1335300,0.16
2012-08-03,0.16,0.16,0.16,0.16,1807700,0.16
2012-08-02,0.16,0.17,0.16,0.17,1663600,0.17
2012-08-01,0.17,0.17,0.16,0.16,5238700,0.16
2012-07-31,0.17,0.17,0.17,0.17,1731800,0.17
2012-07-30,0.18,0.18,0.17,0.17,858700,0.17
2012-07-27,0.18,0.19,0.17,0.18,1350400,0.18
2012-07-26,0.19,0.19,0.18,0.18,463200,0.18
2012-07-25,0.18,0.19,0.18,0.19,1247100,0.19
2012-07-24,0.17,0.19,0.17,0.18,1089300,0.18
2012-07-23,0.17,0.17,0.17,0.17,520700,0.17
2012-07-20,0.18,0.19,0.17,0.17,2042900,0.17
2012-07-19,0.19,0.19,0.18,0.18,470400,0.18
