Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.02,0.02,0.02,0.02,000,0.02
2013-09-19,0.03,0.03,0.02,0.02,500000,0.02
2013-09-18,0.03,0.03,0.03,0.03,125000,0.03
2013-09-17,0.03,0.03,0.03,0.03,20000,0.03
2013-09-16,0.03,0.03,0.03,0.03,000,0.03
2013-09-13,0.03,0.03,0.03,0.03,000,0.03
2013-09-12,0.03,0.03,0.03,0.03,100000,0.03
2013-09-11,0.03,0.03,0.03,0.03,2300100,0.03
2013-09-10,0.03,0.03,0.03,0.03,000,0.03
2013-09-09,0.03,0.03,0.03,0.03,310000,0.03
2013-09-06,0.03,0.03,0.03,0.03,116500,0.03
2013-09-05,0.03,0.03,0.03,0.03,000,0.03
2013-09-04,0.03,0.03,0.03,0.03,70000,0.03
2013-09-03,0.03,0.03,0.03,0.03,2500,0.03
2013-09-02,0.03,0.03,0.03,0.03,730000,0.03
2013-08-30,0.03,0.03,0.03,0.03,000,0.03
2013-08-29,0.03,0.03,0.03,0.03,000,0.03
2013-08-28,0.03,0.03,0.03,0.03,100000,0.03
2013-08-27,0.03,0.03,0.03,0.03,140000,0.03
2013-08-26,0.03,0.03,0.03,0.03,20000,0.03
2013-08-23,0.03,0.03,0.03,0.03,000,0.03
2013-08-22,0.03,0.03,0.03,0.03,750000,0.03
2013-08-21,0.03,0.03,0.03,0.03,290000,0.03
2013-08-20,0.02,0.03,0.02,0.03,545500,0.03
2013-08-19,0.03,0.03,0.03,0.03,50000,0.03
2013-08-16,0.03,0.03,0.03,0.03,400000,0.03
2013-08-15,0.03,0.03,0.03,0.03,855900,0.03
2013-08-14,0.03,0.03,0.03,0.03,000,0.03
2013-08-13,0.03,0.03,0.03,0.03,101000,0.03
2013-08-12,0.03,0.03,0.03,0.03,27000,0.03
2013-08-09,0.03,0.03,0.03,0.03,550000,0.03
2013-08-08,0.03,0.03,0.03,0.03,14000,0.03
2013-08-07,0.03,0.03,0.03,0.03,185000,0.03
2013-08-06,0.03,0.03,0.03,0.03,50000,0.03
2013-08-05,0.03,0.03,0.03,0.03,430200,0.03
2013-08-02,0.03,0.03,0.03,0.03,000,0.03
2013-08-01,0.03,0.03,0.03,0.03,10500,0.03
2013-07-31,0.03,0.03,0.03,0.03,19300,0.03
2013-07-30,0.03,0.03,0.03,0.03,300000,0.03
2013-07-29,0.04,0.04,0.03,0.04,2672800,0.04
2013-07-26,0.03,0.03,0.03,0.03,000,0.03
2013-07-25,0.03,0.03,0.03,0.03,000,0.03
2013-07-24,0.03,0.03,0.03,0.03,39000,0.03
2013-07-23,0.03,0.03,0.03,0.03,443000,0.03
2013-07-22,0.03,0.03,0.03,0.03,000,0.03
2013-07-19,0.03,0.03,0.03,0.03,000,0.03
2013-07-18,0.03,0.03,0.03,0.03,000,0.03
2013-07-17,0.03,0.03,0.03,0.03,197600,0.03
2013-07-16,0.03,0.03,0.03,0.03,145600,0.03
2013-07-15,0.03,0.03,0.03,0.03,150000,0.03
2013-07-12,0.03,0.03,0.03,0.03,700000,0.03
2013-07-11,0.04,0.04,0.04,0.04,000,0.04
2013-07-10,0.04,0.04,0.04,0.04,29600,0.04
2013-07-09,0.04,0.04,0.04,0.04,250000,0.04
2013-07-08,0.04,0.04,0.04,0.04,000,0.04
2013-07-05,0.04,0.04,0.04,0.04,670300,0.04
2013-07-04,0.03,0.03,0.03,0.03,100000,0.03
2013-07-03,0.03,0.03,0.03,0.03,000,0.03
2013-07-02,0.03,0.03,0.03,0.03,250000,0.03
2013-07-01,0.03,0.03,0.03,0.03,94300,0.03
2013-06-28,0.03,0.03,0.03,0.03,355600,0.03
2013-06-27,0.04,0.04,0.04,0.04,222600,0.04
2013-06-26,0.03,0.04,0.03,0.04,1221800,0.04
2013-06-25,0.03,0.03,0.03,0.03,122400,0.03
2013-06-24,0.03,0.03,0.03,0.03,175000,0.03
2013-06-21,0.03,0.03,0.03,0.03,60000,0.03
2013-06-20,0.03,0.03,0.03,0.03,50000,0.03
2013-06-19,0.03,0.03,0.03,0.03,000,0.03
2013-06-18,0.03,0.03,0.03,0.03,20000,0.03
2013-06-17,0.03,0.03,0.03,0.03,46200,0.03
2013-06-14,0.03,0.03,0.03,0.03,171400,0.03
2013-06-13,0.03,0.03,0.03,0.03,195000,0.03
2013-06-12,0.03,0.03,0.03,0.03,000,0.03
2013-06-11,0.03,0.03,0.03,0.03,322100,0.03
2013-06-10,0.03,0.03,0.03,0.03,000,0.03
2013-06-07,0.03,0.03,0.03,0.03,10000,0.03
2013-06-06,0.03,0.03,0.03,0.03,471300,0.03
2013-06-05,0.03,0.03,0.03,0.03,170000,0.03
2013-06-04,0.03,0.03,0.03,0.03,220000,0.03
2013-06-03,0.03,0.03,0.03,0.03,000,0.03
2013-05-31,0.03,0.03,0.03,0.03,000,0.03
2013-05-30,0.03,0.03,0.03,0.03,000,0.03
2013-05-29,0.03,0.03,0.03,0.03,300000,0.03
2013-05-28,0.03,0.04,0.03,0.04,460000,0.04
2013-05-27,0.04,0.04,0.04,0.04,000,0.04
2013-05-24,0.04,0.04,0.04,0.04,167700,0.04
2013-05-23,0.03,0.03,0.03,0.03,43000,0.03
2013-05-22,0.03,0.03,0.03,0.03,199200,0.03
2013-05-21,0.03,0.03,0.03,0.03,33000,0.03
2013-05-20,0.03,0.03,0.03,0.03,65000,0.03
2013-05-17,0.03,0.03,0.03,0.03,000,0.03
2013-05-16,0.03,0.03,0.03,0.03,150000,0.03
2013-05-15,0.03,0.03,0.03,0.03,000,0.03
2013-05-14,0.03,0.03,0.03,0.03,30000,0.03
2013-05-13,0.03,0.03,0.03,0.03,20000,0.03
2013-05-10,0.03,0.03,0.03,0.03,10000,0.03
2013-05-09,0.03,0.03,0.03,0.03,418700,0.03
2013-05-08,0.03,0.03,0.03,0.03,000,0.03
2013-05-07,0.03,0.03,0.03,0.03,150000,0.03
2013-05-06,0.03,0.03,0.03,0.03,193100,0.03
2013-05-03,0.03,0.03,0.03,0.03,000,0.03
2013-05-02,0.03,0.04,0.03,0.03,589700,0.03
2013-05-01,0.03,0.03,0.03,0.03,12000,0.03
2013-04-30,0.03,0.03,0.03,0.03,100000,0.03
2013-04-29,0.04,0.04,0.04,0.04,000,0.04
2013-04-26,0.04,0.04,0.04,0.04,000,0.04
2013-04-25,0.04,0.04,0.04,0.04,000,0.04
2013-04-24,0.04,0.04,0.04,0.04,000,0.04
2013-04-23,0.04,0.04,0.04,0.04,000,0.04
2013-04-22,0.04,0.04,0.04,0.04,000,0.04
2013-04-19,0.04,0.04,0.04,0.04,000,0.04
2013-04-18,0.04,0.04,0.04,0.04,000,0.04
2013-04-17,0.04,0.04,0.04,0.04,000,0.04
2013-04-16,0.04,0.04,0.04,0.04,50000,0.04
2013-04-15,0.04,0.04,0.04,0.04,000,0.04
2013-04-12,0.04,0.04,0.04,0.04,125500,0.04
2013-04-11,0.04,0.04,0.04,0.04,151700,0.04
2013-04-10,0.04,0.04,0.04,0.04,25300,0.04
2013-04-09,0.04,0.04,0.04,0.04,70000,0.04
2013-04-08,0.04,0.04,0.04,0.04,203200,0.04
2013-04-05,0.04,0.04,0.04,0.04,000,0.04
2013-04-04,0.04,0.04,0.04,0.04,55000,0.04
2013-04-03,0.04,0.04,0.04,0.04,29400,0.04
2013-04-02,0.04,0.04,0.04,0.04,53500,0.04
2013-04-01,0.04,0.04,0.04,0.04,000,0.04
2013-03-29,0.04,0.04,0.04,0.04,000,0.04
2013-03-28,0.04,0.04,0.04,0.04,000,0.04
2013-03-27,0.04,0.04,0.04,0.04,10000,0.04
2013-03-26,0.04,0.04,0.04,0.04,283000,0.04
2013-03-25,0.04,0.04,0.04,0.04,000,0.04
2013-03-22,0.04,0.04,0.04,0.04,000,0.04
2013-03-21,0.04,0.04,0.04,0.04,272400,0.04
2013-03-20,0.04,0.04,0.04,0.04,80000,0.04
2013-03-19,0.04,0.04,0.04,0.04,100000,0.04
2013-03-18,0.04,0.04,0.04,0.04,000,0.04
2013-03-15,0.04,0.04,0.04,0.04,50000,0.04
2013-03-14,0.04,0.04,0.04,0.04,250000,0.04
2013-03-13,0.04,0.04,0.04,0.04,14000,0.04
2013-03-12,0.04,0.04,0.04,0.04,336000,0.04
2013-03-11,0.04,0.04,0.04,0.04,000,0.04
2013-03-08,0.04,0.04,0.04,0.04,000,0.04
2013-03-07,0.04,0.04,0.04,0.04,000,0.04
