Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.08,0.08,0.08,0.08,1200,0.08
2013-09-19,0.08,0.08,0.08,0.08,158800,0.08
2013-09-18,0.08,0.08,0.07,0.08,233000,0.08
2013-09-17,0.08,0.08,0.08,0.08,46300,0.08
2013-09-16,0.08,0.08,0.08,0.08,000,0.08
2013-09-13,0.08,0.08,0.08,0.08,13600,0.08
2013-09-12,0.08,0.08,0.08,0.08,64300,0.08
2013-09-11,0.08,0.08,0.08,0.08,440000,0.08
2013-09-10,0.08,0.08,0.08,0.08,26100,0.08
2013-09-09,0.08,0.08,0.08,0.08,219200,0.08
2013-09-06,0.08,0.08,0.07,0.07,12500,0.07
2013-09-05,0.08,0.08,0.08,0.08,254300,0.08
2013-09-04,0.08,0.08,0.08,0.08,200000,0.08
2013-09-03,0.08,0.08,0.08,0.08,703900,0.08
2013-09-02,0.08,0.08,0.08,0.08,487300,0.08
2013-08-30,0.08,0.08,0.08,0.08,50000,0.08
2013-08-29,0.08,0.08,0.08,0.08,114300,0.08
2013-08-28,0.08,0.08,0.08,0.08,559900,0.08
2013-08-27,0.08,0.08,0.08,0.08,000,0.08
2013-08-26,0.08,0.08,0.08,0.08,36200,0.08
2013-08-23,0.08,0.08,0.08,0.08,7000,0.08
2013-08-22,0.08,0.08,0.08,0.08,000,0.08
2013-08-21,0.08,0.08,0.08,0.08,6800,0.08
2013-08-20,0.07,0.07,0.07,0.07,000,0.07
2013-08-19,0.07,0.07,0.07,0.07,3200,0.07
2013-08-16,0.07,0.07,0.07,0.07,82000,0.07
2013-08-15,0.07,0.07,0.07,0.07,85600,0.07
2013-08-14,0.07,0.07,0.07,0.07,000,0.07
2013-08-13,0.08,0.08,0.07,0.07,551100,0.07
2013-08-12,0.08,0.08,0.08,0.08,4100,0.08
2013-08-09,0.08,0.08,0.08,0.08,40000,0.08
2013-08-08,0.08,0.08,0.08,0.08,25600,0.08
2013-08-07,0.09,0.09,0.08,0.08,155900,0.08
2013-08-06,0.09,0.09,0.09,0.09,25900,0.09
2013-08-05,0.09,0.09,0.09,0.09,176300,0.09
2013-08-02,0.09,0.09,0.09,0.09,4200,0.09
2013-08-01,0.09,0.09,0.09,0.09,3700,0.09
2013-07-31,0.09,0.09,0.09,0.09,11200,0.09
2013-07-30,0.09,0.10,0.09,0.10,100000,0.10
2013-07-29,0.09,0.09,0.09,0.09,17700,0.09
2013-07-26,0.09,0.09,0.09,0.09,000,0.09
2013-07-25,0.09,0.09,0.09,0.09,5300,0.09
2013-07-24,0.10,0.10,0.10,0.10,4000,0.10
2013-07-23,0.10,0.10,0.10,0.10,000,0.10
2013-07-22,0.10,0.10,0.10,0.10,000,0.10
2013-07-19,0.10,0.10,0.10,0.10,000,0.10
2013-07-18,0.09,0.10,0.09,0.10,127000,0.10
2013-07-17,0.08,0.08,0.08,0.08,000,0.08
2013-07-16,0.08,0.08,0.08,0.08,000,0.08
2013-07-15,0.08,0.08,0.08,0.08,000,0.08
2013-07-12,0.08,0.08,0.08,0.08,23000,0.08
2013-07-11,0.08,0.08,0.08,0.08,000,0.08
2013-07-10,0.08,0.08,0.08,0.08,44300,0.08
2013-07-09,0.09,0.09,0.09,0.09,000,0.09
2013-07-08,0.09,0.09,0.09,0.09,000,0.09
2013-07-05,0.09,0.09,0.09,0.09,000,0.09
2013-07-04,0.09,0.09,0.09,0.09,000,0.09
2013-07-03,0.08,0.09,0.08,0.09,172000,0.09
2013-07-02,0.09,0.09,0.09,0.09,000,0.09
2013-07-01,0.09,0.09,0.09,0.09,23700,0.09
2013-06-28,0.09,0.09,0.09,0.09,261000,0.09
2013-06-27,0.09,0.09,0.09,0.09,361800,0.09
2013-06-26,0.09,0.09,0.09,0.09,18100,0.09
2013-06-25,0.09,0.09,0.09,0.09,31800,0.09
2013-06-24,0.10,0.10,0.09,0.10,220000,0.10
2013-06-21,0.09,0.09,0.09,0.09,72200,0.09
2013-06-20,0.09,0.09,0.09,0.09,000,0.09
2013-06-19,0.09,0.09,0.09,0.09,2000,0.09
2013-06-18,0.10,0.10,0.09,0.09,97200,0.09
2013-06-17,0.10,0.10,0.10,0.10,100000,0.10
2013-06-14,0.10,0.10,0.10,0.10,50000,0.10
2013-06-13,0.10,0.10,0.10,0.10,000,0.10
2013-06-12,0.10,0.10,0.10,0.10,344000,0.10
2013-06-11,0.10,0.10,0.10,0.10,301000,0.10
2013-06-10,0.10,0.10,0.10,0.10,000,0.10
2013-06-07,0.09,0.10,0.09,0.10,477300,0.10
2013-06-06,0.09,0.09,0.09,0.09,92600,0.09
2013-06-05,0.09,0.09,0.09,0.09,154800,0.09
2013-06-04,0.09,0.09,0.09,0.09,234700,0.09
2013-06-03,0.09,0.09,0.09,0.09,000,0.09
2013-05-31,0.09,0.09,0.09,0.09,000,0.09
2013-05-30,0.09,0.09,0.09,0.09,000,0.09
2013-05-29,0.09,0.09,0.09,0.09,000,0.09
2013-05-28,0.09,0.09,0.09,0.09,45000,0.09
2013-05-27,0.09,0.09,0.09,0.09,154000,0.09
