Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.08,0.08,0.08,0.08,000,0.08
2013-09-19,0.08,0.08,0.08,0.08,000,0.08
2013-09-18,0.08,0.08,0.08,0.08,000,0.08
2013-09-17,0.08,0.08,0.08,0.08,33300,0.08
2013-09-16,0.08,0.08,0.08,0.08,000,0.08
2013-09-13,0.08,0.08,0.08,0.08,000,0.08
2013-09-12,0.08,0.08,0.08,0.08,000,0.08
2013-09-11,0.08,0.08,0.08,0.08,000,0.08
2013-09-10,0.08,0.08,0.08,0.08,5000,0.08
2013-09-09,0.08,0.08,0.08,0.08,000,0.08
2013-09-06,0.08,0.08,0.08,0.08,000,0.08
2013-09-05,0.07,0.08,0.07,0.08,110000,0.08
2013-09-04,0.07,0.07,0.07,0.07,38000,0.07
2013-09-03,0.07,0.07,0.07,0.07,000,0.07
2013-09-02,0.07,0.07,0.07,0.07,000,0.07
2013-08-30,0.07,0.07,0.07,0.07,30000,0.07
2013-08-29,0.07,0.07,0.07,0.07,000,0.07
2013-08-28,0.07,0.07,0.07,0.07,000,0.07
2013-08-27,0.07,0.07,0.07,0.07,15000,0.07
2013-08-26,0.07,0.07,0.07,0.07,40000,0.07
2013-08-23,0.07,0.07,0.07,0.07,105000,0.07
2013-08-22,0.06,0.06,0.06,0.06,000,0.06
2013-08-21,0.06,0.06,0.06,0.06,000,0.06
2013-08-20,0.06,0.06,0.06,0.06,000,0.06
2013-08-19,0.06,0.06,0.06,0.06,000,0.06
2013-08-16,0.06,0.06,0.06,0.06,000,0.06
2013-08-15,0.06,0.06,0.06,0.06,000,0.06
2013-08-14,0.07,0.07,0.06,0.06,110000,0.06
2013-08-13,0.07,0.07,0.07,0.07,000,0.07
2013-08-12,0.07,0.07,0.07,0.07,000,0.07
2013-08-09,0.07,0.07,0.07,0.07,000,0.07
2013-08-08,0.07,0.07,0.07,0.07,100000,0.07
2013-08-07,0.07,0.07,0.07,0.07,63100,0.07
2013-08-06,0.07,0.07,0.07,0.07,66800,0.07
2013-08-05,0.07,0.07,0.07,0.07,000,0.07
2013-08-02,0.07,0.07,0.07,0.07,000,0.07
2013-08-01,0.07,0.07,0.07,0.07,000,0.07
2013-07-31,0.07,0.07,0.07,0.07,000,0.07
2013-07-30,0.07,0.07,0.07,0.07,000,0.07
2013-07-29,0.08,0.08,0.07,0.07,80000,0.07
2013-07-26,0.07,0.07,0.07,0.07,000,0.07
2013-07-25,0.07,0.07,0.07,0.07,225000,0.07
2013-07-24,0.06,0.06,0.06,0.06,000,0.06
2013-07-23,0.06,0.06,0.06,0.06,000,0.06
2013-07-19,0.06,0.06,0.06,0.06,000,0.06
2013-07-18,0.06,0.06,0.06,0.06,000,0.06
2013-07-17,0.06,0.06,0.06,0.06,000,0.06
2013-07-16,0.06,0.06,0.06,0.06,000,0.06
2013-07-15,0.06,0.06,0.06,0.06,000,0.06
2013-07-12,0.06,0.06,0.06,0.06,000,0.06
2013-07-11,0.06,0.06,0.06,0.06,50000,0.06
2013-07-10,0.07,0.07,0.07,0.07,000,0.07
2013-07-09,0.07,0.07,0.07,0.07,000,0.07
2013-07-08,0.07,0.07,0.07,0.07,000,0.07
2013-07-05,0.07,0.07,0.07,0.07,000,0.07
2013-07-04,0.07,0.07,0.07,0.07,000,0.07
2013-07-03,0.07,0.07,0.07,0.07,000,0.07
2013-07-02,0.07,0.07,0.07,0.07,000,0.07
2013-07-01,0.07,0.07,0.07,0.07,000,0.07
2013-06-28,0.07,0.07,0.07,0.07,000,0.07
2013-06-27,0.07,0.07,0.07,0.07,000,0.07
2013-06-26,0.07,0.07,0.07,0.07,136400,0.07
2013-06-25,0.11,0.11,0.11,0.11,000,0.11
2013-06-24,0.11,0.11,0.11,0.11,000,0.11
2013-06-21,0.11,0.11,0.11,0.11,000,0.11
2013-06-20,0.11,0.11,0.11,0.11,000,0.11
2013-06-18,0.11,0.11,0.11,0.11,000,0.11
2013-06-17,0.11,0.11,0.11,0.11,000,0.11
2013-06-14,0.11,0.11,0.11,0.11,000,0.11
2013-06-13,0.11,0.11,0.11,0.11,000,0.11
2013-06-12,0.11,0.11,0.11,0.11,000,0.11
2013-06-11,0.11,0.11,0.11,0.11,9800,0.11
2013-06-10,0.09,0.09,0.09,0.09,000,0.09
2013-06-07,0.09,0.09,0.09,0.09,10000,0.09
2013-06-06,0.09,0.09,0.09,0.09,86600,0.09
2013-06-05,0.09,0.09,0.09,0.09,2200,0.09
2013-06-04,0.09,0.09,0.09,0.09,30000,0.09
2013-06-03,0.09,0.09,0.09,0.09,000,0.09
2013-05-31,0.09,0.09,0.09,0.09,10000,0.09
2013-05-30,0.09,0.09,0.09,0.09,000,0.09
2013-05-29,0.09,0.09,0.09,0.09,000,0.09
2013-05-28,0.09,0.09,0.09,0.09,000,0.09
2013-05-27,0.09,0.09,0.09,0.09,70000,0.09
2013-05-24,0.10,0.10,0.10,0.10,30000,0.10
2013-05-23,0.09,0.09,0.09,0.09,000,0.09
2013-05-22,0.09,0.09,0.09,0.09,000,0.09
2013-05-21,0.09,0.09,0.09,0.09,28700,0.09
2013-05-20,0.09,0.09,0.09,0.09,000,0.09
2013-05-17,0.09,0.09,0.09,0.09,66600,0.09
2013-05-16,0.09,0.09,0.09,0.09,16600,0.09
2013-05-15,0.09,0.09,0.09,0.09,000,0.09
2013-05-14,0.09,0.09,0.09,0.09,000,0.09
2013-05-13,0.09,0.09,0.09,0.09,000,0.09
2013-05-10,0.09,0.09,0.09,0.09,66600,0.09
2013-05-09,0.09,0.09,0.09,0.09,000,0.09
2013-05-08,0.09,0.09,0.09,0.09,000,0.09
2013-05-07,0.09,0.09,0.09,0.09,000,0.09
2013-05-06,0.10,0.10,0.09,0.09,80000,0.09
2013-05-03,0.10,0.10,0.10,0.10,000,0.10
2013-05-02,0.10,0.10,0.10,0.10,000,0.10
2013-05-01,0.10,0.10,0.10,0.10,15000,0.10
2013-04-30,0.10,0.10,0.10,0.10,61000,0.10
2013-04-26,0.13,0.13,0.13,0.13,20000,0.13
2013-04-25,0.13,0.13,0.13,0.13,000,0.13
2013-04-24,0.13,0.13,0.13,0.13,000,0.13
2013-04-23,0.13,0.13,0.13,0.13,7500,0.13
2013-04-22,0.13,0.13,0.13,0.13,000,0.13
2013-04-19,0.13,0.13,0.13,0.13,25000,0.13
2013-04-18,0.13,0.13,0.13,0.13,000,0.13
2013-04-17,0.13,0.13,0.13,0.13,16600,0.13
2013-04-16,0.14,0.14,0.14,0.14,000,0.14
2013-04-15,0.14,0.14,0.14,0.14,000,0.14
2013-04-12,0.14,0.14,0.14,0.14,000,0.14
2013-04-11,0.14,0.14,0.14,0.14,40000,0.14
2013-04-10,0.12,0.12,0.12,0.12,37700,0.12
2013-04-09,0.12,0.12,0.12,0.12,113100,0.12
2013-04-08,0.12,0.12,0.12,0.12,27800,0.12
2013-04-05,0.12,0.12,0.12,0.12,000,0.12
2013-04-04,0.12,0.12,0.12,0.12,85000,0.12
2013-04-03,0.10,0.10,0.10,0.10,42000,0.10
2013-04-02,0.12,0.12,0.12,0.12,10000,0.12
2013-04-01,0.12,0.12,0.12,0.12,000,0.12
2013-03-29,0.12,0.12,0.12,0.12,000,0.12
2013-03-28,0.12,0.12,0.12,0.12,000,0.12
2013-03-27,0.12,0.12,0.12,0.12,000,0.12
2013-03-26,0.12,0.12,0.12,0.12,64100,0.12
2013-03-25,0.12,0.12,0.12,0.12,000,0.12
2013-03-22,0.12,0.12,0.12,0.12,7900,0.12
2013-03-21,0.12,0.12,0.12,0.12,15000,0.12
2013-03-20,0.13,0.13,0.13,0.13,114900,0.13
2013-03-19,0.14,0.14,0.14,0.14,000,0.14
2013-03-18,0.14,0.14,0.14,0.14,18500,0.14
2013-03-15,0.14,0.14,0.14,0.14,16900,0.14
2013-03-14,0.15,0.15,0.15,0.15,000,0.15
2013-03-13,0.14,0.15,0.14,0.15,64500,0.15
2013-03-12,0.13,0.13,0.13,0.13,000,0.13
2013-03-08,0.13,0.13,0.13,0.13,000,0.13
2013-03-07,0.13,0.13,0.13,0.13,000,0.13
2013-03-06,0.13,0.13,0.13,0.13,43400,0.13
2013-03-05,0.15,0.15,0.15,0.15,000,0.15
2013-03-04,0.15,0.15,0.15,0.15,000,0.15
2013-03-01,0.15,0.15,0.15,0.15,000,0.15
2013-02-28,0.15,0.15,0.15,0.15,000,0.15
2013-02-27,0.15,0.15,0.15,0.15,335000,0.15
2013-02-26,0.15,0.15,0.15,0.15,8400,0.15
2013-02-25,0.16,0.16,0.15,0.15,117000,0.15
2013-02-22,0.14,0.16,0.13,0.15,342600,0.15
2013-02-21,0.14,0.14,0.14,0.14,000,0.14
2013-02-20,0.14,0.14,0.14,0.14,000,0.14
2013-02-19,0.14,0.14,0.14,0.14,000,0.14
2013-02-18,0.14,0.14,0.13,0.14,211700,0.14
2013-02-15,0.14,0.14,0.14,0.14,41600,0.14
2013-02-14,0.13,0.14,0.13,0.14,25000,0.14
2013-02-13,0.13,0.13,0.13,0.13,10000,0.13
2013-02-12,0.13,0.13,0.13,0.13,15000,0.13
2013-02-11,0.12,0.12,0.12,0.12,000,0.12
2013-02-08,0.14,0.14,0.12,0.12,30800,0.12
2013-02-07,0.13,0.13,0.13,0.13,000,0.13
2013-02-06,0.13,0.13,0.13,0.13,29200,0.13
2013-02-05,0.14,0.14,0.14,0.14,000,0.14
2013-02-04,0.14,0.14,0.14,0.14,000,0.14
2013-02-01,0.14,0.14,0.14,0.14,000,0.14
2013-01-31,0.14,0.14,0.14,0.14,000,0.14
2013-01-30,0.14,0.14,0.14,0.14,000,0.14
2013-01-29,0.14,0.14,0.14,0.14,000,0.14
2013-01-28,0.14,0.14,0.14,0.14,000,0.14
2013-01-25,0.14,0.14,0.14,0.14,000,0.14
2013-01-24,0.14,0.14,0.14,0.14,182900,0.14
2013-01-22,0.15,0.15,0.15,0.15,000,0.15
2013-01-21,0.15,0.15,0.15,0.15,000,0.15
2013-01-18,0.15,0.15,0.15,0.15,000,0.15
2013-01-17,0.15,0.15,0.15,0.15,000,0.15
2013-01-16,0.15,0.15,0.15,0.15,000,0.15
2013-01-15,0.15,0.15,0.15,0.15,000,0.15
2013-01-14,0.15,0.15,0.15,0.15,000,0.15
2013-01-11,0.15,0.15,0.15,0.15,14000,0.15
2013-01-10,0.14,0.14,0.14,0.14,70000,0.14
2013-01-09,0.15,0.15,0.15,0.15,000,0.15
2013-01-08,0.15,0.15,0.15,0.15,000,0.15
2013-01-07,0.15,0.15,0.15,0.15,000,0.15
2013-01-04,0.15,0.15,0.15,0.15,109600,0.15
2013-01-03,0.15,0.15,0.14,0.15,477700,0.15
2013-01-02,0.15,0.15,0.15,0.15,30000,0.15
2013-01-01,0.16,0.16,0.16,0.16,000,0.16
2012-12-31,0.16,0.16,0.16,0.16,000,0.16
2012-12-28,0.16,0.16,0.16,0.16,8000,0.16
2012-12-27,0.17,0.17,0.17,0.17,53400,0.17
2012-12-26,0.16,0.16,0.16,0.16,000,0.16
2012-12-25,0.16,0.16,0.16,0.16,000,0.16
2012-12-24,0.16,0.17,0.15,0.16,160000,0.16
2012-12-21,0.15,0.16,0.15,0.16,100000,0.16
2012-12-20,0.14,0.16,0.14,0.16,11000,0.16
2012-12-19,0.15,0.15,0.15,0.15,000,0.15
2012-12-18,0.15,0.15,0.15,0.15,000,0.15
2012-12-17,0.15,0.15,0.15,0.15,135000,0.15
2012-12-14,0.15,0.15,0.15,0.15,000,0.15
2012-12-13,0.15,0.15,0.15,0.15,166600,0.15
2012-12-12,0.14,0.14,0.14,0.14,000,0.14
2012-12-11,0.14,0.14,0.14,0.14,000,0.14
2012-12-10,0.14,0.14,0.14,0.14,000,0.14
2012-12-07,0.14,0.14,0.14,0.14,000,0.14
2012-12-06,0.14,0.14,0.14,0.14,21200,0.14
2012-12-05,0.14,0.14,0.14,0.14,000,0.14
2012-12-04,0.14,0.14,0.14,0.14,7500,0.14
2012-12-03,0.15,0.15,0.15,0.15,000,0.15
2012-11-30,0.15,0.15,0.15,0.15,000,0.15
2012-11-29,0.14,0.15,0.14,0.15,34600,0.15
2012-11-28,0.15,0.15,0.15,0.15,000,0.15
2012-11-27,0.15,0.15,0.15,0.15,000,0.15
2012-11-26,0.14,0.15,0.14,0.15,58000,0.15
2012-11-23,0.16,0.16,0.16,0.16,17600,0.16
2012-11-22,0.15,0.15,0.15,0.15,000,0.15
2012-11-21,0.14,0.15,0.14,0.15,69800,0.15
2012-11-20,0.14,0.14,0.14,0.14,000,0.14
2012-11-19,0.14,0.14,0.14,0.14,000,0.14
2012-11-16,0.14,0.14,0.14,0.14,61600,0.14
2012-11-15,0.14,0.14,0.14,0.14,000,0.14
2012-11-14,0.14,0.15,0.14,0.14,44200,0.14
2012-11-13,0.14,0.14,0.14,0.14,000,0.14
2012-11-12,0.15,0.16,0.14,0.14,222800,0.14
2012-11-09,0.14,0.15,0.14,0.15,38900,0.15
2012-11-08,0.15,0.15,0.14,0.14,197200,0.14
2012-11-07,0.14,0.15,0.14,0.14,428700,0.14
2012-11-06,0.14,0.14,0.14,0.14,100000,0.14
2012-11-05,0.12,0.13,0.12,0.13,300000,0.13
2012-11-02,0.12,0.12,0.12,0.12,000,0.12
2012-11-01,0.12,0.12,0.12,0.12,000,0.12
2012-10-31,0.12,0.12,0.12,0.12,6900,0.12
2012-10-30,0.10,0.10,0.10,0.10,000,0.10
2012-10-29,0.10,0.10,0.10,0.10,000,0.10
2012-10-26,0.10,0.10,0.10,0.10,93600,0.10
2012-10-25,0.10,0.10,0.10,0.10,000,0.10
2012-10-24,0.09,0.10,0.09,0.10,371900,0.10
2012-10-23,0.09,0.09,0.09,0.09,000,0.09
2012-10-22,0.09,0.09,0.09,0.09,7000,0.09
2012-10-19,0.09,0.09,0.09,0.09,18600,0.09
2012-10-18,0.09,0.09,0.09,0.09,000,0.09
2012-10-17,0.09,0.09,0.09,0.09,10000,0.09
2012-10-16,0.09,0.10,0.09,0.10,128000,0.10
2012-10-15,0.10,0.10,0.10,0.10,000,0.10
2012-10-12,0.09,0.10,0.09,0.10,125800,0.10
2012-10-11,0.09,0.09,0.09,0.09,30100,0.09
2012-10-10,0.09,0.09,0.09,0.09,187100,0.09
2012-10-09,0.09,0.09,0.09,0.09,000,0.09
