Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.05,0.06,0.05,0.05,116600,0.05
2013-09-19,0.06,0.06,0.05,0.05,104500,0.05
2013-09-18,0.06,0.06,0.06,0.06,222800,0.06
2013-09-17,0.06,0.06,0.06,0.06,133000,0.06
2013-09-16,0.05,0.06,0.05,0.06,230300,0.06
2013-09-13,0.06,0.06,0.05,0.05,124400,0.05
2013-09-12,0.06,0.06,0.05,0.05,270800,0.05
2013-09-11,0.06,0.06,0.06,0.06,365200,0.06
2013-09-10,0.05,0.06,0.05,0.05,438000,0.05
2013-09-09,0.05,0.05,0.05,0.05,339700,0.05
2013-09-06,0.05,0.05,0.05,0.05,54000,0.05
2013-09-05,0.05,0.05,0.05,0.05,150000,0.05
2013-09-04,0.05,0.05,0.05,0.05,000,0.05
2013-09-03,0.05,0.05,0.05,0.05,200000,0.05
2013-09-02,0.05,0.05,0.05,0.05,261500,0.05
2013-08-30,0.05,0.05,0.05,0.05,399700,0.05
2013-08-29,0.05,0.05,0.05,0.05,130300,0.05
2013-08-28,0.05,0.05,0.05,0.05,000,0.05
2013-08-27,0.06,0.06,0.05,0.05,150000,0.05
2013-08-26,0.06,0.06,0.05,0.05,36600,0.05
2013-08-23,0.06,0.06,0.06,0.06,10000,0.06
2013-08-22,0.07,0.07,0.06,0.06,311200,0.06
2013-08-21,0.06,0.06,0.06,0.06,29000,0.06
2013-08-20,0.06,0.06,0.06,0.06,82100,0.06
2013-08-19,0.06,0.06,0.06,0.06,355800,0.06
2013-08-16,0.06,0.06,0.06,0.06,21800,0.06
2013-08-15,0.06,0.06,0.06,0.06,46100,0.06
2013-08-14,0.06,0.06,0.06,0.06,9200,0.06
2013-08-13,0.06,0.06,0.06,0.06,207800,0.06
2013-08-12,0.06,0.06,0.06,0.06,13700,0.06
2013-08-09,0.07,0.07,0.07,0.07,99600,0.07
2013-08-08,0.06,0.07,0.06,0.07,660000,0.07
2013-08-07,0.06,0.06,0.06,0.06,328200,0.06
2013-08-06,0.06,0.06,0.05,0.06,144800,0.06
2013-08-05,0.05,0.05,0.05,0.05,67000,0.05
2013-08-02,0.05,0.05,0.05,0.05,18300,0.05
2013-08-01,0.05,0.05,0.05,0.05,85900,0.05
2013-07-31,0.05,0.05,0.05,0.05,57900,0.05
2013-07-30,0.05,0.05,0.05,0.05,122400,0.05
2013-07-29,0.05,0.05,0.05,0.05,9300,0.05
2013-07-26,0.05,0.05,0.05,0.05,000,0.05
2013-07-25,0.05,0.05,0.05,0.05,000,0.05
2013-07-24,0.05,0.05,0.05,0.05,000,0.05
2013-07-23,0.05,0.05,0.05,0.05,30000,0.05
2013-07-19,0.05,0.05,0.05,0.05,37300,0.05
2013-07-18,0.05,0.05,0.05,0.05,000,0.05
2013-07-17,0.05,0.05,0.05,0.05,191600,0.05
2013-07-16,0.05,0.05,0.05,0.05,000,0.05
2013-07-15,0.05,0.05,0.05,0.05,000,0.05
2013-07-12,0.05,0.05,0.05,0.05,75600,0.05
2013-07-11,0.05,0.05,0.05,0.05,50000,0.05
2013-07-10,0.05,0.05,0.05,0.05,53000,0.05
2013-07-09,0.05,0.05,0.05,0.05,30000,0.05
2013-07-08,0.05,0.05,0.05,0.05,23300,0.05
2013-07-05,0.05,0.05,0.05,0.05,11200,0.05
2013-07-04,0.05,0.05,0.05,0.05,000,0.05
2013-07-03,0.05,0.05,0.05,0.05,000,0.05
2013-07-02,0.05,0.05,0.05,0.05,000,0.05
2013-07-01,0.05,0.05,0.05,0.05,12500,0.05
2013-06-28,0.05,0.05,0.05,0.05,65000,0.05
