Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.45,2.45,2.41,2.41,2944500,2.41
2013-09-19,2.44,2.50,2.43,2.46,7862700,2.46
2013-09-18,2.37,2.40,2.35,2.39,1915800,2.39
2013-09-17,2.37,2.38,2.35,2.37,2611800,2.37
2013-09-16,2.41,2.43,2.37,2.38,1239700,2.38
2013-09-13,2.45,2.45,2.39,2.40,1241000,2.40
2013-09-12,2.45,2.47,2.42,2.44,3477000,2.44
2013-09-11,2.43,2.48,2.40,2.46,2549200,2.46
2013-09-10,2.39,2.42,2.38,2.42,678900,2.42
2013-09-09,2.39,2.42,2.37,2.37,1421500,2.37
2013-09-06,2.34,2.37,2.30,2.37,2277600,2.37
2013-09-05,2.34,2.36,2.29,2.32,1260700,2.32
2013-09-04,2.33,2.35,2.30,2.34,1673800,2.34
2013-09-03,2.29,2.34,2.28,2.32,1198000,2.32
2013-09-02,2.25,2.31,2.24,2.29,1319300,2.29
2013-08-30,2.21,2.25,2.21,2.25,976200,2.25
2013-08-29,2.20,2.24,2.18,2.23,1536100,2.23
2013-08-28,2.23,2.24,2.20,2.21,2762600,2.21
2013-08-27,2.25,2.26,2.24,2.26,1069500,2.26
2013-08-26,2.27,2.27,2.24,2.26,635000,2.26
2013-08-23,2.23,2.27,2.23,2.26,679000,2.26
2013-08-22,2.23,2.27,2.23,2.24,1004900,2.24
2013-08-21,2.25,2.27,2.23,2.26,869500,2.26
2013-08-20,2.23,2.25,2.21,2.24,576600,2.24
2013-08-19,2.22,2.25,2.22,2.24,1489600,2.24
2013-08-16,2.25,2.26,2.18,2.25,1891400,2.25
2013-08-15,2.25,2.26,2.23,2.25,1526400,2.25
2013-08-14,2.30,2.31,2.21,2.25,2837800,2.25
2013-08-13,2.23,2.30,2.22,2.30,2335700,2.30
2013-08-12,2.16,2.25,2.14,2.25,3235900,2.25
2013-08-09,2.18,2.20,2.16,2.16,3168300,2.16
2013-08-08,2.21,2.23,2.17,2.18,3814700,2.18
2013-08-07,2.21,2.23,2.19,2.19,2475200,2.19
2013-08-06,2.28,2.28,2.25,2.25,3151400,2.25
2013-08-05,2.35,2.36,2.28,2.29,1806500,2.29
2013-08-02,2.18,2.30,2.16,2.30,2488500,2.30
2013-08-01,2.16,2.24,2.16,2.21,3323100,2.21
2013-07-31,2.15,2.20,2.13,2.19,3548700,2.19
2013-07-30,2.21,2.21,2.11,2.11,1877200,2.11
2013-07-29,2.18,2.20,2.14,2.18,891000,2.18
2013-07-26,2.17,2.22,2.15,2.17,2044600,2.17
2013-07-25,2.09,2.25,2.06,2.21,4922100,2.21
2013-07-24,2.10,2.14,2.08,2.11,3740500,2.11
2013-07-23,2.15,2.19,2.11,2.12,4617300,2.12
2013-07-22,2.21,2.21,2.15,2.16,928500,2.16
2013-07-19,2.19,2.19,2.14,2.19,2804000,2.19
2013-07-18,2.28,2.28,2.13,2.16,2127300,2.16
2013-07-17,2.21,2.26,2.20,2.25,1466000,2.25
2013-07-16,2.27,2.30,2.22,2.23,1499200,2.23
2013-07-15,2.26,2.28,2.21,2.24,1994800,2.24
2013-07-12,2.31,2.35,2.23,2.28,2489000,2.28
2013-07-11,2.30,2.33,2.28,2.29,1430900,2.29
2013-07-10,2.25,2.32,2.25,2.27,1545100,2.27
2013-07-09,2.29,2.29,2.25,2.26,996300,2.26
2013-07-08,2.35,2.35,2.23,2.24,2378600,2.24
2013-07-05,2.30,2.35,2.27,2.35,2526300,2.35
2013-07-04,2.20,2.26,2.18,2.26,2612400,2.26
2013-07-03,2.17,2.19,2.14,2.18,1599600,2.18
2013-07-02,2.17,2.22,2.16,2.20,1876400,2.20
2013-07-01,2.22,2.23,2.03,2.13,2677300,2.13
2013-06-28,2.24,2.25,2.18,2.23,3515300,2.23
2013-06-27,2.21,2.30,2.17,2.22,4310000,2.22
2013-06-26,2.14,2.19,2.13,2.19,5432700,2.19
2013-06-25,2.16,2.17,2.12,2.14,2739700,2.14
2013-06-24,2.13,2.18,2.12,2.17,2536000,2.17
2013-06-21,2.04,2.17,2.04,2.13,8967300,2.13
2013-06-20,2.04,2.07,2.02,2.06,3340500,2.06
2013-06-19,1.96,2.09,1.95,2.08,3660200,2.08
