Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,4.76,4.85,4.67,4.85,1039000,4.85
2013-09-19,4.84,4.86,4.70,4.70,118800,4.70
2013-09-18,4.87,4.87,4.77,4.84,727800,4.84
2013-09-17,4.80,4.87,4.68,4.85,110200,4.85
2013-09-16,4.65,4.78,4.62,4.78,254400,4.78
2013-09-13,4.62,4.65,4.59,4.61,57800,4.61
2013-09-12,4.60,4.66,4.60,4.62,26600,4.62
2013-09-11,4.65,4.74,4.60,4.60,95100,4.60
2013-09-10,4.65,4.65,4.57,4.63,69700,4.63
2013-09-09,4.45,4.64,4.42,4.57,126800,4.57
2013-09-06,4.40,4.45,4.37,4.40,168700,4.40
2013-09-05,4.50,4.50,4.31,4.39,314200,4.39
2013-09-04,4.44,4.50,4.42,4.42,168400,4.36
2013-09-03,4.48,4.48,4.39,4.42,606200,4.36
2013-09-02,4.35,4.35,4.29,4.31,95900,4.25
2013-08-30,4.45,4.47,4.31,4.39,406800,4.33
2013-08-29,4.52,4.52,4.30,4.45,158100,4.38
2013-08-28,4.48,4.64,4.38,4.63,86400,4.56
2013-08-27,4.45,4.60,4.45,4.50,178600,4.43
2013-08-26,4.40,4.44,4.31,4.42,31500,4.36
2013-08-23,4.40,4.44,4.37,4.40,31400,4.34
2013-08-22,4.41,4.50,4.27,4.39,100600,4.33
2013-08-21,4.43,4.43,4.40,4.41,31900,4.35
2013-08-20,4.59,4.60,4.42,4.44,39600,4.37
2013-08-19,4.49,4.55,4.38,4.51,52500,4.44
2013-08-16,4.56,4.57,4.49,4.54,23400,4.47
2013-08-15,4.65,4.65,4.56,4.56,114200,4.49
2013-08-14,4.65,4.65,4.61,4.65,38800,4.58
2013-08-13,4.65,4.75,4.63,4.70,32800,4.63
2013-08-12,4.66,4.69,4.61,4.65,27300,4.58
2013-08-09,4.70,4.73,4.61,4.66,17400,4.59
2013-08-08,4.65,4.71,4.54,4.70,63800,4.63
2013-08-07,4.66,4.75,4.61,4.70,50600,4.63
2013-08-06,4.60,4.66,4.54,4.66,16600,4.59
2013-08-05,4.70,4.78,4.61,4.66,34000,4.59
2013-08-02,4.61,4.71,4.61,4.67,59500,4.60
2013-08-01,4.51,4.60,4.51,4.59,20300,4.52
2013-07-31,4.35,4.50,4.31,4.49,67600,4.42
2013-07-30,4.52,4.53,4.32,4.35,29000,4.29
2013-07-29,4.48,4.57,4.47,4.48,17900,4.41
2013-07-26,4.53,4.58,4.37,4.48,51100,4.41
2013-07-25,4.55,4.62,4.55,4.58,82500,4.51
2013-07-24,4.55,4.60,4.52,4.56,51800,4.49
2013-07-23,4.44,4.52,4.44,4.51,49300,4.44
2013-07-22,4.32,4.45,4.32,4.45,60800,4.38
2013-07-19,4.30,4.38,4.24,4.38,30000,4.32
2013-07-18,4.45,4.45,4.20,4.30,106700,4.24
2013-07-17,4.50,4.50,4.41,4.45,43900,4.38
2013-07-16,4.47,4.57,4.42,4.50,54900,4.43
2013-07-15,4.56,4.61,4.47,4.47,46200,4.40
2013-07-12,4.62,4.62,4.55,4.55,15600,4.48
2013-07-11,4.60,4.65,4.54,4.61,56000,4.54
2013-07-10,4.51,4.69,4.51,4.55,99400,4.48
2013-07-09,4.31,4.55,4.31,4.47,101800,4.40
2013-07-08,4.18,4.30,4.18,4.30,24500,4.24
2013-07-05,4.14,4.18,4.08,4.18,28600,4.12
2013-07-04,4.10,4.18,4.05,4.10,43900,4.04
2013-07-03,4.09,4.17,4.07,4.10,75400,4.04
2013-07-02,4.10,4.18,4.08,4.11,38300,4.05
2013-07-01,4.10,4.15,4.06,4.15,112100,4.09
2013-06-28,4.02,4.15,4.00,4.10,160300,4.04
2013-06-27,4.00,4.15,4.00,4.10,65100,4.04
2013-06-26,4.03,4.11,4.00,4.00,56000,3.94
2013-06-25,4.10,4.13,3.95,4.03,82600,3.97
2013-06-24,4.05,4.10,3.96,4.06,25300,4.00
2013-06-21,3.95,4.15,3.86,4.15,142600,4.09
2013-06-20,4.14,4.18,3.99,4.00,70800,3.94
2013-06-19,4.05,4.18,4.05,4.14,58400,4.08
2013-06-18,4.00,4.05,3.95,4.05,67700,3.99
2013-06-17,4.00,4.00,3.90,3.99,39900,3.93
2013-06-14,3.95,4.04,3.95,3.96,90000,3.90
2013-06-13,4.05,4.05,3.92,3.95,111600,3.89
2013-06-12,4.00,4.10,3.96,4.08,69900,4.02
2013-06-11,3.90,4.16,3.90,4.08,132000,4.02
2013-06-10,3.90,3.90,3.90,3.90,000,3.84
