Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.61,0.61,0.61,0.61,40400,0.60
2013-09-19,0.61,0.61,0.61,0.61,2500,0.60
2013-09-18,0.57,0.57,0.57,0.57,000,0.56
2013-09-17,0.57,0.57,0.57,0.57,000,0.56
2013-09-16,0.57,0.57,0.57,0.57,000,0.56
2013-09-13,0.57,0.57,0.57,0.57,61800,0.56
2013-09-12,0.62,0.62,0.60,0.60,25300,0.59
2013-09-11,0.56,0.60,0.56,0.60,84500,0.59
2013-09-10,0.53,0.53,0.53,0.53,000,0.52
2013-09-09,0.53,0.53,0.53,0.53,1008600,0.52
2013-09-06,0.54,0.54,0.53,0.53,2300,0.52
2013-09-05,0.53,0.53,0.53,0.53,000,0.52
2013-09-04,0.53,0.53,0.53,0.53,22000,0.52
2013-09-03,0.56,0.57,0.56,0.57,50000,0.56
2013-09-02,0.56,0.56,0.56,0.56,2800,0.55
2013-08-30,0.50,0.50,0.50,0.50,000,0.49
2013-08-29,0.50,0.50,0.50,0.50,000,0.49
2013-08-28,0.50,0.50,0.50,0.50,000,0.49
2013-08-27,0.50,0.50,0.50,0.50,000,0.49
2013-08-26,0.56,0.56,0.50,0.50,6000,0.49
2013-08-23,0.52,0.52,0.52,0.52,000,0.51
2013-08-22,0.52,0.52,0.52,0.52,000,0.51
2013-08-21,0.53,0.53,0.52,0.52,13600,0.51
2013-08-20,0.56,0.56,0.56,0.56,1700,0.55
2013-08-19,0.53,0.53,0.53,0.53,5000,0.52
2013-08-16,0.58,0.58,0.58,0.58,800,0.58
2013-08-15,0.59,0.59,0.59,0.59,000,0.58
2013-08-14,0.59,0.59,0.59,0.59,1000,0.58
2013-08-13,0.60,0.60,0.60,0.60,6000,0.59
2013-08-12,0.59,0.59,0.59,0.59,7500,0.58
2013-08-09,0.60,0.60,0.60,0.60,000,0.59
2013-08-08,0.60,0.60,0.60,0.60,000,0.59
2013-08-07,0.57,0.60,0.57,0.60,11900,0.59
2013-08-06,0.53,0.53,0.53,0.53,7000,0.52
2013-08-05,0.52,0.52,0.52,0.52,000,0.52
2013-08-02,0.52,0.52,0.52,0.52,6300,0.52
2013-08-01,0.50,0.50,0.50,0.50,000,0.49
2013-07-31,0.50,0.50,0.50,0.50,3400,0.49
2013-07-30,0.50,0.50,0.50,0.50,000,0.49
2013-07-29,0.50,0.50,0.50,0.50,10000,0.49
2013-07-26,0.48,0.48,0.48,0.48,1200,0.47
2013-07-25,0.47,0.47,0.47,0.47,000,0.46
2013-07-24,0.47,0.47,0.47,0.47,000,0.46
2013-07-23,0.47,0.47,0.47,0.47,000,0.46
2013-07-22,0.47,0.47,0.47,0.47,000,0.46
2013-07-19,0.47,0.47,0.47,0.47,000,0.46
2013-07-18,0.47,0.47,0.47,0.47,7500,0.46
2013-07-17,0.49,0.49,0.49,0.49,000,0.48
2013-07-16,0.49,0.49,0.49,0.49,000,0.48
2013-07-15,0.49,0.49,0.49,0.49,000,0.48
2013-07-12,0.49,0.49,0.49,0.49,000,0.48
2013-07-11,0.49,0.49,0.49,0.49,000,0.48
2013-07-10,0.49,0.49,0.49,0.49,000,0.48
2013-07-09,0.49,0.49,0.49,0.49,000,0.48
2013-07-08,0.49,0.49,0.49,0.49,000,0.48
2013-07-05,0.49,0.49,0.49,0.49,10000,0.48
2013-07-04,0.47,0.47,0.47,0.47,000,0.47
2013-07-03,0.47,0.47,0.47,0.47,000,0.47
2013-07-02,0.47,0.47,0.47,0.47,15000,0.47
2013-07-01,0.43,0.43,0.43,0.43,000,0.43
2013-06-28,0.44,0.44,0.43,0.43,12000,0.43
2013-06-27,0.42,0.42,0.42,0.42,000,0.42
2013-06-26,0.42,0.42,0.42,0.42,000,0.42
2013-06-25,0.44,0.44,0.42,0.42,56800,0.42
2013-06-24,0.44,0.44,0.44,0.44,000,0.44
2013-06-21,0.44,0.44,0.44,0.44,000,0.44
2013-06-20,0.44,0.44,0.44,0.44,11000,0.44
2013-06-19,0.44,0.44,0.44,0.44,000,0.43
2013-06-18,0.44,0.44,0.44,0.44,1000,0.43
2013-06-17,0.44,0.44,0.44,0.44,800,0.43
2013-06-14,0.44,0.44,0.44,0.44,000,0.43
2013-06-13,0.44,0.44,0.44,0.44,000,0.43
2013-06-12,0.44,0.44,0.44,0.44,5000,0.43
2013-06-11,0.44,0.44,0.44,0.44,000,0.43
2013-06-10,0.44,0.44,0.44,0.44,000,0.43
2013-06-07,0.44,0.44,0.44,0.44,000,0.43
2013-06-06,0.44,0.44,0.44,0.44,200,0.43
2013-06-05,0.47,0.47,0.47,0.47,000,0.46
2013-06-04,0.47,0.47,0.47,0.47,000,0.46
2013-06-03,0.47,0.47,0.47,0.47,000,0.46
2013-05-31,0.47,0.47,0.47,0.47,5700,0.46
2013-05-30,0.44,0.44,0.44,0.44,000,0.43
2013-05-29,0.42,0.44,0.42,0.44,16000,0.43
2013-05-28,0.42,0.42,0.42,0.42,000,0.42
2013-05-27,0.45,0.45,0.38,0.42,101000,0.42
2013-05-24,0.46,0.46,0.46,0.46,10000,0.45
2013-05-23,0.47,0.47,0.47,0.47,10000,0.46
2013-05-22,0.49,0.49,0.49,0.49,000,0.48
2013-05-21,0.49,0.49,0.49,0.49,000,0.48
2013-05-20,0.49,0.49,0.49,0.49,000,0.48
2013-05-17,0.49,0.49,0.49,0.49,000,0.48
2013-05-16,0.49,0.49,0.49,0.49,000,0.48
2013-05-15,0.49,0.49,0.49,0.49,000,0.48
2013-05-14,0.49,0.49,0.49,0.49,1200,0.48
2013-05-13,0.49,0.49,0.49,0.49,34900,0.48
2013-05-10,0.52,0.52,0.49,0.49,32000,0.48
2013-05-09,0.52,0.52,0.52,0.52,7500,0.52
2013-05-08,0.50,0.50,0.50,0.50,000,0.49
2013-05-07,0.51,0.51,0.50,0.50,30600,0.49
2013-05-06,0.53,0.53,0.53,0.53,000,0.52
2013-05-03,0.53,0.53,0.53,0.53,16900,0.52
2013-05-02,0.53,0.53,0.53,0.53,5000,0.52
2013-05-01,0.50,0.50,0.50,0.50,000,0.49
2013-04-30,0.50,0.50,0.50,0.50,000,0.49
2013-04-29,0.50,0.50,0.50,0.50,000,0.49
2013-04-26,0.50,0.50,0.50,0.50,2000,0.49
2013-04-25,0.50,0.50,0.50,0.50,000,0.49
2013-04-24,0.50,0.50,0.50,0.50,1000,0.49
2013-04-23,0.55,0.55,0.48,0.48,61500,0.47
2013-04-22,0.53,0.53,0.53,0.53,000,0.52
