Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.05,0.05,0.05,0.05,128600,0.05
2013-09-19,0.06,0.06,0.05,0.05,459400,0.05
2013-09-18,0.05,0.05,0.05,0.05,222100,0.05
2013-09-17,0.05,0.05,0.05,0.05,31100,0.05
2013-09-16,0.05,0.05,0.05,0.05,151800,0.05
2013-09-13,0.05,0.05,0.05,0.05,280000,0.05
2013-09-12,0.05,0.06,0.05,0.05,150800,0.05
2013-09-11,0.05,0.05,0.05,0.05,144900,0.05
2013-09-10,0.06,0.06,0.05,0.05,103800,0.05
2013-09-09,0.05,0.05,0.05,0.05,57400,0.05
2013-09-06,0.05,0.05,0.05,0.05,181300,0.05
2013-09-05,0.05,0.05,0.05,0.05,166000,0.05
2013-09-04,0.05,0.05,0.05,0.05,697900,0.05
2013-09-03,0.05,0.05,0.05,0.05,133000,0.05
2013-09-02,0.05,0.05,0.05,0.05,1155000,0.05
2013-08-30,0.06,0.06,0.05,0.05,54100,0.05
2013-08-29,0.05,0.06,0.05,0.05,413600,0.05
2013-08-28,0.06,0.06,0.05,0.05,81100,0.05
2013-08-27,0.06,0.06,0.06,0.06,293000,0.06
2013-08-26,0.05,0.06,0.05,0.06,210200,0.06
2013-08-23,0.06,0.06,0.05,0.05,201000,0.05
2013-08-22,0.06,0.06,0.06,0.06,66800,0.06
2013-08-21,0.06,0.06,0.05,0.06,842000,0.06
2013-08-20,0.06,0.06,0.06,0.06,438800,0.06
2013-08-19,0.06,0.07,0.06,0.06,891400,0.06
2013-08-16,0.05,0.06,0.05,0.06,1629200,0.06
2013-08-15,0.05,0.05,0.05,0.05,793200,0.05
2013-08-14,0.05,0.05,0.05,0.05,207700,0.05
2013-08-13,0.05,0.05,0.05,0.05,108600,0.05
2013-08-12,0.05,0.05,0.05,0.05,6200,0.05
2013-08-09,0.05,0.05,0.05,0.05,41900,0.05
2013-08-08,0.05,0.05,0.05,0.05,101700,0.05
2013-08-07,0.05,0.05,0.05,0.05,121700,0.05
2013-08-06,0.05,0.05,0.05,0.05,000,0.05
2013-08-05,0.05,0.05,0.05,0.05,127000,0.05
2013-08-02,0.05,0.05,0.05,0.05,455300,0.05
2013-08-01,0.05,0.05,0.05,0.05,353300,0.05
2013-07-31,0.05,0.05,0.05,0.05,372900,0.05
2013-07-30,0.05,0.05,0.05,0.05,278000,0.05
2013-07-29,0.05,0.05,0.05,0.05,649400,0.05
2013-07-26,0.05,0.05,0.05,0.05,130700,0.05
2013-07-25,0.05,0.05,0.05,0.05,160000,0.05
2013-07-24,0.05,0.05,0.05,0.05,1022800,0.05
