Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.46,0.47,0.45,0.47,353200,0.47
2013-09-19,0.47,0.48,0.46,0.46,223400,0.46
2013-09-18,0.47,0.47,0.46,0.46,159800,0.46
2013-09-17,0.47,0.48,0.46,0.46,290300,0.46
2013-09-16,0.49,0.50,0.46,0.46,806200,0.46
2013-09-13,0.10,0.10,0.10,0.10,526400,0.10
2013-09-12,0.10,0.10,0.10,0.10,453300,0.10
2013-09-11,0.10,0.10,0.10,0.10,375200,0.10
2013-09-10,0.10,0.10,0.10,0.10,712600,0.10
2013-09-09,0.10,0.10,0.10,0.10,840900,0.10
2013-09-06,0.10,0.10,0.10,0.10,2866800,0.10
2013-09-05,0.10,0.10,0.10,0.10,3704000,0.10
2013-09-04,0.10,0.10,0.10,0.10,2432500,0.10
2013-09-03,0.10,0.10,0.10,0.10,526000,0.10
2013-09-02,0.10,0.10,0.10,0.10,786000,0.10
2013-08-30,0.10,0.10,0.10,0.10,1843900,0.10
2013-08-29,0.10,0.10,0.10,0.10,655100,0.10
2013-08-28,0.10,0.10,0.10,0.10,1431700,0.10
2013-08-27,0.10,0.10,0.10,0.10,2274200,0.10
2013-08-26,0.10,0.10,0.10,0.10,1237800,0.10
2013-08-23,0.10,0.10,0.10,0.10,1393400,0.10
2013-08-22,0.10,0.10,0.10,0.10,4771800,0.10
2013-08-21,0.10,0.10,0.10,0.10,870000,0.10
2013-08-20,0.10,0.10,0.10,0.10,501500,0.10
2013-08-19,0.10,0.10,0.10,0.10,1899700,0.10
2013-08-16,0.10,0.10,0.09,0.10,10226000,0.10
2013-08-15,0.11,0.12,0.10,0.10,13358600,0.10
2013-08-14,0.12,0.12,0.11,0.11,1049700,0.11
2013-08-13,0.12,0.12,0.11,0.12,816100,0.12
2013-08-12,0.12,0.12,0.11,0.11,1623900,0.11
2013-08-09,0.11,0.12,0.11,0.11,3728400,0.11
2013-08-08,0.11,0.11,0.11,0.11,1551900,0.11
2013-08-07,0.12,0.12,0.11,0.11,2846200,0.11
2013-08-06,0.12,0.12,0.11,0.12,1211800,0.12
2013-08-05,0.12,0.12,0.11,0.12,4905400,0.12
2013-08-02,0.12,0.13,0.12,0.12,1259200,0.12
2013-08-01,0.13,0.13,0.12,0.13,2792400,0.13
2013-07-31,0.11,0.13,0.11,0.13,17902700,0.13
2013-07-30,0.12,0.12,0.11,0.11,2835400,0.11
2013-07-29,0.12,0.12,0.11,0.12,4429900,0.12
2013-07-26,0.11,0.12,0.10,0.11,15114500,0.11
2013-07-25,0.10,0.10,0.10,0.10,000,0.10
2013-07-24,0.10,0.10,0.10,0.10,000,0.10
2013-07-23,0.10,0.11,0.10,0.10,8595500,0.10
2013-07-22,0.10,0.10,0.10,0.10,5574600,0.10
2013-07-19,0.09,0.10,0.09,0.09,4665400,0.09
2013-07-18,0.09,0.09,0.09,0.09,5456100,0.09
2013-07-17,0.08,0.09,0.08,0.09,9535600,0.09
2013-07-16,0.08,0.08,0.08,0.08,3569600,0.08
2013-07-15,0.08,0.08,0.08,0.08,969000,0.08
2013-07-12,0.08,0.09,0.08,0.08,6748400,0.08
2013-07-11,0.08,0.08,0.08,0.08,8884000,0.08
2013-07-10,0.08,0.09,0.08,0.08,14470800,0.08
2013-07-09,0.08,0.08,0.08,0.08,2121000,0.08
2013-07-08,0.08,0.08,0.08,0.08,3701300,0.08
2013-07-05,0.08,0.08,0.08,0.08,2378400,0.08
2013-07-04,0.07,0.08,0.07,0.08,4842000,0.08
2013-07-03,0.08,0.08,0.07,0.07,1599800,0.07
2013-07-02,0.08,0.08,0.08,0.08,5262700,0.08
2013-07-01,0.08,0.08,0.07,0.08,1044800,0.08
2013-06-28,0.08,0.08,0.07,0.07,1544500,0.07
2013-06-27,0.07,0.08,0.07,0.07,2645700,0.07
2013-06-26,0.07,0.07,0.06,0.07,2998500,0.07
2013-06-25,0.07,0.07,0.06,0.07,2610700,0.07
2013-06-24,0.07,0.07,0.07,0.07,3162700,0.07
2013-06-21,0.08,0.08,0.07,0.07,7724000,0.07
2013-06-20,0.08,0.08,0.08,0.08,1735700,0.08
2013-06-19,0.08,0.08,0.08,0.08,5363400,0.08
2013-06-18,0.08,0.08,0.08,0.08,2980300,0.08
2013-06-17,0.08,0.08,0.08,0.08,1208400,0.08
2013-06-14,0.08,0.09,0.08,0.08,2739100,0.08
2013-06-13,0.09,0.09,0.08,0.08,1722000,0.08
2013-06-12,0.09,0.09,0.09,0.09,2206300,0.09
2013-06-11,0.09,0.09,0.09,0.09,3033300,0.09
2013-06-10,0.09,0.09,0.09,0.09,000,0.09
2013-06-07,0.09,0.09,0.09,0.09,815000,0.09
2013-06-06,0.09,0.09,0.09,0.09,2166900,0.09
2013-06-05,0.09,0.09,0.09,0.09,1576400,0.09
2013-06-04,0.09,0.10,0.09,0.09,4071600,0.09
2013-06-03,0.10,0.10,0.09,0.09,2612500,0.09
2013-05-31,0.08,0.10,0.08,0.10,6352100,0.10
2013-05-30,0.08,0.09,0.08,0.08,1240500,0.08
2013-05-29,0.09,0.09,0.08,0.08,1229300,0.08
2013-05-28,0.09,0.09,0.09,0.09,743400,0.09
2013-05-27,0.09,0.09,0.08,0.09,485300,0.09
2013-05-24,0.09,0.09,0.08,0.09,2593500,0.09
2013-05-23,0.09,0.09,0.08,0.09,3161900,0.09
2013-05-22,0.09,0.09,0.09,0.09,1969700,0.09
2013-05-21,0.09,0.09,0.09,0.09,3221500,0.09
2013-05-20,0.09,0.10,0.09,0.09,1903300,0.09
2013-05-17,0.10,0.10,0.09,0.10,2446600,0.10
2013-05-16,0.10,0.10,0.10,0.10,4927400,0.10
2013-05-15,0.10,0.10,0.10,0.10,2848500,0.10
2013-05-14,0.10,0.10,0.10,0.10,1801500,0.10
2013-05-13,0.11,0.11,0.10,0.10,678000,0.10
2013-05-10,0.10,0.11,0.10,0.11,1997700,0.11
2013-05-09,0.10,0.11,0.10,0.10,3999400,0.10
2013-05-08,0.10,0.10,0.10,0.10,1596600,0.10
2013-05-07,0.10,0.11,0.10,0.10,2292000,0.10
2013-05-06,0.10,0.11,0.10,0.10,1437600,0.10
2013-05-03,0.10,0.12,0.10,0.10,1216300,0.10
2013-05-02,0.11,0.11,0.10,0.10,938400,0.10
2013-05-01,0.12,0.12,0.11,0.11,1857500,0.11
2013-04-30,0.10,0.12,0.10,0.12,11445700,0.12
2013-04-29,0.10,0.10,0.10,0.10,1896500,0.10
2013-04-26,0.10,0.11,0.10,0.10,1608200,0.10
2013-04-25,0.10,0.10,0.10,0.10,000,0.10
2013-04-24,0.10,0.11,0.10,0.10,2102500,0.10
2013-04-23,0.11,0.11,0.10,0.11,1108300,0.11
2013-04-22,0.12,0.12,0.10,0.11,1783600,0.11
2013-04-19,0.10,0.12,0.10,0.12,3921600,0.12
2013-04-18,0.11,0.11,0.09,0.10,5810600,0.10
2013-04-17,0.11,0.11,0.10,0.11,3496600,0.11
2013-04-16,0.12,0.12,0.10,0.11,16662300,0.11
2013-04-15,0.12,0.12,0.12,0.12,2731500,0.12
2013-04-12,0.12,0.13,0.12,0.12,5195600,0.12
2013-04-11,0.13,0.13,0.12,0.12,1048700,0.12
2013-04-10,0.13,0.13,0.12,0.13,1322300,0.13
2013-04-09,0.13,0.14,0.12,0.12,1682500,0.12
2013-04-08,0.13,0.14,0.13,0.13,1786700,0.13
2013-04-05,0.13,0.14,0.13,0.13,4393500,0.13
2013-04-04,0.12,0.13,0.12,0.12,4837200,0.12
2013-04-03,0.12,0.12,0.12,0.12,3849800,0.12
2013-04-02,0.13,0.13,0.12,0.12,5683700,0.12
2013-04-01,0.14,0.14,0.14,0.14,000,0.14
2013-03-29,0.14,0.14,0.14,0.14,000,0.14
2013-03-28,0.14,0.14,0.12,0.14,7276600,0.14
2013-03-27,0.14,0.15,0.12,0.14,14565200,0.14
2013-03-26,0.17,0.17,0.13,0.14,31851300,0.14
2013-03-25,0.17,0.17,0.16,0.17,3715300,0.17
2013-03-22,0.17,0.17,0.17,0.17,3925800,0.17
2013-03-21,0.17,0.17,0.17,0.17,5932000,0.17
2013-03-20,0.17,0.17,0.16,0.16,6271100,0.16
2013-03-19,0.17,0.17,0.17,0.17,13450500,0.17
2013-03-18,0.17,0.17,0.16,0.17,5284100,0.17
2013-03-15,0.16,0.17,0.15,0.17,40034800,0.17
2013-03-14,0.15,0.16,0.14,0.16,2832700,0.16
2013-03-13,0.15,0.16,0.14,0.15,4815600,0.15
2013-03-12,0.16,0.16,0.14,0.15,6710500,0.15
2013-03-11,0.17,0.17,0.15,0.16,6299300,0.16
2013-03-08,0.17,0.17,0.16,0.16,5158700,0.16
2013-03-07,0.17,0.17,0.16,0.17,4018400,0.17
2013-03-06,0.17,0.17,0.15,0.16,8028300,0.16
2013-03-05,0.17,0.17,0.17,0.17,13800700,0.17
2013-03-04,0.17,0.17,0.16,0.17,9606200,0.17
2013-03-01,0.17,0.17,0.16,0.17,10046000,0.17
2013-02-28,0.16,0.17,0.16,0.17,14452800,0.17
2013-02-27,0.14,0.16,0.14,0.16,10323300,0.16
2013-02-26,0.15,0.15,0.14,0.14,5827500,0.14
2013-02-25,0.15,0.16,0.15,0.15,11190300,0.15
2013-02-22,0.14,0.16,0.14,0.15,21649700,0.15
2013-02-21,0.14,0.15,0.14,0.14,8495300,0.14
2013-02-20,0.15,0.15,0.14,0.14,2771000,0.14
2013-02-19,0.15,0.15,0.14,0.14,5081400,0.14
2013-02-18,0.14,0.15,0.14,0.14,10377200,0.14
2013-02-15,0.14,0.14,0.14,0.14,14354900,0.14
2013-02-14,0.13,0.14,0.13,0.14,19254700,0.14
2013-02-13,0.13,0.14,0.12,0.13,21111700,0.13
2013-02-12,0.12,0.13,0.12,0.12,22910500,0.12
2013-02-11,0.12,0.12,0.12,0.12,5785600,0.12
2013-02-08,0.12,0.12,0.12,0.12,1473000,0.12
2013-02-07,0.12,0.12,0.12,0.12,2725600,0.12
2013-02-06,0.12,0.12,0.12,0.12,5848700,0.12
2013-02-05,0.12,0.12,0.12,0.12,1212800,0.12
2013-02-04,0.12,0.12,0.12,0.12,1640800,0.12
2013-02-01,0.12,0.12,0.12,0.12,5588300,0.12
2013-01-31,0.12,0.12,0.12,0.12,1632600,0.12
2013-01-30,0.12,0.12,0.12,0.12,3465400,0.12
2013-01-29,0.12,0.12,0.12,0.12,5053400,0.12
2013-01-28,0.12,0.12,0.12,0.12,000,0.12
2013-01-25,0.13,0.13,0.12,0.12,3890500,0.12
2013-01-24,0.12,0.13,0.12,0.12,5111300,0.12
2013-01-23,0.12,0.12,0.12,0.12,3254500,0.12
2013-01-22,0.13,0.13,0.12,0.13,6286200,0.13
2013-01-21,0.13,0.14,0.13,0.13,3380200,0.13
2013-01-18,0.14,0.14,0.13,0.13,2170600,0.13
2013-01-17,0.13,0.14,0.12,0.14,16981400,0.14
2013-01-16,0.13,0.13,0.12,0.13,630200,0.13
2013-01-15,0.12,0.13,0.12,0.13,386800,0.13
2013-01-14,0.13,0.13,0.12,0.12,838700,0.12
2013-01-11,0.14,0.14,0.12,0.12,855800,0.12
2013-01-10,0.13,0.14,0.13,0.13,1405100,0.13
2013-01-09,0.14,0.14,0.12,0.13,1910200,0.13
2013-01-08,0.13,0.14,0.13,0.14,517000,0.14
2013-01-07,0.14,0.14,0.13,0.14,2493900,0.14
2013-01-04,0.14,0.14,0.14,0.14,2349600,0.14
2013-01-03,0.13,0.14,0.13,0.14,4022200,0.14
2013-01-02,0.13,0.13,0.12,0.13,1105400,0.13
2013-01-01,0.13,0.13,0.13,0.13,000,0.13
2012-12-31,0.12,0.14,0.12,0.13,693300,0.13
2012-12-28,0.13,0.13,0.13,0.13,274500,0.13
2012-12-27,0.13,0.13,0.12,0.12,302100,0.12
2012-12-26,0.12,0.12,0.12,0.12,000,0.12
2012-12-25,0.12,0.12,0.12,0.12,000,0.12
2012-12-24,0.13,0.13,0.12,0.12,2457400,0.12
2012-12-21,0.13,0.14,0.13,0.13,2073800,0.13
2012-12-20,0.12,0.14,0.12,0.13,1917200,0.13
2012-12-19,0.12,0.13,0.12,0.12,2027300,0.12
2012-12-18,0.12,0.13,0.12,0.12,1314500,0.12
2012-12-17,0.12,0.13,0.12,0.12,2570500,0.12
2012-12-14,0.12,0.13,0.12,0.12,13305800,0.12
2012-12-13,0.13,0.14,0.12,0.12,8184100,0.12
2012-12-12,0.13,0.14,0.13,0.13,2010800,0.13
2012-12-11,0.14,0.14,0.13,0.14,1082300,0.14
2012-12-10,0.14,0.14,0.13,0.14,2750200,0.14
2012-12-07,0.14,0.14,0.13,0.14,3312600,0.14
2012-12-06,0.14,0.14,0.14,0.14,1581400,0.14
2012-12-05,0.13,0.14,0.13,0.14,8337000,0.14
2012-12-04,0.14,0.14,0.13,0.13,10992700,0.13
2012-12-03,0.14,0.15,0.14,0.14,4643600,0.14
2012-11-30,0.16,0.16,0.14,0.15,5779900,0.15
2012-11-29,0.16,0.16,0.15,0.16,2584200,0.16
2012-11-28,0.16,0.16,0.15,0.16,3656800,0.16
2012-11-27,0.16,0.17,0.16,0.16,3584000,0.16
2012-11-26,0.15,0.16,0.15,0.15,2400000,0.15
2012-11-23,0.15,0.16,0.14,0.15,9567100,0.15
2012-11-22,0.16,0.16,0.15,0.15,2674300,0.15
2012-11-21,0.17,0.17,0.15,0.15,7175900,0.15
2012-11-20,0.17,0.17,0.16,0.17,4240500,0.17
2012-11-19,0.16,0.17,0.16,0.16,10054900,0.16
2012-11-16,0.16,0.16,0.15,0.15,5687700,0.15
2012-11-15,0.16,0.17,0.15,0.16,9911300,0.16
2012-11-14,0.15,0.16,0.15,0.16,6080900,0.16
2012-11-13,0.16,0.16,0.15,0.15,14523200,0.15
2012-11-12,0.17,0.17,0.16,0.16,5138800,0.16
2012-11-09,0.17,0.17,0.17,0.17,7428700,0.17
2012-11-08,0.17,0.18,0.17,0.17,14600700,0.17
2012-11-07,0.19,0.19,0.17,0.18,28263700,0.18
2012-11-06,0.19,0.19,0.17,0.19,38002400,0.19
