Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,19.15,19.15,18.78,18.90,478400,18.90
2013-09-19,19.34,19.46,19.18,19.27,1016700,19.27
2013-09-18,19.27,19.32,18.87,19.22,1209900,19.22
2013-09-17,19.20,19.35,18.97,19.19,413600,19.19
2013-09-16,19.21,19.49,19.10,19.16,255700,19.16
2013-09-13,18.99,19.08,18.76,18.93,986100,18.93
2013-09-12,19.20,19.22,19.03,19.09,800500,19.09
2013-09-11,19.00,19.10,18.81,19.10,862000,19.10
2013-09-10,19.00,19.00,18.69,18.84,1124200,18.84
2013-09-09,18.97,19.03,18.50,18.98,1094500,18.98
2013-09-06,19.00,19.00,18.72,18.81,741300,18.81
2013-09-05,19.34,19.34,18.98,18.98,988900,18.98
2013-09-04,19.51,19.53,18.90,19.46,647300,19.46
2013-09-03,19.91,20.15,19.76,19.90,652800,19.90
2013-09-02,19.67,19.86,19.42,19.81,769100,19.81
2013-08-30,18.25,18.91,18.15,18.91,758300,18.91
2013-08-29,18.45,18.85,18.45,18.65,2295400,18.65
2013-08-28,18.10,18.29,18.02,18.09,969600,18.09
2013-08-27,18.59,18.60,18.08,18.24,969000,18.24
2013-08-26,19.33,19.50,18.34,18.93,562800,18.93
2013-08-23,18.46,19.14,18.46,18.95,533900,18.95
2013-08-22,18.21,18.68,18.02,18.68,435200,18.68
2013-08-21,18.34,18.79,18.22,18.78,650200,18.78
2013-08-20,18.01,18.35,18.01,18.27,481200,18.27
2013-08-19,18.44,18.67,18.03,18.15,424300,18.15
2013-08-16,18.41,18.56,18.19,18.27,626100,18.27
2013-08-15,18.71,18.71,18.32,18.46,418700,18.46
2013-08-14,18.59,18.70,18.43,18.68,449400,18.68
2013-08-13,18.00,18.74,17.92,18.66,735100,18.66
2013-08-12,17.95,18.38,17.73,17.92,599000,17.92
2013-08-09,18.27,18.50,17.93,18.21,427400,18.21
2013-08-08,18.59,18.65,18.23,18.43,347300,18.43
2013-08-07,18.78,18.81,18.18,18.35,471700,18.35
2013-08-06,19.12,19.12,18.75,18.80,515900,18.80
2013-08-05,19.16,19.22,18.67,19.00,363900,19.00
2013-08-02,19.40,19.40,19.13,19.33,608600,19.33
2013-08-01,19.07,19.11,18.73,18.93,836500,18.93
2013-07-31,18.50,18.93,18.45,18.71,616700,18.71
2013-07-30,18.56,18.56,18.13,18.21,421200,18.21
2013-07-29,18.39,18.48,18.10,18.36,429900,18.36
2013-07-26,18.22,18.65,18.14,18.40,402300,18.40
