Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.01,0.01,0.01,0.01,50200,0.01
2013-09-19,0.01,0.01,0.01,0.01,780000,0.01
2013-09-18,0.01,0.01,0.01,0.01,000,0.01
2013-09-17,0.01,0.01,0.01,0.01,000,0.01
2013-09-16,0.01,0.01,0.01,0.01,450000,0.01
2013-09-13,0.01,0.01,0.01,0.01,000,0.01
2013-09-12,0.01,0.01,0.01,0.01,000,0.01
2013-09-11,0.01,0.01,0.01,0.01,380000,0.01
2013-09-10,0.01,0.01,0.01,0.01,134300,0.01
2013-09-09,0.01,0.01,0.01,0.01,1666000,0.01
2013-09-06,0.01,0.01,0.01,0.01,000,0.01
2013-09-05,0.01,0.01,0.01,0.01,000,0.01
2013-09-04,0.01,0.01,0.01,0.01,000,0.01
2013-09-03,0.01,0.01,0.01,0.01,644500,0.01
2013-09-02,0.01,0.01,0.01,0.01,000,0.01
2013-08-30,0.01,0.01,0.01,0.01,1140200,0.01
2013-08-29,0.01,0.01,0.01,0.01,315200,0.01
2013-08-28,0.01,0.01,0.01,0.01,2195900,0.01
2013-08-27,0.01,0.01,0.01,0.01,1773000,0.01
2013-08-26,0.01,0.01,0.01,0.01,788000,0.01
2013-08-23,0.01,0.01,0.01,0.01,500000,0.01
2013-08-22,0.01,0.01,0.01,0.01,1000000,0.01
2013-08-21,0.01,0.01,0.01,0.01,65200,0.01
2013-08-20,0.01,0.01,0.01,0.01,000,0.01
2013-08-19,0.01,0.01,0.01,0.01,500000,0.01
2013-08-16,0.01,0.01,0.01,0.01,35000,0.01
2013-08-15,0.01,0.01,0.01,0.01,201900,0.01
2013-08-14,0.01,0.01,0.01,0.01,600000,0.01
2013-08-13,0.01,0.01,0.01,0.01,275000,0.01
2013-08-12,0.01,0.01,0.01,0.01,000,0.01
2013-08-09,0.01,0.01,0.01,0.01,450000,0.01
2013-08-08,0.01,0.01,0.01,0.01,384200,0.01
2013-08-07,0.01,0.01,0.01,0.01,632900,0.01
2013-08-06,0.01,0.01,0.01,0.01,590500,0.01
2013-08-05,0.01,0.01,0.01,0.01,3073500,0.01
2013-08-02,0.02,0.02,0.01,0.01,775000,0.01
2013-08-01,0.01,0.01,0.01,0.01,697200,0.01
2013-07-31,0.02,0.02,0.01,0.01,779900,0.01
2013-07-30,0.02,0.02,0.02,0.02,1292900,0.02
2013-07-29,0.02,0.02,0.01,0.02,840000,0.02
2013-07-26,0.02,0.02,0.02,0.02,2920000,0.02
2013-07-25,0.01,0.01,0.01,0.01,300000,0.01
2013-07-24,0.01,0.02,0.01,0.02,3688100,0.02
2013-07-23,0.01,0.01,0.01,0.01,2671300,0.01
2013-07-22,0.01,0.01,0.01,0.01,000,0.01
2013-07-19,0.01,0.01,0.01,0.01,950000,0.01
2013-07-18,0.01,0.01,0.01,0.01,000,0.01
2013-07-17,0.01,0.01,0.01,0.01,850000,0.01
2013-07-16,0.01,0.01,0.01,0.01,3280000,0.01
2013-07-15,0.01,0.01,0.01,0.01,453800,0.01
2013-07-12,0.01,0.01,0.01,0.01,000,0.01
2013-07-11,0.01,0.01,0.01,0.01,500000,0.01
2013-07-10,0.01,0.01,0.01,0.01,50000,0.01
2013-07-09,0.01,0.01,0.01,0.01,675400,0.01
2013-07-08,0.01,0.01,0.01,0.01,100000,0.01
2013-07-05,0.01,0.01,0.01,0.01,000,0.01
2013-07-04,0.01,0.01,0.01,0.01,217800,0.01
2013-07-03,0.01,0.01,0.01,0.01,000,0.01
2013-07-02,0.01,0.01,0.01,0.01,930000,0.01
2013-07-01,0.01,0.01,0.01,0.01,441900,0.01
