Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.04,0.04,0.04,0.04,000,0.04
2013-09-19,0.04,0.04,0.04,0.04,000,0.04
2013-09-18,0.04,0.04,0.04,0.04,000,0.04
2013-09-17,0.04,0.04,0.04,0.04,000,0.04
2013-09-16,0.04,0.04,0.04,0.04,4000,0.04
2013-09-13,0.04,0.04,0.04,0.04,000,0.04
2013-09-12,0.04,0.04,0.04,0.04,1300,0.04
2013-09-11,0.04,0.04,0.04,0.04,000,0.04
2013-09-10,0.04,0.04,0.04,0.04,000,0.04
2013-09-09,0.04,0.04,0.04,0.04,90100,0.04
2013-09-06,0.04,0.04,0.04,0.04,000,0.04
2013-09-05,0.04,0.04,0.04,0.04,135000,0.04
2013-09-04,0.04,0.04,0.04,0.04,000,0.04
2013-09-03,0.04,0.04,0.04,0.04,10000,0.04
2013-09-02,0.04,0.04,0.04,0.04,000,0.04
2013-08-30,0.04,0.04,0.04,0.04,000,0.04
2013-08-29,0.04,0.04,0.04,0.04,796000,0.04
2013-08-28,0.04,0.04,0.04,0.04,500,0.04
2013-08-27,0.04,0.04,0.04,0.04,200,0.04
2013-08-26,0.04,0.04,0.04,0.04,000,0.04
2013-08-23,0.04,0.04,0.04,0.04,000,0.04
2013-08-22,0.04,0.04,0.04,0.04,000,0.04
2013-08-21,0.04,0.04,0.04,0.04,000,0.04
2013-08-20,0.04,0.04,0.04,0.04,6000,0.04
2013-08-19,0.04,0.04,0.04,0.04,000,0.04
2013-08-16,0.04,0.04,0.04,0.04,263900,0.04
2013-08-15,0.04,0.04,0.04,0.04,7500,0.04
2013-08-14,0.04,0.04,0.04,0.04,10000,0.04
2013-08-13,0.04,0.04,0.04,0.04,180000,0.04
2013-08-12,0.04,0.04,0.04,0.04,000,0.04
2013-08-09,0.04,0.04,0.04,0.04,000,0.04
2013-08-08,0.04,0.04,0.04,0.04,000,0.04
2013-08-07,0.05,0.05,0.04,0.04,320000,0.04
2013-08-06,0.05,0.05,0.05,0.05,000,0.05
2013-08-05,0.05,0.05,0.05,0.05,199600,0.05
2013-08-02,0.04,0.05,0.04,0.05,184800,0.05
2013-08-01,0.04,0.04,0.04,0.04,25000,0.04
2013-07-31,0.04,0.04,0.04,0.04,000,0.04
2013-07-30,0.04,0.04,0.04,0.04,82100,0.04
2013-07-29,0.04,0.04,0.04,0.04,80000,0.04
2013-07-26,0.04,0.04,0.04,0.04,120000,0.04
2013-07-25,0.04,0.04,0.04,0.04,000,0.04
2013-07-24,0.04,0.04,0.04,0.04,000,0.04
2013-07-23,0.04,0.04,0.04,0.04,23500,0.04
2013-07-22,0.04,0.04,0.04,0.04,000,0.04
2013-07-19,0.04,0.04,0.04,0.04,500000,0.04
2013-07-18,0.03,0.03,0.03,0.03,000,0.03
2013-07-17,0.03,0.03,0.03,0.03,50000,0.03
2013-07-16,0.03,0.03,0.03,0.03,000,0.03
2013-07-15,0.03,0.03,0.03,0.03,16100,0.03
2013-07-12,0.03,0.03,0.03,0.03,9100,0.03
2013-07-11,0.03,0.03,0.03,0.03,15700,0.03
2013-07-10,0.04,0.04,0.04,0.04,100000,0.04
2013-07-09,0.04,0.04,0.04,0.04,000,0.04
2013-07-08,0.04,0.04,0.04,0.04,75000,0.04
2013-07-05,0.03,0.03,0.03,0.03,000,0.03
2013-07-04,0.03,0.03,0.03,0.03,5000,0.03
2013-07-03,0.03,0.03,0.03,0.03,4900,0.03
2013-07-02,0.02,0.02,0.02,0.02,7500,0.02
2013-07-01,0.02,0.02,0.02,0.02,000,0.02
2013-06-28,0.02,0.02,0.02,0.02,9000,0.02
2013-06-27,0.02,0.02,0.02,0.02,5000,0.02
2013-06-26,0.02,0.02,0.02,0.02,189800,0.02
2013-06-25,0.02,0.02,0.02,0.02,000,0.02
2013-06-24,0.03,0.03,0.02,0.02,4900,0.02
2013-06-21,0.02,0.02,0.02,0.02,000,0.02
2013-06-20,0.02,0.02,0.02,0.02,90600,0.02
2013-06-19,0.02,0.02,0.02,0.02,000,0.02
2013-06-18,0.02,0.02,0.02,0.02,10000,0.02
2013-06-17,0.02,0.02,0.02,0.02,23500,0.02
2013-06-14,0.02,0.02,0.02,0.02,000,0.02
2013-06-13,0.02,0.02,0.02,0.02,181500,0.02
2013-06-12,0.02,0.02,0.02,0.02,114300,0.02
2013-06-11,0.04,0.04,0.04,0.04,000,0.04
2013-06-10,0.04,0.04,0.04,0.04,000,0.04
2013-06-07,0.04,0.04,0.04,0.04,000,0.04
2013-06-06,0.04,0.04,0.04,0.04,18500,0.04
2013-06-05,0.04,0.04,0.04,0.04,26500,0.04
2013-06-04,0.05,0.05,0.05,0.05,000,0.05
2013-06-03,0.04,0.05,0.04,0.05,11600,0.05
2013-05-31,0.05,0.05,0.05,0.05,12500,0.05
2013-05-30,0.05,0.05,0.05,0.05,000,0.05
2013-05-29,0.05,0.05,0.05,0.05,100000,0.05
2013-05-28,0.05,0.05,0.05,0.05,000,0.05
2013-05-27,0.05,0.05,0.05,0.05,000,0.05
2013-05-24,0.05,0.05,0.05,0.05,000,0.05
2013-05-23,0.05,0.05,0.05,0.05,000,0.05
2013-05-22,0.05,0.05,0.05,0.05,15000,0.05
