Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.62,1.62,1.62,1.62,2800,1.62
2013-09-19,1.65,1.68,1.65,1.68,16700,1.68
2013-09-18,1.69,1.71,1.69,1.70,16100,1.70
2013-09-17,1.62,1.70,1.62,1.65,13300,1.65
2013-09-16,1.65,1.65,1.62,1.62,1800,1.62
2013-09-13,1.65,1.65,1.65,1.65,8300,1.65
2013-09-12,1.66,1.66,1.66,1.66,600,1.66
2013-09-11,1.68,1.68,1.68,1.68,000,1.68
2013-09-10,1.68,1.68,1.68,1.68,800,1.68
2013-09-09,1.68,1.68,1.68,1.68,2000,1.68
2013-09-06,1.70,1.70,1.66,1.66,700,1.66
2013-09-05,1.66,1.66,1.66,1.66,100,1.66
2013-09-04,1.70,1.70,1.65,1.70,5300,1.70
2013-09-03,1.79,1.79,1.79,1.79,000,1.79
2013-09-02,1.71,1.79,1.71,1.79,10100,1.79
2013-08-30,1.80,1.81,1.80,1.81,7800,1.81
2013-08-29,1.76,1.76,1.76,1.76,3100,1.76
2013-08-28,1.73,1.73,1.73,1.73,2000,1.73
2013-08-27,1.70,1.70,1.70,1.70,000,1.70
2013-08-26,1.70,1.70,1.70,1.70,000,1.70
2013-08-23,1.70,1.70,1.70,1.70,1000,1.70
2013-08-22,1.79,1.79,1.79,1.79,000,1.79
2013-08-21,1.79,1.79,1.79,1.79,000,1.79
2013-08-20,1.79,1.79,1.79,1.79,000,1.79
2013-08-19,1.79,1.79,1.79,1.79,000,1.79
2013-08-16,1.79,1.79,1.79,1.79,000,1.79
2013-08-15,1.70,1.79,1.70,1.79,2600,1.79
2013-08-14,1.75,1.75,1.70,1.70,11500,1.70
2013-08-13,1.67,1.67,1.67,1.67,5500,1.67
2013-08-12,1.80,1.80,1.80,1.80,000,1.80
2013-08-09,1.72,1.80,1.70,1.80,16400,1.80
2013-08-08,1.70,1.70,1.70,1.70,000,1.70
2013-08-07,1.65,1.70,1.65,1.70,6200,1.70
2013-08-06,1.61,1.65,1.61,1.65,200,1.65
2013-08-05,1.65,1.65,1.61,1.65,9800,1.65
2013-08-02,1.70,1.75,1.70,1.70,128000,1.70
2013-08-01,1.82,1.82,1.70,1.70,87100,1.70
2013-07-31,1.91,1.91,1.90,1.90,25000,1.90
2013-07-30,1.85,1.89,1.85,1.89,7400,1.89
2013-07-29,1.90,1.90,1.90,1.90,000,1.90
2013-07-26,1.89,1.90,1.89,1.90,8200,1.90
2013-07-25,1.88,1.88,1.88,1.88,10300,1.88
2013-07-24,1.81,1.85,1.81,1.85,12300,1.85
2013-07-23,1.90,1.90,1.90,1.90,000,1.90
2013-07-22,1.91,1.91,1.90,1.90,9400,1.90
2013-07-19,1.90,1.98,1.86,1.89,17100,1.89
2013-07-18,1.82,1.82,1.80,1.82,23900,1.82
2013-07-17,1.84,1.84,1.80,1.83,23200,1.83
2013-07-16,1.85,1.86,1.80,1.81,9100,1.81
2013-07-15,1.76,1.76,1.76,1.76,000,1.76
2013-07-12,1.82,1.82,1.76,1.76,25600,1.76
2013-07-11,1.83,1.83,1.83,1.83,000,1.83
2013-07-10,1.90,1.90,1.82,1.83,26800,1.83
2013-07-09,1.98,1.98,1.98,1.98,3700,1.98
2013-07-08,1.91,2.00,1.91,2.00,27900,2.00
2013-07-05,1.82,1.82,1.82,1.82,1700,1.82
2013-07-04,1.83,1.90,1.83,1.90,3600,1.90
2013-07-03,1.83,1.83,1.83,1.83,2200,1.83
2013-07-02,1.83,1.83,1.83,1.83,500,1.83
2013-07-01,1.83,1.83,1.82,1.82,10000,1.82
2013-06-28,1.81,1.81,1.81,1.81,5300,1.81
2013-06-27,1.90,1.90,1.81,1.89,6600,1.89
2013-06-26,1.82,1.90,1.79,1.90,48300,1.90
2013-06-25,1.85,1.90,1.81,1.90,135500,1.90
2013-06-24,1.87,1.90,1.87,1.89,27400,1.89
2013-06-21,1.85,1.85,1.85,1.85,000,1.85
2013-06-20,1.85,1.85,1.85,1.85,100,1.85
2013-06-19,1.92,1.92,1.92,1.92,1100,1.92
2013-06-18,1.85,2.01,1.85,2.00,15400,2.00
2013-06-17,1.85,1.85,1.85,1.85,100,1.85
2013-06-14,1.87,1.90,1.85,1.85,21800,1.85
2013-06-13,1.90,1.93,1.87,1.90,18600,1.90
2013-06-12,1.90,1.90,1.90,1.90,16100,1.90
2013-06-11,2.00,2.00,1.90,1.90,2100,1.90
2013-06-10,2.02,2.02,2.02,2.02,000,2.02
2013-06-07,2.02,2.02,2.02,2.02,16300,2.02
2013-06-06,2.01,2.02,2.01,2.02,2600,2.02
2013-06-05,2.10,2.10,2.10,2.10,000,2.10
2013-06-04,2.10,2.10,2.10,2.10,1000,2.10
2013-06-03,2.02,2.10,2.02,2.10,54500,2.10
2013-05-31,1.95,2.00,1.95,2.00,7900,2.00
2013-05-30,2.00,2.00,1.97,1.97,10800,1.97
2013-05-29,2.00,2.01,2.00,2.00,6200,2.00
2013-05-28,1.96,2.00,1.87,1.87,51000,1.87
2013-05-27,1.87,1.97,1.87,1.97,4000,1.97
2013-05-24,1.91,1.95,1.90,1.90,7500,1.90
2013-05-23,1.90,1.96,1.87,1.96,63700,1.96
2013-05-22,1.90,1.96,1.90,1.95,7000,1.95
2013-05-21,1.93,2.02,1.90,2.00,34200,2.00
2013-05-20,1.90,1.90,1.90,1.90,600,1.90
2013-05-17,1.90,1.90,1.90,1.90,5100,1.90
2013-05-16,2.00,2.00,1.95,1.95,17200,1.95
2013-05-15,2.01,2.05,2.00,2.00,13600,2.00
2013-05-14,2.05,2.05,2.01,2.01,1100,2.01
2013-05-13,2.05,2.08,2.03,2.08,4800,2.08
2013-05-10,2.08,2.09,2.05,2.07,5300,2.07
2013-05-09,2.10,2.10,2.05,2.05,8700,2.05
2013-05-08,2.10,2.10,2.08,2.10,15700,2.10
2013-05-07,2.10,2.20,2.05,2.10,20200,2.10
2013-05-06,1.95,2.10,1.95,2.10,14900,2.10
2013-05-03,1.85,1.85,1.85,1.85,000,1.85
2013-05-02,1.85,1.85,1.85,1.85,000,1.85
2013-05-01,1.85,1.85,1.85,1.85,000,1.85
2013-04-30,1.90,1.94,1.85,1.85,8000,1.85
2013-04-29,1.90,1.90,1.90,1.90,24100,1.90
2013-04-26,1.91,1.95,1.91,1.91,128800,1.91
2013-04-25,2.00,2.00,2.00,2.00,000,2.00
2013-04-24,2.00,2.00,2.00,2.00,2300,2.00
2013-04-23,2.00,2.00,2.00,2.00,8800,2.00
2013-04-22,2.00,2.00,2.00,2.00,22000,2.00
2013-04-19,2.00,2.00,2.00,2.00,000,2.00
2013-04-18,1.93,2.00,1.93,2.00,7000,2.00
2013-04-17,2.05,2.05,1.91,1.91,17700,1.91
2013-04-16,2.05,2.05,1.85,1.85,14800,1.85
2013-04-15,2.11,2.11,2.11,2.11,1100,2.11
2013-04-12,2.18,2.18,2.10,2.10,15800,2.10
2013-04-11,2.07,2.20,2.06,2.18,12200,2.18
2013-04-10,2.10,2.10,2.07,2.07,15900,2.07
2013-04-09,2.10,2.12,2.06,2.06,62300,2.06
2013-04-08,2.08,2.08,2.08,2.08,1300,2.08
2013-04-05,2.30,2.30,2.25,2.25,33500,2.25
2013-04-04,2.45,2.50,2.35,2.35,3800,2.35
2013-04-03,2.47,2.48,2.32,2.48,12500,2.48
2013-04-02,2.50,2.50,2.50,2.50,2300,2.50
2013-04-01,2.40,2.40,2.40,2.40,000,2.40
2013-03-29,2.40,2.40,2.40,2.40,000,2.40
2013-03-28,2.30,2.40,2.30,2.40,9000,2.40
2013-03-27,2.30,2.30,2.30,2.30,000,2.30
