Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.11,1.11,1.11,1.11,500,1.11
2013-09-19,1.09,1.09,1.09,1.09,000,1.09
2013-09-18,1.09,1.09,1.09,1.09,000,1.09
2013-09-17,1.09,1.09,1.09,1.09,000,1.09
2013-09-16,1.09,1.09,1.09,1.09,000,1.09
2013-09-13,1.09,1.09,1.09,1.09,4000,1.09
2013-09-12,1.07,1.07,1.07,1.07,6200,1.07
2013-09-11,1.07,1.07,1.07,1.07,2600,1.07
2013-09-10,1.15,1.15,1.15,1.15,000,1.15
2013-09-09,1.15,1.15,1.15,1.15,000,1.15
2013-09-06,1.15,1.15,1.15,1.15,000,1.15
2013-09-05,1.15,1.15,1.15,1.15,000,1.15
2013-09-04,1.15,1.15,1.15,1.15,000,1.15
2013-09-03,1.15,1.15,1.15,1.15,2700,1.12
2013-09-02,1.10,1.15,1.10,1.15,20000,1.12
2013-08-30,1.08,1.08,1.08,1.08,900,1.05
2013-08-29,1.06,1.06,1.06,1.06,000,1.03
2013-08-28,1.06,1.06,1.06,1.06,000,1.03
2013-08-27,1.07,1.07,1.06,1.06,4200,1.03
2013-08-26,1.06,1.10,1.06,1.06,14400,1.03
2013-08-23,1.06,1.06,1.06,1.06,000,1.03
2013-08-22,1.06,1.06,1.06,1.06,000,1.03
2013-08-21,1.06,1.06,1.06,1.06,000,1.03
2013-08-20,1.06,1.06,1.06,1.06,000,1.03
2013-08-19,1.06,1.06,1.06,1.06,4500,1.03
2013-08-16,1.10,1.10,1.10,1.10,000,1.07
2013-08-15,1.10,1.10,1.10,1.10,000,1.07
2013-08-14,1.10,1.10,1.10,1.10,11900,1.07
2013-08-13,1.15,1.15,1.15,1.15,000,1.12
2013-08-12,1.15,1.15,1.15,1.15,000,1.12
2013-08-09,1.15,1.15,1.15,1.15,000,1.12
2013-08-08,1.15,1.15,1.15,1.15,000,1.12
2013-08-07,1.15,1.15,1.15,1.15,000,1.12
2013-08-06,1.15,1.15,1.15,1.15,000,1.12
2013-08-05,1.15,1.15,1.15,1.15,2900,1.12
2013-08-02,1.01,1.05,1.01,1.05,35200,1.02
2013-08-01,1.02,1.02,1.01,1.01,8600,0.98
2013-07-31,1.03,1.03,1.03,1.03,000,1.00
2013-07-30,1.03,1.03,1.03,1.03,000,1.00
2013-07-29,1.03,1.03,1.03,1.03,000,1.00
2013-07-26,1.03,1.03,1.03,1.03,000,1.00
2013-07-25,1.03,1.03,1.03,1.03,000,1.00
2013-07-24,1.03,1.03,1.03,1.03,000,1.00
2013-07-23,1.03,1.03,1.03,1.03,000,1.00
2013-07-22,1.03,1.03,1.03,1.03,13000,1.00
2013-07-19,1.03,1.04,1.03,1.04,6300,1.01
2013-07-18,1.03,1.04,1.03,1.04,32900,1.01
2013-07-17,1.04,1.04,1.04,1.04,22600,1.01
2013-07-16,1.00,1.00,1.00,1.00,000,0.97
2013-07-15,1.00,1.00,1.00,1.00,000,0.97
2013-07-12,1.00,1.00,1.00,1.00,000,0.97
2013-07-11,1.00,1.00,1.00,1.00,000,0.97
2013-07-10,0.99,1.00,0.99,1.00,28100,0.97
2013-07-09,1.00,1.00,0.98,0.98,10000,0.95
2013-07-08,1.00,1.00,1.00,1.00,20000,0.97
2013-07-05,1.00,1.00,1.00,1.00,3000,0.97
2013-07-04,1.00,1.00,1.00,1.00,000,0.97
2013-07-03,1.00,1.00,1.00,1.00,2700,0.97
2013-07-02,1.00,1.00,1.00,1.00,000,0.97
2013-07-01,1.00,1.00,1.00,1.00,000,0.97
2013-06-28,1.00,1.00,1.00,1.00,000,0.97
2013-06-27,1.00,1.00,1.00,1.00,000,0.97
2013-06-26,1.00,1.00,1.00,1.00,19000,0.97
2013-06-25,0.99,0.99,0.99,0.99,000,0.96
2013-06-24,0.99,0.99,0.99,0.99,000,0.96
2013-06-21,0.99,0.99,0.99,0.99,000,0.96
2013-06-20,1.00,1.00,0.99,0.99,25000,0.96
2013-06-19,0.99,0.99,0.99,0.99,000,0.96
2013-06-18,0.99,0.99,0.99,0.99,000,0.96
2013-06-17,0.99,0.99,0.99,0.99,7100,0.96
2013-06-14,1.01,1.01,1.01,1.01,000,0.98
2013-06-13,1.01,1.01,1.01,1.01,9900,0.98
2013-06-12,1.01,1.01,1.01,1.01,000,0.98
2013-06-11,1.01,1.01,1.01,1.01,000,0.99
2013-06-10,1.01,1.01,1.01,1.01,000,0.99
2013-06-07,1.01,1.01,1.01,1.01,10800,0.99
2013-06-06,1.01,1.01,1.01,1.01,33800,0.99
2013-06-05,1.01,1.01,1.01,1.01,58700,0.99
2013-06-04,1.02,1.02,1.01,1.01,100,0.99
2013-06-03,1.01,1.01,1.01,1.01,100,0.99
2013-05-31,1.04,1.04,1.04,1.04,000,1.01
2013-05-30,1.04,1.04,1.04,1.04,000,1.01
2013-05-29,1.05,1.05,1.04,1.04,16800,1.01
2013-05-28,1.03,1.03,1.02,1.02,7200,1.00
2013-05-27,1.02,1.02,1.02,1.02,200,1.00
2013-05-24,1.02,1.02,1.02,1.02,8000,1.00
2013-05-23,1.02,1.02,1.02,1.02,000,1.00
2013-05-22,1.02,1.02,1.02,1.02,000,1.00
2013-05-21,1.02,1.02,1.02,1.02,7100,1.00
2013-05-20,1.05,1.05,1.02,1.02,18000,1.00
2013-05-17,1.04,1.04,1.04,1.04,000,1.01
2013-05-16,1.04,1.04,1.04,1.04,5000,1.01
2013-05-15,1.02,1.02,1.02,1.02,20000,0.99
2013-05-14,1.03,1.03,1.02,1.02,27800,1.00
2013-05-13,1.05,1.05,1.05,1.05,000,1.02
2013-05-10,1.05,1.05,1.05,1.05,000,1.02
2013-05-09,1.05,1.05,1.05,1.05,1000,1.02
2013-05-08,1.03,1.03,1.03,1.03,13400,1.00
2013-05-07,1.03,1.03,1.03,1.03,000,1.00
2013-05-06,1.03,1.03,1.03,1.03,2600,1.00
2013-05-03,1.02,1.02,1.02,1.02,000,1.00
2013-05-02,1.02,1.02,1.02,1.02,000,1.00
2013-05-01,1.02,1.02,1.02,1.02,1000,1.00
2013-04-30,1.02,1.02,1.02,1.02,000,0.99
2013-04-29,1.02,1.02,1.02,1.02,000,0.99
2013-04-26,1.02,1.02,1.02,1.02,10000,0.99
2013-04-25,1.06,1.06,1.06,1.06,000,1.03
2013-04-24,1.04,1.06,1.04,1.06,2700,1.03
2013-04-23,1.03,1.04,1.03,1.04,17000,1.01
2013-04-22,1.02,1.02,1.02,1.02,000,0.99
2013-04-19,1.02,1.02,1.02,1.02,25900,0.99
2013-04-18,1.02,1.02,1.02,1.02,000,0.99
2013-04-17,1.02,1.02,1.02,1.02,3000,0.99
2013-04-16,1.02,1.02,1.02,1.02,000,0.99
2013-04-15,1.02,1.02,1.02,1.02,000,0.99
2013-04-12,1.02,1.02,1.02,1.02,4000,0.99
2013-04-11,1.02,1.02,1.02,1.02,000,0.99
2013-04-10,1.02,1.02,1.02,1.02,000,0.99
2013-04-09,1.03,1.03,1.02,1.02,3000,0.99
2013-04-08,1.03,1.03,1.03,1.03,4400,1.00
2013-04-05,1.02,1.02,1.02,1.02,100,0.99
2013-04-04,1.02,1.02,1.02,1.02,600,0.99
2013-04-03,1.03,1.03,1.03,1.03,000,1.00
2013-04-02,1.03,1.03,1.03,1.03,22500,1.00
2013-04-01,1.03,1.03,1.03,1.03,000,1.00
2013-03-29,1.03,1.03,1.03,1.03,000,1.00
2013-03-28,1.03,1.03,1.03,1.03,000,1.00
2013-03-27,1.03,1.03,1.03,1.03,5000,1.00
2013-03-26,1.05,1.05,1.05,1.05,000,1.02
2013-03-25,1.05,1.05,1.05,1.05,000,1.02
2013-03-22,1.05,1.05,1.05,1.05,000,1.02
2013-03-21,1.05,1.05,1.05,1.05,000,1.02
2013-03-20,1.05,1.05,1.05,1.05,000,1.02
2013-03-19,1.04,1.05,1.04,1.05,103000,1.02
2013-03-18,1.03,1.03,1.03,1.03,2500,1.00
2013-03-15,1.02,1.02,1.02,1.02,1000,0.99
2013-03-14,1.01,1.01,1.00,1.01,33800,0.98
2013-03-13,1.00,1.00,1.00,1.00,000,0.97
2013-03-12,1.00,1.00,1.00,1.00,000,0.97
2013-03-11,1.00,1.00,1.00,1.00,000,0.97
2013-03-08,1.00,1.00,1.00,1.00,000,0.97
2013-03-07,1.00,1.00,1.00,1.00,152700,0.97
2013-03-06,0.99,0.99,0.99,0.99,000,0.96
2013-03-05,1.01,1.01,0.99,0.99,12200,0.96
2013-03-04,1.00,1.01,1.00,1.01,10000,0.98
2013-03-01,1.00,1.00,1.00,1.00,000,0.97
2013-02-28,1.00,1.00,1.00,1.00,000,0.97
2013-02-27,1.00,1.00,1.00,1.00,000,0.97
2013-02-26,1.00,1.00,1.00,1.00,000,0.97
2013-02-25,1.00,1.00,1.00,1.00,8000,0.97
2013-02-22,1.03,1.03,1.03,1.03,000,1.00
2013-02-21,1.03,1.03,1.03,1.03,000,1.00
2013-02-20,1.03,1.03,1.03,1.03,000,0.98
2013-02-19,1.03,1.03,1.03,1.03,5000,0.98
2013-02-18,0.95,0.95,0.95,0.95,000,0.91
2013-02-15,0.95,0.95,0.95,0.95,000,0.91
2013-02-14,0.95,0.95,0.95,0.95,000,0.91
2013-02-13,0.95,0.95,0.95,0.95,000,0.91
2013-02-12,0.95,0.95,0.95,0.95,000,0.91
2013-02-11,0.95,0.95,0.95,0.95,000,0.91
2013-02-08,0.95,0.95,0.95,0.95,000,0.91
2013-02-07,0.95,0.95,0.95,0.95,000,0.91
2013-02-06,0.95,0.95,0.95,0.95,000,0.91
2013-02-05,0.95,0.95,0.95,0.95,000,0.91
2013-02-04,0.97,0.97,0.95,0.95,15000,0.91
2013-02-01,0.96,0.96,0.96,0.96,000,0.92
2013-01-31,0.96,0.96,0.96,0.96,000,0.92
2013-01-30,0.96,0.96,0.96,0.96,2800,0.92
2013-01-29,0.96,0.96,0.96,0.96,600,0.92
2013-01-28,0.94,0.94,0.94,0.94,000,0.90
2013-01-25,0.94,0.94,0.94,0.94,000,0.90
2013-01-24,0.94,0.94,0.94,0.94,000,0.90
2013-01-22,0.94,0.94,0.94,0.94,000,0.90
2013-01-21,0.94,0.94,0.94,0.94,2500,0.90
2013-01-18,0.94,0.94,0.94,0.94,000,0.90
2013-01-17,0.94,0.94,0.94,0.94,000,0.90
2013-01-16,0.94,0.94,0.94,0.94,000,0.90
2013-01-15,0.94,0.94,0.94,0.94,000,0.89
2013-01-14,0.94,0.94,0.94,0.94,000,0.89
2013-01-11,0.94,0.94,0.94,0.94,000,0.89
2013-01-10,0.94,0.94,0.94,0.94,000,0.89
2013-01-09,0.94,0.94,0.94,0.94,000,0.89
2013-01-08,0.94,0.94,0.94,0.94,000,0.89
2013-01-07,0.94,0.94,0.94,0.94,000,0.89
2013-01-04,0.94,0.94,0.94,0.94,000,0.89
2013-01-03,0.94,0.94,0.94,0.94,7000,0.89
2013-01-02,0.92,0.92,0.92,0.92,000,0.87
2013-01-01,0.92,0.92,0.92,0.92,000,0.87
2012-12-31,0.92,0.92,0.92,0.92,000,0.87
2012-12-28,0.92,0.92,0.92,0.92,000,0.87
2012-12-27,0.92,0.92,0.92,0.92,000,0.87
2012-12-26,0.92,0.92,0.92,0.92,000,0.87
2012-12-25,0.92,0.92,0.92,0.92,000,0.87
2012-12-24,0.92,0.92,0.92,0.92,000,0.87
2012-12-21,0.92,0.92,0.92,0.92,000,0.87
2012-12-20,0.92,0.92,0.92,0.92,000,0.87
2012-12-19,0.92,0.92,0.92,0.92,000,0.87
2012-12-18,0.92,0.92,0.92,0.92,000,0.87
2012-12-17,0.92,0.92,0.92,0.92,000,0.87
2012-12-14,0.92,0.92,0.92,0.92,000,0.87
2012-12-13,0.92,0.92,0.92,0.92,000,0.87
2012-12-12,0.92,0.92,0.92,0.92,000,0.87
2012-12-11,0.92,0.92,0.92,0.92,000,0.87
2012-12-10,0.92,0.92,0.92,0.92,10800,0.87
2012-12-07,0.92,0.92,0.92,0.92,2000,0.87
2012-12-06,0.91,0.91,0.91,0.91,7500,0.87
2012-12-05,0.91,0.91,0.91,0.91,1900,0.87
2012-12-04,0.90,0.90,0.90,0.90,000,0.86
2012-12-03,0.90,0.90,0.90,0.90,000,0.86
2012-11-30,0.93,0.93,0.90,0.90,68100,0.86
2012-11-29,0.93,0.93,0.93,0.93,17200,0.89
2012-11-28,0.94,0.94,0.94,0.94,10000,0.89
2012-11-27,0.93,0.93,0.92,0.92,13500,0.88
2012-11-26,0.93,0.93,0.93,0.93,5000,0.89
