Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.06,0.07,0.06,0.06,7525400,0.06
2013-09-19,0.06,0.06,0.06,0.06,2355800,0.06
2013-09-18,0.06,0.06,0.06,0.06,3194600,0.06
2013-09-17,0.06,0.07,0.06,0.06,8295400,0.06
2013-09-16,0.06,0.06,0.06,0.06,978400,0.06
2013-09-13,0.06,0.06,0.06,0.06,961000,0.06
2013-09-12,0.06,0.06,0.06,0.06,861700,0.06
2013-09-11,0.06,0.06,0.06,0.06,256100,0.06
2013-09-10,0.06,0.06,0.06,0.06,857500,0.06
2013-09-09,0.06,0.06,0.06,0.06,443300,0.06
2013-09-06,0.06,0.06,0.06,0.06,302500,0.06
2013-09-05,0.06,0.06,0.06,0.06,2189300,0.06
2013-09-04,0.06,0.06,0.06,0.06,322500,0.06
2013-09-03,0.06,0.06,0.06,0.06,801800,0.06
2013-09-02,0.06,0.06,0.06,0.06,379700,0.06
2013-08-30,0.06,0.06,0.06,0.06,1292300,0.06
2013-08-29,0.06,0.06,0.06,0.06,269300,0.06
2013-08-28,0.06,0.06,0.06,0.06,421600,0.06
2013-08-27,0.06,0.06,0.05,0.06,3308900,0.06
2013-08-26,0.06,0.06,0.06,0.06,1073700,0.06
2013-08-23,0.06,0.06,0.06,0.06,443900,0.06
2013-08-22,0.06,0.06,0.06,0.06,1100100,0.06
2013-08-21,0.06,0.06,0.06,0.06,1003400,0.06
2013-08-20,0.06,0.06,0.06,0.06,701200,0.06
2013-08-19,0.06,0.06,0.06,0.06,341800,0.06
2013-08-16,0.06,0.06,0.06,0.06,1210000,0.06
2013-08-15,0.06,0.06,0.06,0.06,365000,0.06
2013-08-14,0.06,0.06,0.06,0.06,367200,0.06
2013-08-13,0.06,0.06,0.06,0.06,1328400,0.06
2013-08-12,0.06,0.06,0.06,0.06,7417600,0.06
2013-08-09,0.06,0.06,0.06,0.06,1260200,0.06
2013-08-08,0.05,0.06,0.05,0.06,2828100,0.06
2013-08-07,0.06,0.06,0.05,0.05,3088400,0.05
2013-08-06,0.06,0.06,0.06,0.06,639400,0.06
2013-08-05,0.06,0.06,0.06,0.06,245100,0.06
2013-08-02,0.06,0.06,0.06,0.06,371300,0.06
2013-08-01,0.06,0.06,0.06,0.06,361700,0.06
2013-07-31,0.06,0.06,0.06,0.06,2079400,0.06
2013-07-30,0.06,0.06,0.06,0.06,592400,0.06
2013-07-29,0.06,0.06,0.06,0.06,1954100,0.06
2013-07-26,0.06,0.06,0.06,0.06,3577400,0.06
2013-07-25,0.06,0.06,0.06,0.06,265000,0.06
2013-07-24,0.06,0.06,0.06,0.06,466500,0.06
2013-07-23,0.06,0.06,0.06,0.06,1520400,0.06
2013-07-22,0.06,0.06,0.06,0.06,1233600,0.06
2013-07-19,0.05,0.06,0.05,0.06,2537300,0.06
2013-07-18,0.06,0.06,0.06,0.06,541300,0.06
2013-07-17,0.05,0.06,0.05,0.06,1963000,0.06
2013-07-16,0.06,0.06,0.05,0.05,353900,0.05
2013-07-15,0.06,0.06,0.06,0.06,188100,0.06
2013-07-12,0.06,0.06,0.05,0.06,2500800,0.06
2013-07-11,0.06,0.06,0.05,0.06,4560000,0.06
2013-07-10,0.05,0.06,0.05,0.05,12314700,0.05
2013-07-09,0.05,0.05,0.05,0.05,2504100,0.05
2013-07-08,0.05,0.05,0.05,0.05,1291200,0.05
2013-07-05,0.05,0.05,0.05,0.05,734400,0.05
2013-07-04,0.04,0.05,0.04,0.05,5346400,0.05
2013-07-03,0.04,0.04,0.04,0.04,298700,0.04
2013-07-02,0.04,0.04,0.04,0.04,398200,0.04
2013-07-01,0.04,0.04,0.04,0.04,722600,0.04
2013-06-28,0.04,0.04,0.04,0.04,3191900,0.04
2013-06-27,0.04,0.04,0.04,0.04,2325600,0.04
2013-06-26,0.04,0.04,0.04,0.04,1722800,0.04
2013-06-25,0.04,0.04,0.04,0.04,1777100,0.04
2013-06-24,0.04,0.04,0.04,0.04,2476100,0.04
2013-06-21,0.04,0.04,0.04,0.04,1251000,0.04
2013-06-20,0.04,0.04,0.04,0.04,6309100,0.04
2013-06-19,0.04,0.04,0.04,0.04,8782000,0.04
2013-06-18,0.04,0.05,0.04,0.05,3208700,0.05
2013-06-17,0.04,0.05,0.04,0.04,2412500,0.04
2013-06-14,0.04,0.05,0.04,0.04,1808000,0.04
2013-06-13,0.05,0.05,0.04,0.04,2291200,0.04
2013-06-12,0.04,0.04,0.04,0.04,825000,0.04
2013-06-11,0.05,0.05,0.04,0.04,1607200,0.04
2013-06-10,0.05,0.05,0.05,0.05,000,0.05
2013-06-07,0.05,0.05,0.05,0.05,376600,0.05
2013-06-06,0.05,0.05,0.05,0.05,408900,0.05
2013-06-05,0.05,0.05,0.05,0.05,395200,0.05
2013-06-04,0.05,0.05,0.05,0.05,2618000,0.05
2013-06-03,0.05,0.05,0.05,0.05,4855600,0.05
2013-05-31,0.05,0.05,0.05,0.05,4430400,0.05
2013-05-30,0.05,0.05,0.04,0.05,964300,0.05
2013-05-29,0.04,0.05,0.04,0.05,1648500,0.05
2013-05-28,0.05,0.05,0.04,0.04,738000,0.04
2013-05-27,0.05,0.05,0.04,0.05,266800,0.05
2013-05-24,0.04,0.05,0.04,0.05,599600,0.05
2013-05-23,0.04,0.05,0.04,0.04,441800,0.04
2013-05-22,0.05,0.05,0.04,0.04,1217900,0.04
2013-05-21,0.05,0.05,0.05,0.05,558300,0.05
2013-05-20,0.05,0.05,0.05,0.05,1138200,0.05
2013-05-17,0.05,0.05,0.05,0.05,2553000,0.05
2013-05-16,0.05,0.05,0.05,0.05,2232500,0.05
2013-05-15,0.05,0.05,0.05,0.05,362300,0.05
2013-05-14,0.05,0.05,0.05,0.05,179600,0.05
2013-05-13,0.05,0.05,0.05,0.05,845800,0.05
2013-05-10,0.05,0.05,0.05,0.05,301800,0.05
2013-05-09,0.05,0.05,0.05,0.05,334500,0.05
2013-05-08,0.05,0.05,0.05,0.05,708600,0.05
2013-05-07,0.05,0.05,0.05,0.05,1240500,0.05
2013-05-06,0.05,0.05,0.05,0.05,1181100,0.05
2013-05-03,0.05,0.05,0.05,0.05,742000,0.05
2013-05-02,0.05,0.05,0.05,0.05,924000,0.05
2013-05-01,0.05,0.05,0.05,0.05,822700,0.05
2013-04-30,0.05,0.05,0.05,0.05,1627800,0.05
2013-04-29,0.05,0.05,0.05,0.05,1028300,0.05
2013-04-26,0.05,0.05,0.05,0.05,1151400,0.05
2013-04-25,0.05,0.05,0.05,0.05,000,0.05
2013-04-24,0.05,0.05,0.05,0.05,1371500,0.05
2013-04-23,0.05,0.05,0.05,0.05,2707200,0.05
2013-04-22,0.05,0.05,0.05,0.05,2620300,0.05
2013-04-19,0.05,0.05,0.05,0.05,529500,0.05
2013-04-18,0.05,0.05,0.05,0.05,1178100,0.05
2013-04-17,0.04,0.05,0.04,0.05,2519100,0.05
2013-04-16,0.04,0.04,0.04,0.04,1636000,0.04
2013-04-15,0.04,0.05,0.04,0.05,770100,0.05
2013-04-12,0.04,0.05,0.04,0.05,491100,0.05
2013-04-11,0.04,0.05,0.04,0.05,1032400,0.05
2013-04-10,0.05,0.05,0.05,0.05,552700,0.05
2013-04-09,0.05,0.05,0.04,0.05,665700,0.05
2013-04-08,0.04,0.05,0.04,0.05,1356700,0.05
2013-04-05,0.04,0.04,0.04,0.04,1431700,0.04
2013-04-04,0.05,0.05,0.04,0.04,694600,0.04
