Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,15.75,15.81,15.63,15.63,1469700,15.44
2013-09-19,15.96,16.08,15.73,15.77,2118400,15.58
2013-09-18,15.80,15.89,15.53,15.65,1160300,15.46
2013-09-17,15.76,15.99,15.72,15.81,803500,15.62
2013-09-16,15.80,15.84,15.64,15.76,1032000,15.57
2013-09-13,15.53,15.79,15.52,15.68,1126200,15.49
2013-09-12,15.30,15.72,15.25,15.47,2695000,15.28
2013-09-11,15.46,15.49,15.17,15.26,2076800,15.07
2013-09-10,15.27,15.41,15.19,15.39,969100,15.20
2013-09-09,15.05,15.25,15.02,15.22,2032800,15.03
2013-09-06,14.90,15.04,14.82,15.00,1992800,14.82
2013-09-05,15.00,15.10,14.81,14.82,1366800,14.64
2013-09-04,15.02,15.12,14.86,14.94,1180200,14.76
2013-09-03,15.10,15.40,15.00,15.12,2661900,14.94
2013-09-02,14.89,15.13,14.89,15.05,1888000,14.87
2013-08-30,14.21,14.66,14.21,14.61,1111900,14.43
2013-08-29,14.39,14.49,14.30,14.37,1408500,14.20
2013-08-28,14.37,14.65,14.35,14.39,1655300,14.22
2013-08-27,14.67,14.73,14.42,14.59,4153300,14.41
2013-08-26,14.56,15.09,14.55,14.68,3404800,14.50
2013-08-23,13.46,14.69,13.46,14.34,2798700,14.17
2013-08-22,13.65,13.73,13.46,13.58,2281000,13.41
2013-08-21,13.95,13.95,13.76,13.86,888300,13.69
2013-08-20,13.76,13.94,13.76,13.86,668600,13.69
2013-08-19,13.70,13.97,13.70,13.90,1017600,13.73
2013-08-16,13.48,13.67,13.44,13.60,711400,13.43
2013-08-15,14.00,14.02,13.53,13.60,1246800,13.43
2013-08-14,13.60,14.02,13.51,13.95,1586700,13.78
2013-08-13,13.41,13.58,13.35,13.52,843000,13.36
2013-08-12,13.33,13.40,13.10,13.40,624400,13.24
2013-08-09,13.15,13.27,13.10,13.26,733400,13.10
2013-08-08,13.11,13.23,13.07,13.19,2047300,13.03
2013-08-07,13.22,13.24,12.98,13.04,1813900,12.88
2013-08-06,13.25,13.41,13.17,13.41,1156800,13.25
2013-08-05,13.35,13.44,13.23,13.42,645900,13.26
2013-08-02,13.49,13.50,13.20,13.26,1630400,13.10
2013-08-01,13.00,13.36,13.00,13.33,1984900,13.17
2013-07-31,12.84,12.88,12.74,12.80,995700,12.64
2013-07-30,12.72,12.72,12.46,12.59,948900,12.44
2013-07-29,12.70,12.78,12.55,12.59,923400,12.44
2013-07-26,12.48,12.72,12.42,12.70,1408400,12.55
2013-07-25,12.56,12.64,12.48,12.52,2037500,12.37
2013-07-24,12.79,12.80,12.55,12.55,1777400,12.40
2013-07-23,12.78,12.90,12.75,12.80,1057600,12.64
2013-07-22,12.98,13.02,12.78,12.80,1213400,12.64
2013-07-19,12.81,12.97,12.77,12.77,1141100,12.61
2013-07-18,12.99,12.99,12.74,12.80,1145900,12.64
2013-07-17,12.86,13.00,12.76,13.00,638800,12.84
2013-07-16,13.15,13.19,12.91,12.91,1273200,12.75
2013-07-15,13.08,13.23,13.01,13.15,1356800,12.99
2013-07-12,13.03,13.12,12.94,13.07,1763000,12.91
2013-07-11,12.98,12.98,12.74,12.89,839800,12.73
2013-07-10,12.75,12.95,12.69,12.82,1596100,12.66
2013-07-09,12.71,12.80,12.65,12.68,1484600,12.53
2013-07-08,12.69,12.84,12.40,12.49,1306200,12.34
2013-07-05,12.85,12.95,12.54,12.60,2636500,12.45
2013-07-04,12.02,12.26,12.02,12.21,316000,12.06
