Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.13,0.13,0.13,0.13,000,0.13
2013-09-19,0.13,0.13,0.13,0.13,20000,0.13
2013-09-18,0.14,0.14,0.14,0.14,000,0.14
2013-09-17,0.14,0.14,0.14,0.14,000,0.14
2013-09-16,0.14,0.14,0.14,0.14,000,0.14
2013-09-13,0.14,0.14,0.14,0.14,000,0.14
2013-09-12,0.14,0.14,0.14,0.14,30000,0.14
2013-09-11,0.14,0.14,0.14,0.14,000,0.14
2013-09-10,0.14,0.14,0.14,0.14,3600,0.14
2013-09-09,0.14,0.14,0.14,0.14,000,0.14
2013-09-06,0.14,0.14,0.13,0.14,100000,0.14
2013-09-05,0.13,0.14,0.13,0.14,6000,0.14
2013-09-04,0.12,0.12,0.12,0.12,233300,0.12
2013-09-03,0.12,0.12,0.12,0.12,000,0.12
2013-09-02,0.12,0.12,0.12,0.12,86200,0.12
2013-08-30,0.12,0.12,0.12,0.12,26000,0.12
2013-08-29,0.12,0.12,0.12,0.12,000,0.12
2013-08-28,0.14,0.14,0.12,0.12,30000,0.12
2013-08-27,0.14,0.14,0.14,0.14,15000,0.14
2013-08-26,0.14,0.14,0.14,0.14,000,0.14
2013-08-23,0.14,0.14,0.14,0.14,45000,0.14
2013-08-22,0.14,0.14,0.14,0.14,21900,0.14
2013-08-21,0.14,0.14,0.14,0.14,10000,0.14
2013-08-20,0.12,0.12,0.12,0.12,000,0.12
2013-08-19,0.12,0.12,0.12,0.12,000,0.12
2013-08-16,0.12,0.12,0.12,0.12,000,0.12
2013-08-15,0.12,0.12,0.12,0.12,000,0.12
2013-08-14,0.12,0.12,0.12,0.12,3000,0.12
2013-08-13,0.12,0.12,0.12,0.12,1500,0.12
2013-08-12,0.12,0.12,0.12,0.12,000,0.12
2013-08-09,0.12,0.12,0.12,0.12,13800,0.12
2013-08-08,0.12,0.12,0.12,0.12,000,0.12
2013-08-07,0.13,0.13,0.12,0.12,134500,0.12
2013-08-06,0.13,0.13,0.13,0.13,000,0.13
2013-08-05,0.13,0.13,0.13,0.13,000,0.13
2013-08-02,0.13,0.13,0.13,0.13,20000,0.13
2013-08-01,0.13,0.13,0.13,0.13,000,0.13
2013-07-31,0.13,0.13,0.13,0.13,5100,0.13
2013-07-30,0.13,0.13,0.13,0.13,000,0.13
2013-07-29,0.13,0.13,0.13,0.13,000,0.13
2013-07-26,0.13,0.13,0.13,0.13,100000,0.13
2013-07-25,0.12,0.12,0.12,0.12,000,0.12
2013-07-24,0.12,0.12,0.12,0.12,000,0.12
2013-07-23,0.13,0.13,0.12,0.12,19000,0.12
2013-07-22,0.12,0.12,0.12,0.12,50600,0.12
2013-07-19,0.12,0.12,0.12,0.12,000,0.12
2013-07-18,0.12,0.12,0.12,0.12,000,0.12
2013-07-17,0.12,0.12,0.12,0.12,000,0.12
2013-07-16,0.12,0.12,0.12,0.12,000,0.12
2013-07-15,0.12,0.12,0.12,0.12,108500,0.12
2013-07-12,0.12,0.12,0.12,0.12,20800,0.12
2013-07-11,0.12,0.12,0.12,0.12,67100,0.12
2013-07-10,0.13,0.13,0.13,0.13,10800,0.13
2013-07-09,0.13,0.13,0.13,0.13,30200,0.13
2013-07-08,0.13,0.13,0.13,0.13,000,0.13
2013-07-05,0.13,0.13,0.13,0.13,5800,0.13
2013-07-04,0.13,0.13,0.13,0.13,000,0.13
2013-07-03,0.14,0.14,0.13,0.13,8500,0.13
2013-07-02,0.14,0.14,0.13,0.14,42000,0.14
2013-07-01,0.13,0.13,0.13,0.13,000,0.13
2013-06-28,0.13,0.13,0.13,0.13,13400,0.13
2013-06-27,0.13,0.13,0.13,0.13,38000,0.13
2013-06-26,0.13,0.13,0.13,0.13,11400,0.13
2013-06-25,0.14,0.14,0.13,0.13,8100,0.13
2013-06-24,0.14,0.14,0.13,0.13,35700,0.13
2013-06-21,0.14,0.14,0.14,0.14,1000,0.14
2013-06-20,0.14,0.14,0.14,0.14,5000,0.14
2013-06-19,0.14,0.14,0.14,0.14,19500,0.14
2013-06-18,0.14,0.17,0.14,0.14,90700,0.14
2013-06-17,0.14,0.14,0.14,0.14,4100,0.14
2013-06-14,0.14,0.14,0.14,0.14,000,0.14
2013-06-13,0.14,0.14,0.14,0.14,25000,0.14
2013-06-12,0.14,0.16,0.14,0.16,27700,0.16
2013-06-11,0.14,0.14,0.14,0.14,52400,0.14
2013-06-10,0.14,0.14,0.14,0.14,000,0.14
2013-06-07,0.14,0.14,0.14,0.14,124600,0.14
2013-06-06,0.14,0.14,0.14,0.14,000,0.14
2013-06-05,0.14,0.14,0.14,0.14,20000,0.14
2013-06-04,0.14,0.14,0.14,0.14,000,0.14
2013-06-03,0.14,0.14,0.14,0.14,000,0.14
2013-05-31,0.14,0.14,0.14,0.14,1200,0.14
2013-05-30,0.14,0.14,0.14,0.14,000,0.14
2013-05-29,0.14,0.14,0.14,0.14,27200,0.14
2013-05-28,0.14,0.14,0.14,0.14,000,0.14
2013-05-27,0.15,0.15,0.13,0.14,188500,0.14
2013-05-24,0.14,0.16,0.14,0.15,18900,0.15
2013-05-23,0.16,0.16,0.14,0.14,44000,0.14
2013-05-22,0.15,0.16,0.15,0.16,108600,0.16
2013-05-21,0.15,0.15,0.15,0.15,16700,0.15
2013-05-20,0.14,0.15,0.14,0.15,100000,0.15
2013-05-17,0.16,0.16,0.16,0.16,600,0.16
2013-05-16,0.14,0.15,0.14,0.15,22600,0.15
2013-05-15,0.14,0.14,0.14,0.14,17000,0.14
2013-05-14,0.14,0.15,0.14,0.14,91600,0.14
2013-05-13,0.14,0.14,0.14,0.14,000,0.14
2013-05-10,0.14,0.14,0.14,0.14,125500,0.14
2013-05-09,0.14,0.14,0.14,0.14,000,0.14
2013-05-08,0.14,0.14,0.14,0.14,40000,0.14
2013-05-07,0.14,0.14,0.13,0.13,53600,0.13
2013-05-06,0.14,0.14,0.14,0.14,30000,0.14
2013-05-03,0.14,0.14,0.14,0.14,10000,0.14
2013-05-02,0.15,0.15,0.15,0.15,000,0.15
2013-05-01,0.15,0.15,0.15,0.15,000,0.15
2013-04-30,0.15,0.15,0.15,0.15,13300,0.15
2013-04-29,0.14,0.14,0.14,0.14,000,0.14
2013-04-26,0.14,0.14,0.14,0.14,1300,0.14
2013-04-25,0.14,0.14,0.14,0.14,000,0.14
2013-04-24,0.15,0.15,0.14,0.14,1436800,0.14
2013-04-23,0.14,0.14,0.14,0.14,85000,0.14
2013-04-22,0.14,0.14,0.14,0.14,10000,0.14
2013-04-19,0.14,0.14,0.14,0.14,000,0.14
2013-04-18,0.14,0.14,0.14,0.14,9800,0.14
2013-04-17,0.15,0.15,0.14,0.14,12700,0.14
2013-04-16,0.15,0.15,0.15,0.15,44300,0.15
2013-04-15,0.16,0.16,0.14,0.14,13200,0.14
2013-04-12,0.16,0.16,0.15,0.15,9500,0.15
2013-04-11,0.15,0.15,0.14,0.15,35000,0.15
2013-04-10,0.16,0.16,0.15,0.16,28200,0.16
2013-04-09,0.16,0.16,0.14,0.15,51200,0.15
2013-04-08,0.17,0.17,0.16,0.16,5800,0.16
2013-04-05,0.17,0.17,0.17,0.17,55800,0.17
2013-04-04,0.16,0.16,0.16,0.16,5000,0.16
2013-04-03,0.17,0.17,0.16,0.16,49000,0.16
2013-04-02,0.16,0.17,0.16,0.17,12500,0.17
2013-04-01,0.15,0.15,0.15,0.15,000,0.15
2013-03-29,0.15,0.15,0.15,0.15,000,0.15
2013-03-28,0.16,0.16,0.15,0.15,128300,0.15
2013-03-27,0.16,0.16,0.16,0.16,19300,0.16
2013-03-26,0.16,0.16,0.16,0.16,25000,0.16
2013-03-25,0.18,0.18,0.18,0.18,000,0.18
2013-03-22,0.18,0.18,0.18,0.18,3000,0.18
2013-03-21,0.17,0.18,0.16,0.18,64200,0.18
2013-03-20,0.17,0.17,0.17,0.17,168700,0.17
2013-03-19,0.17,0.17,0.17,0.17,128500,0.17
2013-03-18,0.17,0.17,0.16,0.17,46000,0.17
2013-03-15,0.17,0.17,0.16,0.16,47300,0.16
2013-03-14,0.17,0.17,0.16,0.17,106000,0.17
2013-03-13,0.17,0.17,0.17,0.17,156200,0.17
2013-03-12,0.17,0.19,0.16,0.19,697000,0.19
2013-03-11,0.17,0.17,0.17,0.17,59800,0.17
2013-03-08,0.18,0.19,0.17,0.19,72100,0.19
2013-03-07,0.17,0.18,0.17,0.18,148600,0.18
2013-03-06,0.18,0.19,0.17,0.17,150400,0.17
2013-03-05,0.19,0.19,0.19,0.19,28800,0.19
2013-03-04,0.20,0.20,0.20,0.20,000,0.20
2013-03-01,0.20,0.20,0.20,0.20,000,0.20
2013-02-28,0.20,0.20,0.20,0.20,75000,0.20
2013-02-27,0.20,0.20,0.20,0.20,18000,0.20
2013-02-26,0.20,0.21,0.20,0.20,200000,0.20
2013-02-25,0.20,0.20,0.20,0.20,50000,0.20
2013-02-22,0.20,0.20,0.20,0.20,000,0.20
2013-02-21,0.20,0.20,0.20,0.20,27000,0.20
2013-02-20,0.20,0.20,0.20,0.20,50000,0.20
2013-02-19,0.21,0.21,0.20,0.20,164400,0.20
2013-02-18,0.19,0.22,0.19,0.21,458900,0.21
2013-02-15,0.25,0.26,0.25,0.26,1244300,0.26
2013-02-14,0.27,0.27,0.25,0.25,1228700,0.25
2013-02-13,0.23,0.27,0.23,0.25,2255700,0.25
2013-02-12,0.19,0.19,0.19,0.19,56400,0.19
2013-02-11,0.18,0.19,0.18,0.19,61300,0.19
2013-02-08,0.17,0.17,0.17,0.17,20000,0.17
